text00#0,"""Как ваши дела? Что-то хотели?"""
text07#1,"""Вы можете получить Мили Челенджей за завершение<br>квеста челенджей. Мили Челенджей можно обменять<br>на различные предметы в магазине обмена<br>торговой зоны.<br><br>Мили, в основном, можно заработать<br>следующими способами:<br><yellow>・Завершением миссии<br>・Получением кристалов милей<c><br>Скорость выполнения миссии определяется<br>позицией ведущего игрока. Кроме того, сумма,<br>полученая за мили кристалы, распределится<br>между всеми участниками."""
text08#0,"""После того, как вы закончите челендж квест,<br>ваш личный тег будет отображаться при<br>следующем прохождении челенджей.<br><br>Это указывает на ваш текущий рекорд<br>прохождения и будет обновляться по мере того,<br>как вы будете бить свой рекорд.<br><br>Ваш рекорд синего цвета. Рекорды остальных<br>игроков будут серебряными."""
text09#0,"""В квестах челенджей предметы, вы можете<br>подобрать выпавшие из врагов или из<br>контейнеров.<br><br><yellow>Другие игроки не могут их поднять, поэтому<br>не забывайте о них.<c>"""
text10#0,"""При восстановлении VR энергии сверх 100%,<br>вы получите бонус дополнительного заряда<br>в зависимости от восстанавливаемого объёма.<br><br>Бонус за дополнительный заряд даёт<br>1 Милю Челенджей за каждые 2.5% восстановления,<br>но <red>VR энергия никогда не превысит 100;<br>поэтому не забывайте про ограничение<br>по времени<c>."""
text00#5,"""Общий корабль"""
text01#9,"""Общий корабль - место, где вы можете<br>взаимодействовать с другими игроками за<br>пределами обычных границ вашего корабля.<br>На этом корабле вы можете выполнять квесты<br>челенджей и ходить на матчи на боевой арене<br>с игроками с других кораблей.<br><br>Вы можете отправиться в соответствующее лобби,<br>выбрав \""В лобби битв общего корабля\"" или<br>\""В лобби челенджей общего корабля\"" в меню<br>телепортационной кабины."""
text00#6,"""Передача предметов"""
text01#10,"""В квестах челенджей полученные вами предметы<br>можно скидывать на землю.<br>Выброшенные предметы могут подобрать другие<br>игроки."""
text02#7,"""Вы можете сбросить на землю предметы с помощью<br>функции \""Положить на пол\"" в вашем инвентаре.<br><br>Когда вы сбрасываете предмет на землю, он<br>пропадает из вашего инвентаря и появляется<br>на земле.<br><br>Вы также можете забрать выброшенные по ошибке<br>вами предметы, просто подняв его снова."""
text03#4,"""Выброшенные игроками предметы выглядят иначе,<br>чем предметы, выпавшие с врагов.<br><br>Кроме того, общее количество предметов, которые<br>могут лежать на локации, может быть не более<br>160 для всех игроков. Когда количество выпавших<br>предметов превысит 160, лишние исчезнут,<br>начиная с первого выпавшего."""
text04#2,"""Передача предметов - очень эффективный<br>инструмент для продвижения в квестах челенджей.<br><br>Даже если вам не нужен предмет, он может быть<br>важен для товарища, поэтому поддерживайте связь<br>друг с другом и заполняйте пробелы в предметах<br>друг друга.<br><br>Вы можете огласить название выпавшего предмета<br>с помощью команды чата: <green><lt>putitem<gt><c> или <green><lt>pi<gt><c>."""
