name_7234#0,"""패피 랍피"""
ssn_019080_002_0050#0,"""드레드 에너미를 쓰러뜨리고, <br>안전한 장소를 만들자."""
ssn_019080_002_0051#0,"""그건 그렇고, <br>뭔가 교환 할래？"""
ssn_019080_002_0052#0,"""으,음…….<br>방해 받아 버렸네."""
ssn_019080_002_0053#0,"""\""랍피 집회장\""은<br>아직 찾지 못한 모양이네."""
ssn_019080_002_0054#0,"""드레드 에너미를 쓰러뜨리고, <br>안전한 장소를 만들자."""
ssn_019080_002_0055#0,"""그건 그렇고, <br>뭔가 교환 할래？"""
npc_menu_0001#0,"""티켓과 교환하기"""
npc_menu_0002#0,"""시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0003#0,"""시즈널 포인트에 에 관하여 열기"""
npc_menu_0004#0,"""메뉴 닫기"""
npc_menu_0005#0,"""\""시즈널 이벤트\""에 관하여"""
npc_menu_0006#0,"""\""시즈널 이벤트 캐릭터\""에 관하여"""
npc_menu_0007#0,"""\""데일리/위클리 태스크\""에 관하여"""
npc_menu_0008#0,"""\""미스치프 심볼\""에 관하여"""
npc_menu_0009#0,"""\""시즈널 개더링\""에 관하여"""
npc_menu_0010#0,"""\""시즈널 리전 마그\""에 관하여"""
npc_menu_0011#0,"""\""시즌 에너미\""에 관하여"""
npc_menu_0012#0,"""\""월드 트라이얼\""에 관하여"""
npc_menu_0013#0,"""\""랍피 집회장\""에 관하여"""
npc_menu_0014#0,"""묻고 싶은 것이 없다"""
npc_menu_0015#0,"""『PSO2』만화 메모리와 교환하기"""
