IncidentName#0,"""Extermina a todos los Objetivos!"""
NpcComOnPreBegin_Other#1,"""Nyau se escapo... Espera, ¿Qué? Estamos recogiendo una distorsión en el espacio por donde escapo. Cuidado, ¡Algo viene!"""
NpcComOnBegin_Other#1,"""Tch, que dolor. Preparese para luchar, un hostil que acába de aparecer!"""
NpcComOnEnemyDead_Other#1,"""Eso es un hostil menos. Sigue asi."""
NpcComOnSuccess_Other#1,"""Las lecturas se han ido. Usted maneja ese ataque sorpresa con aplomo."""
NpcComOnPreBegin_Darker#1,"""Nyau se escapo... Espera, ¿Qué? Estamos recogiendo una distorsión en el espacio por donde escapo. Cuidado, ¡Algo viene!"""
NpcComOnBegin_Darker#1,"""Tch, que dolor. Preparese para luchar, un hostil que acába de aparecer!"""
NpcComOnEnemyDead_Darker#1,"""Eso es un hostil menos. Sigue asi."""
NpcComOnSuccess_Darker#1,"""Las lecturas se han ido. Usted maneja ese ataque sorpresa con aplomo."""
NpcComOnPreBegin#2,"""Nyau girando la cola... Eh, ¿H-eh? Hay algo raro en la zona... P-por favor, ¡Tenga cuidado!"""
NpcComOnBegin#2,"""Un poderoso enemigo ha llegado... Necesitamos la ayuda de todos!"""
NpcComOnEnemyDead#2,"""Nos queda un enemigo! Por favor, no deje que escape!"""
NpcComOnSuccess#2,"""¡Hip, hip, hurra!, ¡No estamos recibiendo lectura de los hostiles!, ¡Muchas gracias a todos!"""
NpcComOnPreBegin_Other#2,"""Nyau girando la cola... Eh, ¿H-eh? Hay algo raro en la zona... P-por favor, ¡Tenga cuidado!"""
NpcComOnBegin_Other#2,"""Un poderoso enemigo ha llegado... Necesitamos la ayuda de todos!"""
NpcComOnEnemyDead_Other#2,"""Nos queda un enemigo! Por favor, no deje que escape!"""
NpcComOnSuccess_Other#2,"""¡Hip, hip, hurra!, ¡No estamos recibiendo lectura de los hostiles!, ¡Muchas gracias a todos!"""
NpcComOnPreBegin_Darker#2,"""Nyau girando la cola... Eh, ¿H-eh? Hay algo raro en la zona... P-por favor, ¡Tenga cuidado!"""
NpcComOnBegin_Darker#2,"""Un poderoso enemigo ha llegado... Necesitamos la ayuda de todos!"""
NpcComOnEnemyDead_Darker#2,"""Nos queda un enemigo! Por favor, no deje que escape!"""
NpcComOnSuccess_Darker#2,"""¡Hip, hip, hurra!, ¡No estamos recibiendo lectura de los hostiles!, ¡Muchas gracias a todos!"""
NpcComOnPreBegin#3,"""Nyau se está retirando... Estamos recibiendo una distorsión espacial causada por su retirada. Nuevas lecturas de hostiles se aproximan."""
NpcComOnBegin#3,"""Esta es un aviso de emergencia. Por favor, repeler a los hostiles que han aparecido."""
NpcComOnEnemyDead#3,"""Lecturas de Hostiles han aparecido, por favor regreses."""
NpcComOnSuccess#3,"""Las lecturas hostiles han desaparecido por completo. Su respuesta a está situación ha sido admirable."""
NpcComOnPreBegin_Other#3,"""Nyau se está retirando... Estamos recibiendo una distorsión espacial causada por su retirada. Nuevas lecturas de hostiles se aproximan."""
NpcComOnBegin_Other#3,"""Esta es un aviso de emergencia. Por favor, repeler a los hostiles que han aparecido."""
NpcComOnEnemyDead_Other#3,"""Lecturas de Hostiles han aparecido, por favor regreses."""
NpcComOnSuccess_Other#3,"""Las lecturas hostiles han desaparecido por completo. Su respuesta a está situación ha sido admirable."""
NpcComOnPreBegin_Darker#3,"""Nyau se está retirando... Estamos recibiendo una distorsión espacial causada por su retirada. Nuevas lecturas de hostiles se aproximan."""
NpcComOnBegin_Darker#3,"""Esta es un aviso de emergencia. Por favor, repeler a los hostiles que han aparecido."""
NpcComOnEnemyDead_Darker#3,"""Lecturas de Hostiles han aparecido, por favor regreses."""
NpcComOnSuccess_Darker#3,"""Las lecturas hostiles han desaparecido por completo. Su respuesta a está situación ha sido admirable."""
NpcComOnPreBegin#4,"""Nyau ha escapado, una distorsión se está produciendo......<br>Espacio alterado.<br>algo viene, sal de ahi!"""
NpcComOnBegin#4,"""Confirman la aparición de un nuevo enemigo<br>en el sitio de intercepción!"""
NpcComOnEnemyDead#4,"""Enemigo derrotado,<br>solo falta uno,<br>vamos a hacer nuestro mejor esfuerzo!"""
NpcComOnSuccess#4,"""Intercepción completada gracias a todos !<br>hurras por el buen trabajo!"""
NpcComOnPreBegin_Other#4,"""Nyau ha escapado, una distorsión se está produciendo......<br>Espacio alterado.<br>algo viene, sal de ahi!"""
NpcComOnBegin_Other#4,"""Confirman la aparición de un nuevo enemigo<br>en el sitio de intercepción!"""
NpcComOnEnemyDead_Other#4,"""Enemigo derrotado,<br>solo falta uno,<br>vamos a hacer nuestro mejor esfuerzo!"""
NpcComOnSuccess_Other#4,"""Intercepción completada gracias a todos !<br>hurras por el buen trabajo!"""
NpcComOnPreBegin_Darker#4,"""Nyau ha escapado, una distorsión se está produciendo......<br>Espacio alterado.<br>algo viene, sal de ahi!"""
NpcComOnBegin_Darker#4,"""Confirman la aparición de un nuevo enemigo<br>en el sitio de intercepción!"""
NpcComOnEnemyDead_Darker#4,"""Enemigo derrotado,<br>solo falta uno,<br>vamos a hacer nuestro mejor esfuerzo!"""
NpcComOnSuccess_Darker#4,"""Intercepción completada gracias a todos !<br>hurras por el buen trabajo!"""
NpcComOnPreBegin#5,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin#5,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnEnemyDead#5,"""エネミー撃破、確認しました。<br>残りあと１体です、頑張りましょう！"""
NpcComOnSuccess#5,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
NpcComOnPreBegin_Other#5,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin_Other#5,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnEnemyDead_Other#5,"""エネミー撃破、確認しました。<br>残りあと１体です、頑張りましょう！"""
NpcComOnSuccess_Other#5,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
NpcComOnPreBegin_Darker#5,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin_Darker#5,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnEnemyDead_Darker#5,"""エネミー撃破、確認しました。<br>残りあと１体です、頑張りましょう！"""
NpcComOnSuccess_Darker#5,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
