IncidentJsApcBegin#0,"""APC共闘開始"""
IncidentJsApcBegin#4,"""/mn6 /ci2 2 Lo-lo siento! Hay muchos enemigos por aqui. ¿Me puedes dar una mano?"""
IncidentJsApcSuccess#4,"""/mn15 /ci2 1 Yahoo! Lo hicimos, ¿eh? ¡Muchas gracias! ¡Me ayudaste mucho!"""
IncidentJsApcFailure#4,"""/mn7 Sorry... It's impossible to continue the battle. Let me retreat. Porfavor forgive me!"""
IncidentJsApcBeginEvo#4,"""/mn2 /ci2 2 ¡Wuuuaaa! ¡Que reacción tan grande! Un enemigo va a salir!"""
IncidentJsApcSuccessEvo#4,"""/mn15 /ci2 1 Yahoo! Lo hicimos, ¿eh? ¡Muchas gracias! ¡Me ayudaste mucho!"""
IncidentJsApcBegin#5,"""/ci4 5 Ah, ¿es usted? Me pregunto, si tienes tiempo si no te importa el inconveniente... ¿Podrias darme una mano?"""
IncidentJsApcSuccess#5,"""/ci2 1 Muy bien, se acabo. Recogi excelentes datos, asi que gracias."""
IncidentJsApcFailure#5,"""Me siento mal por esto, pero debo retirarme! No tiene sentido continuar si es imposible, ¿verdad?"""
IncidentJsApcBeginEvo#5,"""/ci4 5 Hmm ... ¿Una nueva reaccion? Bueno, ¿por que no se procedemos con precaucion?"""
IncidentJsApcSuccessEvo#5,"""/ci2 1 Muy bien, se acabo. Recogi excelentes datos, asi que gracias."""
IncidentJsApcBegin#6,"""/ci2 1 A-aaah! You came at the perfect time! Help, Porfavor help me!"""
IncidentJsApcSuccess#6,"""/ci2 1 De-de alguna manera, estoy bien ... Todo ha terminado gracias a usted. Estoy agradecido."""
IncidentJsApcFailure#6,"""Ugh ... Estaba buscando a alguien. ¿Porque tuvo que ser asi ... me voy a retirar..."""
IncidentJsApcBeginEvo#6,"""/ci4 1 こ、この反応って……新手！？<br>うう、早く逃げたい……<br>逃げちゃいましょうよ……"""
IncidentJsApcSuccessEvo#6,"""/ci2 1 De-de alguna manera, estoy bien ... Todo ha terminado gracias a usted. Estoy agradecido."""
IncidentJsApcBegin#7,"""/ci2 1  Vi algo que preferiria no tocar. Sin embargo, parece que tengo que echar una mano."""
IncidentJsApcSuccess#7,"""/ci2 3 ¡Buena pelea! Me alegro de haber estado aqui para disfrutar de ella! ¡Hasta luego!"""
IncidentJsApcFailure#7,"""うーん……調子が出ないね。<br>一度戻って、身体の調子を<br>確かめた方がいいか……"""
IncidentJsApcBeginEvo#7,"""/ci1 2 おや、これだけやられても<br>こりないようだね。"""
IncidentJsApcSuccessEvo#7,"""/ci2 3 ¡Buena pelea! Me alegro de haber estado aqui para disfrutar de ella! ¡Hasta luego!"""
IncidentJsApcBegin#8,"""/toge /ci3 1 ……まったく、見てられない！<br>手伝ってあげるから、さっさと<br>こいつら、片付けるわよ！"""
IncidentJsApcSuccess#8,"""/ci2 2 一丁上がり、っと。<br>……あたし、もう行くから<br>あんまり無理しないようにね。"""
IncidentJsApcFailure#8,"""むぅ……あたしもまだ未熟、か。<br>ごめんなさい、先に退くわ。"""
IncidentJsApcBeginEvo#8,"""APC共闘発展開始"""
IncidentJsApcSuccessEvo#8,"""/ci2 2 一丁上がり、っと。<br>……あたし、もう行くから<br>あんまり無理しないようにね。"""
IncidentJsApcBegin#9,"""/ci2 2 おっ、丁度良いところに<br>少し手伝って貰えるかな？"""
IncidentJsApcSuccess#9,"""/ci2 2 よーし、終わったっと<br>ありがとね、助かったよ"""
IncidentJsApcFailure#9,"""あっちゃあ……<br>これ以上は厳しいね<br>撤退させてもらうよ"""
IncidentJsApcBeginEvo#9,"""/ci4 5 おやおや？<br>まだ来るみたいだねえ"""
IncidentJsApcSuccessEvo#9,"""/ci2 2 よーし、終わったっと<br>ありがとね、助かったよ"""
IncidentJsApcBegin#10,"""/ci4 5 ……丁度良いところに来たわね。<br>少し敵の数が多いの、手伝って。"""
IncidentJsApcSuccess#10,"""/ci1 5 ……私一人じゃ危なかったと思う。<br>だから、ちゃんとお礼は言うわ。<br>……ありがとう。"""
IncidentJsApcFailure#10,"""……ごめんなさい、これ以上は<br>戦えない。撤退します。"""
IncidentJsApcBeginEvo#10,"""/ci4 5 ……新手が来そう。<br>注意して、しっかり準備を。"""
IncidentJsApcSuccessEvo#10,"""/ci1 5 ……私一人じゃ危なかったと思う。<br>だから、ちゃんとお礼は言うわ。<br>……ありがとう。"""
IncidentJsApcBegin#11,"""/ci2 1 おお、いいところに来てくれた！<br>少しばかり敵の数が多くてな<br>手伝ってくれないか。"""
IncidentJsApcSuccess#11,"""/ci2 1 よし、片付いたようだな！<br>感謝するぞ、お前のおかげで<br>なんとかなった。"""
IncidentJsApcFailure#11,"""……ぐっ、こんなことになるとは。<br>すまん、先に撤退する。"""
IncidentJsApcBeginEvo#11,"""/ci3 1 Esta atmosfera... Maybe a newcomer appeared... Porfavor presta atención y preparate."""
IncidentJsApcSuccessEvo#11,"""/ci2 1 よし、片付いたようだな！<br>感謝するぞ、お前のおかげで<br>なんとかなった。"""
IncidentJsApcBegin#12,"""/toge /ci1 1 We can do this! We're Arks! I might be old, but I can't be stopped!"""
IncidentJsApcSuccess#12,"""/toge /ci2 1 うむ、これで終わりのはずだ。<br>よくやってくれた、助かったぞ。"""
IncidentJsApcFailure#12,"""ぐぬ……やはり<br>寄る年波には勝てんか……<br>先に撤退させてもらう。"""
IncidentJsApcBeginEvo#12,"""/toge /ci3 1 おのれ、新手の気配が！<br>老体にムチ打たせる気か！"""
IncidentJsApcSuccessEvo#12,"""/toge /ci2 1 うむ、これで終わりのはずだ。<br>よくやってくれた、助かったぞ。"""
IncidentJsApcBegin#13,"""/toge /mn9 /ci2 1 おおおっ、おいおいおい！<br>いいところにいるじゃんかよぉ！<br>ちょっと手伝ってくれよ、なっ！"""
IncidentJsApcSuccess#13,"""/mn15 /ci2 4 よーっし、一丁上がりっと！<br>へへっ、どうよどうよ？<br>オレもいけるもんだろ、なっ？"""
IncidentJsApcFailure#13,"""ぐううっ……なんだこりゃあ……<br>やってらんねーよホントに。<br>オレ、撤退させてもらうぜ。"""
IncidentJsApcBeginEvo#13,"""/mn2 /ci2 1 ちょっと待てってなんだこりゃ！<br>新手の反応がビンビンじゃねーか！"""
IncidentJsApcSuccessEvo#13,"""/mn15 /ci2 4 よーっし、一丁上がりっと！<br>へへっ、どうよどうよ？<br>オレもいけるもんだろ、なっ？"""
IncidentJsApcBegin#14,"""/ci5 2 Oh my, oh my...<br>So much prey appeared<br>y you never called me along?"""
IncidentJsApcSuccess#14,"""/ci4 3 もう終わりなんですかあ？<br>うーん……もっと戦りたいですねえ。<br>だからリサは、ふらりと去りますよお。"""
IncidentJsApcFailure#14,"""...Hmmm, Lisa se aburre<br>quizas. Es hora de regresar...<br>bueno entonces, ten cuidado!"""
IncidentJsApcBeginEvo#14,"""APC共闘発展開始"""
IncidentJsApcSuccessEvo#14,"""/ci4 3 もう終わりなんですかあ？<br>うーん……もっと戦りたいですねえ。<br>だからリサは、ふらりと去りますよお。"""
IncidentJsApcBegin#15,"""/mn10 /ci4 5 あ、すみません……よければ<br>ちょっと手伝ってもらえませんか。<br>……危険というより、面倒くさくて。"""
IncidentJsApcSuccess#15,"""/ci4 1 ……お、終わりましたか？<br>ふぅ……あ、えっと、助かりました。<br>僕、なるべく戦いたくないので……"""
IncidentJsApcFailure#15,"""……無理は禁物ですもんね。<br>すみませんが、僕は帰還します。"""
IncidentJsApcBeginEvo#15,"""/mn10 /ci4 5 はぁ……まだ来そうですね。<br>どうしてこんなにぞくぞくと<br>現れるんだか……"""
IncidentJsApcSuccessEvo#15,"""/ci4 1 ……お、終わりましたか？<br>ふぅ……あ、えっと、助かりました。<br>僕、なるべく戦いたくないので……"""
IncidentJsApcBegin#16,"""/toge /ci1 3 アークスの危機とあらば<br>私が駆けつけない理由はない。<br>助太刀させてもらおう。"""
IncidentJsApcSuccess#16,"""/ci1 3 うむ、よい運動だった。<br>では、私は行くとしよう。<br>精進を怠らないようにな。"""
IncidentJsApcFailure#16,"""デスクワークばかりでなまったか。<br>いろいろ考えねばならないな……<br>すまんが、退かせてもらうぞ。"""
IncidentJsApcBeginEvo#16,"""/ci5 3 まだ来るか……<br>余程、命がいらないと見える。"""
IncidentJsApcSuccessEvo#16,"""/ci1 3 うむ、よい運動だった。<br>では、私は行くとしよう。<br>精進を怠らないようにな。"""
IncidentJsApcBegin#17,"""/toge /ci2 2 Hey! Looks like you managed to stumble onto something fun! me hare cargo de esto!"""
IncidentJsApcSuccess#17,"""/mn15 /ci2 1 Vistes lo increible que soy, cierto? Alabame, Amame, Adorame!"""
IncidentJsApcFailure#17,"""/mn10  むぅ……なんだかつまらないな。<br>眠くなってもきたし、私は帰る！"""
IncidentJsApcBeginEvo#17,"""/mn15 /ci2 1 おおっ、見ろ見ろ貴様！<br>また敵がでてきたぞ！<br>あれも爆破してしまっていいのだろう？"""
IncidentJsApcSuccessEvo#17,"""/mn15 /ci2 1 Vistes lo increible que soy, cierto? Alabame, Amame, Adorame!"""
IncidentJsApcBegin#18,"""/toge /ci2 1 ふはははっ！\u3000六芒均衡ヒューイ推参！<br>存外に苦戦しているようだな！<br>大丈夫だ！\u3000ここはオレに任せろ！"""
IncidentJsApcSuccess#18,"""/toge /ci2 1 オレにかかればこの程度造作もない！<br>また困ったことがあれば呼んでくれ！<br>オレはいつでも、そばにいるぞ！"""
IncidentJsApcFailure#18,"""/toge /ci2 1 オレが負ける……オレが敗北……！？<br>申し訳ない、先に退かせてもらう！"""
IncidentJsApcBeginEvo#18,"""/toge /ci2 むむっ……さらなる悪意の気配！<br>おかわりというやつだな！<br>いいだろう、オレが相手をしてやろう！"""
IncidentJsApcSuccessEvo#18,"""/toge /ci2 1 オレにかかればこの程度造作もない！<br>また困ったことがあれば呼んでくれ！<br>オレはいつでも、そばにいるぞ！"""
IncidentJsApcBegin#19,"""/toge /ci3 2 囲まれているようだな<br>手伝うぞ！"""
IncidentJsApcSuccess#19,"""/ci2 2 よし、よくやったぞ！<br>では、私は行くとしよう！"""
IncidentJsApcFailure#19,"""この程度の交戦で……<br>私も衰えたな……"""
IncidentJsApcBeginEvo#19,"""む、新手か！<br>気を抜くなよ！"""
IncidentJsApcSuccessEvo#19,"""/ci2 2 よし、よくやったぞ！<br>では、私は行くとしよう！"""
IncidentJsApcBegin#20,"""/ci3 2 囲まれているようね<br>協力するわよ"""
IncidentJsApcSuccess#20,"""/ci2 2 Parece que hemos terminado por aqui. entonces, me voy."""
IncidentJsApcFailure#20,"""Como algo tan simple...? Lo siento, me retiro."""
IncidentJsApcSuccessEvo#20,"""/ci2 2 Parece que hemos terminado por aqui. entonces, me voy."""
IncidentJsApcBegin#21,"""/ci4 2 Lo bueno es que estas aqui.<br>Ayudame un poco."""
IncidentJsApcSuccess#21,"""/ci2 2 ...De todos modos, tienes mis agradecimientos."""
IncidentJsApcFailure#21,"""Me he sobreestimado...<br>tendre que retirarme."""
IncidentJsApcBeginEvo#20,"""/ci5 2 ...Esta presencia.<br>Tsk, Algo viene!"""
IncidentJsApcSuccessEvo#21,"""/ci2 2 ...De todos modos, tienes mis agradecimientos."""
IncidentJsApcBegin#22,"""/mn2 /ci4 3 せ、先輩っ！<br>すみません、助けて下さい！<br>敵がいっぱいやってきてて……！"""
IncidentJsApcSuccess#22,"""/mn15 /ci2 1 De alguna manera los detuvimos...<br>Gracias por su ayuda, capitan!"""
IncidentJsApcFailure#22,"""/mn7 うう……すみません……<br>これ以上は無理です……"""
IncidentJsApcBeginEvo#21,"""わわっ、わわわっ……！<br>なんだか、また出てくる気配が……"""
IncidentJsApcSuccessEvo#22,"""/mn15 /ci2 1 De alguna manera los detuvimos...<br>Gracias por su ayuda, capitan!"""
IncidentJsApcBegin#23,"""/ci2 1 S-señor!<br>Estoy en un verdadero aprieto por aqui!<br>Odio molestar, pero me podria dar una mano?"""
IncidentJsApcSuccess#23,"""/ci2 1 Lo hicimos!<br>Nos las arreglamos para luchar contra ellos!<br>Es todo gracias a usted!"""
IncidentJsApcFailure#23,"""...Lo siento mucho.<br>Voy a tener que retirarme."""
IncidentJsApcBeginEvo#22,"""むむっ、おおおっ！<br>新しい気配がっ！<br>先生、まだ終わりじゃないみたいです！"""
IncidentJsApcSuccessEvo#23,"""/ci2 1 Lo hicimos!<br>Nos las arreglamos para luchar contra ellos!<br>Es todo gracias a usted!"""
IncidentJsApcBegin#24,"""/ci1 3 これほどの大物が出てくるとは……<br>ここで始末しなければ、まずいですね。<br>すみません、力を貸してもらえますか。"""
IncidentJsApcSuccess#24,"""/ci1 5 やはり、背中を任せられる相手がいると<br>すごく、やりやすいんですね。<br>懐かしい感覚でした……感謝します。"""
IncidentJsApcFailure#24,"""くっ……！\u3000油断したようです。<br>申し訳ありません……<br>私は先に撤退させてもらいます。"""
IncidentJsApcSuccessEvo#24,"""/ci1 5 やはり、背中を任せられる相手がいると<br>すごく、やりやすいんですね。<br>懐かしい感覚でした……感謝します。"""
IncidentJsApcBegin#25,"""/ci1 3  ...Hay muchos de ellos. Te ayudare con la exterminación."""
IncidentJsApcSuccess#25,"""/ci1 5 Bueno entonces, ire a la siguiente misión."""
IncidentJsApcFailure#25,"""Como pued dejar que esto pasara...? que patetico..."""
IncidentJsApcSuccessEvo#25,"""/ci1 5 Bueno entonces, ire a la siguiente misión."""
IncidentJsApcBegin#26,"""/toge /ci1 1 いっしょにがんばれば<br>きっと勝てるのニャ！"""
IncidentJsApcSuccess#26,"""/toge /mn37 /ci2 4 やったのニャ！<br>ありがとニャ～！！"""
IncidentJsApcFailure#26,"""/mn2 /ci4 1 ¡Queee! ¡Que catastrofe!"""
IncidentJsApcSuccessEvo#26,"""/toge /mn37 /ci2 4 やったのニャ！<br>ありがとニャ～！！"""
IncidentJsApcBegin#27,"""/toge /ci1 1 Ah bien, un amigo, nya! no podemos perder, nya!"""
IncidentJsApcSuccess#27,"""/toge /mn17 /ci2 4 Lo hicimos, nya! a tiempo para reclamar mi premio, nya! ... Candy ... nyaa"""
IncidentJsApcFailure#27,"""/mn30 /ci4 1 Parece que... los dulces de la vida son agridulces... ... nya"""
IncidentJsApcSuccessEvo#27,"""/toge /mn17 /ci2 4 Lo hicimos, nya! a tiempo para reclamar mi premio, nya! ... Candy ... nyaa"""
IncidentJsApcBegin#28,"""/ci2 1 あっ、いいところに！<br>ちょっと数が多くて大変だから<br>手伝って貰えないかな？"""
IncidentJsApcSuccess#28,"""/ci2 3 ふう、なんとかなったぁ……<br>素直にありがとね、助かったよ。<br>それじゃ、またね！"""
IncidentJsApcFailure#28,"""Ugh... No puedo soportar esto... Lo siento, pero parece que voy a retirame primero."""
IncidentJsApcBeginEvo#23,"""/ci3 1 うわっ……なんか、やばそーな<br>反応がすっごい近くに……<br>気をつけましょう！"""
IncidentJsApcSuccessEvo#28,"""/ci2 3 ふう、なんとかなったぁ……<br>素直にありがとね、助かったよ。<br>それじゃ、またね！"""
IncidentJsApcBegin#29,"""/mn15 /toge /ci2 1 ナイスタイミング！<br>ちょっと手伝ってくれないかなー！"""
IncidentJsApcSuccess#29,"""/toge /ci2 1 いやー、どうもありがとー！<br>おかげでなんとかなったよ！<br>感謝感謝、大感謝！"""
IncidentJsApcFailure#29,"""やられたーっ……！<br>ごめん、撤退するね……"""
IncidentJsApcBeginEvo#24,"""/ci4 5 おおっとぉ、まだ来る気配だね？"""
IncidentJsApcSuccessEvo#29,"""/toge /ci2 1 いやー、どうもありがとー！<br>おかげでなんとかなったよ！<br>感謝感謝、大感謝！"""
IncidentJsApcBegin#30,"""/toge /ci3 1 ……まったく、見てられない！<br>手伝ってあげるから、さっさと<br>こいつら、片付けるわよ！"""
IncidentJsApcSuccess#30,"""/ci2 2 一丁上がり、っと。<br>……あたし、もう行くから<br>あんまり無理しないようにね。"""
IncidentJsApcFailure#30,"""むぅ……あたしもまだ未熟、か。<br>ごめんなさい、先に退くわ。"""
IncidentJsApcBeginEvo#25,"""/ci3 1 Woah... algo peligroso se aproxima... vamos a seguir con cuidado!"""
IncidentJsApcSuccessEvo#30,"""/ci2 2 一丁上がり、っと。<br>……あたし、もう行くから<br>あんまり無理しないようにね。"""
IncidentJsApcBegin#31,"""/ci2 2 Lo siento <%me>.<br>Esta situación no es favorable, y yo<br>apreciaria tu cooperación."""
IncidentJsApcSuccess#31,"""/ci2 1 センパイ……その、助かった<br>来てくれて、ありがとな"""
IncidentJsApcFailure#31,"""……これ以上は、無理だ<br>悪いセンパイ、おれは撤退する"""
IncidentJsApcBeginEvo#26,"""/ci2 2 Woah... algo peligroso se aproxima... vamos a seguir con cuidado!"""
IncidentJsApcSuccessEvo#31,"""/ci2 1 センパイ……その、助かった<br>来てくれて、ありがとな"""
IncidentJsApcBegin#32,"""/ci1 3  ...Hay muchos de ellos. Te ayudare con la exterminación."""
IncidentJsApcSuccess#32,"""/ci1 5 Bueno entonces, ire a la siguiente misión."""
IncidentJsApcFailure#32,"""Como pued dejar que esto pasara...? que patetico..."""
IncidentJsApcSuccessEvo#32,"""/ci1 5 Bueno entonces, ire a la siguiente misión."""
IncidentJsApcBegin#33,"""/ci3 2 Lo siento <%me>.<br>Esta situación no es favorable, y yo<br>apreciaria tu cooperación."""
IncidentJsApcSuccess#33,"""/ci2 2 ありがとう<br>また、ロビーで会いましょう"""
IncidentJsApcFailure#33,"""ごめんなさい、限界みたい<br>撤退させてもらうわ"""
IncidentJsApcBeginEvo#27,"""あら、新手かしら？"""
IncidentJsApcSuccessEvo#33,"""/ci2 2 ありがとう<br>また、ロビーで会いましょう"""
IncidentJsApcBegin#34,"""/ci3 2 Lo siento <%me>.<br>Esta situación no es favorable, y yo<br>apreciaria tu cooperación."""
IncidentJsApcSuccess#34,"""/ci2 2 助太刀感謝する<br>この礼は、いずれ"""
IncidentJsApcFailure#34,"""くっ……こんな無様な真似を……<br>撤退する、後を頼む"""
IncidentJsApcBeginEvo#28,"""まだ来るようだな"""
IncidentJsApcSuccessEvo#34,"""/ci2 2 助太刀感謝する<br>この礼は、いずれ"""
IncidentJsApcBegin#35,"""/ci3 2 Lo siento <%me>.<br>Esta situación no es favorable, y yo<br>apreciaria tu cooperación."""
IncidentJsApcSuccess#35,"""/ci2 2 おかげで助かったわ<br>その……ありがとう"""
IncidentJsApcFailure#35,"""……ここまでなの？<br>ごめんなさい、撤退します"""
IncidentJsApcBeginEvo#29,"""まだ来るみたいね<br>少しは休ませてほしいわ"""
IncidentJsApcSuccessEvo#35,"""/ci2 2 おかげで助かったわ<br>その……ありがとう"""
IncidentJsApcBegin#36,"""/ci3 2 Lo siento <%me>.<br>Esta situación no es favorable, y yo<br>apreciaria tu cooperación."""
IncidentJsApcSuccess#36,"""/ci2 2 ありがとうございます<br>助かりました"""
IncidentJsApcFailure#36,"""ここまで、なんですね……<br>すみません、撤退します"""
IncidentJsApcBeginEvo#30,"""……まだ来るみたいですね"""
IncidentJsApcSuccessEvo#36,"""/ci2 2 ありがとうございます<br>助かりました"""
