IncidentName#0,"""Derrotar a $(0)"""
NpcComOnSuccess_Darker#1,"""Las lecturas se han ido. Usted maneja ese ataque sorpresa con aplomo."""
NpcComOnFailure_Darker#1,"""/face6 ……失敗か。<br>各員、通常任務に戻れ。"""
NpcComOnPreBegin#2,"""Nyau girando la cola ... Eh, h-eh? Hay algo raro en la zona... P-por favor, tenga cuidado!"""
NpcComOnBegin#2,"""Un poderoso enemigo ha llegado ... necesitamos la ayuda de todos!"""
NpcComOnSuccess#2,"""Hip, hip, hurra! No estamos recibiendo lectura de los hostiles! ¡Muchas gracias a todos!"""
NpcComOnFailure#2,"""/face6 Ohhh... Perdistes...<br>Porfavor regresa a tu mision."""
NpcComOnPreBegin_Other#2,"""Nyau girando la cola ... Eh, h-eh? Hay algo raro en la zona... P-por favor, tenga cuidado!"""
NpcComOnBegin_Other#2,"""Un poderoso enemigo ha llegado ... necesitamos la ayuda de todos!"""
NpcComOnSuccess_Other#2,"""Hip, hip, hurra! No estamos recibiendo lectura de los hostiles! ¡Muchas gracias a todos!"""
NpcComOnFailure_Other#2,"""/face6 Ohhh... Perdistes...<br>Porfavor regresa a tu mision."""
NpcComOnPreBegin_Darker#2,"""Nyau girando la cola ... Eh, h-eh? Hay algo raro en la zona... P-por favor, tenga cuidado!"""
NpcComOnBegin_Darker#2,"""Un poderoso enemigo ha llegado ... necesitamos la ayuda de todos!"""
NpcComOnSuccess_Darker#2,"""Hip, hip, hurra! No estamos recibiendo lectura de los hostiles! ¡Muchas gracias a todos!"""
NpcComOnFailure_Darker#2,"""/face6 Ohhh... Perdistes...<br>Porfavor regresa a tu mision."""
NpcComOnPreBegin#3,"""Nyau se esta retirando... Estamos recibiendo una distorsion espacial causada por su retirada. Nuevas lecturas de hostiles se aproximan."""
NpcComOnBegin#3,"""This is an emergency directive. Porfavor repel the hostile that has appeared."""
NpcComOnSuccess#3,"""Las lecturas hostiles han desaparecido por completo. Su respuesta a esta situacion ha sido admirable."""
NpcComOnFailure#3,"""/face4 Esta situacion es un fracaso.<br>Todos, porfavor regresen<br>a la mision."""
NpcComOnPreBegin_Other#3,"""Nyau se esta retirando... Estamos recibiendo una distorsion espacial causada por su retirada. Nuevas lecturas de hostiles se aproximan."""
NpcComOnBegin_Other#3,"""This is an emergency directive. Porfavor repel the hostile that has appeared."""
NpcComOnSuccess_Other#3,"""Las lecturas hostiles han desaparecido por completo. Su respuesta a esta situacion ha sido admirable."""
NpcComOnFailure_Other#3,"""/face4 Esta situacion es un fracaso.<br>Todos, porfavor regresen<br>a la mision."""
NpcComOnPreBegin_Darker#3,"""Nyau se esta retirando... Estamos recibiendo una distorsion espacial causada por su retirada. Nuevas lecturas de hostiles se aproximan."""
NpcComOnBegin_Darker#3,"""This is an emergency directive. Porfavor repel the hostile that has appeared."""
NpcComOnSuccess_Darker#3,"""Las lecturas hostiles han desaparecido por completo. Su respuesta a esta situacion ha sido admirable."""
NpcComOnFailure_Darker#3,"""/face4 Esta situacion es un fracaso.<br>Todos, porfavor regresen<br>a la mision."""
NpcComOnPreBegin#4,"""Nyau ha escapado, una distorsion se esta produciendo......<br>espacio alterado.<br>algo viene, sal de ahi!"""
NpcComOnBegin#4,"""Hemos confirmado la aparicion de un nuevo enemigo<br>en el sitio de intercepcion!"""
NpcComOnSuccess#4,"""Intercepcion completada gracias a todos !<br>felicidades por el buen trabajo!"""
NpcComOnFailure#4,"""ううむ……残念ですが迎撃失敗です。<br>通常任務に戻ってください。"""
NpcComOnPreBegin_Other#4,"""Nyau ha escapado, una distorsion se esta produciendo......<br>espacio alterado.<br>algo viene, sal de ahi!"""
NpcComOnBegin_Other#4,"""Confirman la aparicion de un nuevo enemigo<br>en el sitio de intercepcion!"""
NpcComOnSuccess_Other#4,"""Intercepcion completada gracias a<br>todos! hurras por el buen trabajo!"""
NpcComOnFailure_Other#4,"""ううむ……残念ですが迎撃失敗です。<br>通常任務に戻ってください。"""
NpcComOnPreBegin_Darker#4,"""Nyau ha escapado, una distorsion se esta produciendo......<br>espacio alterado.<br>algo viene, sal de ahi!"""
NpcComOnBegin_Darker#4,"""Se confirman lecturas de un nuevo enemigo<br>en el sitio de intercepcion!"""
NpcComOnSuccess_Darker#4,"""Intercepcion completada gracias a todos !<br>hurras por el buen trabajo!"""
NpcComOnFailure_Darker#4,"""ううむ……残念ですが迎撃失敗です。<br>通常任務に戻ってください。"""
