LogName#0,"""이머전시 트라이얼 정보"""
ProgNumEnemyKill#0,"""$(0) 토벌 수"""
ProgNumAllEnemyKill#0,"""대상 토벌 수"""
ProgNumPartnerBossKill#0,"""$(0) 토벌 수"""
ProgNumEnemybombBreak#0,"""베이제의 체력"""
ProgNumKey#0,"""열쇠 수집 수"""
ProgDarkerTrapHp#0,"""팬지 수용소의 내구도"""
ProgHelicopterHp#0,"""전투기 수리 상황"""
ProgNumEnemyEscape#0,"""$(0) 도주 수"""
ProgNumCollectSample#0,"""일정 수 채굴을 완료시킴"""
ProgTimeCollectSample#0,"""제한 시간"""
ProgNumPseDestroy#0,"""들뜬 결정 파괴 개수"""
ProgTimePseDefense#0,"""들뜬 결정 보호의 남은 시간"""
ProgDwarfDefenseHp#0,"""길나스의 손상 상황"""
ProgDwarfUltDefenseHp#0,"""장치의 손상 상황"""
ProgTimeDwarfDefense#0,"""리리파 족 탈출까지의 시간"""
ProgNumGoods#0,"""$(0)을 회수한 수"""
ProgNumGeneratorDestroy#0,"""다카임 파괴 개수"""
ProgNumNauraGoodsDestroy#0,"""상품이 파괴된 개수"""
ProgTimeNauraGoodsDefense#0,"""상품 보호 시간"""
ProgJsGiant#0,"""$(0) 토벌 수"""
ProgNumBeStruckUmblla#0,"""Mr.앙브라의 공격을 받은 횟수"""
ProgApcHp#0,"""파트너의 HP 상황"""
ProgDwarfHp#0,"""리리파족의 HP 상황"""
ProgNumTryCapture#0,"""포획 장치의 기동 횟수"""
ProgNumCaptureTarget#0,"""$(0)의 포획 수"""
ProgDarkercoreHp#0,"""제어 기구의 내구력"""
ProgDwarfHomeHp#0,"""리리파족 취락의 내구력"""
ProgNumRescuee#0,"""구조한 시민의 숫자"""
ProgNumDestroyNeoBurufu#0,"""격파한 겔 부르프의 숫자"""
ProgNoDataAllEnemyKill#0,"""모든 에너미를 격파한다"""
ProgNumSwitchUnlock#0,"""정지 스위치의 해제 상황"""
ProgBeachNauraSearchHP#0,"""나우라 장녀의 HP 상황"""
ProgTimeBombNum#0,"""시한 폭탄을 해제한 갯수"""
ProgShootDarkerHeliHp#0,"""침식 전투기의 내구력"""
ProgSessionApcHp#0,"""파트너들의 HP 상황"""
ProgSessionApcEarthGuideHp#0,"""어스 가이드들의 HP 상황"""
ProgPlayerAnnihilation#0,"""$(0) 토벌 수"""
ProgSatisfactionOfJackBox#0,"""Mr.보완에게 입힌 피해량"""
ProgNumEnemyKillNyau#0,"""$(0)에게 이긴 횟수"""
ProgNumEnemyKillWakerBit#0,"""판다지 비트의 파괴 수"""
ProgNumEnemyKillNyauTwoBoss#0,"""토벌 대상의 격파 수"""
ResultMeseta#0,"""$(0)<pict meseta_icon>"""
ResultExperience#0,"""$(0)<pict exp_icon>"""
ResultGetItem#0,"""보상 : """
ItemNumber#0,"""$(0)×$(1)"""
FCondDwarfMsg#0,"""제한 시간을 초과할 경우"""
FloorOrderSuccessMsg#0,"""스테이지 오더 [$(0)]성공!"""
FloorOrderFailureMsg#0,"""스테이지 오더 [$(0)]실패!"""
FloorOrderMsg#0,"""스테이지 오더 [$(0)]"""
FloorOrderEnemyAll#0,"""에너미"""
FloorOrderEnemyName#0,"""$(0)"""
FloorOrderTime#0,"""$(0)초간 """
FloorOrderTimeLimit#0,"""$(0)초 이내에"""
FloorOrderTimes#0,"""$(0)회 이상"""
FloorOrderNum#0,"""합계 $(0)부위"""
FloorOrderNumEnemy#0,"""$(0)体"""
FloorOrderNoRecoverCondition#0,"""회복을 받지 않고"""
FloorOrderWeakCondition#0,"""약점 부위를 공격해서"""
FloorOrderFrontCondition#0,"""정면에서"""
FloorOrderBackCondition#0,"""등 뒤에서"""
FloorOrderStatusCondition#0,"""상태 이상에 걸린"""
FloororderKillEnemy#0,"""$(0)<c 00ffff>$(1)$(2)$(3)<yellow>$(4)<c>를 $(5)체 쓰러트려라!"""
FloororderDamage#0,"""$(0)<c 00ffff>$(1)<yellow>$(2)<c>에게 <c ff007f>$(3)이상의 대미지<c>를 $(4)입혀라!"""
FloororderPartDamage#0,"""$(0)<yellow>$(1)<c>의 부위를 <c ff007f>$(2)파괴<c>하라!"""
FloorOrderNoDamage#0,"""$(0)$(1)대미지를 받지 마라!"""
FloorOrderNoRecover#0,"""$(0)$(1)회복 효과를 받지 마라!"""
FloorOrderNoDead#0,"""$(0)$(1)전투 불능이 되지 마라!"""
FloororderKillEnemyR#0,"""$(0)$(1)$(2)$(3)<br>$(4)를 $(5)체 쓰러트려라!"""
FloororderDamageR#0,"""$(0)$(1)<br>$(2)에게 <br>$(3)이상의 대미지를 $(4)입혀라!"""
FloororderPartDamageR#0,"""$(0)$(1)의 <br>부위를 $(2)파괴하라!"""
FloorOrderNoDamageR#0,"""$(0)$(1)대미지를 입지 마라!"""
FloorOrderNoRecoverR#0,"""$(0)$(1)회복 효과를 받지 마라!"""
FloorOrderNoDeadR#0,"""$(0)$(1)전투 불능이 되지 마라!"""
BonusmapAppearanceMsg#0,"""에어리어$(0)에 패러렐 에어리어 텔레포터가 기동했습니다"""
ProgUmincyuKiki1patuHp#0,"""원생 주민의 HP 상황"""
ProgUmincyuKiki1patuTime#0,"""원생 주민의 HP 상황"""
ProgNumShellFlowerBreak#0,"""제거한 포선화 숫자"""
ProgSlimeVanishAnalyze#0,"""매드 젤리 구조 포인트"""
ProgSlimeVanishTime#0,"""매드 젤리 발생 시간"""
ProgDestroyPirateShipHp#0,"""동력원의 내구력"""
ProgMgeCaptureNum#0,"""유효 착탄 수"""
ProgMgeMeteorNum#0,"""거안탄의 파괴 수"""
ProgMgeAnnihilationNum#0,"""에너미 격파 수"""
ProgMgeFinalGateHP#0,"""마가츠 토벌 수"""
ProgNumEnemyKillMge2#0,"""마가츠 격파 수"""
CoTrialSuccessMsg#0,"""EQ 트라이얼 [$(0)] 성공!"""
CoTrialFailureMsg#0,"""EQ 트라이얼 [$(0)] 실패!"""
CoTrialMsg#0,"""EQ 트라이얼 [$(0)]"""
ProgNumDestroyedCar#0,"""목표 격파 수"""
ProgNumDestroyPhantomShipCannon#0,"""포대 파괴 수"""
SubScoreGuideAbstract#0,"""엑스트라 미션 : <yellow>이머전시 트라이얼을 신속하게 클리어 시 스코어 UP!"""
SubScoreGuideAnnihilation#0,"""엑스트라 미션 : <yellow>모든 에너미를 신속하게 격파하면 스코어 UP!"""
SubScoreGuideEnemyFever#0,"""엑스트라 미션 : <yellow>에너미를 쓰러트린 수에 따라서 스코어 UP!"""
SubScoreGuideIndi#0,"""엑스트라 미션 : <yellow>환창 부유 요새를 신속하게 격파하면 스코어 UP!"""
SubScoreGuideFsmChase#0,"""엑스트라 미션 : <yellow>모든 미확인 생물을 신속하게 격파하면 스코어 UP!"""
ProgNumEnemyDefeat#0,"""$(0)의 격퇴 수"""
SubScoreMagniSuccessMsg#0,"""트라이얼 오더 달성 : 점수 배율이 $(0)% UP!"""
ProgSubScoreOrderTitle#0,"""트라이얼 오더를 클리어하라!"""
SubScoreOrderTimeMsg#0,"""초간 """
SubScoreOrderTimeLimitMsg#0,"""초 이내에"""
SubScoreOrderGuideKillEnemy#0,"""트라이얼 오더 : <yellow>$(0)$(1)$(3)를 $(2)쓰러트리면 점수 배율이 $(4)% UP!"""
SubScoreOrderGuideKillEnemyFront#0,"""트라이얼 오더 : <yellow>$(0)$(1)정면에서 $(3)를 $(2)쓰러트리면 점수 배율이 $(4)% UP!"""
SubScoreOrderGuideKillEnemyBack#0,"""트라이얼 오더 : <yellow>$(0)$(1)등 뒤에서 $(3)를 $(2)쓰러트리면 점수 배율이 $(4)% UP!"""
SubScoreOrderGuideKillEnemyWeakPoint#0,"""트라이얼 오더 : <yellow>$(0)$(1)약점 부위를 공격해서 $(3)를 $(2)쓰러트리면 점수 배율이 $(4)% UP!"""
SubScoreOrderGuideBreakParts#0,"""트라이얼 오더 : <yellow>$(0)$(1)$(3)의 부위를 총 $(2)부위 파괴하면 점수 배율이 $(4)% UP!"""
SubScoreOrderGuideMaxDamage#0,"""트라이얼 오더 : <yellow>$(0)$(1)에너미에게 $(3)이상의 대미지를 $(2)회 입히면 점수 배율이 $(4)% UP!"""
SubScoreOrderGuidePlayerDead#0,"""트라이얼 오더 : <yellow>$(0)$(1)$(2)회 이상 전투 불능이 되지 않으면 점수 배율이 $(3)% UP!"""
SubScoreOrderGuidePlayerDamage#0,"""트라이얼 오더 : <yellow>$(0)$(1)$(2)회 이상 피해를 받지 않으면 점수 배율이 $(3)% UP!"""
SubScoreOrderKillEnemy#0,"""<yellow>$(0)$(1)$(3)를$(2)체 쓰러트려라"""
SubScoreOrderKillEnemyFront#0,"""<yellow>$(0)$(1)정면에서 $(3)를 $(2)쓰러트려라"""
SubScoreOrderKillEnemyBack#0,"""<yellow>$(0)$(1)등 뒤에서 $(3)를 $(2)쓰러트려라"""
SubScoreOrderKillEnemyWeakPoint#0,"""<yellow>$(0)$(1)약점을 공격해서 $(3)를 $(2)쓰러트려라"""
SubScoreOrderBreakParts#0,"""<yellow>$(0)$(1)$(3)의 부위를 총 $(2)부위 파괴하라"""
SubScoreOrderMaxDamage#0,"""<yellow>$(0)$(1)에너미에게 $(3)이상의 대미지를 $(2)회 입혀라"""
SubScoreOrderPlayerDead#0,"""<yellow>$(0)$(1)$(2)회 이상 전투 불능이 되지 말 것"""
SubScoreOrderPlayerDamage#0,"""<yellow>$(0)$(1)$(2)회 이상 대미지를 입지 말 것"""
ToastDarkerBlastRecovery#0,"""다크 블래스트 사용횟수 회복!"""
RankingResultMessageRecord#0,"""$(0)만큼의 $(1) $(2)pt"""
RankingTitleDamageMax#0,"""최대 대미지를 입혀라!"""
RankingTitleDamageTotal#0,"""더 많은 합계 대미지를 입혀라!"""
RankingTitleDefeatCount#0,"""더 많은 에너미를 격퇴하라!"""
RankingTitleKillFront#0,"""더 많은 에너미를 정면으로 격파하라!"""
RankingTitleKillBack#0,"""더 많은 에너미를 등 뒤에서 격파하라!"""
RankingTitleWeakPoint#0,"""더 많은 에너미를 약점 공격으로 격파하라!"""
RankingTitleBreakParts#0,"""더 많은 부위를 파괴하라!"""
RankingTitleDamageTotalPenalty#0,"""공격을 받지 않고 더 많은 합계 대미지를 입혀라!"""
RankingTitleScoreDisplay#0,"""Score:$(0)pt"""
RankingResultMessagePlayer#0,"""※"""
BaseColorOrange#0,"""<c c8522c>오렌지<c>"""
BaseColorPurple#0,"""<c 8e008d>퍼플<c>"""
BaseColorWhite#0,"""<white>화이트<c>"""
BaseColorBlue#0,"""<blue>블루<c>"""
BaseColorGreen#0,"""<green>그린<c>"""
QuestSuccess#0,"""/face2 이대로 귀환해주세요."""
QuestFailure#0,"""/face4 어쩔 수 없어요. 귀환해주세요."""
QuestSuccess#1,"""귀환 허가가 승인됐다. 돌아와라."""
QuestFailure#1,"""포기하고 귀환해라. 거기까지다."""
QuestSuccess#2,"""/face2 수고하셨습니다! 귀환해주세요!"""
QuestFailure#2,"""/face6 어찌됐든 귀환해 주세요."""
QuestSuccess#3,"""성공을 확인했습니다.<br>귀환을 권장합니다."""
QuestFailure#3,"""실패를 확인했습니다.<br>귀환을 권장합니다."""
QuestSuccess#4,"""수고하셨습니다!<br>귀환해주세요!"""
QuestFailure#4,"""어쩔 수 없네요… 귀환하도록 하죠."""
QuestSuccess#5,"""수고하셨습니다!<br>귀환해주세요!"""
QuestFailure#5,"""어쩔 수 없네요… 귀환하도록 하죠."""
