IncidentName#0,"""$(0) 섬멸 작전"""
NpcComOnHelpBatteryDisp_1#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대 화면표시 설명1"""
NpcComOnHelpBatteryDisp_2#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대 화면표시 설명2"""
NpcComOnBatteryReadyFree#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대 사격전조"""
NpcComOnBatteryReadyNorth#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대 사격전조:북"""
NpcComOnBatteryReadyEast#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대 사격전조:동"""
NpcComOnBatteryReadyWest#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대 사격전조:서"""
NpcComOnBatteryAttack#1,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대의 공격 개시 """
NpcComOnBatteryAttackSucceeded#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대의 공격 성공"""
NpcComOnBatteryAttackFailed#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대의 공격 실패"""
NpcComOnTargetBattery#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대가 노려지고 있다"""
NpcComOnBatteryBreak1_1#1,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대1기 대파1"""
NpcComOnBatteryBreak1_2#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대1기 대파2"""
NpcComOnBatteryBreak2_1#1,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대2기 대파1"""
NpcComOnBatteryBreak2_2#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대2기 대파2"""
NpcComOnBatteryBreak3_1#1,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대3기 대파1"""
NpcComOnBatteryBreak3_2#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 원호포대3기 대파2"""
NpcComOnTargetShaftFirstTime#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 적이 예의 그 본체를 목표"""
NpcComOnHpUnder40_1#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 적 HP 40% 이하1"""
NpcComOnHpUnder40_2#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 적 HP 40% 이하2"""
NpcComOnFailure#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 예의 그것 본체 격침（실패）"""
NpcComOnSuccess#1,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 적 HP 0% or 시간（성공1）"""
NpcComOnSuccess_2#0,"""/atime2.5 /voice11_voice_navi09_017 프리즘 (전용 NPC) : 적 HP 0% or 시간（성공2）"""
