IncidentName#0,"""$(0) 격파"""
NpcComOnBegin_Darker#4,"""새로운 에너미의 출현을 확인.<br>요격을 부탁드립니다!"""
NpcComOnSuccess_Darker#4,"""여러분들 덕분에 요격 완료!<br>연전 수고하셨습니다!"""
NpcComOnFailure_Darker#4,"""으으음……유감이지만 요격 실패입니다.<br>통상 임무로 돌아가주세요."""
NpcComOnPreBegin#5,"""냐우는 도망친 것 같지만……<br>공간에 왜곡이 발생했어요.<br>뭔가 나올거에요!"""
NpcComOnBegin#5,"""새로운 에너미의 출현을 확인.<br>요격을 부탁드립니다!"""
NpcComOnSuccess#5,"""여러분들 덕분에 요격 완료!<br>연전 수고하셨습니다!"""
NpcComOnFailure#5,"""으으음……유감이지만 요격 실패입니다.<br>통상 임무로 돌아가주세요."""
NpcComOnPreBegin_Other#5,"""냐우는 도망친 것 같지만……<br>공간에 왜곡이 발생했어요.<br>뭔가 나올거에요!"""
NpcComOnBegin_Other#5,"""새로운 에너미의 출현을 확인.<br>요격을 부탁드립니다!"""
NpcComOnSuccess_Other#5,"""여러분들 덕분에 요격 완료!<br>연전 수고하셨습니다!"""
NpcComOnFailure_Other#5,"""으으음……유감이지만 요격 실패입니다.<br>통상 임무로 돌아가주세요."""
NpcComOnPreBegin_Darker#5,"""냐우는 도망친 것 같지만……<br>공간에 왜곡이 발생했어요.<br>뭔가 나올거에요!"""
NpcComOnBegin_Darker#5,"""새로운 에너미의 출현을 확인.<br>요격을 부탁드립니다!"""
NpcComOnSuccess_Darker#5,"""여러분들 덕분에 요격 완료!<br>연전 수고하셨습니다!"""
NpcComOnFailure_Darker#5,"""으으음……유감이지만 요격 실패입니다.<br>통상 임무로 돌아가주세요."""
