IncidentName#0,"""$(0) 포획하기!"""
NpcComOnEnableCapture#1,"""대상을 포획 유효 범위 안에 포착했다.<br>포획 장치를 기동해라."""
NpcComOnCaptureSwitch#1,"""지금 타이밍이면 문제없다.<br>이제 대상이 유효 범위에서<br>달아나지 않게 해라."""
NpcComOnDisableCapture#1,"""포획 장치는 잠시 사용할 수 없다.<br>먼저 대상을 범위 안으로 유도해라."""
NpcComOnSuccessCapture#1,"""대상 포획 성공을 확인했다.<br>전송한다."""
NpcComOnFailedCapture#1,"""포획 대상 포획에 실패했다.<br>유효 범위는 제한돼 있다.<br>대상을 놓치지 마라."""
NpcComOnAttackTarget#1,"""/face3 목표는 어디까지나 포획이다.<br>포획 대상에 대한 공격은<br>가급적 피해야 한다."""
NpcComOnDeadTarget#1,"""/face6 포획 대상의 생체 반응 소실.<br>어쩔 수 없다. 다음 기회를 노려라."""
NpcComOnLastCapture#1,"""전송 장치가 부하를 견딜 수 있는 건<br>앞으로 한 번이 한계겠군...<br>신중하게 임무를 수행해라."""
NpcComOnBegin#2,"""지, 지령 변경이에요!<br>$(0)을<br>포획해 주세요!"""
NpcComOnAfterBegin#2,"""포획 장치는 $(0)에 배치했어요!<br>어떻게든 유도해서 포획해<br>주세요!"""
NpcComOnSuccess#2,"""/face2 대상 포획 성공이에요!<br>갑작스러운 지령 변경이었지만<br>아주 훌륭한 움직임이었어요!"""
NpcComOnFailure#2,"""/face4 이, 이제는 무리인 것 같아요...<br>통상 임무로 돌아가 주세요."""
NpcComOnEnableCapture#2,"""대상을 포획 유효 범위 안에 포착!<br>지금이에요!<br>포획 장치를 기동하세요!"""
NpcComOnCaptureSwitch#2,"""/face2 타이밍은 좋았어요.<br>이제 대상을 유효 범위 안에<br>확실히 붙잡아 두세요!"""
NpcComOnDisableCapture#2,"""/face4 지금은 포획 장치를 못 써요!<br>먼저 대상을 범위 안으로<br>유도해 봐요!"""
NpcComOnSuccessCapture#2,"""/face2 대상 포획, 성공이에요!<br>곧바로 전송할게요!"""
NpcComOnFailedCapture#2,"""/face4 아, 아앗, 포획 실패예요!<br>유효 범위가 제한돼 있으니<br>조심해 주세요!"""
NpcComOnAttackTarget#2,"""저기, 저기요!<br>목표는 어디까지나 포획이에요!<br>대상에 대한 공격은 피해주세요!"""
NpcComOnDeadTarget#2,"""/face6 포획 대상의 생체 반응 소실...<br>...으음, 어쩔 수 없네요.<br>다음 기회를 노려 봐요."""
NpcComOnLastCapture#2,"""전송 장치가 좀 힘들어 보여요...<br>앞으로 한 번이 한계예요!<br>신중하게 해 주세요!"""
NpcComOnBegin#3,"""지령 변경을 통지.<br>$(0)의<br>포획이 목적입니다."""
NpcComOnAfterBegin#3,"""포획 장치를 $(0)에 전송.<br>대상을 유도한 뒤 포획.<br>지령은 이상입니다."""
NpcComOnSuccess#3,"""대상 포획 확인.<br>지령 변경에 신속히 대처해 주셔서<br>감사합니다."""
NpcComOnFailure#3,"""포획 임무 실패로 판단.<br>통상 임무로 복귀하세요."""
NpcComOnEnableCapture#3,"""포획 유효 범위 안에 대상 확인.<br>포획 장치를 기동하세요."""
NpcComOnCaptureSwitch#3,"""타이밍에는 문제없음.<br>이제 대상을 유효 범위 안에<br>붙잡아 두세요."""
NpcComOnDisableCapture#3,"""현재 포획 장치는 사용 불가입니다.<br>먼저 대상을 포획 범위 안으로<br>유도하세요."""
NpcComOnSuccessCapture#3,"""대상 포획 확인.<br>전송 시퀀스로 이행합니다."""
NpcComOnFailedCapture#3,"""포획 실패 확인.<br>포획 장치의 유효 범위를 확인하고<br>다시 포획을 시도하세요."""
NpcComOnAttackTarget#3,"""재확인. 목적은 대상 포획입니다.<br>포획 대상을 공격하지 마세요."""
NpcComOnDeadTarget#3,"""포획 대상의 반응이 소실됐습니다.<br>포획은 다음 기회에 진행합니다."""
NpcComOnLastCapture#3,"""전송 장치의 부하 한계까지<br>앞으로 한 번 남았습니다.<br>신중한 시도를 요청합니다."""
NpcComOnBegin#4,"""목표가 변경됐습니다!<br>$(0)을<br>포획해 주시겠어요?"""
NpcComOnAfterBegin#4,"""포획 장치를 $(0)에 준비했습니다.<br>대상을 유도해 포획하세요!"""
NpcComOnSuccess#4,"""포획 성공을 확인했습니다!<br>갑작스러운 목표 변경에도 즉시 대응!<br>역시 대단하시네요!"""
NpcComOnFailure#4,"""으음, 포획 임무는 여기까지네요.<br>포기할 때를 아는 것도 중요하니<br>통상 임무로 돌아가죠!"""
NpcComOnEnableCapture#4,"""대상을 포획 유효 범위 안에 포착!<br>장치를 기동해 주세요!"""
NpcComOnCaptureSwitch#4,"""아앗, 아깝네요!<br>타이밍은 완벽했지만<br>대상이 달아난 모양이에요!"""
NpcComOnDisableCapture#4,"""포획 장치는 아직 기동할 수 없어요!<br>먼저 포획 대상을 범위 안으로<br>유도해 봐요!"""
NpcComOnSuccessCapture#4,"""포획 성공, 확인했습니다!<br>그대로 전송할게요!"""
NpcComOnFailedCapture#4,"""포획 실패입니다.<br>대상이 범위 밖으로 달아나지 않게<br>다시 도전해 봐요."""
NpcComOnAttackTarget#4,"""이런, 현재 목표는 포획이에요!<br>포획 대상에 대한 공격은 가급적<br>삼가 주시면 좋겠어요!"""
NpcComOnDeadTarget#4,"""포획 대상의 반응 소실.<br>으음, 아쉽지만 어쩔 수 없네요.<br>다음 기회를 기다려 봐요!"""
NpcComOnLastCapture#4,"""포획 장치 사용 횟수, 앞으로 한 번!<br>그러니 다음번에 단번에<br>성공해 봐요!"""
