IncidentName#0,"""파쟈두린의 폭주를 멈춰라!"""
NpcComOnBegin#2,"""에어리어 안에 파쟈두린이 나타났다.<br>하지만 행동이 이상하다……<br>각 대원 신중하게 요격하라."""
NpcComOnBegin2#2,"""하늘을 검게 감싸며<br>자신을 강화하고 있어……？<br>저 등롱이 장기의 영향을 받은 건가?<br>각 대원 등롱을 공격하여 정화하라!"""
NpcComOnSuccess#2,"""파쟈두린의 진압을 확인.<br>장기의 영향을 받은 등롱이 있다면<br>이 기회에 정화해둬라."""
NpcComOnFailure#2,"""……작전은 실패한 듯하군.<br>하지만 변화한 등롱에 대해서는<br>장기의 영향으로부터 정화해둬라."""
NpcComOnLevelUp#2,"""하늘이 한층 더 어두워졌다.<br>장기의 영향을 받은 등롱을 공격해라.<br>서둘러라 이대로면 불리해진다."""
NpcComOnLevelUp34#2,"""장기로 가득찬 장소는 조심해라.<br>발을 들이면 대미지를 받을 거다.<br>지붕 위에서 파쟈두린을 쫓아라!"""
NpcComOnLevelUp45#2,"""굉장히 난처한 상황이다.<br>장기로 에너미가 회복하기 시작했다.<br>등롱의 정화를 서둘러라!"""
NpcComOnLevelDown#2,"""좋아 그 상태로 등롱의 정화를 계속해라.<br>하늘의 색이 돌아오고 있다.<br>하지만 방심하지 마라."""
NpcComOnLevelDown21#2,"""모든 등롱을 정화한 것 같군.<br>이 타이밍에 파쟈두린을<br>일망타진하라."""
NpcComOnRelease#2,"""잘했다.<br>이외에도 장기가 깃든 등롱이 있다면<br>지금처럼 정화하고 가라."""
NpcComOnBlack#2,"""등롱이 파쟈두린의 장기를 받았다.<br>서둘러 장기를 정화해라.<br>이대로는 피해가 늘어날 뿐이다!"""
NpcComRollerPos#2,"""파쟈두린의 위치를 특정했다.<br>$(0)에 급히 가서 서둘러 격파하라."""
NpcComOnBegin#3,"""에어리어 안에 파쟈두린 출현.<br>부자연스러운 거동이 보입니다.<br>신중한 대응 바랍니다."""
NpcComOnBegin2#3,"""검은 하늘로 인해<br>적성 존재의 능력 향상이 보입니다. <br>장기의 영향을 받은 등롱을 공격하여<br>정화해주세요."""
NpcComOnSuccess#3,"""파쟈두린의 진압 확인.<br>장기의 영향을 받은 등롱의 대해서는<br>적시 정화를 행해주십시오."""
NpcComOnFailure#3,"""작전 실패를 확인.<br>하지만 장기의 영향을 받은 등롱은<br>적시 정화를 행해주십시오."""
NpcComOnLevelUp#3,"""흑천 상태가 강해지고 있습니다.<br>시급히 장기의 영향을 받은<br>등롱의 정화를 부탁합니다."""
NpcComOnLevelUp34#3,"""장기 웅덩이에 들어가면<br>육체에 심각한 영향이<br>나타납니다.<br>지붕을 통한 이동을 추천."""
NpcComOnLevelUp45#3,"""흑천 상태가 심각합니다.<br>장기가 적성 존재에게<br>활력을 주고 있습니다.<br>서둘러 침식당한 등롱의<br>정화를 부탁합니다."""
NpcComOnLevelDown#3,"""등롱의 정화를 확인.<br>흑천 상태도 서서히<br>개선되고 있습니다.<br>그 요령대로 등롱의<br>정화를 부탁합니다."""
NpcComOnLevelDown21#3,"""모든 등롱의 정화를 확인했습니다.<br>파쟈두린의 반응도 약화.<br>지금 기회에<br>격퇴를 부탁합니다."""
NpcComOnRelease#3,"""훌륭한 대응입니다.<br>따로 장기의 영향을 받은 등롱이 있다면<br>동일한 대응을 부탁드립니다."""
NpcComOnBlack#3,"""파쟈두린의 장기에 의해<br>등롱이 영향을 받은 듯합니다.<br>서둘러 등롱을 공격하여<br>정화를 부탁합니다."""
NpcComRollerPos#3,"""파쟈두린의 위치 특정.<br>$(0)에 급히 가서<br>서둘러 격퇴 부탁합니다."""
