PartyJoin#0,"""/toge /ci2 1 ผมจะพยายามครับ!"""
EnemyBossRareW#5,"""(ชั่วคราว) บอสปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyRareRareW#5,"""(ชั่วคราว) ศัตรูแรร์ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBoostRareW#5,"""(ชั่วคราว) Boost E ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
PartyJoin#6,"""/ci1 1 ฝากตัวด้วยครับ"""
IncidentJsApcBegin#6,"""/ci1 1 ขออภัยครับ มาสเตอร์<br>สถานการณ์เสียเปรียบ ขอความร่วมมือด้วยครับ"""
IncidentJsApcFailure#6,"""……ไม่สามารถต่อสู้ต่อไปได้<br>ขออภัยครับ ขอถอนตัว"""
IncidentJsApcSuccess#6,"""/ci1 1 สถานการณ์คลี่คลาย<br>ขอบคุณสำหรับความร่วมมือครับ"""
IncidentJsApcBeginEvo#6,"""/ci1 4 ตรวจพบปฏิกิริยาขนาดยักษ์เพิ่มเติม<br>……กำลังมาครับ"""
AbilityExeRareU#6,"""พอได้สวมใส่ของดีๆ<br>ก็รู้สึกเข้าที่เข้าทางกว่าปกติเลยครับ!"""
EnemyLargeRareW#6,"""ถ้าเป็น <weapon><br>ที่ได้จากมาสเตอร์ล่ะก็<br>ชนะได้แน่ครับ!"""
EnemyBossRareW#6,"""จะขอตัดสินด้วย <weapon><br>ที่ได้รับจากมาสเตอร์<br>เดี๋ยวนี้ล่ะครับ!"""
EnemyRareRareW#6,"""พบสายพันธุ์หายากครับ<br>อาวุธของผมกับเจ้านั่น อะไรจะหายากกว่ากันนะ?"""
EnemyBoostRareW#6,"""บรรยากาศดูเปลี่ยนไปนะครับ แต่……<br>ถ้าเป็น <weapon> ล่ะก็<br>จัดการได้ครับ!"""
PartyJoin#7,"""/ci1 2 ……รีบทำให้มันจบๆ กันเถอะ"""
IncidentJsApcBegin#7,"""/ci4 3 ……สร้างความเดือดร้อนให้ซะแล้ว<br>ขอโทษนะ"""
IncidentJsApcFailure#7,"""……บ้าเอ๊ย เป็นภาระอยู่เรื่อยเลย<br>ฉันขอถอยล่ะ……ขอโทษนะ!"""
IncidentJsApcSuccess#7,"""/ci2 5 ……เอ่อ จะพูดยังไงดี<br>ขอโทษด้วยนะ แล้วก็ขอบใจมาก"""
IncidentJsApcBeginEvo#7,"""/moya /ci5 2 ……ยังหรอก<br>มันยังไม่จบแค่นี้"""
AbilityExeRareU#7,"""(ชั่วคราว) เปิดใช้งานศักยภาพเมื่อสวมใส่ยูนิตแรร์"""
EnemyLargeRareW#7,"""(ชั่วคราว) ศัตรูขนาดใหญ่ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBossRareW#7,"""(ชั่วคราว) บอสปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyRareRareW#7,"""(ชั่วคราว) ศัตรูแรร์ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBoostRareW#7,"""(ชั่วคราว) Boost E ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
PartyJoin#8,"""/ci2 3 ถ้างั้น ฝากตัวด้วยนะคะ"""
IncidentJsApcBegin#8,"""/ci4 1 ขอโทษนะคะ……<br>ต้องพึ่งพาคุณอยู่เรื่อยเลย……"""
IncidentJsApcFailure#8,"""……ทนต่อไม่ไหวแล้วค่ะ<br>ต้องขออภัยด้วย ขออนุญาต<br>ถอยก่อนนะคะ"""
IncidentJsApcSuccess#8,"""/ci2 1 ฟู่……จบลงด้วยดีนะคะ<br>เพราะคุณเลยค่ะ<br>ขอบคุณมากนะคะ"""
IncidentJsApcBeginEvo#8,"""/ci5 3 ……ดูเหมือนยังไม่จบนะคะ<br>มีปฏิกิริยาขนาดใหญ่กำลังเข้ามาค่ะ"""
AbilityExeRareU#8,"""(ชั่วคราว) เปิดใช้งานศักยภาพเมื่อสวมใส่ยูนิตแรร์"""
EnemyLargeRareW#8,"""(ชั่วคราว) ศัตรูขนาดใหญ่ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBossRareW#8,"""(ชั่วคราว) บอสปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyRareRareW#8,"""(ชั่วคราว) ศัตรูแรร์ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBoostRareW#8,"""(ชั่วคราว) Boost E ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
DestroyEnemy1#0,"""เยี่ยม!"""
DestroyEnemy2#0,"""ดูดีเลยนี่"""
DestroyEnemy3#0,"""สุดยอด!"""
CondFreeze#0,"""หนะ หนาว...!"""
CondBurn#0,"""ระ ร้อน ร้อน ร้อน...!"""
CondShock#0,"""...ขะ ขยับ มะ ไม่...!"""
CondPoison#0,"""รู้สึกไม่ค่อยดีเลย..."""
CondPanic#0,"""อะ... เกิดอะไรขึ้นเนี่ย?"""
CondStan#0,"""อึก..."""
CondMirage#0,"""กะ การเล็งของฉัน..."""
CondInjury#0,"""โอ๊ย!"""
Die#0,"""ขอโทษนะ... ทุกคน..."""
ThankHeal#0,"""ขอบคุณ!"""
ThankBuff#0,"""ช่วยได้เยอะเลย!"""
ThankCure#0,"""ขอบคุณ!"""
DefeatEnemy#0,"""เยี่ยม!"""
LevelUp#0,"""เยี่ยม! คุณแข็งแกร่งขึ้นแล้วนะ!"""
InvokeSkill1#0,"""ย้ากกก!"""
InvokeSkill2#0,"""ตรงนั้นแหละ!"""
InvokeSkill3#0,"""หลบให้พ้นสิ!"""
TechFire#0,"""ย้ากกก!"""
TechIce#0,"""ย่ะ!"""
TechThunder#0,"""ย้าาา!"""
TechWind#0,"""ย่าห์!"""
TechLight#0,"""ต้าาา!"""
TechDark#0,"""ต่าห์!"""
PBFull#0,"""เอาล่ะ พร้อมลุยแล้ว!"""
PBRelease#0,"""คราวนี้เราชนะแน่!"""
Avoid#0,"""ฮึบ...!"""
HealSelf#0,"""ต้องรักษาตัวเองก่อน!"""
BuffSelf#0,"""เอาล่ะนะ!"""
HealOther#0,"""เป็นอะไรไหม? นี่น่าจะช่วยได้นะ"""
BuffOther#0,"""รับไป!"""
HP30#0,"""ฉันเพิ่งจะเริ่มเอง...!"""
HP10#0,"""ต้องทำอะไรสักอย่างแล้ว..."""
ItemRare#0,"""ว้าว เจอของดีแฮะ!"""
DamageSmall#0,"""โอ๊ย!"""
DamageMiddle#0,"""อั้ก!"""
DamageLarge#0,"""อ๊ากกก!"""
MemberDamaged#0,"""ไม่เป็นไรใช่ไหม?!"""
MemberDead#0,"""อะไรนะ?! ไม่..."""
Resurrect#0,"""ฉันยังลุยต่อไหว!"""
PartyJoin#9,"""มาลุยกันเถอะ!"""
DestroyEnemy1#1,"""จัดการได้สวย"""
DestroyEnemy2#1,"""แน่นอนอยู่แล้ว"""
DestroyEnemy3#1,"""ได้ผลดีเลย"""
CondFreeze#1,"""โอ๊ะ--"""
CondBurn#1,"""อึก!"""
CondShock#1,"""อ๊ากก--"""
CondPoison#1,"""อั้ก..."""
CondPanic#1,"""แฮ่ก... แฮ่ก..."""
CondStan#1,"""อึก... อ้าก"""
CondMirage#1,"""...ฉันโจมตีไม่โดนเลย..."""
CondInjury#1,"""อั้ก..."""
Die#1,"""เป็นไปไม่ได้..."""
ThankHeal#1,"""ขอบใจนะ"""
ThankBuff#1,"""สิ่งนี้ช่วยได้มาก"""
ThankCure#1,"""ค่อยดีขึ้นหน่อย"""
DefeatEnemy#1,"""ดูเหมือนพวกเราจะทำได้นะ"""
LevelUp#1,"""หึหึ นายแข็งแกร่งขึ้นนะ"""
InvokeSkill1#1,"""ฮะ!"""
InvokeSkill2#1,"""ย้าาา!"""
InvokeSkill3#1,"""แบบนี้เป็นไง!"""
TechFire#1,"""ย้ากกก!"""
TechIce#1,"""ย้าาา!"""
TechThunder#1,"""ย้ากกก!"""
TechWind#1,"""ฮึ่ม!"""
TechLight#1,"""ย้าาา!"""
TechDark#1,"""ย้ากกก...!"""
PBFull#1,"""นายอาจจะต้องถอยไปหน่อยนะ"""
PBRelease#1,"""ชอบแบบนี้ไหมล่ะ?"""
Avoid#1,"""...ฮึบ"""
HealOther#1,"""ให้ฉันรักษาให้นะ"""
BuffOther#1,"""นี่"""
HP30#1,"""...เป็นแบบนี้เองสินะ"""
HP10#1,"""อาจจะ...จบไม่สวยแน่ๆ"""
ItemRare#1,"""แหม ดีจังเลย"""
DamageSmall#1,"""อึก!"""
DamageMiddle#1,"""อั้ก!"""
DamageLarge#1,"""อ้าก!"""
MemberDamaged#1,"""นายไม่เป็นไรนะ?!"""
MemberDead#1,"""ทะ-ทำใจดีๆ ไว้!"""
Resurrect#1,"""ไปกันเถอะ"""
PartyJoin#10,"""ขอบใจ"""
DestroyEnemy1#2,"""เยี่ยม!"""
DestroyEnemy2#2,"""ดูดีเลยนี่"""
DestroyEnemy3#2,"""สุดยอด!"""
CondFreeze#2,"""หนะ หนาว...!"""
CondBurn#2,"""ระ ร้อน ร้อน ร้อน...!"""
CondShock#2,"""...ขะ ขยับ มะ ไม่...!"""
CondPoison#2,"""รู้สึกไม่ค่อยดีเลย..."""
CondPanic#2,"""อะ... เกิดอะไรขึ้นเนี่ย?"""
CondStan#2,"""อึก..."""
CondMirage#2,"""กะ การเล็งของฉัน..."""
CondInjury#2,"""โอ๊ย!"""
Die#2,"""ขอโทษนะ... ทุกคน..."""
ThankHeal#2,"""ขอบคุณ!"""
ThankBuff#2,"""ช่วยได้เยอะเลย!"""
ThankCure#2,"""ขอบคุณ!"""
DefeatEnemy#2,"""เยี่ยม!"""
LevelUp#2,"""เยี่ยม! คุณแข็งแกร่งขึ้นแล้วนะ!"""
InvokeSkill1#2,"""ย้ากกก!"""
InvokeSkill2#2,"""ตรงนั้นแหละ!"""
InvokeSkill3#2,"""หลบให้พ้นสิ!"""
TechFire#2,"""ย้ากกก!"""
TechIce#2,"""ย่ะ!"""
TechThunder#2,"""ย้าาา!"""
TechWind#2,"""ย่าห์!"""
TechLight#2,"""ต้าาา!"""
TechDark#2,"""ต่าห์!"""
PBFull#2,"""เอาล่ะ พร้อมลุยแล้ว!"""
PBRelease#2,"""คราวนี้เราชนะแน่!"""
Avoid#2,"""ฮึบ...!"""
HealSelf#1,"""ต้องรักษาตัวเองก่อน!"""
BuffSelf#1,"""เอาล่ะนะ!"""
HealOther#2,"""เป็นอะไรไหม? นี่น่าจะช่วยได้นะ"""
BuffOther#2,"""รับไป!"""
HP30#2,"""ฉันเพิ่งจะเริ่มเอง...!"""
HP10#2,"""ต้องทำอะไรสักอย่างแล้ว..."""
ItemRare#2,"""ว้าว เจอของดีแฮะ!"""
DamageSmall#2,"""โอ๊ย!"""
DamageMiddle#2,"""อั้ก!"""
DamageLarge#2,"""อ๊ากกก!"""
MemberDamaged#2,"""ไม่เป็นไรใช่ไหม?!"""
MemberDead#2,"""อะไรนะ?! ไม่..."""
Resurrect#2,"""ฉันยังลุยต่อไหว!"""
PartyJoin#11,"""มาลุยกันเถอะ!"""
DestroyEnemy1#3,"""น่าประทับใจมาก"""
DestroyEnemy2#3,"""เก่งใช้ได้เลยนี่"""
DestroyEnemy3#3,"""มีฝีมือเหมือนกันนะ"""
CondFreeze#3,"""อึก...!"""
CondBurn#3,"""อั้ก...!"""
CondShock#3,"""อูย..."""
CondPoison#3,"""อืมม..."""
CondPanic#3,"""อะ... อา..."""
CondStan#3,"""กรอด...!"""
CondMirage#3,"""อึก ตาของฉัน..."""
CondInjury#3,"""อั้ก"""
Die#3,"""บ้าเอ๊ย..."""
ThankHeal#3,"""ขอบใจ!"""
ThankBuff#3,"""ช่วยได้เยอะเลย!"""
ThankCure#3,"""ขอบใจ!"""
DefeatEnemy#3,"""ต้องทำแบบนี้สิ"""
LevelUp#3,"""โอ้ ฝีมือพัฒนาขึ้นนะ"""
InvokeSkill1#3,"""ฮ้าาา!"""
InvokeSkill2#3,"""ฉันไม่ออมมือหรอกนะ!"""
InvokeSkill3#3,"""เสร็จฉันล่ะ!"""
TechFire#3,"""โว้ว!"""
TechIce#3,"""ฮึ่ม!"""
TechThunder#3,"""ฮ้าาา!"""
TechWind#3,"""โอร่าา!"""
TechLight#3,"""อูร่าาา!"""
TechDark#3,"""โอร่าาา!"""
PBFull#3,"""รอสัญญาณจากนายเลย"""
PBRelease#3,"""ปล่อยให้เป็น... หน้าที่ฉันเอง!"""
Avoid#3,"""อุ๊ย...!"""
HealSelf#2,"""ฟู่"""
BuffSelf#2,"""เอาล่ะนะ"""
HealOther#3,"""อย่าฝืนตัวเองมากล่ะ"""
BuffOther#3,"""เอ้านี่"""
HP30#3,"""นี่มันแค่เริ่มต้นเท่านั้น!"""
HP10#3,"""ดูท่าจะไม่ดีแล้วสิ..."""
ItemRare#3,"""โฮ่ ได้ของดีเลยนี่"""
DamageSmall#3,"""อั้ก!"""
DamageMiddle#3,"""อึก!"""
DamageLarge#3,"""อ่อก!"""
MemberDamaged#3,"""เฮ้ย ไม่เป็นไรใช่ไหม?!"""
MemberDead#3,"""ไม่นะ! เกิดอะไรขึ้นเนี่ย?!"""
Resurrect#3,"""เอาล่ะ! มาลุยกันเถอะ!"""
PartyJoin#12,"""ไปกันเถอะ!"""
DestroyEnemy1#4,"""ไม่มีปัญหา"""
DestroyEnemy2#4,"""ยอดเยี่ยมมาก"""
DestroyEnemy3#4,"""อืม ทำได้ดี"""
CondFreeze#4,"""อึก...!"""
CondBurn#4,"""อั้ก...!"""
CondShock#4,"""อึก... อ้าก"""
CondPoison#4,"""ฮึ... อึก..."""
CondPanic#4,"""อูย..."""
CondStan#4,"""อืมม...!"""
CondMirage#4,"""กะ การมองเห็นของฉัน..."""
CondInjury#4,"""อั้ก"""
Die#4,"""ขอโทษที ฉันคงมาได้แค่นี้"""
ThankHeal#4,"""ขอขอบคุณ"""
ThankBuff#4,"""นี่ช่วยได้เยอะเลย"""
ThankCure#4,"""ขอบคุณมาก"""
DefeatEnemy#4,"""เอาล่ะ จัดการเรียบร้อย"""
LevelUp#4,"""นายแข็งแกร่งขึ้นนะ"""
InvokeSkill1#4,"""ฮ้าาา!"""
InvokeSkill2#4,"""ลุยล่ะนะ!"""
InvokeSkill3#4,"""แกหาเรื่องเองนะ!"""
TechFire#4,"""ต้าาา!"""
TechIce#4,"""ฮะ!"""
TechThunder#4,"""ฮึ่ม!"""
TechWind#4,"""โต๊ะ!"""
TechLight#4,"""เซย์!"""
TechDark#4,"""ฮ้าาา...!"""
PBFull#4,"""ปล่อยให้เป็นหน้าที่ฉันเอง"""
PBRelease#4,"""แกจะต้องเสียใจที่มายืนขวางหน้าฉัน"""
Avoid#4,"""ฮะ!"""
HealOther#4,"""ฉันรักษาให้นะ"""
BuffOther#4,"""ใช้มันให้เป็นประโยชน์ล่ะ"""
HP30#4,"""เราต้องพลิกสถานการณ์..."""
HP10#4,"""แย่แล้ว..."""
ItemRare#4,"""อา ได้ของดีมาสินะ"""
DamageSmall#4,"""อึก!"""
DamageMiddle#4,"""อั้ก!"""
DamageLarge#4,"""ชิ!"""
MemberDamaged#4,"""นายไม่เป็นไรใช่ไหม?!"""
MemberDead#4,"""ตัวฉันเนี่ยนะ..."""
Resurrect#4,"""คราวนี้ถือว่าหายกัน!"""
PartyJoin#13,"""ให้ฉันไปด้วยคนสิ?"""
DestroyEnemy1#5,"""จัดการได้สวย"""
DestroyEnemy2#5,"""แน่นอนอยู่แล้ว"""
DestroyEnemy3#5,"""ได้ผลดีเลย"""
CondFreeze#5,"""อา--"""
CondBurn#5,"""อึก!"""
CondShock#5,"""อา... อ้าก"""
CondPoison#5,"""อั้ก..."""
CondPanic#5,"""แฮ่ก... แฮ่ก..."""
CondStan#5,"""อึก... อ้าก"""
CondMirage#5,"""...ฉันโจมตีไม่โดนเลย..."""
CondInjury#5,"""อั้ก..."""
Die#5,"""เป็นไปไม่ได้..."""
ThankHeal#5,"""ขอบใจนะ"""
ThankBuff#5,"""สิ่งนี้ช่วยได้มาก"""
ThankCure#5,"""ค่อยดีขึ้นหน่อย"""
DefeatEnemy#5,"""ดูเหมือนพวกเราจะทำได้นะ"""
LevelUp#5,"""หึหึ นายดูแข็งแกร่งขึ้นนะ"""
InvokeSkill1#5,"""ฮะ!"""
InvokeSkill2#5,"""ย้าาา!"""
InvokeSkill3#5,"""รับนี่ไป!"""
TechFire#5,"""ฮ้าาา!"""
TechIce#5,"""ย้าาา!"""
TechThunder#5,"""ฮ้าาา!"""
TechWind#5,"""ฮะ!"""
TechLight#5,"""ย้าาา!"""
TechDark#5,"""ฮ้าาา...!"""
PBFull#5,"""นายอาจจะต้องถอยไปหน่อยนะ"""
PBRelease#5,"""แบบนี้เป็นไงล่ะ?!"""
Avoid#5,"""...อุ๊ย"""
HealOther#5,"""ฉันรักษาให้นะ"""
BuffOther#5,"""นี่"""
HP30#5,"""...ยังไม่จบหรอกนะ"""
HP10#5,"""นี่มัน... อาจจะจบไม่สวยแน่ๆ"""
ItemRare#5,"""โอ้ ดีจัง"""
DamageSmall#5,"""อึก!"""
DamageMiddle#5,"""อั้ก!"""
DamageLarge#5,"""อ้าก!"""
MemberDamaged#5,"""นายไม่เป็นไรนะ?!"""
MemberDead#5,"""ทะ... ทำใจดีๆ ไว้!"""
Resurrect#5,"""ไปกันเถอะ"""
PartyJoin#14,"""มาร่วมมือกันเถอะ"""
DestroyEnemy1#6,"""จัดการได้สวย"""
DestroyEnemy2#6,"""แน่นอนอยู่แล้ว"""
DestroyEnemy3#6,"""ได้ผลดีเลย"""
CondFreeze#6,"""อะ--"""
CondBurn#6,"""อึก!"""
CondShock#6,"""อะ-อ้าก"""
CondPoison#6,"""อั้ก..."""
CondPanic#6,"""แฮ่ก... แฮ่ก..."""
CondStan#6,"""อึก... อ้าก"""
CondMirage#6,"""...ฉันโจมตีไม่โดนเลย..."""
CondInjury#6,"""อั้ก..."""
Die#6,"""เป็นไปไม่ได้..."""
ThankHeal#6,"""ขอบใจนะ"""
ThankBuff#6,"""สิ่งนี้ช่วยได้มาก"""
ThankCure#6,"""ค่อยดีขึ้นหน่อย"""
DefeatEnemy#6,"""ดูเหมือนพวกเราจะทำได้นะ"""
LevelUp#6,"""หึหึ นายดูแข็งแกร่งขึ้นนะ"""
InvokeSkill1#6,"""ฮะ!"""
InvokeSkill2#6,"""ย้าาา!"""
InvokeSkill3#6,"""รับนี่ไป!"""
TechFire#6,"""ฮ้าาา!"""
TechIce#6,"""ย้าาา!"""
TechThunder#6,"""ฮ้าาา!"""
TechWind#6,"""ฮะ!"""
TechLight#6,"""ย้าาา!"""
TechDark#6,"""ฮ้าาา...!"""
PBFull#6,"""นายอาจจะต้องถอยไปหน่อยนะ"""
PBRelease#6,"""แบบนี้เป็นไงล่ะ?!"""
Avoid#6,"""...อุ๊ย"""
HealOther#6,"""ฉันรักษาให้นะ"""
BuffOther#6,"""นี่"""
HP30#6,"""...ยังไม่จบหรอกนะ"""
HP10#6,"""นี่มัน... อาจจะจบไม่สวยแน่ๆ"""
ItemRare#6,"""โอ้ ดีจัง"""
DamageSmall#6,"""อึก!"""
DamageMiddle#6,"""อั้ก!"""
DamageLarge#6,"""อ้าก!"""
MemberDamaged#6,"""นายไม่เป็นไรนะ?!"""
MemberDead#6,"""ทะ... ทำใจดีๆ ไว้!"""
Resurrect#6,"""ไปกันเถอะ"""
PartyJoin#15,"""มาร่วมมือกันเถอะ"""
DestroyEnemy1#7,"""จัดการได้สวย"""
DestroyEnemy2#7,"""แน่นอนอยู่แล้ว"""
DestroyEnemy3#7,"""ได้ผลดีเลย"""
CondFreeze#7,"""เดี๋ยว--"""
CondBurn#7,"""อึก!"""
CondShock#7,"""อะ-อ้าก"""
CondPoison#7,"""อั้ก..."""
CondPanic#7,"""แฮ่ก... แฮ่ก..."""
CondStan#7,"""อึก... อ้าก"""
CondMirage#7,"""...ฉันโจมตีไม่โดนเลย..."""
CondInjury#7,"""อั้ก..."""
Die#7,"""เป็นไปไม่ได้..."""
ThankHeal#7,"""ขอบใจนะ"""
ThankBuff#7,"""สิ่งนี้ช่วยได้มาก"""
ThankCure#7,"""ค่อยดีขึ้นหน่อย"""
DefeatEnemy#7,"""ดูเหมือนพวกเราจะทำได้นะ"""
