ProgressCount#0,"""$(0)/$(1)"""
MStartNotice_HostPlayer#0,"""เปิดรับการเข้าร่วม Field Race แล้ว"""
MStartNotice_MemberPlayer#0,"""มีผู้เข้าร่วม $(0) คน"""
MCancelReason_EnterNew_ButExist#0,"""ไม่สามารถดำเนินการได้ เนื่องจากมีผู้เล่นอื่นเริ่มจับคู่แล้ว"""
MCancelReason_EnterExist_ButNotFound#0,"""หมดเวลาจับคู่แล้ว"""
MCancelReason_HostChanged#0,"""ผู้เล่นโฮสต์ยกเลิกการจับคู่แล้ว"""
MCancelReason_MemberExit#0,"""คุณได้ออกจากการแข่ง $(0) แล้ว"""
MCancelReason_Exclusion#0,"""คุณกำลังเข้าร่วม Field Race อื่นอยู่แล้ว"""
MNotice_HostChanged#0,"""$(0) เป็นผู้เล่นโฮสต์คนใหม่"""
MNotice_RecruitToast#0,"""เริ่มรับสมัคร Field Race ที่จุดควบคุมใกล้เคียงแล้ว"""
MCourse_SAerio#0,"""มาราธอน Aelio ตอนใต้ (สเตจ 1)"""
MCourse_WAerio#0,"""มาราธอน Aelio ตะวันตก (สเตจ 1)"""
MCourse_WRitem#0,"""มาราธอน Retem ตะวันตก (สเตจ 1)"""
MCourse_CKuvaris#0,"""มาราธอน Kvaris ตอนกลาง (สเตจ 1)"""
MCourse_SKuvaris#0,"""มาราธอน Kvaris ตอนใต้ (สเตจ 1)"""
MCourse_SKuvaris_LimitedTime#0,"""มาราธอน Kvaris ตอนใต้ (ฤดูใบไม้ผลิ '24)"""
MCourse_CAerio#0,"""ฝึกฝนบอร์ด Aelio ตอนกลาง (สเตจ 1)"""
MCourse_CRitem#0,"""ฝึกฝนบอร์ด Retem ตอนกลาง (สเตจ 1)"""
MCourse_WKuvaris#0,"""มาราธอน Kvaris ตะวันตก (สเตจ 1)"""
MCourse_SRitem#0,"""มาราธอน Retem ตอนใต้ (สเตจ 1)"""
MCourse_NAerio#0,"""ฝึกฝนบอร์ด Aelio ตอนเหนือ (สเตจ 1)"""
MCourse_NRitem#0,"""ฝึกฝนบอร์ด Retem ตอนเหนือ (สเตจ 1)"""
MRetryMenu_Guide#0,"""กดปุ่มค้างเพื่อออก"""
MRetryMenu_Guide_AfterPlaying#0,"""กดค้างเพื่อกลับไปยังจุดควบคุมการแข่ง"""
MRetryMenu_GuideTail#0,"""＊＊<br>เมนูกดค้างเพื่อเริ่มใหม่"""
MRetryMenu_GuideRemain#0,"""เวลาที่เหลือ: $(0):$(1).$(2)"""
MRetryMenu_Title#0,"""ถอนตัวจาก Field Race"""
MRetryMenu_Message#0,"""ต้องการถอนตัวจาก Field Race นี้หรือไม่?<br><br>เมื่อคุณถอนตัวจากการแข่ง <yellow>จะมีเพียงคุณ<c> ที่ถูกส่งกลับไปยังจุดควบคุมการแข่ง"""
MRetryMenu_Title_AfterPlaying#0,"""กลับไปยังจุดควบคุมการแข่ง"""
MRetryMenu_Message_AfterPlaying#0,"""ต้องการกลับไปยังจุดควบคุมการแข่ง $(0) หรือไม่?"""
MRetryMenu_Yes#0,"""ใช่"""
MRetryMenu_No#0,"""ไม่"""
MCourse_StiaB#0,"""ฝึกฝนบอร์ด โรงงาน Dreisen (สเตจ 1)"""
MCourse_StiaA#0,"""มาราธอน ชายขอบ Stia (สเตจ 1)"""
MCourse_HLake#0,"""ฝึกฝนบอร์ด ทะเลสาบ Halphiria (สเตจ 1)"""
MCourse_StiaC#0,"""ฝึกฝนบอร์ด Mediola รอบนอก: เซกเตอร์ 2 (สเตจ 1)"""
ExRewardToast_050#0,"""/atime5 HP ศัตรู: เหลือ 50%<br><yellow>รางวัลเพิ่มขึ้น!<c>"""
ExRewardToast_100#0,"""/atime5 HP ศัตรู: เหลือ 100%<br><yellow>รางวัลเพิ่มขึ้น!<c>"""
ExRewardToast_090#0,"""/atime5 HP ศัตรู: เหลือ 90%<br><yellow>รางวัลเพิ่มขึ้น!<c>"""
ExRewardToast_080#0,"""/atime5 HP ศัตรู: เหลือ 80%<br><yellow>รางวัลเพิ่มขึ้น!<c>"""
ExRewardToast_070#0,"""/atime5 HP ศัตรู: เหลือ 70%<br><yellow>รางวัลเพิ่มขึ้น!<c>"""
ExRewardToast_060#0,"""/atime5 HP ศัตรู: เหลือ 60%<br><yellow>รางวัลเพิ่มขึ้น!<c>"""
ExRewardToast_040#0,"""/atime5 HP ศัตรู: เหลือ 40%<br><yellow>รางวัลเพิ่มขึ้น!<c>"""
ExRewardToast_030#0,"""/atime5 HP ศัตรู: เหลือ 30%<br><yellow>รางวัลเพิ่มขึ้น!<c>"""
ExRewardToast_020#0,"""/atime5 HP ศัตรู: เหลือ 20%<br><yellow>รางวัลเพิ่มขึ้น!<c>"""
ExRewardToast_010#0,"""/atime5 HP ศัตรู: เหลือ 10%<br><yellow>รางวัลเพิ่มขึ้น!<c>"""
ExRewardToast_000#0,"""กำจัดศัตรูสำเร็จ!<br><yellow>รางวัลเพิ่มขึ้น!<c>"""
Toast_AddTimeLimitSummary#0,"""กำจัดเป้าหมายสำเร็จ: ขยายเวลาเพิ่มอีก <yellow>$(0) วินาที<c>"""
ExRewardToast_075#0,"""/atime5 HP ศัตรู: เหลือ 75%<br><yellow>รางวัลเพิ่มขึ้น!<c>"""
ExRewardToast_025#0,"""/atime5 HP ศัตรู: เหลือ 25%<br><yellow>รางวัลเพิ่มขึ้น!<c>"""
ExRewardTitle#0,"""รางวัลเพิ่มขึ้นตามความเสียหายรวมที่ทำได้"""
ExRewardTitle_Point#0,"""รางวัลเพิ่มขึ้นตามจำนวนไอเทมรวมที่เก็บได้"""
ExRewardTitle_Bounty#0,"""目標達成数に応じて報酬ランクアップ"""
TrialSuccessByTimeOver#0,"""ศัตรูล่าถอยไปแล้ว!"""
TrialSuccessByannihilation#0,"""กำจัดศัตรูทั้งหมดสำเร็จ!"""
TrialSuccessSideMissionSuccess#0,"""ไทรอัล '$(0)' สำเร็จ<br>แต้มที่ได้รับ: $(1)<br>โบนัสเคลียร์เควสต์เสริม: $(2)"""
TrialSuccessSideMissionFailure#0,"""ไทรอัล '$(0)' สำเร็จ<br>แต้มที่ได้รับ: $(1)"""
TrialRemainXsec#0,"""เหลือเวลาอีก $(1) วินาที เพื่อสำเร็จ '$(0)'!"""
TrialSuccessSideMissionSuccess2#0,"""ฟื้นฟูแบตเตอรี่ M.A.R.S. $(0)%"""
TrialSideTrialBegin#0,"""เริ่มเควสต์พิเศษ:<br><yellow>จัดลำดับความสำคัญ<c> เป้าหมาย $(0) ก่อน!<br>การทำเควสต์พิเศษสำเร็จจะ<br>ได้รับ <yellow>แต้มโบนัส<c> เมื่อเคลียร์ไทรอัลสำเร็จ!"""
TrialSuccessMsgGroom#0,"""ไทรอัล '$(0)' สำเร็จ<br>แต้มที่ได้รับ: $(1)<br>โบนัสเคลียร์เควสต์เสริม: $(2)<br>$(4)โบนัสเควสต์พิเศษ: $(3)"""
TrialFailurePointGet#0,"""สิ้นสุดไทรอัล '$(0)'<br>แต้มที่ได้รับ: $(1)"""
TrialSideTrialSuccess#0,"""รับโบนัสเมื่อคุณสำเร็จ<br>เควสต์พิเศษ $(0)!"""
SLM_QuestPoint#0,"""<br>แต้มที่ได้รับ: $(0)"""
SLM_SubConditionSuccess#0,"""<br>โบนัสเคลียร์เควสต์เสริม: $(0)"""
SLM_SideTrialSuccess#0,"""<br>โบนัสเคลียร์เควสต์พิเศษ $(0): $(1)"""
SLM_SideTrialFailure#0,"""<br>โบนัสเคลียร์เควสต์พิเศษ $(0): 0"""
TrialSuccessMsg_QuestPoint#0,"""ไทรอัล '$(0)' เสร็จสิ้น$(1)$(2)$(3)"""
SideTrialNotify#0,"""<yellow>※ให้ความสำคัญกับเควสต์พิเศษ และรับ<br>แต้มโบนัสเมื่อเคลียร์ไทรอัลสำเร็จ!<c>"""
SideTrialNotify_White#0,"""<yellow>※ให้ความสำคัญกับเควสต์พิเศษ<br>เพื่อรับความสามารถเพิ่มเติม!<c>"""
TrialSideTrialBegin_White#0,"""เริ่มเควสต์พิเศษ:<br><yellow>จัดลำดับความสำคัญ<c> เป้าหมาย $(0) ก่อน!<br>การทำเควสต์พิเศษสำเร็จจะ<br>ได้รับ <yellow>บัฟเพิ่มสถานะทั้งหมด<c>!"""
TrialSideTrialSuccess_White#0,"""\\เควสต์พิเศษสำเร็จ<br><yellow>ได้รับ บัฟเพิ่มสถานะ＜＞!<c>"""
TrialNotify_BuffGet#0,"""<yellow>※เมื่อสำเร็จ<br>จะได้รับโบนัสบัฟเพิ่มสถานะทั้งหมด!<c>"""
TrialNotify_PSEBurstSuddenly#0,"""<yellow>※เมื่อสำเร็จ<br>จะเกิด PSE Burst ขึ้น!<c>"""
TrialPollution_Monolith#0,"""浄化完了まで"""
Bounty_TaskName#0,"""$(0)"""
Bounty_ClearNum#0,"""目標達成数"""
TrialNotify_NeonGRappy#0,"""<yellow>※グレト・ラッピー討伐で<br>探索ポイント倍率がアップ！<c>"""
NpcComOnSideTrialBegin#0,"""/voice11_voice_navi002_trial_0001_028 ตรวจพบภัยคุกคามที่มีความสำคัญสูงในบริเวณใกล้เคียง<br>โปรดจัดการทันที"""
NpcComOnSideTrialSuccess#0,"""/voice11_voice_navi002_trial_0001_044 กำจัดภัยคุกคามแล้ว<br>โปรดจัดการส่วนที่เหลือให้เรียบร้อย"""
