Title#0,"""Бой с Дьявольским замком"""
OnRamCountIncrease#0,""Вы собрали достаточно маны.<br>Теперь вы можете призвать<br>больше Бастер-копий!<br>Пожалуйста, продолжайте<br>собирать ману!"""
OnBaseHpDecrease0#0,"""$(0) получила урон!<br>Пожалуйста, помогите ей!"""
OnBaseHpDecrease1#0,"""$(0) выглядит не хорошо!<br>Пожалуйста, помогите спасти<br>её!"""
OnBrokenBase0#0,"""Бастер-башня уничтожена!<br>У нас осталось ещё 3 в запасе!<br>Давайте поторопимся и продолжим!"""
OnBrokenBase1#0,"""Вторая Бастер-башня уничтожена!<br>Мы не можеим предсказать наше<br>текущее положение!<br>Пожалуйста, будьте осторожны!"""
OnBrokenBase2#0,"""Третья Бастер-башня уничтожена!<br>Осталась только одна!"""
OnBrokenBase3#0,"""Все Бастер-башни уничтожены!<br>Это прискорбно, но мы не можем<br>продолжать бой."""
OnBossDeadlySkill#0,"""Сверхвысокий энергетический<br>сигнал исходит от<br>Дьявольского замка!<br>Это опасно!<br>Разберитесь с этим всеми силами!"""
OnHpGaugeDecrease0#0,"""Сила нашей стороны уменьшается!<br>Если мы получим больше урона,<br>то мы проиграем!"""
OnHpGaugeDecrease1#0,"""Мы сильно ослабеваем!<br>Это больше, чем мы можем<br>выдержать!<br>Пожалуйста, защитите башни<br>и уменьшите наносимый урон!"""
OnTimeDecrease0#0,"""Время боя почти закончилось!<br>Если мы сможем разрушить<br>Дьявольский замок, то<br>одержим победу!"""
OnTimeDecrease1#0,"""Время боя почти закончилось!<br>Осталось ещё чуть-чуть.<br>Поднажмите!"""
OnSuccessTimeover#0,"""Вражеские силы отступают!<br>Урон сведён к минимуму!<br>Мы одержали победу!"""
OnSuccessBreakGauge#0,"""Дьявольским замок разрушен!<br>Мы победили!"""
OnSuccessReturn#0,"""Благодарю за вашу усердную<br>работу!<br>Пожалуйста, возвращайтесь."""
OnFailureTimeover#0,"""Бастер-башни уничтожены.<br>Бой был сложным.<br>Давайте отсутпим."""
OnFailureAnnihilationBase#0,"""Все Бастер-башни разрушены...<br>Мы не можем продолжать бой.<br>Давайте отсутпим."""
OnFailureReturn#0,"""Похоже... ничего не поделаешь.<br>Пожалуйста, возвращайтесь."""
NpcComMsg1#0,"""Вы скоро отправитесь в бой<br>против Дьявольского замка.<br>Установлены барьеры, так что<br>ожидайте ожесточённого боя!"""
NpcComMsg2#0,"""Когда вы приблизитесь к<br>Дьявольскому замку, призовите<br>Бастер-копья и разрушьте<br>барьеры!<br>Желаю удачи вам!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
