name_7432#0,"""โรอัลด์"""
ssn_014900_0307#0,"""ฉันมองว่าพวก Meteorn แตกต่างจากพวกเรามาตลอด คิดมาตลอดว่าไม่มีทางที่พวกเธอจะเป็นเหมือนพวกเราได้"""
ssn_014900_0308#0,"""แต่... พอได้คุยกับพวกเธอมากขึ้นเรื่อยๆ ก็เริ่มตระหนักแล้วล่ะว่าพวกเราไม่ได้แตกต่างกันขนาดนั้น"""
ssn_014900_0309#0,"""Meteorn บางคนก็ดูสมบูรณ์แบบเกินไปนะ ซึ่งก็นะ คนพวกนั้นยังทำให้ฉันรู้สึกแปลกๆ อยู่ดี"""
ssn_014900_0310#0,"""...อ้อ สแกนเสร็จแล้ว อะนี่ของคืน"""
ssn_014900_0311#0,"""...ขอบใจนะ? ซาบซึ้งจริงๆ"""
ssn_014900_1001#0,"""ว่าไง มีอะไรรึเปล่า?"""
ssn_014900_1002#0,"""...เดี๋ยว อย่าบอกนะว่ายังอยากจะรับภารกิจแทนฉันอยู่น่ะ?"""
ssn_014900_1003#0,"""หมายถึง มันไม่ค่อยมีอะไรเหลือแล้วล่ะที่ฉันทำไม่..."""
ssn_014900_1004#0,"""อา... ไม่สิ เดี๋ยวก่อน เหลืออันนึงที่รับมือยากเอาเรื่องอยู่แฮะ"""
ssn_014900_1005#0,"""คิดว่านี่คงเป็นสิ่งที่เธอคนเดียวเท่านั้นที่จัดการได้น่ะ"""
ssn_014900_1101#0,"""ถ้าจะไปเอา Notable Kvaris Meat ล่ะก็ อย่าลืมเตรียมตัวกันหนาวล่ะ"""
ssn_014900_1102#0,"""Rayjord Gorge ไม่ใช่เรื่องเล่นๆ เลยนะ จะบอกให้"""
ssn_014900_1201#0,"""ก็ไม่ได้จะบังคับหรอกนะ เดี๋ยวคงคิดหาทางออกได้เองแหละ"""
ssn_014900_1301#0,"""ขอบใจอีกครั้งนะ พูดตรงๆ นะ ครั้งนี้เป็นห่วงเธอขึ้นมานิดนึงจริงๆ"""
ssn_014900_1302#0,"""เอาล่ะ ขอสแกนของพวกนี้แป๊บนะ"""
ssn_014900_1303#0,"""ก็... โล่งใจมากเลยล่ะที่เห็นเธอกลับมาอย่างปลอดภัย"""
ssn_014900_1304#0,"""รู้ว่าขอให้ช่วย แต่ก็อย่าฝืนทำอะไรที่มันเป็นไปไม่ได้ล่ะ เข้าใจไหม?"""
ssn_014900_1305#0,"""ฮ่าๆๆ! ใครจะไปคิดล่ะว่าฉันจะพูดคำนี้กับ Meteorn น่ะ"""
ssn_014900_1306#0,"""รู้ไหม พอเห็นคอยช่วยเหลือคนอื่นแบบนี้แล้ว ก็ทำให้คิดได้ว่า เออ ถ้ามีคนต้องการความช่วยเหลือ ทำไมไม่ช่วยเขาล่ะ?"""
ssn_014900_1307#0,"""ไม่เห็นจะเกี่ยวเลยว่าจะเป็น Meteorn หรือไม่"""
ssn_014900_1308#0,"""เพราะงั้น ถ้าเกิดตัวเองลำบากขึ้นมาบ้าง ก็บอกมาได้เลยนะ!"""
ssn_014900_1309#0,"""...อ้อ สแกนเสร็จแล้ว อะนี่ของคืน"""
ssn_014900_1310#0,"""แล้วเจอกันนะ ถ้าดังแล้วก็อย่าลืมกันล่ะ!"""
ssn_014900_1401#0,"""ถ้าต้องการอะไรก็บอกมาได้เลย ไม่ต้องเกรงใจนะ"""
ssn_014900_1402#0,"""ยังไงซะเราก็ลงเรือลำเดียวกันแล้วนี่นา"""
