msc_010130_0010#0,"""เอ้า นั่งลงก่อนสิ"""
msc_010130_0290#0,"""เหมือนกับพวก DOLLS เลย พวกเราไม่มีไอเดียเลยว่า Meteorn มาจากไหน หรือลงมาที่นี่เพื่อจุดประสงค์อะไร"""
msc_010130_0300#0,"""ทำไมทุกคนถึงดูเหมือนจะไม่มีความทรงจำก่อนที่จะตกลงมาที่นี่เลยล่ะ?"""
msc_010130_0310#0,"""เธอก็เป็นแบบนั้นเหมือนกันใช่ไหมล่ะ?"""
msc_010130_0320#0,"""ก็นะ... นานๆ ทีจะมีข้อยกเว้นโผล่มาบ้าง อย่างมาน่อนนี่ไง"""
msc_010130_0330#0,"""...ใช่ ดูเหมือนว่าฉันยังพอจะหลงเหลือความรู้บางส่วนอยู่บ้างน่ะ ถ้าเทียบกับ Meteorn คนอื่นๆ"""
msc_010130_0340#0,"""ใช่แล้ว มาน่อนฉลาดสุดๆ ไปเลย! เธอเก่งเรื่องเครื่องจักรมากๆ แถมยังช่วยสอนหนังสือฉันด้วยนะ!"""
msc_010130_0350#0,"""บางคนก็ลือกันว่า DOLLS กับ Meteorn อาจจะมาจากที่เดียวกันด้วยซ้ำ"""
msc_010130_0360#0,"""แต่ต่อให้เรื่องนั้นเป็นเรื่องจริง พวกเธอทุกคนก็ยังคงเป็นพันธมิตรกับเราอยู่ดี"""
msc_010130_0370#0,"""พวก Meteorn คอยช่วยเหลือพวกเรามาหลายปีแล้ว เรื่องนั้นน่ะมั่นใจได้เลย"""
msc_010130_0380#0,"""เอาล่ะๆ ฉันว่าวันนี้วิชาการน่าจะพอแค่นี้แหละ"""
msc_010130_0390#0,"""เรื่องทั้งหมดที่เราคุยกันไป เธอสามารถหาข้อมูลเพิ่มเติมได้จาก Mag ของเธอเลยนะ"""
msc_010130_0400#0,"""Mag ก็คือเจ้าหุ่นที่ลอยอยู่ข้างๆ เธอนั่นแหละ"""
msc_010130_0410#0,"""Mag ของเธอไฮเทคกว่าของพวกเราเยอะเลยนะ นั่นก็เป็นอีกเรื่องที่แปลกประหลาดของพวก Meteorn ล่ะนะ"""
msc_010130_0420#0,"""อ้าว พาออกนอกเรื่องอีกแล้ว ไว้คุยกันวันหลังละกัน"""
msc_010130_0430#0,"""เธอหิวหรือยัง?"""
msc_010130_0440#0,"""หิวแล้วล่ะ"""
msc_010130_0450#0,"""ยังไม่ค่อยหิวเท่าไหร่"""
msc_010130_0460#0,"""โอเค! เดี๋ยวฉันจะทำอะไรให้กิน ระหว่างที่ฉันเตรียมอาหาร เธอออกไปเดินเล่นดูรอบๆ เมืองก่อนได้ตามสบายเลยนะ"""
msc_010130_0470#0,"""งั้น อย่างน้อยก็ให้ฉันหาเครื่องดื่มมาให้หน่อยละกัน"""
msc_010130_0480#0,"""ไม่ได้มีแขกมาเยือนตั้งนานแล้ว ขอฉันต้อนรับให้สมเกียรติหน่อยเถอะ"""
msc_010130_0490#0,"""ระหว่างที่ฉันเตรียมของ เธอออกไปเดินเล่นดูรอบๆ เมืองก่อนได้ตามสบายเลยนะ"""
