11_voice_NPC_5151_100#0,"""너였나.<br>마침 잘 왔다."""
mb22_020#0,"""시험 운용 담당자로서는<br>더없이 기쁜 일이지."""
11_voice_NPC_5151_104#0,"""미숙한 아크스라도 싸울 수 있다.<br>의외로 그 점이 홍보 문구로<br>이어졌을지도 모르겠군."""
mb23_010#0,"""카토리가 미숙한 건 사실이지만<br>아무 능력도 없는 건 아니다."""
mb23_020#0,"""근성도 있지만 직감도 정확하지.<br>그 직감으로 적을 알아채고<br>한달음에 도망친다."""
11_voice_NPC_5151_100#3,"""그리고 그 직감은 거의 들어맞는다.<br>본능적으로 감지하는 게 있겠지."""
mb23_after_010#0,"""정보가 공개되어<br>사정도 어느 정도 알고 있다."""
11_voice_NPC_5151_100#4,"""카토리도 나도 협력을 아끼지 않겠다.<br>일손이 필요하면 말해라.<br>사양할 필요는 없다."""
mb24_010#0,"""무슨 일이든 하면 이루어진다.<br>자신을 믿고 계속 나아가라."""
11_voice_NPC_5151_100#5,"""협력이 필요하면 말해라.<br>얼마든지 힘을 보탤 생각이다."""
mb24_after_010#0,"""아, 너였나.<br>무사히 돌아와 다행이군."""
mb24_after_020#0,"""이런 결과를 제대로 낸 것도<br>네 실력이 있었기 때문이겠지.<br>역시 대단하군."""
11_voice_NPC_5151_100#6,"""같은 아크스로서 자랑스럽다.<br>나도 너처럼 실력을 길러야겠다고<br>다시 한번 생각했다."""
11_voice_NPC_5151_104#1,"""【심원의 어둠】은 현재<br>부활 직전 상태에 머물러 있어서<br>잠시 여유가 있다고 들었다."""
mb25_020#0,"""언제까지 머물지는 알 수 없지만<br>그동안 전력을 강화하는 일은<br>할 수 있을 것이다."""
mb25_030#0,"""나는 당분간 특훈을 거듭하며<br>다가올 날을 대비해<br>자신을 단련할 생각이다."""
11_voice_NPC_5151_100#7,"""오랜만이군.<br>너에게는 한순간이었겠지만."""
st01_020#0,"""콜드 슬립을 받으면<br>드물게 기억 장애가 생기기도 한다.<br>한동안은 무리하지 않는 게 좋다."""
st01_030#0,"""그 외에 덧붙일 정보라면……<br>그렇군. 내 옆의 카토리는<br>숨 쉬듯 거짓말한다. 조심해라."""
11_voice_NPC_5151_100#8,"""지난 2년 동안<br>바운서는 상당히 널리 퍼졌다."""
st01_020#1,"""물론 장소를 가리지 않고 홍보한<br>카토리의 공적도 있지만……<br>들어온 민원도 엄청나게 많았다."""
st01_030#1,"""그 처리와 대응에 관해서는<br>별로 떠올리고 싶지 않군."""
11_voice_NPC_5151_100#9,"""도쿄 에리어는<br>특훈에 아주 적합한 곳이다."""
st01_020#2,"""다양한 에너미도 그렇지만<br>급커브도 있는 등<br>참 흥미로운 곳이다."""
st01_030#2,"""카토리는 힘들다고 한탄했지만<br>수련을 거듭하면<br>약한 소리도 하지 않게 되겠지."""
11_voice_NPC_5151_100#10,"""아크스 훈련소는<br>이름 그대로 훈련하는 곳이다."""
st01_020#3,"""그곳에는 시험 운용 담당인 우리가<br>모은 데이터 등도 쓰이고 있다.<br>기회가 되면 찾아가 봐라."""
11_voice_NPC_5151_104#2,"""네가 관여한 문제인데<br>역시 성가신 일이 되어 가는군."""
st01_020#4,"""아크스 전체가 대응해야<br>할지도 모르겠군."""
st01_030#3,"""그에 대비하려는 것만은 아니지만<br>특훈에 힘써 두도록 하지.<br>언제까지나 너에게만 맡길 수는 없다."""
11_voice_NPC_5151_100#11,"""각자가 강하게 떠올린 무장을<br>그 손안에 구현한다.<br>그것이 구현무장이라는 모양이다."""
st01_020#5,"""내가 그 원리를 이해하지는 못해도<br>강하게 떠올리는 일이<br>중요하다는 건 이해할 수 있다."""
st01_030#4,"""이렇게 되고 싶다는 강한 의지는<br>목적을 이룰 이정표가 되기 때문이다."""
11_voice_NPC_5151_104#3,"""지난번 습격 때는 출격 중이라<br>현장에 있지 못해 모두에게 폐를 끼쳤다."""
st01_020#6,"""……아니, 현장에 있었어도<br>리미터의 영향 아래서는 무력했겠지."""
st01_030#5,"""사후 처리를 돕기는 했지만<br>생각보다 피해가 적었던 것은<br>다행이라고 할 수 있겠군."""
11_voice_NPC_5151_104#4,"""다커를 본뜬 환창종인가.<br>……솔직히 성가신 상대군."""
st01_020#7,"""어디까지 모방했는지도 궁금하다.<br>애초에 아크스의 포톤으로만<br>쓰러뜨릴 수 있는가 하는 점도 말이지."""
st01_030#6,"""전력을 다해 분석하고 있다면<br>차차 알게 되겠지만……<br>위험하다는 사실은 변하지 않는다."""
st01_010#0,"""허를 찔렸다고 해야겠군.<br>그렇다고 예상하라는 것도 무리다.<br>일어날 일이 일어난 셈이지."""
11_voice_NPC_5151_104#5,"""그렇다면 다음에 할 일은 하나다.<br>미래를 예측하고 행동을 결정한다.<br>우리가 할 수 있는 건 그것뿐이다."""
st01_030#7,"""상대도 의지를 지닌 자다.<br>그렇다면 자기 이상을 굽히지 않겠지.<br>맞부딪칠 수밖에 없겠군."""
st01_010#1,"""우여곡절은 있었지만<br>지구를 둘러싼 상황은 진정됐군."""
11_voice_NPC_5151_104#6,"""하지만 환창종은 아직 나타난다.<br>당분간 연계 토벌 임무 등에서<br>긴장을 늦출 수 없겠군."""
11_voice_NPC_5151_100#12,"""긴장하고 있나?<br>……괜찮다. 걱정할 건 없어.<br>네 등은 우리가 받쳐 주겠다."""
11_voice_NPC_5151_104#7,"""지난 작전의 결과는 성공도<br>실패도 아니라고 해야겠군.<br>현상 유지라고 하면 될까."""
sq01_020#0,"""무엇보다 네가 돌아왔으니<br>나는 충분히 성공했다고 생각한다."""
sq02_010#0,"""지난 작전이 효과를 거둔 건지<br>다커의 출현 빈도가 점차<br>줄어드는 모양이다."""
sq02_020#0,"""물론 낙관할 수는 없지만<br>헛된 일이 아니었다면 다행이지.<br>육성에 시간을 쓸 수 있으니까."""
11_voice_NPC_5151_105#0,"""……이번 상대는 종말의 여신인가.<br>관점에 따라서는 【심원의 어둠】보다<br>성가신 상대일지도 모르겠군."""
sq13_020#0,"""상대를 알지 못하는 데다<br>명확한 적의까지 품고 있다.<br>어떻게 해야 할까."""
sq13_030#0,"""……다음에는 상대가 어떻게 움직일지.<br>그 점을 주시해야 한다."""
ep6_sq00_01#0,"""종말의 여신의 동향을 모르는 이상<br>우리에게는 대비하는 수밖에 없다."""
11_voice_NPC_5151_104#8,"""충분히 준비한 뒤<br>맞서 싸우는 것이 중요하다."""
11_voice_NPC_5151_108#0,"""비관하지 말라는 것도<br>무리일지 모르지만, 그래도 우리는<br>침착하게 행동해야 한다."""
ep6_sq01_02#0,"""총사령관을 비롯한 조직 개혁.<br>아크스 쉽의 개별 운용……<br>샤오는 이 사태를 내다본 것인가……"""
ep6_sq01_03#0,"""그렇다면 우리는 샤오의 기대에<br>부응해야 할 것이다.<br>지금이 바로 그때다."""
ep6_sq02_01#0,"""불안한 정세 속에 있었지만<br>카토리의 제안을 받아들여 오늘까지<br>집중 특훈을 거듭했다."""
ep6_sq02_02#0,"""눈이 휘둥그레질 근성과 의욕으로<br>성장한 그녀를 보니 감회가 깊다.<br>……툭하면 소리 지르는 것만 빼면."""
ep6_sq02_01_01#0,"""시바의 강함은 규격 외라고 할 만하다.<br>평범한 각오로는 맞설 수 없어."""
11_voice_NPC_5151_100#13,"""더욱 수련에 힘써야 한다.<br>상황이 어려울수록<br>하루하루 쌓은 노력이 힘을 발휘한다."""
Kyokuya_01_010#0,"""무슨 일이지.<br>……팬텀의 주창자에 대한<br>내 견해를 듣고 싶다고……?"""
11_voice_NPC_5151_104#9,"""목적을 위해 수단을 가리지 않는다고<br>그 남자는 말하지만…… 그 표현은<br>조금 정확하지 않은 것 같다."""
Kyokuya_01_030#0,"""동료를 희생하는 수단은 쓰지 않는다.<br>그러기 위해서라면 수단을 가리지 않고<br>자기 몸마저 서슴없이 희생할 수 있지."""
Kyokuya_01_040#0,"""팬텀 클래스의 주창조차<br>그 남자가 목적을 이룰 수단일 뿐……<br>그런 생각마저 든다. 무서운 남자다."""
ep6_sq04_01_01#0,"""긴장을 늦추면 안 될 때다.<br>특훈도 양만 늘리지 말고, 매번 효율적으로<br>전투력을 높일 수 있어야 한다."""
ep6_sq04_01_02#0,"""카토리도 보기와 달리 임무와 특훈에<br>성실하게 임하고 있다. 하지만<br>열심히 할수록 시끄러워지는 탓에……"""
11_voice_NPC_5151_108#1,"""내게 「내버려 둬도 괜찮냐」는<br>시선을 보내는 자도 많다……<br>나는 카토리의 보호자가 아닌데 말이지."""
11_voice_NPC_5151_101#0,"""의심할 여지 없이 훌륭한 승리다.<br>하나하나 쌓아 올린 노력이<br>커다란 기적으로 결실을 맺었군."""
text02#0,"""카토리도 지금까지 잘해 왔다.<br>진심으로 칭찬해 주고 싶군."""
text03#0,"""하지만 여기서 자만하면<br>새로운 위협이 찾아왔을 때<br>뒤늦게 대응할지도 모른다."""
11_voice_NPC_5151_100#14,"""다시 긴장을 다잡고 카토리와<br>훈련을 시작할 생각이다.<br>매일 정진하는 것이 중요하지."""
