name_7234#0,"""Peppy Rappy"""
ssn_019080_002_0044#0,"""申し訳ないけど、そのときはよろしくね。<br>それじゃ！"""
ssn_019080_002_0045#0,"""なにはともあれ、今回の恩は決して忘れないよ。<br>困ったことがあったら、遠慮なく言ってほしい。"""
ssn_019080_002_0046#0,"""これからもラッピー大好き仲間として、<br>よろしく！"""
ssn_019080_002_0047#0,"""<%me>くん、よく来たね。<br>ラッピーライフは順調かい？"""
ssn_019080_002_0048#0,"""それはそうと、<br>なにか交換していくかい？"""
ssn_019080_002_0049#0,"""“ラッピーの集会場”は<br>まだ見つけられてないみたいだね。"""
ssn_019080_002_0050#0,"""ドレッドエネミーを倒して、<br>安全な場所を作るんだ。"""
ssn_019080_002_0051#0,"""それはそうと、<br>なにか交換していくかい？"""
ssn_019080_002_0052#0,"""む、むう……。<br>水を差されてしまった。"""
ssn_019080_002_0053#0,"""“ラッピーの集会場”は<br>まだ見つけられてないみたいだね。"""
ssn_019080_002_0054#0,"""ドレッドエネミーを倒して、<br>安全な場所を作るんだ。"""
ssn_019080_002_0055#0,"""それはそうと、<br>なにか交換していくかい？"""
npc_menu_0001#0,"""チケットと交換する"""
npc_menu_0002#0,"""シーズナルポイントと交換する（$(0)まで）"""
npc_menu_0003#0,"""シーズナルイベントについて聞く"""
npc_menu_0004#0,"""メニューを閉じる"""
npc_menu_0005#0,"""“シーズナルイベント”について"""
npc_menu_0006#0,"""“シーズナルイベントキャラクター”について"""
npc_menu_0007#0,"""“デイリー／ウィークリータスク”について"""
npc_menu_0008#0,"""“ミスチーフシンボル”について"""
npc_menu_0009#0,"""“シーズナルギャザリング”について"""
npc_menu_0010#0,"""“シーズナルリージョンマグ”について"""
npc_menu_0011#0,"""“シーズンエネミー”について"""
npc_menu_0012#0,"""“ワールドトライアル”について"""
npc_menu_0013#0,"""“ラッピーの集会場”について"""
npc_menu_0014#0,"""聞きたいことはない"""
npc_menu_0015#0,"""『PSO2』マンガメモリと交換する"""
