Title#0,"""Open Config Window"""
BasicHintPetStatus#0,"""Configure pet HP bar and status icon appearance."""
BasicHintEtrialMap#0,"""While the radar map is magnified, <br>you can change the temporary magnification <br>settings when an E-trial occurs."""
NoticeTextParty#0,"""Upon Party Invite"""
NoticeTextFriend#0,"""Upon Friend Registration"""
NoticeTextGuild#0,"""Upon being Scouted for a Team"""
NoticeTextTrade#0,"""Upon Trade Request"""
NoticeTextLogItem#0,"""Picked Up Item Name Logging"""
NoticeTextPopUpMessage#0,"""Info Message Settings"""
NoticeTextRecommended#0,"""Upon Accepting a Recommended Quest"""
NoticeTextPremium#0,"""Premium Expiration Notifications"""
NoticeTextRareItem#0,"""Party Member Rare Item Collection"""
NoticeHintParty#0,"""Enable or disable the window <br>when a party invitation is received."""
NoticeHintFriend#0,"""Enable or disable the window <br>when a friend request is received."""
NoticeHintGuild#0,"""Enable or disable the window <br>when a Team invitation is received."""
NoticeHintTrade#0,"""Enable or disable the window <br>when a trade request is received."""
NoticeHintLogItem#0,"""Set whether to log a notification <br>upon receiving an item."""
NoticeHintPopUpMessage#0,"""通知メッセージの表示数について、<br>単一に限定するか複数表示するか設定します。"""
NoticeHintRecommended#0,"""おすすめクエストを受注したとき、<br>おすすめオーダーのウインドウを表示するかを設定します。"""
NoticeHintRareItem#0,"""Configure whether or not a notificaiton is displayed<br>when a party member collects a rare item."""
NoticeHintPremium#0,"""プレミアムセットの有効期限が7日を切っていたら<br>ログイン時に通知するかを設定します。"""
CameraTextSpeedX#0,"""Horizontal Rotation Speed"""
CameraTextSpeedY#0,"""Vertical Rotation Speed"""
CameraTextRotateX#0,"""Camera Horizontal Rotation"""
CameraTextRotateY#0,"""Camera Vertical Rotation"""
CameraTextSpeedX_v#0,"""ゲーム内カメラ左右回転速度"""
CameraTextSpeedY_v#0,"""ゲーム内カメラ上下回転速度"""
CameraTextRotateX_v#0,"""ゲーム内カメラ左右回転"""
CameraTextRotateY_v#0,"""ゲーム内カメラ上下回転"""
CameraTextMouseOperate#0,"""Mouse Camera Control Priority"""
CameraHintSpeedX#0,"""Set the camera's horizontal rotation speed."""
CameraHintSpeedY#0,"""Set the camera's vertical rotation speed."""
CameraHintRotateX#0,"""Set the camera's horizontal rotation direction."""
CameraHintRotateY#0,"""Set the camera's vertical rotation direction."""
CameraHintMouseOperate#0,"""When using the mouse, choose whether to prioritize <br>the camera or the mouse cursor."""
CommuTextMailQuote#0,"""Quote mail upon reply"""
CommuTextShowUI#0,"""Show interface in screenshots"""
CommuTextEnableAutoword#0,"""Auto Word Settings"""
CommuTextDirectChat#0,"""Direct Chat"""
CommuTextCustomTab#0,"""Channel to show in chatlog's \""Show All"""
CommuTextShowLogAutoword#0,"""Show Auto Words in chatlog"""
CommuTextDisableScrollLock#0,"""Disable \""Scroll Lock\"" switching"""
CommuTextTeamChat#0,"""Team Chat Balloon Settings"""
CommuTextLoginCall#0,"""Allow Login Calls from friends"""
CommuTextLogWindow#0,"""ログウィンドウ最新表示設定"""
CommuTextSymbolArt#0,"""Symbol Art Settings"""
CommuTextCharaName#0,"""Name display for Team Chat/Whispers"""
CommuTextChatColor#0,"""Use Channel Color for Chat Input Background"""
CommuTextBattleImpossibleNotification#0,"""Party Member Incapacitated Player Icons"""
CommuTextMyBattleImpossibleNotification#0,"""Own Incapacitated Player Icon"""
CommuRadioTeamChatAll#0,"""Show All"""
CommuRadioTeamChatArea#0,"""Only From Same Area"""
CommuRadioTeamChatNone#0,"""None"""
CommuTabCustomCheckPublic#0,"""Public"""
CommuTabCustomCheckParty#0,"""Party"""
CommuTabCustomCheckGuild#0,"""Team"""
CommuTabCustomCheckReply#0,"""Whisper"""
CommuTabCustomCheckSystem#0,"""System"""
CommuTabCustomCheckNpc#0,"""NPC"""
CommuRadioLogWindowUp#0,"""Display newest from top"""
CommuRadioLogWindowDown#0,"""Display newest from bottom"""
CommuRadioLogChatColorOff#0,"""Do not use channel color"""
CommuRadioLogChatColorOn#0,"""Use channel color"""
CommuHintMailQuote#0,"""Set whether to quote mail in replies."""
CommuHintShowUI#0,"""Set whether to show the interface <br>(including windows) in screenshots."""
CommuHintEnableAutoword#0,"""If you have Auto Words set, <br>choosing \""Disable\"" will prevent <br>them from triggering."""
CommuHintDirectChat#0,"""If enabled, all keyboard buttons will <br>only be used for chat.<br>※[ScrollLock] will change this setting at any time."""
CommuHintCustomTab#0,"""Select what content to display in the log window's \""View All\"" tab."""
CommuHintShowLogAutoword#0,"""Set whether to show Auto Words in the chatlog."""
CommuHintDisableScrollLock#0,"""Turn off the ability for the Scroll Lock key to toggle direct chat.<br><br>If direct chat is not working properly, try turning ON<br>this setting - There's a possibility that will fix it."""
CommuHintTeamChat#0,"""Set the conditions for<br>team chat display."""
CommuHintShowSymbolArt#0,"""Select whether to show or hide symbol arts."""
CommuHintLoginCall#0,"""When you log in,<br>send Login Call to friends."""
CommuHintChatColor#0,"""チャット入力の背景の色を発言先にしたがって<br>変化するようにするか設定します。"""
CommuHintBattleImpossible#0,"""Choose whether to display indicators<br>for incapacitated party members.<br>Does not apply to Friend/Support/Free Partners."""
CommuHintMyBattleImpossible#0,"""Choose whether to allow other players to<br>see an indicator if you are incapacitated.<br>If a player has this setting turned off, <br>you will not receive the indicator."""
CommuRadioIDName#0,"""Player ID Name"""
CommuRadioCharaName#0,"""Character Name"""
CommuHintWhisperIDName#0,"""Set whether to display the Player ID name or the Character name in Team Chat and Whispers."""
ConfirmTitleWindowInit#0,"""Window reset confirmation"""
ConfirmMessageWindowInit#0,"""This will reset all windows to their initial positions and default sizes.<br>Are you sure you wish to continue?"""
ConfirmMessageWindowInitEnd#0,"""All windows reset to initial positions."""
WindowTitleInitText#0,"""Window reset settings"""
WindowInitHint#0,"""This will reset the size and location of all windows."""
WindowRadioButtonInitText#0,"""Reset windows to initial positions"""
EstheTitleText#0,"""Hairstyle/Head Parts/Accessory Selection"""
EstheTitleTextShapeSync#0,"""Real Time Physique Editing Settings"""
EstheMessageShapeSync#0,"""ヒト型とキャスト型の体型は自動同期しますが、個別に<br>編集したい場合は「体型を個別に編集する」を<br>選択してください。（エステ内でのみ有効）"""
EstheHint#0,"""キャラクタークリエイトおよびエステで選択する<br>ヘアスタイル・ヘッドパーツ・アクセサリーウィンドウの<br>タイプを設定します。"""
EstheHintShapeSync#0,"""種族キャストの場合でも、着るコスチュームによってはヒト型の体型に<br>なりますが、この場合の「ヒト型の体型」と「キャスト型の体型」を<br>自動的に同期するか、個別に編集できるようにするかを選択できます。"""
EstheRadioButtonText1#0,"""Small window displaying all accessories"""
EstheRadioButtonText2#0,"""Large window with tabbed sections"""
EstheRadioButtonShapeSync1#0,"""Real Time Physique Editing"""
EstheRadioButtonShapeSync2#0,"""Discrete Physique Editing"""
ShootTextFileType#0,"""Screenshot File Type"""
ShootTextShowUI#0,"""Show interface in screenshots"""
ShootHintFileType#0,"""Select the format to use for screenshots."""
ShootHintShowUI#0,"""Set whether to show the interface <br>(including windows) in screenshots."""
DrawFuncTextLightEffect#0,"""Light Source Effect Settings"""
DrawFuncTextLightGeoGraphy#0,"""Terrain Lighting"""
DrawFuncTextBloom#0,"""Bloom Setting"""
DrawFuncTextDepth#0,"""Depth of Field"""
DrawFuncTextLightShaft#0,"""Light Shafts"""
DrawFuncTextBlur#0,"""Blur"""
DrawFuncTextAntiAliasing#0,"""Anti-aliasing"""
DrawFuncTextSoftParticle#0,"""Soft Particles"""
DrawFuncTextAmbientOcclusion#0,"""Ambient Occlusion"""
DrawFuncTextLimbDarkening#0,"""Peripheral Dimming"""
DrawFuncTextCameraLight#0,"""Camera Lighting"""
DrawFuncTextColorTone#0,"""Color Tone Curve"""
DrawFuncTextEdgeLight#0,"""Edge Lighting"""
DrawFuncTextEffectDraw#0,"""Reduced Effect Lighting"""
DrawFuncTextResolution#0,"""Dynamic Resolution Adjustment"""
DrawFuncHintLightEffect#0,"""Enable or disable effect lighting.<br>Disabling will improve performance slightly."""
DrawFuncHintLightGeoGraphy#0,"""Enable or disable terrain lighting effects.<br>Disabling will improve performance slightly."""
DrawFuncHintBloom#0,"""Creates an effect on the screen when<br>viewing very bright objects.<br>Disabling will improve performance slightly."""
DrawFuncHintDepth#0,"""Simulate natural atmospheric blurring for distant objects.<br>Disabling will improve performance slightly."""
DrawFuncHintLightShaft#0,"""Enable or disable representation of sunbeams.<br>Disabling will improve performance slightly."""
DrawFuncHintBlur#0,"""Enable or disable the blur effect.<br>Disabling will improve performance slightly."""
DrawFuncHintAntiAliasing#0,"""Enable or disable anti-aliasing.<br>Disabling will improve performance slightly."""
DrawFuncHintSoftParticle#0,"""Enable or disable soft particle effects.<br>Disabling will improve performance slightly."""
DrawFuncHintAmbientOcclusion#0,"""Darken the shadows cast by edges.<br>Enabled when graphics quality is set to 6.<br>Disabling will improve performance slightly."""
DrawFuncHintLimbDarkening#0,"""Dim the screen's edges.<br>Enabled when graphics quality is set to 6.<br>Disabling will improve performance slightly."""
DrawFuncHintCameraLight#0,"""Adjust the amount of light emitted by the camera, affecting the brightness of the screen.<br>Setting to 0 will improve performance slightly."""
DrawFuncHintColorTone#0,"""Adjust overall brightness, color, and contrast for each field.<br>Enabled when graphics quality is set to 6.<br>Disabling will improve performance slightly."""
DrawFuncHintEdgeLight#0,"""Adjust amount of light applied to objects' edges.<br>Enabled when graphics quality is set to 6.<br>Disabling will improve performance slightly."""
DrawFuncHintEffectDraw#0,"""Adjust intensity of light produced by certain effects.<br>Setting to \""Reduced\"" will dim these effects."""
DrawFuncHintResolution#0,"""Allow resolution to be automatically decreased in order to maintain a smooth framerate.<br>Disabling will allow framerate to drop during heavy processing."""
DrawFuncButtonOn#0,"""On"""
DrawFuncButtonOff#0,"""Off"""
DrawFuncButtonOn_Effect#0,"""Normal"""
DrawFuncButtonOff_Effect#0,"""Reduced"""
DrawDisplayTextDetailModelNum#0,"""Detailed Model Count"""
DrawDisplayTextReflectionQuality#0,"""Reflection Quality"""
DrawDisplayTextShadowQuality#0,"""Shadow Quality"""
DrawDisplayTextScreenBrightness#0,"""Screen Brightness"""
DrawDisplayTextPBNum#0,"""Photon Blast Display Count"""
DrawDisplayHintDetailModelNum#0,"""Set how many player characters to <br>display in full detail, such as showing equipment<br>Lowering the count will improve performance."""
DrawDisplayHintReflectionQuality#0,"""Set the quality of water reflection. <br>Lowing the value will improve performance slightly."""
DrawDisplayHintShadowQuality#0,"""Set the quality of shadow rendering. <br>Lowing the value will improve performance slightly."""
DrawDisplayHintScreenBrightness#0,"""Set the screen's brightness.<br>Lowering the value will reduce the brightness of the entire screen."""
DrawDisplayHintPBNum#0,"""Set how many Photon Blasts to display.<br>Displaying fewer will ease processing."""
SndVolumeTextBgm#0,"""BGM Volume"""
SndVolumeTextSe#0,"""SE Volume"""
SndVolumeTextVoice#0,"""Voice Volume"""
SndVolumeTextMovie#0,"""In-game video volume"""
SndVolumeHintBgm#0,"""Set BGM volume."""
SndVolumeHintSe#0,"""Set sound effect volume."""
SndVolumeHintVoice#0,"""Set volume for voices."""
SndVolumeHintMovie#0,"""Set the volume of the video displayed<br>on the Arks monitors installed in the lobby."""
SndPlayTextSurround#0,"""Surround Sound"""
SndPlayTextGlobalFocus#0,"""Global Focus Sound"""
SndPlayButtonOn#0,"""On"""
SndPlayButtonOff#0,"""Off"""
SndPlayHintSurround#0,"""Switch surround effects ON/OFF"""
SndPlayHintGlobalFocus#0,"""Set whether to play sound when <br>game window is not in focus."""
CtrlKeyboardTitle#0,"""Keyboard Settings"""
CtrlTabTitleNView#0,"""Action 1"""
CtrlTabTitleZView#0,"""Action 2"""
CtrlTabTitleWindow#0,"""Window"""
CtrlTabTitleOther#0,"""Other"""
CtrlTabTitleShortcut#0,"""Shortcuts"""
CtrlTabTitleAction#0,"""Action"""
CtrlTabTitleLobbyAction#0,"""Lobby Actions"""
CtrlTabTitleBasicSet#0,"""Basic Settings"""
CtrlMainCtgNameNView#0,"""Action Setting 1"""
CtrlMainCtgNameZView#0,"""Action Setting 2"""
CtrlMainCtgNameWindow#0,"""Window Settings"""
CtrlMainCtgNameOther#0,"""Other Settings"""
CtrlMainCtgNameShortcut#0,"""Shortcut Settings"""
CtrlMainCtgNameAction#0,"""Action Settings"""
CtrlMainCtgNameLobbyAction#0,"""Lobby Action Settings"""
CtrlSubCtgNameViewMove#0,"""Character Movement"""
CtrlSubCtgNameViewCamera#0,"""Change Camera Distance"""
CtrlSubCtgNameViewAction#0,"""Action"""
CtrlSubCtgNameViewActionSupport#0,"""Action Support"""
CtrlSubCtgNameViewMenu#0,"""Menu"""
CtrlSubCtgNameViewPalette#0,"""Main Palette Change"""
CtrlSubCtgNameViewChat#0,"""Chat"""
CtrlSubCtgNameViewSubPalette#0,"""Open Subpalette"""
CtrlSubCtgNameViewMap#0,"""Display Map"""
CtrlSubCtgNameWindowBasic#0,"""Accept/Cancel"""
CtrlSubCtgNameWindowChat#0,"""Chat"""
CtrlSubCtgNameWindowPage#0,"""Send Page"""
CtrlSubCtgNameWindowTab#0,"""Send Tab"""
CtrlSubCtgNameWindowDetailTab#0,"""Send Detail Window Tab"""
CtrlSubCtgNameWindowCtrlWindow#0,"""Change Window Settings"""
CtrlSubCtgNameOtherShortcut#0,"""Shortcuts"""
CtrlSubCtgNameOtherShortcutWord#0,"""Shortcut Words"""
CtrlSubCtgNameOtherMainPalette#0,"""Directly Change Main Palette"""
CtrlSubCtgNameOtherSubPalette#0,"""Open Subpalette"""
CtrlSubCtgNameCtrlCtrl#0,"""Shortcut Settings"""
CtrlSubCtgNameCtrlWindow#0,"""Window Shortcut Settings"""
CtrlSubCtgNameBasic#0,"""Basic Settings"""
CtrlSubCtgNameAssist#0,"""Assist Settings"""
CtrlSubCtgNameLobbyAction#0,"""Lobby action key settings."""
CtrlSubCtgNameActionMenu#0,"""Actions / Open Menu"""
CtrlPresetNameRNViewRcm#0,"""Right-handed normal perspective"""
CtrlPresetNameRZViewRcm#0,"""Right-handed TPS perspective."""
CtrlPresetNameRNViewKbd#0,"""Right-handed normal keyboard"""
CtrlPresetNameRZViewKbd#0,"""Right-handed TPS keyboard"""
CtrlPresetNameLNViewRcm#0,"""Left-handed normal perspective"""
CtrlPresetNameLZViewRcm#0,"""Left-handed TPS perspective."""
CtrlPresetNameLNViewKbd#0,"""Left-handed normal keyboard"""
CtrlPresetNameLZViewKbd#0,"""Left-handed TPS keyboard"""
CtrlPresetNameRcm1#0,"""Standard 1"""
CtrlPresetNameRcm2#0,"""Standard 2"""
CtrlPresetNameNViewRcm1#0,"""Standard Normal Perspective 1"""
CtrlPresetNameNViewRcm2#0,"""Standard Normal Perspective 1"""
CtrlPresetNameZViewRcm1#0,"""Standard TPS Perspective 1"""
CtrlPresetNameZViewRcm2#0,"""Standard TPS Perspective 2"""
CtrlPresetNameRRcm#0,"""Recommended Right-handed"""
CtrlPresetNameLRcm#0,"""Recommended Left-handed"""
CtrlPresetNameCutom#0,"""Custom"""
CtrlPresetNameRcm#0,"""Recommended"""
CtrlAssignNameMouseL#0,"""Left Click"""
CtrlAssignNameMouseR#0,"""Right Click"""
CtrlAssignNameMouseM#0,"""Wheel Click"""
CtrlAssignNameMouseWheel#0,"""Wheel"""
CtrlAssignNameMouseX1#0,"""Side Button (X1)"""
CtrlAssignNameMouseX2#0,"""Side Button (X2)"""
CtrlFuncNameNone#0,"""None"""
CtrlFuncNameMoveForward#0,"""Move: Forward"""
CtrlFuncNameMoveRight#0,"""Move: Right"""
CtrlFuncNameMoveLeft#0,"""Move: Left"""
CtrlFuncNameMoveBack#0,"""Move: Backward"""
CtrlFuncNameNormalAttack#0,"""Normal Attack"""
CtrlFuncNamePhotonArts#0,"""PA / Technique"""
CtrlFuncNameAvoid#0,"""Evade"""
CtrlFuncNameJump#0,"""Jump"""
CtrlFuncNameAccess#0,"""Access"""
CtrlFuncNameWeponAction#0,"""Weapon Action"""
CtrlFuncNameLockon#0,"""Lock On"""
CtrlFuncNameLockonNext#0,"""Target switching"""
CtrlFuncNameChangeView#0,"""Change View"""
CtrlFuncNameCameraDistance#0,"""Change Camera Distance"""
CtrlFuncNameCameraSelect#0,"""Camera Select"""
CtrlFuncNameCameraMoveUD#0,"""Move Camera Up/Down"""
CtrlFuncNameAutoRun#0,"""Auto Run"""
CtrlFuncNameRefuseFollowRun#0,"""Do not allow others to Auto-Follow you"""
CtrlFuncNameOpenMainMenu#0,"""Open Main Menu"""
CtrlFuncNameOpenSelectMenu#0,"""Open Select Menu"""
CtrlFuncNameOpenEquip#0,"""Open Equipment"""
CtrlFuncNameOpenPlayerList#0,"""Nearby Characters"""
CtrlFuncNameMainPaletteForward#0,"""Main Palette Forward"""
CtrlFuncNameMainPaletteBack#0,"""Main Palette Back"""
CtrlFuncNameMainPaletteA#0,"""Action 1"""
CtrlFuncNameMainPaletteB#0,"""Action 2"""
CtrlFuncNameMainPaletteC#0,"""Action 3"""
CtrlFuncNameBackPallete#0,"""Switch to rear palette"""
CtrlFuncNameMainPaletteUp#0,"""Weapon Palette Bottom"""
CtrlFuncNameMainPaletteDown#0,"""Weapon Palette Top"""
CtrlFuncNameStartChat#0,"""Start Chat"""
CtrlFuncNameStartChatPublic#0,"""Start Public Chat"""
CtrlFuncNameStartChatParty#0,"""Start Party Chat"""
CtrlFuncNameStartChatGuild#0,"""Start Team Chat"""
CtrlFuncNameStartChatWhisper#0,"""Start Whisper Chat"""
CtrlFuncNameSubpaletteChange#0,"""Subpalette cursor movement"""
CtrlFuncNameSubpalette#0,"""Open Subpalette"""
CtrlFuncNameSubpaletteForward#0,"""Subpalette Forward"""
CtrlFuncNameSubpaletteLeft#0,"""Subpalette Cursor Left"""
CtrlFuncNameSubpaletteRight#0,"""Subpalette Cursor Right"""
CtrlFuncNameCameraNear#0,"""Close to Character"""
CtrlFuncNameCameraFar#0,"""Away from Character"""
CtrlFuncNameCameraUp#0,"""Move up"""
CtrlFuncNameCameraDown#0,"""Move down"""
CtrlFuncNameCameraNext#0,"""Camera Select Forward"""
CtrlFuncNameCameraPrev#0,"""Camera Select Reverse"""
CtrlFuncNameScreenShoot#0,"""Take Screenshot"""
CtrlFuncNameMovie#0,"""Record Video"""
CtrlFuncNameDecide#0,"""Confirm"""
CtrlFuncNameCancel#0,"""Cancel"""
CtrlFuncNameChangeMouseMode#0,"""Switch Mouse Mode"""
CtrlFuncNameAllWindowClose#0,"""Close Main Menu"""
CtrlFuncNameMultiSelect#0,"""Select Multiple"""
CtrlFuncNameFunction#0,"""Cancel Function"""
CtrlFuncNameMove#0,"""Move Item"""
CtrlFuncNamePageForward#0,"""Page Forward"""
CtrlFuncNamePageBack#0,"""Page Back"""
CtrlFuncNameTabForward#0,"""Increment Tab"""
CtrlFuncNameTabBack#0,"""Decrement Tab"""
CtrlFuncNameWindowTabForward#0,"""Window Tab Forward"""
CtrlFuncNameWindowTabBack#0,"""Window Tab Back"""
CtrlFuncNameChangeWindow#0,"""Change Window Settings"""
CtrlFuncNameCtrlTabForward#0,"""Increment Action Pane"""
CtrlFuncNameCtrlTabBack#0,"""Decrement Action Pane"""
CtrlFuncNameCtrlException#0,"""Special Operation"""
CtrlFuncNameStctWord#0,"""Use Shortcut Words"""
CtrlFuncNameChangeToMainPalette#0,"""Switch Palette"""
CtrlFuncNameChangeRadarMap#0,"""Change Radar Mode"""
CtrlFuncNameChangeAreaMap#0,"""Show/hide Area Map"""
CtrlFuncNameOpenItemPack#0,"""Open Inventory"""
CtrlFuncNameOpenCustomize#0,"""Open Customize Menu"""
CtrlFuncNameOpenMag#0,"""Open Mag Menu"""
CtrlFuncNameOpenPet#0,"""Pet"""
CtrlFuncNameOpenEventItem#0,"""Event Items"""
CtrlFuncNameOpenEquipWeapon#0,"""Equip Weapon"""
CtrlFuncNameOpenEquipArmor#0,"""Equip Armor"""
CtrlFuncNameOpenSubpalette#0,"""Edit Subpalettes"""
CtrlFuncNameOpenFriend#0,"""Open Friend List"""
CtrlFuncNameOpenGuild#0,"""Team Commands"""
CtrlFuncNameOpenParty#0,"""Party Commands"""
CtrlFuncNameOpenMail#0,"""Open Mail"""
CtrlFuncNameOpenNearCharacter#0,"""Nearby Characters"""
CtrlFuncNameOpenCharaInfo#0,"""Open Character Info"""
CtrlFuncNameOpenLicense#0,"""Open Title List"""
CtrlFuncNameOpenMyMenu#0,"""Quick Menu"""
CtrlFuncNameOpenCommunicationLog#0,"""Communication History"""
CtrlFuncNameOpenProfile#0,"""Arks Card Info"""
CtrlFuncNameOpenLibrary#0,"""Encyclopedia"""
CtrlFuncNameOpenMutterBoard#0,"""Open Matter Board"""
CtrlFuncNameOpenClientOrder#0,"""Open Client Orders"""
CtrlFuncNameOpenQuestInfo#0,"""Open Quest Info"""
CtrlFuncNameOpenSymbolArt#0,"""Symbol Arts"""
CtrlFuncNameOpenMacro#0,"""Open Macros"""
CtrlFuncNameOpenConfig#0,"""Options"""
CtrlFuncNameOpenPayShop#0,"""Open AC Shop"""
CtrlFuncNameOpenACGacha#0,"""Draw Scratch"""
CtrlFuncNameOpenPayLog#0,"""Purchase History"""
CtrlFuncNameOpenRentalLimit#0,"""Rental Expiration"""
CtrlFuncNameOpenLogOut#0,"""Open Logout Menu"""
CtrlFuncNameOpenBingo#0,"""Arks Bingo"""
CtrlFuncNameOpenInformation#0,"""Information"""
CtrlFuncNameOpenArksRoad#0,"""Arks Road"""
CtrlFuncNameOpenCraftAchievement#0,"""Crafting Achievements"""
CtrlFuncNameOpenShipBattle#0,"""ARKS Ship Grand Prix"""
CtrlFuncNameOpenRecycle#0,"""Recycle Shop"""
CtrlFuncNameOpenFashion#0,"""Fashion Editing"""
CtrlFuncNameOpenGatStatus#0,"""Gathering Status"""
CtrlFuncNameOpenGatAchieve#0,"""Obtainable Gathering Achievements"""
CtrlFuncNameOpenEquipNote#0,"""Collection File"""
CtrlFuncNameOpenBuySG#0,"""Purchase Star Gems"""
CtrlFuncNameOpenPokaRecord#0,"""Record Details"""
CtrlFuncNameOpenPokaRankMatch#0,"""Battle Ranking Details"""
