favs_before_010#0,"""I would like you to have this."""
sq02_020#0,"""感覚的には、ダーカーの活動が<br>落ち着いているようにも思えるが<br>……相手はダーカー、油断はできない。"""
sq09_010#0,"""一体、私は何をしていたんだ……<br>頭に霞がかかっていて思い出せないが<br>……なんだか、すごく恥ずかしい。"""
sq13_010#0,"""終の女神についてか……<br>残念ながら詳細については不明だ。"""
11_voice_NPC_5254_104#3,"""……元々記録がなかったのか<br>あるいはルーサーが削除したのか<br>それはわからない。"""
ep6_sq00_01#0,"""I find it difficult to be optimistic about this situation. The Intelligence Division is investigating, but...<br>There is no precedent for a situation like this."""
11_voice_NPC_5254_104#4,"""We will have to prepare for our next battle with the strictest resolve. We must forestall the enemy's plans."""
11_voice_NPC_5254_105#0,"""Even after abandoning the Mothership, we haven't detected any sign that we're escaping the enemy pursuit.<br>...We're in quite a predicament."""
11_voice_NPC_5254_104#5,"""Xiao's final word to us was... Amduscia? Perhaps the Dragonkin know something."""
11_voice_NPC_5254_101#0,"""...Well done. You've brought Xiao back. The color seems to be returning to everyone's faces."""
ep6_sq02_02#0,"""From what I understand, all that kept them from being totally crushed was their belief that you would be able to bring us back from the edge. You proved that faith justified."""
11_voice_NPC_5254_104#6,"""So Shiva had that much power. I cannot help feeling shaken."""
ep6_sq02_01_02#0,"""However, we must not lose heart. We may be able to slow the enemy's pace."""
ep6_sq02_01_03#0,"""The Information Division will decide on our response carefully. From now on, every decision is vital."""
ep6_sq04_01_01#0,"""...<%me>.<br>Thank you for fighting with us on Earth."""
ep6_sq04_01_02#0,"""I've returned here temporarily to help the Commander formulate a strategy, but I can't bear to stay for long."""
11_voice_NPC_5254_100#3,"""We cannot let them do as they please with the Earth. We will protect it always... You may be assured of that."""
text01#0,"""やったな。<br>一時はどうなることかと思ったが。<br><%me>の努力の成果だ。"""
11_voice_NPC_5254_100#4,"""未来はこれから築かれる。<br>アークスに、そして地球に訪れる<br>平和な未来が……な。"""
