st_058160_0010#0,"""말도 안 돼……내가……<br>졌다고……?"""
st_058160_0630#0,"""신을 이어받았으니<br>신이 있어야 할 곳으로……<br>세계 그 자체로 돌아가야 합니다."""
st_058160_0640#0,"""신의 구현 같은 억지는<br>이번 한 번만의 반칙이었으니까요."""
st_058160_0650#0,"""그 그럼, 결국 하리엣은<br>여기에서 사라진다는 거야!?<br>난 그런 거 싫은데!"""
st_058160_0660#0,"""아뇨. 사라지는 게 아닙니다.<br>저는 세계와 하나가 되어, 모두를 지탱하는 존재가 되는 겁니다."""
st_058160_0670#0,"""원래는 공허에서 나타난 제가<br>모두를 지탱하는 토대가 됩니다.<br>……이렇게 기쁜 일은 없습니다."""
st_058160_0680#0,"""하리엣……"""
st_058160_0690#0,"""슬퍼하지 말아주세요.<br>마르가레타."""
st_058160_0700#0,"""괜찮습니다. 제가 익숙해지면<br>신왕인 당신과는<br>얼마든지 만날 수 있을 테니까."""
st_058160_0710#0,"""그때까지, 그……<br>신성 에피쿠엔트 마도국 이었죠?<br>잘 부탁드립니다."""
st_058160_0720#0,"""뭐야 요정! 수호휘사!<br>뭔가 너희들 몸에서도<br>이상한 거 나오고 있는데!?"""
st_058160_0730#0,"""구세는 이루어졌다.<br>……그런 것이겠지요."""
st_058160_0740#0,"""……수호휘사.<br>이제 감사는 다 전했습니다.<br>그러니 저는 한마디만 더 하겠습니다."""
st_058160_0750#0,"""다시 만날 수 있는 날을<br>진심으로 바라고 있습니다."""
st_058160_0760#0,"""안녕히 가세요 수호휘사.<br>전 언제나 당신들과 함께입니다."""
name01#0,"""초대 클라리스 클레이스"""
name02#0,"""？？？"""
