name_7224#0,"""Xitrae"""
ssn_019090_002_0012#0,"""ฉันติดต่อไปหาคนที่อยู่ในเหตุการณ์บางคนแล้วล่ะ ช่วยไปฟังที่พวกเขาเล่าให้หน่อยได้ไหม?"""
ssn_019090_002_0013#0,"""ฉันเตรียมของตอบแทนไว้อย่างดีแน่นอน"""
ssn_019090_002_0014#0,"""เอาล่ะ ฝากด้วยนะ!"""
ssn_019090_002_0015#0,"""<%me>! ขอบใจที่มานะ"""
ssn_019090_002_0016#0,"""เอาล่ะ เข้าเรื่องเลยแล้วกัน..."""
ssn_019090_002_0017#0,"""ยินดีต้อนรับกลับมา! เป็นไงบ้าง? รู้อะไรมาบ้างไหม?"""
ssn_019090_002_0018#0,"""ถ้าฉันรู้ว่าใครเป็นคนทำ ฉันสัญญาเลยว่าพวกมันจะต้องเสียใจที่เกิดมาเลย--"""
ssn_019090_002_0019#0,"""...โอเค ใจเย็นไว้ Xitrae ใจเย็นๆ..."""
ssn_019090_002_0020#0,"""หายใจเข้าลึกๆ... เข้า... ออก..."""
ssn_019090_002_0021#0,"""เอาล่ะ ช่วยสรุปที่พวกนั้นเล่าให้ฉันฟังหน่อยได้ไหม?"""
ssn_019090_002_0022#0,"""..."""
ssn_019090_002_0023#0,"""งั้นเหรอ... บางอย่าง ตัวกลมๆ เล็กๆ... แล้วก็มีมือ..."""
ssn_019090_002_0024#0,"""อืม... เข้าใจแล้ว..."""
ssn_019090_002_0025#0,"""เอ๊ะ? มันคือตัวอะไรกันนะ...?"""
ssn_019090_002_0026#0,"""จากลักษณะที่บอกมา เธอพอจะนึกออกไหม?"""
ssn_019090_002_0027#0,"""จริงด้วย! ไม่มีอะไรจะ 'กลม' ไปกว่าพวกนั้นอีกแล้ว!"""
ssn_019090_002_0028#0,"""แต่ว่า Gororons ก็ไม่ใช่ตัวเล็กๆ นะ?"""
ssn_019090_002_0029#0,"""อ๋อ! เจ้าตัวอ้วนกลมนั่น! Tames สินะ... นึกไม่ถึงเลยแฮะ"""
ssn_019090_002_0030#0,"""แต่ว่า... Sunny จะทำอะไรแบบนั้นได้จริงๆ เหรอ...?"""
ssn_019090_002_0031#0,"""อ๋อ พวกบ้าพลังที่ชอบยกหินไปไหนมาไหนน่ะเหรอ..."""
ssn_019090_002_0032#0,"""แต่ว่า Za Oodan Loa ก็ไม่ได้ตัวกลมเลยนะ?"""
ssn_019090_002_0033#0,"""อืมมม... น่าจะเป็นตัวอื่นมากกว่ามั้ง..."""
ssn_019090_002_0034#0,"""อ๊ะ นึกออกแล้ว! ลองใช้ Dango ล่อตัวการออกมาสิ! <%me> ช่วยหน่อยได้ไหม?"""
ssn_019090_002_0035#0,"""...ตัวกลมๆ เล็กๆ มีมือ..."""
ssn_019090_002_0036#0,"""เข้าใจล่ะ ที่พวกนั้นหมายถึงก็คือ..."""
ssn_019090_002_0037#0,"""เร็วเข้า รีบตาม Tsukimi Rappy ตัวนั้นไป!"""
ssn_019090_002_0038#0,"""ยินดีต้อนรับกลับมา ขอโทษที่ทำให้วุ่นวายนะ"""
ssn_019090_002_0039#0,"""...เอาจริงๆ ใครจะไปคิดว่าตัวการคือ Rappy ล่ะ?"""
ssn_019090_002_0040#0,"""ถ้าเป็น DOLL ล่ะก็ ฉันไม่ออมมือให้แน่ แต่... ก็นะ Rappy ก็คือ Rappy ล่ะมั้ง"""
ssn_019090_002_0041#0,"""ขืนมีคนรู้เข้าว่าเราโดนพวกนั้นปั่นหัวล่ะก็ หัวหน้าฉันร้องไห้แหงๆ..."""
ssn_019090_002_0042#0,"""งั้นฉันจะ... เขียนรายงานลงไปว่านี่เป็นเหตุสุดวิสัยจากการโดนศัตรูซุ่มโจมตีก็แล้วกัน"""
ssn_019090_002_0043#0,"""...เขาว่ากันว่า Tsukimi Dango มีลักษณะคล้ายกับดวงจันทร์ Gaeira ที่ส่องแสงบนท้องฟ้าในช่วงเวลานี้ของปีเลยนะ"""
ssn_019090_002_0044#0,"""เห็นว่าถ้ากินตามจำนวนอายุของตัวเอง จะมีเรื่องดีๆ เกิดขึ้นล่ะ"""
ssn_019090_002_0045#0,"""ฉันก็เลยอยากจะทำเผื่อไว้ให้ ARKS ทุกคนกินได้แบบเหลือเฟือยังไงล่ะ"""
ssn_019090_002_0046#0,"""แต่ว่า... ในเมื่อมันหายไปแล้ว ปีนี้เราคงต้องทำเพิ่มขึ้นอีกเยอะเลยล่ะ"""
ssn_019090_002_0047#0,"""การหาวัตถุดิบทั้งหมดมาทำใหม่นี่คงจะเหนื่อยน่าดูเลยแฮะ..."""
ssn_019090_002_0048#0,"""ยังไงก็เถอะ ถ้าสนใจล่ะก็ ลองชิมดูสิ"""
ssn_019090_002_0049#0,"""เอาล่ะ ในที่สุดปัญหาก็คลี่คลายแล้ว"""
ssn_019090_002_0050#0,"""คลี่คลายเหรอ? คลี่คลายจริงๆ ใช่ไหม? ...ช่างเถอะ ถือว่าคลี่คลายแล้วก็แล้วกัน"""
ssn_019090_002_0051#0,"""ฉันขอไปจัดการงานต่อไปก่อนนะ"""
ssn_019090_002_0052#0,"""ยังไงก็ขอบใจมากนะที่ช่วย หวังว่าในอนาคตฉันจะพึ่งพาเธอได้อีกนะ"""
ssn_019090_002_0053#0,"""แล้วเจอกัน!"""
ssn_019090_002_0054#0,"""ในการต่อสู้ เสบียงก็เหมือนกับเส้นชีวิตนั่นแหละ!"""
ssn_019090_002_0055#0,"""เราจะไม่ยอมให้การซุ่มโจมตีของศัตรูตัวเล็กๆ มาหยุดเราได้หรอก!"""
npc_select_0001#0,"""อาจจะ Gororon...?"""
npc_select_0002#0,"""แล้ว Sunny ล่ะ?"""
npc_select_0003#0,"""Za Oodan Loa ก็อาจจะใช่..."""
npc_menu_0001#0,"""แลก Ticket"""
npc_menu_0002#0,"""แลก Seasonal Point (สิ้นสุด $(0))"""
npc_menu_0003#0,"""ถามเกี่ยวกับ Seasonal Event"""
npc_menu_0004#0,"""ปิดเมนู"""
npc_menu_0005#0,"""เกี่ยวกับ Seasonal Points"""
npc_menu_0006#0,"""เกี่ยวกับตัวละคร Seasonal Event"""
npc_menu_0007#0,"""เกี่ยวกับ Daily/Weekly Tasks"""
npc_menu_0008#0,"""เกี่ยวกับ Mischief Symbols"""
npc_menu_0009#0,"""เกี่ยวกับ Seasonal Gathering"""
npc_menu_0010#0,"""เกี่ยวกับ Seasonal Region Mags"""
npc_menu_0011#0,"""เกี่ยวกับ Seasonal Enemies"""
npc_menu_0012#0,"""เกี่ยวกับ World Trials"""
npc_menu_0014#0,"""ช่างมันเถอะ"""
npc_menu_0015#0,"""แลก Gathering Item"""
