Title#0,"""Batalla contra el Devil Castle"""
OnAttackPhase1Start0#0,"""¡Convocando Buster Pile!<br>¡ escolte la carga y derribe las barreras enemigas!"""
OnAttackPhase1Start1#0,"""¡Convocando Buster Pile!<br>Protege el Buster Pile! de los ataques enemigos y destruye las barreras restantes!"""
OnAttackPhase1Start2#0,"""¡Convocamos el Buster Pile!<br>¡Vamos a romper las barreras!"""
OnAttackPhase2Start0#0,"""¡Destruimos con éxito todas las barreras!<br>¡Todo lo que queda es derrotar al Devil Castle!<br>Vamos a atacar el núcleo ubicado en el abdomen!"""
OnAttackPhase2Start1#0,"""¡El Devil Castle desata su asalto hacia las Buster towers a intervalos regulares!<br>¡Por favor destruye el núcleo tan pronto como sea posible!"""
OnAttackPhase3Start0_0#0,"""¡Muévase a las escaleras izquierdas o derechas que conducen hacia el centro para atacar el Devil Castle!"""
OnAttackPhase3Start0_1#0,"""¡El Devil Castle comenzará su ataque de láser a intervalos!<br>¡Date prisa y derrotalo!"""
OnAttackPhase3Start1#0,"""Escala en su mecanismo de defensa y atacar el punto débil del<br>Devil Castle!"""
OnDefencePhase1End0#0,"""El asalto enemigo ha sido suprimido!<br>Estamos convocando Buster Pile.<br>Por favor prepare para avanzar!"""
OnDefencePhase1End1#0,"""Vamos a iniciar la convocatoria y atacar las barreras!<br>Recoge Mana y vamos a aumentar el número de pilas!"""
OnDefencePhase1End2#0,"""Buster Pile convocó!<br>¡Por favor, prepara tu asalto!"""
OnAttackPhase1End0#0,"""¡El Buster Pile ha finalizado y los refuerzos enemigos han llegado!<br>Predecimos que el enemigo comenzará a apuntar a las Buster towers de nuevo,<br>así que por favor, defiéndenlo!"""
OnAttackPhase1End1#0,"""¡El Buster Pile ha desaparecido y el enemigo está enviando otro asalto!<br>¡Proteja las Buster towers!"""
OnAttackPhase1End2#0,"""El Buster Pile es destruido y una vez más, el enemigo está enviando refuerzos!<br>¡Proteja las Buster towers!"""
OnDefencePhaseEndByTimeOver#0,"""¡El ejército enemigo ha cambiado su estrategia!<br>¡Cuidado! Algunos de ellos parecen ser unidades kamikaze!"""
OnDefencePhaseEnemyDecrease0#0,"""¡Las fuerzas enemigas se debilitan!<br>¡Vamos!"""
OnDefencePhaseEnemyDecrease1#0,"""¡Sólo quedan unos cuantos!<br>¡Sólo un poco más!"""
OnWaveHapping#0,"""¡Hay lecturas inquietantes del Devil Castle!<br>¡Parece que va a atacar!<br>¡Por favor, observen ustedes mismos!"""
OnRamCountIncrease#0,"""Hemos recogido buena cantidad de Mana.<br>Ahora es capaz de convocar más Busters!<br>Por favor continúe recolectando más Mana!"""
OnBaseHpDecrease0#0,"""¡La Buster tower $(0) ha sido dañada!<br>¡Por favor, protegela!"""
OnBaseHpDecrease1#0,"""La Buster tower $(0) no se ve muy bien!<br>¡Por favor, defiendela!"""
OnBrokenBase0#0,"""¡Una Buster Tower ha sido destruida!<br>¡Sólo tenemos 3 restantes!<br>Todavía tenemos margen de maniobra!<br>¡Sigamos adelante!"""
OnBrokenBase1#0,"""¡Otra Buster tower ha sido destruida!<br>¡No podemos predecir nuestro estado actual!<br>Tenga cuidado!"""
OnBrokenBase2#0,"""¡Otra torre ha sido destruida!<br>¡Defiende nuestra última torre!"""
OnBrokenBase3#0,"""Todas las torres han sido destruidas.<br>Es lamentable, pero no podemos continuar la batalla."""
OnBossDeadlySkill#0,"""¡Una lectura de energía demasiado alta viene del Devil Castle!<br>¡Esto es peligroso!<br>¡Aguantelocon todas tus fuerzas!"""
OnHpGaugeDecrease0#0,"""Está disminuyendo nuestras fuerzas!<br>¡Si recibimos más daño, nos retiraremos!"""
OnHpGaugeDecrease1#0,"""¡Nos estamos volviendo más débiles!<br>Es más de lo que podemos soportar!<br>Por favor proteja las torres y reduzca el daño que se está haciendo!"""
OnTimeDecrease0#0,"""¡Nuestro tiempo de combate está por terminar!<br>¡Si podemos destruir el Devil Castle aquí,<br>podremos alcanzar la victoria!"""
OnTimeDecrease1#0,"""¡Nuestro tiempo de combate casi se ha agotado!<br>¡Sólo un poco más!<br>¡Denle con todo lo que tienen!"""
OnSuccessTimeover#0,"""¡Las fuerzas enemigas se están retirando!<br>¡El daño que hemos recibido es mínimo!<br>¡Y nos hemos apoderado de la victoria!"""
OnSuccessBreakGauge#0,"""¡El Devil Castle ha sido destruido!<br>¡Hemos logrado la victoria!"""
OnSuccessReturn#0,"""¡Gracias por su duro trabajo!<br>Por favor regrese."""
OnFailureTimeover#0,"""Las torres Buster han sido dañadas.<br>Luchar es difícil.<br>Vámonos de inmediato."""
OnFailureAnnihilationBase#0,"""Todas las torres han sido destruidas...<br>Ya que no podemos luchar más,<br>vamos a retirarnos."""
OnFailureReturn#0,"""Ya veo,<br>no se pudo evitar...<br>Por favor regrese."""
