Title#0,"""마신성전 : 부단의 투지"""
OnBrokenBase1#0,"""두 번째 파계추도 기능 정지했습니다!<br>섣부른 판단은 용납되지 않아요!<br>주의해주세요!"""
OnBrokenBase2#0,"""세 번째 파계추, 기능 정지!<br>나머지 하나는 반드시 사수해주세요!"""
OnBrokenBase3#0,"""모든 파계추의 정지를 확인.<br>안타깝지만 이 이상<br>전투 계속은 불가능합니다."""
OnBossDeadlySkill#0,"""마신성에서 초 거대 에너지 반응!<br>이대로 있다간 거점이 위험해요!<br>전력으로 버텨주세요!"""
OnHpGaugeDecrease0#0,"""아군 피해 확대 중!<br>이 이상 피해가 커지면<br>철수하게 될 거에요!"""
OnHpGaugeDecrease1#0,"""아군 피해 막대! \u3000이 이상은<br>버틸 수 없습니다! \u3000파계추를 지켜<br>피해를 최소한으로 줄여주세요!"""
OnTimeDecrease0#0,"""전투 가능 시간, 앞으로 반 남았습니다!<br>상황이 이쪽으로 기울었다면 승리지만<br>가능하다면 마신성을 격파해 주세요!"""
OnTimeDecrease1#0,"""전투 가능 시간, 얼마 남지 않았습니다!<br>앞으로 조금, 마지막까지 포기하지 말고<br>힘을 내 주세요!"""
OnSuccessTimeover#0,"""적군의 철수를 확인했습니다!<br>피해도 그렇게 크지 않고<br>저희의 승리에요!"""
OnSuccessBreakGauge#0,"""마신성의 소멸을 확인!<br>저희의 완전한 승리에요!"""
OnSuccessReturn#0,"""그럼 귀환해주세요.<br>수고하셨어요!"""
OnFailureTimeover#0,"""파계추의 손상을 확인.<br>이 이상의 전투는 어렵습니다.<br>일단은 철수하도록 해요."""
OnFailureAnnihilationBase#0,"""모든 파계추의 기능 정지를 확인……<br>이 이상 전투 계속은 어려우니<br>일단 철수하도록 해요."""
OnFailureReturn#0,"""안타깝지만……어쩔 수 없어요.<br>귀환해주세요."""
NpcComMsg1#0,"""곧 전송이 시작됩니다.<br>이번 목표는 베른의 마신성 격파에요!"""
NpcComMsg2#0,"""마신성 뿐만이 아니라 거대한 힘도 감지……<br>아마, 펄스 휴날일 거에요!<br>부디 주의해 주세요!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 보유"""
a4#0,"""슈퍼 하드 수주 허가증 보유"""
