Title#0,"""Battle the Devil Castle"""
OnDefencePhase1End2#0,"""Buster Pile summoned!<br>Please prepare your assault!"""
OnAttackPhase1End0#0,"""The Buster Pile has finished and<br>enemy reinforcements have arrived!<br>We predict the enemy will start to<br>target the Buster towers again, so<br>please defend it!"""
OnAttackPhase1End1#0,"""The Buster Pile has disappeared and<br>the enemy is sending another assault!<br>Protect the Buster towers!"""
OnAttackPhase1End2#0,"""The Buster Pile is destroyed and<br>once again, the enemy is sending<br>reinforcements! Protect the Buster towers!"""
OnDefencePhaseEndByTimeOver#0,"""The enemy army has changed its<br>strategy! Watch out! Some of them<br>appear to be kamikaze units!"""
OnDefencePhaseEnemyDecrease0#0,"""The enemy forces are weakening!<br>Let's take them out!"""
OnDefencePhaseEnemyDecrease1#0,"""There's only a few of them left!<br>Just a little more!"""
OnWaveHapping#0,"""There's disturbing readings from the<br>Devil Castle! It seems it's going to<br>attack! Please watch yourselves!"""
OnRamCountIncrease#0,"""We've collected more Mana.<br>You're able to summon more Busters!<br>Please continue to collect more Mana!"""
OnBaseHpDecrease0#0,"""The $(0) Buster towers has been<br>damaged! Please help it!"""
OnBaseHpDecrease1#0,"""The $(0) Buster towers doesn't look<br>very good! Please help save it!"""
OnBrokenBase0#0,"""A Buster towers has been destroyed!<br>We only have 3 remaining! We still<br>have leeway! Let's hurry and proceed!"""
OnBrokenBase1#0,"""Another Buster towers has been<br>destroyed! We cannot predict our<br>current status! Please be careful!"""
OnBrokenBase2#0,"""Another towers has been busted!<br>Defend our last towers!"""
OnBrokenBase3#0,"""All towerss have been destroyed.<br>It's regrettable, but we cannot<br>continue the battle."""
OnBossDeadlySkill#0,"""An ultra-high energy reading is<br>coming from the Devil Castle!<br>This is dangerous! Endure it with<br>all your might!"""
OnHpGaugeDecrease0#0,"""Our forces strength is declining!<br>If we receive more damage, we will<br>withdraw!"""
OnHpGaugeDecrease1#0,"""We're getting severely weaker!<br>It's more than we can stand!<br>Please protect the towers and reduce<br>the damage being done!"""
OnTimeDecrease0#0,"""Our combat time is almost done!<br>If we can destroy the Devil Castle<br>here, we can grasp victory!"""
OnTimeDecrease1#0,"""Our combat time has almost depleted!<br>Just a little more, give it everything<br>we got!"""
OnSuccessTimeover#0,"""The enemy forces are retreating!<br>The damage we've received is minimum!<br>And we have seized victory!"""
OnSuccessBreakGauge#0,"""The Devil Castle has been destroyed!<br>We have grasped victory!"""
OnSuccessReturn#0,"""Thank you for your hard work!<br>Please return."""
OnFailureTimeover#0,"""Buster towerss have been damaged.<br>Fighting is hard.<br>Let's retreat at once."""
OnFailureAnnihilationBase#0,"""All of the towerss have been<br>destroyed... Since we cannot<br>fight anymore, let's retreat."""
OnFailureReturn#0,"""I see, it cannot be helped...<br>Please return."""
NpcComMsg1#0,"""まもなく魔神城戦です！<br>既に障壁の展開も確認されており<br>激戦が予想されます。"""
NpcComMsg2#0,"""破界鎚を召喚して障壁を破壊し<br>魔神城に接近、これを撃破して下さい。<br>健闘を祈ります！\u3000頑張って下さい！"""
