text00#0,"""Acerca de la Buster Quest"""
text06#0,"""Los enemigos no botaran objetos hasta<br>El final de la misión.<br><br>Además, el rango de resultados aumentará<br>o disminuira segun el resultado final.<br><br><yellow>※ La Recompensa de la misión depende del<br>Número de Puntos Buster adquiridos, lo que<br>Aumente su Rare Drop Rate.<c><br><br>¡Por favor coopere y destruya el Devil Castle!"""
Title#1,"""Acerca de Phases"""
text01#1,"""La <c 00ffff>Fase de Defensa<c> es cuando los jugadores defienden<br>la Buster Tower e los ataques enemigos.<br>Los jugadores pueden Optar por derrotar<br>a los enemigos que aparecen o defender<br>hasta que la fase haya terminado.<br><br>Cada vez que avanza una Fase,<br>la dificultad aumenta."""
text02#1,"""Los enemigos que aparescan durante la Fase de Defenza<br><yellow>podran transferirse a la Torre Buster<c> durante este tiempo.<br><br>Los enemigos cambiaran de apariencia antes<br>de transferirse. Por favor<br>ten cuidado de ellos."""
text03#1,"""Cuando finalice la Fase de Defensa,<br>Pasar a la <c 00ffff>Fase Buster <c>.<br><br>La Fase Buster utiliza Buster Piles para destruir<br>Las Devil Barriers que protegen al Devil Barriers"""
text04#1,"""Destruyendo todos los Devil Barriers se podra<br>comenzar la etapa de ataque, está nos permitirá<br>destruir el nucleo del Devil Castle.<br><br>En este momento, <yellow>el Devil Castle disparara<br>rayos laser hacia las Torres Buster<c>en intervalos regulares.<br>Destruye el Devil Castle lo mas rápido que puedas.<br>"""
text05#1,"""El Devil Castle no puede ser derrotado,<br>incluso si usted destruye un núcleo.<br><br>Para derrotar al Devil Castle, debes<br>destruir su Núcleo situado en su cabeza.<br><br>Después de que un núcleo ha sido destruido,<br>La Fase de Defensa comenzará de nuevo.<br>Pueden ocurrir ataques de gran alcance.<br><br>Si usted puede sobrevivir está fase,<br>Entonces comienza la fase de ataque."""
text06#1,"""Durante la fase de ataque, avance hacia<br>El centro del Devil Castle usando la<br>escalera izquierda o derecha.<br><br>Usted se encontrará con el mecanismo<br>de defensa del enemigo, que bloqueará<br>el camino hasta que sea destruido."""
text07#0,"""Incluso durante la fase de ataque, la<br>El Devil Castle lanzará periódicamente<br>lasers Hacia las Buster Towers<br><br>Destruye el Devil Castle antes de que pueda<br>Destruir las Buster Towers."""
Title#2,"""Acerca del soporte de Xiera"""
text01#2,"""Durante las Buster Quests, puede<br>Recibir el apoyo de Xiera haciendo<br>lo siguiente:<br><br>· Después de que termine la Fase Buster,<br>Iniciar inmediatamente otra Fase Buster<br>Sin iniciar una fase de defensa<br><br>· Durante la fase de ataque, los ataques<br>Hecho a la Buster Tower por el<br>El Devil Castle se suprimen<br>"""
Title#3,"""Acerca de los ataques y armas del Devil Castle"""
text01#3,"""Durante la Misión, pueden aparecer las armas Demoniacas.<br><br>Las armas del diablo Demoniacas:<br><br><C 00ffff> · Invocación de torreta<c><br>Dispara una viga hacia la Buster Tower por un tiempo limitado."""
text02#2,"""<c 00ffff>・Ephimera Core<c><br>Se aferra a la Buster Tower<br>Pealizando daño regularmente.<br>El daño aumenta con el tiempo.<br><br><c 00ffff> · Devil Turret<c><br>Es un arma de munición que se genera<br>Cerca de Buster Piles y Jugadores.<br>Ataca en intervalos regulares y<br>También puede congelar objetivos."""
text03#2,"""Aparte de la lucha contra las armas<br>demoniacas, los ataques del Devil<br>Castle en sí han sido confirmados.<br><br>Se visualiza una advertencia cuando<br>un poderoso ataque desde el<br>Devil Castle se acerca."""
Title#4,"""Acerca de las armas ARKS"""
text01#4,"""Las armas que se usan para apoyar las<br>Buster Towers se llaman Armas ARKS.<br><br>Hay 2 tipos de Armas ARKS:<br><C 00ffff> ◆ Objeto pasivo<c><br><C 00ffff> ◆ Objeto activo<c>"""
text02#3,"""Los objetos pasivos son armas que producen constantemente<br>efectos después de la instalación hasta que son destruidos<br>por los enemigos.<br><br><c 00ffff> · Shotgun Turret<c><br>Dispara una fuerte cantidad de balas, pero<br>El tiempo de reutilización se produce después del disparo.<br><br><c 00ffff> · Gatling Turret<c><br>Dispara una corriente de balas hacia delante.<br><br><c 00ffff> · Slow Trap<c><br>Enemigos que pasan por la trampa lenta<br>Tienen su velocidad de movimiento reducida.<br>No puede ser destruido por los ataques enemigos."""
text03#3,"""Los objetos activos generan efectos en<br>Su uso discrecional.<br>※ El número de usos se comparte entre<br>todos los jugadores<br><br><c 00ffff> · Reject Barrier<c><br>Barreras que impiden el asalto enemigo.<br>Las barreras serán levantadas después de Período<br>de tiempo, o si es destruido por el enemigo.<br><br><c 00ffff> · Freeze Barrier<c><br>Usa atributos de hielo que rodean la Buster Tower<br>y congelar al enemigo.<br>Se puede utilizar para destruir el Ephimera Core."""
text04#2,"""<c 00ffff>・Photon Laser Cannon<c><br>Un arma que libera un rayo después<br>de cargar durante unos segundos.<br><br><c 00ffff> · Photon Punisher<c><br>Un arma que deja caer un poderoso rayo<br>señalando un área determinada<br>desde el cielo.<br><br><c 00ffff> · Telepipe Cannon<c><br>Lanza un Telepipe a una ubicación seleccionada.<br>※ Solo se puede crear un Portal<br>De un Telepipe Cannon."""
text05#2,"""Las Armas ARKS aparecen en todo el terreno.<br>Al recoger una cierta cantidad de Mana,<br>Los efectos siguientes pueden ocurrir al azar:<br><br>· Mejoras en Armas ARKS<br>· Aumentar la frecuencia de la capacidad de uso<br>en Armas ARKS con una cantidad limitada de usos."""
Title#5,"""Acerca de los conjuntos de armas"""
text01#5,"""Puede colocar una combinación de<br>ARMAS múltiples delante de<br>Las Buster Towers.<br><br>Para Buster Quests de Grado 2 o superior,<br>Los jugadores pueden elegir qué armas colocar<br>Al inicio de la misión.<br><br>Los jugadores pueden elegir diferentes<br>conjuntos de armas con diferentes<br>Combinaciones."""
