ssc_508030_0010#0,"""เหวอ... อ้าว <%me> นี่เอง"""
ssc_508030_0380#0,"""การค้นพบในครั้งนี้อาจจะช่วยให้เราสามารถบอกได้เสียที<br>ว่าตัวตนเหล่านั้นคือ 'ใคร' กันแน่"""
ssc_508030_0390#0,"""เมื่อหลายปีก่อนพวกเขาพยายามจะทำอะไรกันแน่?"""
ssc_508030_0400#0,"""มีอะไรอย่างอื่นอีกบ้าง<br>เมื่อหลายปีก่อนนั้น?"""
ssc_508030_0410#0,"""ผมคิดว่าอีกไม่นานพวกเราคงจะ<br>ต้องหาคำตอบสำหรับคำถามเหล่านี้แล้วล่ะครับ"""
ssc_508030_0420#0,"""บางทีในอนาคตอันใกล้นี้ พวกเราอาจจะต้องเผชิญหน้ากับ<br>ภัยคุกคามที่ยิ่งใหญ่กว่า Dark Falz ก็ได้นะ"""
ssc_508030_0430#0,"""ถ้าพวกเราจะเตรียมพร้อมสำหรับทุกความเป็นไปได้<br>พวกเราก็ต้องเรียนรู้ให้ได้มากที่สุดเท่าที่จะทำได้..."""
ssc_508030_0440#0,"""นั่นแหละคือเหตุผลที่ว่าทำไม..."""
ssc_508030_0450#0,"""...อ้า ขอโทษทีๆ เผลอพูดออกนอกเรื่อง<br>ไปอีกแล้วสิเนี่ย"""
ssc_508030_0460#0,"""ถ้าผมเข้าใจเรื่องพวกนี้ได้ดีกว่านี้เมื่อไหร่<br>จะอธิบายให้ฟังอย่างเป็นระบบกว่านี้นะครับ"""
ssc_508030_0470#0,"""ฟู่... อย่างแรกเลยก็คือ พวกเราจะต้อง<br>หาเบาะแสให้มากกว่านี้ก่อน"""
ssc_508030_0480#0,"""ผมจะติดต่อครอว์ฟอร์ด (Crawford) และทีมนักวิจัยของเขา<br>เพื่อดูว่าพวกเราพอจะแลกเปลี่ยนข้อมูลอะไรกันได้บ้าง"""
ssc_508030_0490#0,"""และกับรีเทม (Retem) ด้วย ถ้าเป็นไปได้นะ"""
ssc_508030_0500#0,"""แปลกจัง ไม่รู้ทำไม มักจะ<br>เรียบเรียงความคิดได้ดีเสมอหลังจากที่ได้คุยด้วยน่ะ"""
ssc_508030_0510#0,"""ขอบคุณที่คุยเป็นเพื่อนผมนะ"""
ssc_508030_0520#0,"""ผมจะกลับไปที่กระท่อม (Lodge)<br>และเริ่มเขียนบันทึกต่อแล้วล่ะ"""
ssc_508030_0530#0,"""ไว้เจอกันใหม่นะ"""
