ssc_508010_0010#0,"""...เอ๊ะ? อ้าว <%me> นี่เอง"""
ssc_508010_0300#0,"""ให้ตายสิ เมรี่ (Meri) ต้องบ่นผม<br>ไม่หยุดแน่ๆ เลย..."""
ssc_508010_0310#0,"""อ-อ้าว...<br>โดนบ่นด้วยเหมือนกันเหรอ?"""
ssc_508010_0320#0,"""รู้ไหม ตอนที่เรากลับไปที่กระท่อม (Lodge) ในวันนั้น<br>เมรี่ (Meri) บ่นผมไม่ยอมหยุดเลยล่ะ..."""
ssc_508010_0330#0,"""เอาเป็นว่า ตอนนี้ผมจะคอยบอกใครสักคน<br>เสมอเวลาที่จะออกไปไหนน่ะ"""
ssc_508010_0340#0,"""แล้วถ้าจะกลับช้า<br>ก็จะโทรบอกล่วงหน้าเพื่อให้ใครสักคนรู้ด้วย"""
ssc_508010_0350#0,"""ถ้าเป็นไปได้ ก็จะพยายามไม่<br>ทำทุกอย่างด้วยตัวเองคนเดียวแล้วล่ะ"""
ssc_508010_0360#0,"""แต่ผมก็ไม่ใช่คนเดียวที่เป็นแบบนั้นหรอกนะ<br>เมื่อก่อน พวกเราทุกคนก็แค่ทำเรื่องของตัวเองไปวันๆ น่ะ"""
ssc_508010_0370#0,"""แต่ช่วงหลังมานี้ สังเกตเห็นว่าทุกคนเริ่ม<br>สื่อสารและทำกิจกรรมร่วมกันมากขึ้นแล้วล่ะ"""
ssc_508010_0380#0,"""รู้สึกเหมือนว่า ตั้งแต่เกิดเรื่องในครั้งนั้น<br>พวกเราทุกคนเปลี่ยนไปเยอะเลย"""
ssc_508010_0390#0,"""เอาล่ะ!"""
ssc_508010_0400#0,"""ตั้งแต่นี้เป็นต้นไป ผมจะช่วยเหลือ<br>เอลิโอ (Aelio) ให้มากกว่าที่เคยเลยล่ะ"""
ssc_508010_0410#0,"""จะช่วยเรื่องเซ็นทรัลแคนนอน (Central Cannon)<br>แล้วก็สนับสนุนโปรเจกต์อื่นๆ ด้วย"""
ssc_508010_0420#0,"""นั่นเป็นความพยายามที่<br>ผมมั่นใจว่าจะมีประโยชน์อย่างแท้จริงเลยล่ะ"""
ssc_508010_0430#0,"""ดังนั้น ขอย้ำอีกครั้งนะ..."""
ssc_508010_0440#0,"""พวกเรามาพยายามให้เต็มที่กันเถอะ"""
