DetailsFormTitle#0,"""Mission Pass Details"""
TierBuyToastMessage#0,"""Tier Purchase complete."""
GoldPassBuyToastMessage#0,"""Mission Pass Gold Ticket purchase complete"""
DefaultSeasonTitle#0,"""Season Title"""
GoldPassInfoMessage#0,"""Gold rewards must be unlocked by using a Mission Pass Gold Ticket."""
GoldPassInfoMessage2#0,"""Gold rewards unlocked."""
ErrorMessageTitle#0,"""Message"""
ErrorMessageTitle2#0,"""Mission Pass"""
ErrorMessageTierBuy#0,"""Tier purchase failed."""
ErrorMessageGoldPassBuy#0,"""Mission Pass Gold Ticket purchase failed."""
ErrorMessageAlreadyGoldPassTerm#0,"""You have already unlocked Gold rewards."""
ErrorMessageTierLvMax#0,"""You have already reached the maximum Tier."""
ErrorMessageGeneral#0,"""An unexpected error has occurred. Receipt cancelled."""
ErrorMessage_NotPlay#0,"""An unexpected error has occurred. Please close the Mission Pass screen."""
ErrorMessage_Received#0,"""These rewards have already been received."""
MPDetailSwitching#0,"""<%Function>: View item details"""
MPDetailSwitching_Key#0,"""<%MultiSelect>: View item details"""
MPRewardDetailSwitching#0,"""<%Function>: Show preview"""
MPRewardDetailSwitching_Key#0,"""<%MultiSelect>: Show preview"""
RewardAcceptanceForm_other#0,"""...and $(0) more"""
ErrorMessageGeneral2#0,"""An unexpected error has occurred."""
MP_Error_Inventorylimit#0,"""Could not receive, either because your item pack is full or because you have the maximum amount of one of the items."""
RewardDetailsFormMessage#0,"""You can receive the following rewards:<br><yellow>※You can only select one Group's rewards.<c>"""
RewardReceivingFormMessage1#0,"""You can receive the below rewards from this Tier.<br><yellow>※You can only select one Group's rewards.<c><br><yellow>※Please ensure you can use the items you select.<c>"""
RewardReceivingFormMessage2#0,"""You can receive the below rewards from this Tier."""
TakeText#0,"""Receive"""
MP_PopupMessage#0,"""Select your rewards."""
MP_Group1#0,"""Group 1"""
MP_Group2#0,"""Group 2"""
MP_Group3#0,"""Group 3"""
MP_Group4#0,"""Group 4"""
MP_Group5#0,"""Group 5"""
MP_Group6#0,"""Group 6"""
MP_Group7#0,"""Group 7"""
MP_Group8#0,"""Group 8"""
MP_Group9#0,"""Group 9"""
MP_Group10#0,"""Group 10"""
MP_Group11#0,"""Group 11"""
MP_Group12#0,"""Group 12"""
AnnounceIcon1#0,"""<%TabBack>"""
AnnounceIcon2#0,"""<%TabForward>"""
MainMenu_EveryMP#0,"""Mission Pass"""
StatusLabel_EveryMp_Title#0,"""Basic Mission Pass Information"""
MissionPassOpen#0,"""<%Exception>: Mission Pass"""
MissionPassOpen_Key#0,"""[Ctrl]＋[Tab]: Mission Pass"""
StatusLabel_EveryMp_Season#0,"""Season"""
StatusLabel_EveryMp_Goldpass1#0,"""Gold Ticket"""
StatusLabel_EveryMp_Goldpass2#0,"""Available"""
StatusLabel_EveryMp_Goldpass3#0,"""Unavailable"""
StatusLabel_EveryMp_tea1#0,"""Tier"""
StatusLabel_EveryMp_tea2#0,"""Stars to Next Tier"""
StatusLabel_EveryMp_teamission#0,"""Tier Missions cleared"""
StatusLabel_EveryMp_NotPlaySeason#0,"""Season Over"""
MenuEquipmentOpen#0,"""Open Equip Screen"""
MenuCustomOpen#0,"""Open Customization Screen"""
MissionList_GotoMissionPass#0,"""<%Function>: Mission Pass"""
MissionList_GotoMissionPass_Key#0,"""<%MultiSelect>: Mission Pass"""
MissionDaily#0,"""Daily Missions"""
MissionDailyLimit#0,"""Daily at <utc>15:00</utc>"""
MissionWeekly#0,"""Weekly Missions"""
MissionWeeklyLimit#0,"""<utcdow>Wed.4:00</utcdow>"""
MissionTier#0,"""Tier Missions"""
MissionTierLimit#0,"""<utc>$(0)</utc>"""
MissionLimitTime#0,"""<utcymdt>$(0)</utcymdt>"""
MissionPassOpen#1,"""<%Exception>: Mission Pass"""
MissionPassOpen_Key#1,"""[Ctrl]＋[Tab]: Mission Pass"""
WelcomeMovie_Title#0,"""Welcome to PSO2!"""
WelcomeMovie_CancelTitle#0,"""Confirm Exit"""
WelcomeMovie_CancelMessage#0,"""This will end the video. Are you sure you wish to continue?"""
WelcomeMovie_CancelYes#0,"""Yes"""
WelcomeMovie_CancelNo#0,"""No"""
