PB#0,"""포톤 블래스트"""
MoveTargetMsg#0,"""우선도 $(0)번째로 이동"""
Update#0,"""갱신"""
ConfirmTitle#1,"""트리거 액션 우선도 변경 확인"""
Title#5,"""액션 확인"""
TANumber#0,"""$(0)"""
Msg1#3,"""마그를 장비했습니다."""
Msg2#2,"""마그를 해제했습니다."""
Error1#2,"""마그를 장비하지 못했습니다.<br><br>[No.2200]"""
Error2#0,"""마그를 해제하지 못했습니다.<br><br>[No.2201]"""
ListTitle#0,"""마그 형태 변경 패스 사용"""
Indicate#3,"""<c f0df60>마그 형태 변경 패스를 사용하여 사용한 적이 있는 진화 디바이스 형태로 변경할 수 있습니다, 변경 할 형태를 골라주세요.<c>"""
EmptyList#0,"""등록된 형태가 없습니다."""
PopupMenuChangeFigure#0,"""이 형태로 변경하기"""
PopupMenuRegisterFavorite#0,"""즐겨찾기에 등록하기"""
PopupMenuCancelFavorite#0,"""즐겨찾기 해제"""
ChangeFigureConfirm#0,"""마그 형태 변경 패스를 사용하여<br>「$(0)」의 형태로 변경합니다.<br>괜찮습니까?<br><br>마그 형태 변경 패스（소지 수：$(1)）"""
SortItemFavorite#0,"""즐겨찾기"""
SameFigureError#0,"""현재와 동일한 형태이기 때문에<br>선택할 수 없습니다."""
LevelError#0,"""마그가 레벨 100이 될 때까지 형태를 변경할 수 없습니다."""
ChangeFigurePassError#0,"""마그 형태 변경 패스가 없어<br>실행할 수 없습니다."""
FavoriteMaxError#0,"""즐겨찾기 등록 수가 상한인 20건에<br>도달하고 있어 등록할 수 없습니다."""
ChangeFigureResult#0,"""패스를 사용하여 「$(0)」의 형태로 변경했습니다."""
RegisterFavoriteResult#0,"""즐겨찾기에 등록했습니다."""
CancelFavoriteResult#0,"""즐겨찾기 등록을 해제했습니다."""
ChangeFigureError#0,"""형태를 변경하지 못했습니다."""
RegisterFavoriteError#0,"""즐겨찾기에 등록하지 못했습니다."""
RegisterFavoriteMaxError#0,"""즐겨찾기 등록 수가 상한인 20건으로<br>도달하고 있어 등록할 수 없습니다."""
CancelFavoriteError#0,"""즐겨찾기 등록을 해제하지 못했습니다."""
RegisterFigure#0,"""마그의 형태를 등록했습니다."""
ChangeFigureConfirmTitle#0,"""패스 사용 확인"""
Vita_ChangeFigureConfirm#0,"""마그 형태 변경 패스를 사용하여<br>「$(0)」의 형태로 변경하시겠습니까?<br>마그 형태 변경 패스（소지 수：$(1)）"""
Title#6,"""-"""
Msg1#4,"""-"""
Msg2#3,"""-"""
Msg3#0,"""-"""
Title#7,"""디바이스 사용 확인"""
Msg1#5,"""레벨 1을 낮출 지원 레벨을<br>선택해 주세요."""
Msg2#4,"""마그 레벨 다운 디바이스를 사용하여<br>마그의 지원 레벨을 1 낮춥니다.<br>괜찮습니까?"""
