wh_mainhelp#0,"""Ayuda en el juego"""
wh_tl_co_021282_v#0,"""Acerca de: 『Defensa de la base minera： Despair』"""
wh_tl_co_021285_v#0,"""Acerca de: 『Craft』"""
wh_tl_co_021287_v#0,"""Acerca de: 『Defensa de la base minera： Intrusion』"""
wh_tl_mp_000239_v#0,"""Acerca de: 『Area de grupo』"""
wh_tl_mp_000245_v#0,"""Acerca de: 『PSE』"""
wh_tl_np_010490_v#0,"""Acerca de: 『Ordenes diarias』"""
wh_tl_np_011041_v#0,"""Acerca de: 『Torneo nave ARKS』"""
end#0,"""FIN"""
wh_pet#0,"""Inventario / Mascotas"""
wh_equip_note_menu#0,"""Inventario / Collection File"""
wh_equip_accessory#0,"""Equipamiento / cambiando accesorios"""
wh_pollute_form_list#0,"""EQUIPMENT - DARK BLAST"""
wh_pollute_skill_list#0,"""EQUIPMENT - DARK BLAST SKILLS"""
wh_equip_fashion#0,"""Equipamiento / Actualizando \""Mi moda\"""""
wh_fashioncat#0,"""EQUIPMENT - LOOKBOOK"""
wh_fashioncat_ranking#0,"""EQUIPMENT - VIEW PLAYER LOOKS"""
wh_fashioncat_search#0,"""EQUIPMENT - SEARCH PLAYER LOOKS"""
wh_fashioncat_register#0,"""EQUIPMENT - REGISTER LOOKS"""
wh_fashioncat_confirm#0,"""EQUIPMENT - REGISTERED LOOKS"""
wh_fashioncat_profile#0,"""EQUIPMENT - LOOK INFORMATION"""
wh_favfashion#0,"""EQUIPMENT - BOOKMARKS"""
wh_storyboard_questrank#0,"""Misión / Dificulltad de las misiones historia"""
wh_arksleague#0,"""Misiones / Liga ARKS"""
wh_recommend#0,"""Quests / Recommended Quests"""
wh_campaignquest#0,"""Misión / Misiones de campaña"""
wh_missionboard#0,"""QUESTS - ARKS MISSIONS"""
wh_missionpass#0,"""QUESTS - MISSION PASS"""
wh_sgemshop#0,"""AC MENU - SG SHOP"""
wh_sgshop#0,"""Menú AC / Comprar Star Gems"""
wh_sirius_pointshop#0,"""VISIPHONE - EXCHANGE IDOLA POINTS"""
wh_myset#0,"""Asesores / My Set"""
wh_team_shop#0,"""COUNTER - DEDICATED ALLIANCE SHOP"""
wh_equip_note#0,"""Asesor / Collection File"""
wh_battle_counter#0,"""Counter / Battle Counter"""
wh_petrabo#0,"""Tiendas / Pet Lab"""
wh_challengemile_shop#0,"""Tiendas / Challenge Mile Exchange Shop"""
wh_treasure_shop#0,"""Tiendas / Tienda de tesoros"""
wh_challenge_ranking#0,"""Terminales / Challenge Rankings"""
wh_arena_ranking#0,"""Terminal / Battle Ranking"""
wh_stylecounter#0,"""TERMINAL - STYLE COUNTER"""
wh_craft_pa_custom#0,"""Crafteo / Personalización de PA"""
wh_am_trade_n#0,"""CASINO - EXCHANGING FOR NORMAL PRIZES"""
wh_am_trade_p#0,"""CASINO - EXCHANGING FOR LIMITED PRIZES"""
wh_battlecoin_shop#0,"""SHOPS - BATTLE COIN EXCHANGE SHOP"""
wh_questcounter_mltpt#0,"""Asesores / Asesor de misiones"""
wh_mltpt_supplement#0,"""COUNTER - MULTI-BLOCK MATCHMAKING"""
wh_tl_co_021283_v#0,"""Acerca de: 『PSO2es』"""
wh_tl_co_031373_v#0,"""Acerca de: 『Area del casino』"""
wh_tl_co_031374_v#0,"""Acerca de: 『Objetos de ordenes』"""
wh_tl_co_031376_v#0,"""PRIZE EXCHANGES AND CC LIMITS"""
wh_tl_co_031381_v#0,"""Acerca de: 『Arbol de photones』"""
wh_tl_co_031382_v#0,"""Acerca del 『Ingreso a un Team』"""
wh_tl_co_030003_v#0,"""Acerca de: 『Como volver al Episodio 1 y 2』"""
wh_tl_co_031391_v#0,"""Acerca de: 『Cronicas de los eventos』"""
wh_tl_co_031396_v#0,"""Acerca de: 『Rare enemy trigger』"""
wh_tl_co_030012_v#0,"""Acerca de: 『Ultimate Quest』"""
wh_tl_co_031403_v#0,"""Acerca de: 『Enemy of the Ultimate Quest』"""
wh_tl_co_031406_v#0,"""Acerca de: 『Bloques desafio』"""
wh_tl_co_031407_v#0,"""Acerca de: 『Misiones desafio』"""
wh_tl_co_031408_v#0,"""Acerca de: 『Nave compartida』"""
wh_tl_co_031411_v#0,"""Acerca de: 『Entrega de objetos』"""
wh_tl_co_031404_v#0,"""THE MANIFESTED PLANETBREAKER"""
wh_tl_co_031410_v#0,"""THE CHANT TO CLEANSE THE CALAMITY"""
wh_tl_co_031409_v#0,"""Acerca de: 『Forma mejorada A.I.S』"""
wh_tl_co_031414_v#0,"""Acerca de: 『Party Maker』"""
wh_tl_co_031416_v#0,"""Acerca de: ACTIVE RECRUITMENT"""
wh_tl_co_031417_v#0,"""Acerca de: ALLY AFFINITY"""
wh_tl_co_031418_v#0,"""Acerca de: 『Advance risk up』"""
wh_tl_co_031419_v#0,"""Acerca de: 『ARKS ball』"""
wh_tl_co_031421_v#0,"""Acerca de: 『Auto Doll』"""
wh_tl_co_031422_v#0,"""Acerca de: 『Subclass of support partners』"""
wh_tl_co_031424_v#0,"""Acerca de: 『Acciones automaticas』"""
wh_tl_co_031426_v#0,"""Acerca de: 『A.R.K.S. y los sistemas de apoyo』"""
wh_tl_co_031427_v#0,"""Acerca de: 『Puntos de misión y Tele pipe』"""
wh_tl_co_031428_v#0,"""Acerca de: THE ARKS GP 2016 PRELIMINARIES"""
wh_tl_co_031429_v#0,"""Acerca de: 『Terminal de Clase』"""
wh_tl_co_031433_v#0,"""Acerca de: 『Class boost』"""
wh_tl_co_031435_v#0,"""Acerca de: 『Defensa de la base minera：Final』"""
wh_tl_co_031437_v#0,"""Acerca de: ELITE TRAINING"""
wh_tl_co_031439_v#0,"""Acerca de: 『Weapon boost』"""
wh_tl_co_040000_v#0,"""Acerca de: 『Panel de guia』"""
wh_tl_co_040003_v#0,"""Acerca de: 『Tienda de tesoros』"""
wh_tl_co_040007_v#0,"""¿Quieres aumentar el nivel de la mascota?!"""
wh_tl_co_040008_v#0,"""Acerca de: 『Caja de dulces』"""
wh_tl_co_040009_v#0,"""Cuando el nivel de mascota llega a 100?"""
wh_tl_co_040010_v#0,"""Acerca de: 『Laboratorio de mascota』"""
wh_tl_co_040017_v#0,"""Acerca de: ENEMY INFILTRATION POINTS"""
wh_tl_co_040018_v#0,"""Acerca de Quest Triggers"""
wh_tl_co_040021_v#0,"""Acerca de: 『EP1~EP3 y el modo del EP4』"""
wh_tl_co_040022_v#0,"""Se recomienda un conjunto de cada mascota?"""
wh_tl_co_040023_v#0,"""Acerca de: 『Storyboard』"""
wh_tl_co_040026_v#0,"""Quiero llamar a una mascota!"""
wh_tl_co_040011_v#0,"""Acerca de: 『El puente』"""
wh_tl_co_040080_v#0,"""Acerca de: 『Anillo de habilidades』"""
wh_tl_co_040081_v#0,"""Acerca de: 『Fortalecimiento del anillo』"""
wh_tl_co_040082_v#0,"""Acerca de: 『Gathering』"""
wh_tl_co_040083_v#0,"""Acerca de: 『Recolección de cocina』"""
wh_tl_co_040084_v#0,"""Acerca de: 『Combo Fever』"""
wh_tl_co_040085_v#0,"""Acerca de: 『Nivel record』"""
wh_tl_co_040091_v#0,"""WHAT'S THE MAXIMUM ELEMENTAL LEVEL FOR PETS?"""
wh_tl_co_040050_v#0,"""Acerca de: 『採掘基地防衛戦：混沌』について"""
wh_tl_co_040049_v#0,"""Acerca de: 『Misiones de entrenamiento』"""
wh_tl_co_040051_v#0,"""Acerca de: RIDROID QUESTS (ADVANCED)"""
wh_tl_co_040052_v#0,"""Acerca de: RIDROID QUESTS (BASIC)"""
wh_tl_co_040053_v#0,"""Acerca de: 『Rideroid』"""
wh_tl_co_011015_v#0,"""Acerca de: 『Step attack』"""
wh_tl_od_010409037_v#0,"""Acerca de: 『Just guard』"""
wh_tl_od_010424211_v#0,"""Acerca de: 『Chain』 \""Cadenas\"""""
wh_tl_co_011022_v#0,"""Acerca de: 『Paleta de armas』"""
wh_tl_co_011023_v#0,"""Acerca de: 『Subpaleta』"""
wh_tl_co_011026_v#0,"""Acerca de: 『Puntos debiles』"""
wh_tl_od_010100201_v#0,"""Acerca de: 『MAG』"""
wh_tl_co_011029_v#0,"""Acerca de: 『Photon Blast』"""
wh_tl_od_010200092_v#0,"""OVER-THE-SHOULDER VIEW"""
wh_tl_od_010409211_v#0,"""『Disparar en movimiento』"""
wh_tl_od_010409221_v#0,"""BLIGHT ROUNDS"""
wh_tl_od_010409227_v#0,"""Acerca de: 『Trampas』"""
wh_tl_co_012012_v#0,"""Acerca de: 『Tecnicas cargadas』"""
wh_tl_co_011038_v#0,"""Acerca de: 『Sword』"""
wh_tl_co_011040_v#0,"""Acerca de: 『Wired Lance』"""
wh_tl_co_011042_v#0,"""Acerca de: 『Partisan』"""
wh_tl_od_010200061_v#0,"""Acerca de: 『Twin Dagger』"""
wh_tl_od_010200071_v#0,"""Acerca de: 『Double Saber』"""
wh_tl_od_010200051_v#0,"""Acerca de: 『Knuckle』"""
wh_tl_co_011050_v#0,"""Acerca de: 『Gunslash』"""
wh_tl_co_011052_v#0,"""Acerca de: 『Assault rifle』"""
wh_tl_co_011054_v#0,"""Acerca de: 『Launcher』"""
wh_tl_od_010200131_v#0,"""Acerca de: 『Twin machine Gun』"""
wh_tl_co_011058_v#0,"""Acerca de: 『Rod』"""
wh_tl_co_011060_v#0,"""Acerca de: 『Talys』"""
wh_tl_od_010200181_v#0,"""Acerca de: 『Wand』"""
wh_tl_od_010200251_v#0,"""Acerca de: 『Fortalecimiento de armas』"""
wh_tl_od_010200261_v#0,"""Acerca de: 『Fortalecimiento de atributos』"""
wh_tl_od_010200271_v#0,"""Acerca de: 『Agregar habilidades especiales』"""
wh_tl_co_011120_v#0,"""MEL POWER, RNG POWER, AND TEC POWER"""
wh_tl_co_011122_v#0,"""Acerca de: 『Atributos』"""
wh_tl_co_011139_v#0,"""Acerca de: 『Objetos que no se pueden tener』"""
wh_tl_co_011141_v#0,"""Acerca de: 『Ventana de ayuda』"""
wh_tl_co_011160_v#0,"""Acerca de: 『Mi cuarto』"""
wh_tl_co_011171_v#0,"""Acerca de: 『Puntos de misión』"""
wh_tl_co_011202_v#0,"""Acerca de: 『Expansión del Team』"""
wh_tl_mb_000005_v#0,"""Acerca de: 『Evento』"""
wh_tl_od_010102207_v#0,"""Acerca de: 『Subclase』"""
wh_tl_od_010303007_v#0,"""Acerca de: 『Partner character』"""
wh_tl_od_010100522_v#0,"""Acerca de: 『Equipo de proteccion』"""
wh_tl_od_010200471_v#0,"""Acerca de: 『ARKS card』"""
wh_tl_co_011260_v#0,"""Acerca de: 『Matter board』"""
wh_tl_od_020387001_v#0,"""Acerca de: 『Katana』"""
wh_tl_od_020387061_v#0,"""Acerca de: 『Arco』"""
wh_tl_od_020387007_v#0,"""Acerca de: 『Katana gear』"""
wh_tl_od_010200201_v#0,"""Acerca de: 『Skill points』"""
wh_tl_od_010200391_v#0,"""Acerca de: 『Centro medicos』"""
wh_tl_od_010200381_v#0,"""Acerca de: 『Autowords』"""
wh_tl_co_011028_v#0,"""Acerca de: EQUIPPING MAGS"""
wh_tl_co_011071_v#0,"""Acerca de: 『Alimentar al MAG』"""
wh_tl_od_010200441_v#0,"""Sobre SENDING KUDOS"""
wh_tl_od_020391001_v#0,"""Acerca de: 『Just Attack』"""
wh_tl_od_020391061_v#0,"""Acerca de: 『Los grupos』"""
wh_tl_od_030710001_v#0,"""Acerca de: 『Jet boots』"""
wh_tl_od_030720001_v#0,"""Acerca de: 『Dual blade』"""
wh_tl_od_030710007_v#0,"""Acerca de: 『Jet boots gear』"""
wh_tl_od_030720007_v#0,"""Acerca de: 『Dual blade gear』"""
wh_tl_co_031399_v#0,"""Acerca de: 『Pyroxene-magic stone』"""
wh_tl_od_030730007_v#0,"""Acerca de: 『Tecnicas complejas』"""
wh_tl_co_040020_v#0,"""NEARBY CHARACTERS"""
wh_tl_co_040046_v#0,"""Acerca de: 『Archivo de recolección』"""
wh_tl_np_013442_v#0,"""Acerca de: 『ARKS League』"""
wh_tl_co_040027_v#0,"""Acerca de: 『Agregar habilidades en protectores ★12』"""
wh_tl_co_040120_v#0,"""Acerca de: 『Capacidad maxima de clase a Nv. 80』"""
wh_tl_co_040090_v#0,"""WEAPONS"""
wh_tl_co_040092_v#0,"""Acerca de: 『Grindear armas -NT』"""
wh_tl_co_040093_v#0,"""Acerca de: 『Liberar e potencial de las armas -NT』"""
wh_tl_co_040094_v#0,"""Acerca de: 『Mejoras de atributos de armas -NT』"""
wh_tl_co_040095_v#0,"""LIMIT OVERRIDE"""
wh_tl_co_040096_v#0,"""Acerca de: 『Factor de habilidad』"""
wh_tl_co_040035_v#0,"""Acerca de: 『Misiones recomendadas』"""
wh_tl_co_040036_v#0,"""Acerca de: 『Misiones bonus』"""
wh_tl_co_040088_v#0,"""THE ANTI-PHANTASM YAMATO AIS"""
wh_tl_co_040107_v#0,"""Acerca de: 『Rideroids en racing the Phantom Mother』"""
wh_tl_co_040122_v#0,"""Acerca de: 『Reglas de batalla de emblemas』"""
wh_tl_co_050002_v#0,"""ADVANCING THE EPISODE 5 STORY"""
wh_tl_co_050003_v#0,"""CHANGING EPISODES"""
wh_tl_co_050012_v#0,"""ARKS BOOST RALLY"""
wh_tl_mp_0005081_v#0,"""Acerca de la Buster Quest"""
wh_tl_mp_0005082_v#0,"""Acerca de Phases"""
wh_tl_mp_0005083_v#0,"""Acerca del soporte de Xiera"""
wh_tl_mp_0005084_v#0,"""Acerca de los ataques y armas del Devil Castle"""
wh_tl_mp_0005085_v#0,"""Acerca de las armas ARKS"""
wh_tl_mp_0005086_v#0,"""Acerca de los conjuntos de armas"""
wh_tl_co_050035_v#0,"""DARK BLAST"""
wh_tl_co_050037_v#0,"""ACTIVATING DARK BLAST"""
wh_tl_co_050038_v#0,"""DARK BLAST SKILLS"""
wh_tl_co_050039_v#0,"""PUNISHMENT KNUCKLE"""
wh_tl_co_050040_v#0,"""DARK BARRIER"""
wh_tl_co_050041_v#0,"""ULTIMATE IMPACT"""
wh_tl_co_012004_v#0,"""HP RECOVERY"""
wh_tl_co_031385_v#0,"""SKILL TREES"""
wh_tl_co_011203_v#0,"""ALLIANCE ORDERS"""
wh_tl_co_011188_v#0,"""TELEPORTERS"""
wh_tl_od_010190017_v#0,"""ENEMY ELEMENTAL ATTACKS"""
wh_tl_od_010100517_v#0,"""ENEMY ATTACK STATS"""
wh_tl_od_010190037_v#0,"""DESTROYING ENEMY PARTS"""
wh_tl_co_040144_v#0,"""SHARING FASHION WITH THE LOOKBOOK"""
wh_tl_co_050063_v#0,"""ALLIANCE AND CANDIDATES SEARCH"""
wh_tl_co_050072_v#0,"""S GRADE AUGMENTS"""
wh_tl_co_050074_v#0,"""UNLOCKING QUEST AREAS"""
wh_tl_co_057003_v#0,"""ENDLESS QUESTS"""
wh_tl_co_050085_v#0,"""ELDER FORM"""
wh_tl_co_050086_v#0,"""LUTHER FORM"""
wh_tl_co_050087_v#0,"""RAISING THE CLASS MAX. LEVEL TO 90"""
wh_tl_co_050091#0,"""DISPLAY DARK BLAST AURA"""
wh_tl_co_050096_v#0,"""APPRENTICE FORM"""
wh_tl_co_051730_v#0,"""THE MASK OF MADNESS, RISING FROM THE DEPTHS"""
wh_tl_co_050104_v#0,"""GEMINI FORM"""
wh_tl_co_058011_v#0,"""SURVEY: REMNANTS OF A PARALLEL WORLD"""
wh_tl_co_050106_v#0,"""WEAPON TRANSMUTATION"""
wh_tl_co_050114_v#0,"""MAKING 15★ TRAILBLAZER XION WEAPONS"""
wh_tl_co_050113_v#0,"""MAKING 15★ ATLAS EX WEAPONS"""
wh_tl_co_050112_v#0,"""MAKING 15★ OPHISTIA WEAPONS"""
wh_tl_co_060010_v#0,"""SCION CLASSES"""
wh_tl_co_060003_v#0,"""ULTRA HARD EXPEDITIONS"""
wh_tl_co_060011_v#0,"""PHOTON DAMPENING FIELDS"""
wh_tl_co_060014_v#0,"""ARMADA OF ANNIHILATION"""
wh_tl_co_061765_v#0,"""AIS VEGA"""
wh_tl_co_060017_v#0,"""BUILD UP PHOTON ARTS"""
wh_tl_co_060023_v#0,"""SHIP INFILTRATION: LARGE ENEMY BATTLESHIP"""
wh_tl_co_060035_v#0,"""＊＊＊"""
wh_tl_co_060021_v#0,"""13★ UNITS"""
wh_tl_co_060047_v#0,"""DIVIDE QUESTS"""
wh_tl_co_060048_v#0,"""ABOUT THIS QUEST"""
wh_tl_co_060049_v#0,"""CUMULATIVE POINT REWARDS"""
wh_tl_co_060050_v#0,"""THEME: COVERT OPS"""
wh_tl_co_060051_v#0,"""THEME: RESUPPLY OPS"""
wh_tl_co_060052_v#0,"""THEME: ERADICATION OPS"""
wh_tl_co_060053_v#0,"""THEME: SUPPRESSION OPS"""
wh_tl_co_060065#0,"""The Final Battle: Space-Time Interstice"""
unknown#0,"""Desconocido"""
base_system#0,"""Basic Controls/Basic System"""
area_map#0,"""Ship/Block/Lobby/Personal Quarters"""
area_casino#0,"""Casino"""
team#0,"""Alliance"""
equip_wepon_type#0,"""Weapon and Armor Types"""
equip_forge#0,"""Equipment Stats and Enhancement/Collection"""
equip_pyroxene#0,"""EX-Cubes/Other"""
equip_skill_ring#0,"""Skill Rings"""
skill_class#0,"""Battle Basics/Class Skills"""
dark_blast#0,"""Dark Blast"""
sub_partner#0,"""Auxiliaries"""
sub_mag_pet#0,"""Mags/Pets"""
story_arks_road#0,"""ARKS Training"""
story_matter_board#0,"""Divergence Matrices"""
story_event#0,"""Event Chronicle"""
clientorder#0,"""Client Orders"""
event_content#0,"""Limited-Time Events"""
quest_basic#0,"""Quest Preparation"""
quest_party#0,"""Parties"""
quest_permanent#0,"""Permanent Quests"""
quest_emergency#0,"""Urgent Quests"""
quest_divide#0,"""Divide Quests"""
quest_bastar#0,"""Buster Quests"""
gathering#0,"""Gathering"""
enemy#0,"""Enemy"""
cordecatalog#0,"""Lookbook"""
datanum#0,"""$(0)"""
