YesText#0,"""Yes"""
MainMenu_Community_Team#0,"""Team Commands"""
MainMenu_Community_Party#0,"""Party Commands"""
MainMenu_Community_MySpace#0,"""クリエイティブスペース"""
MainMenu_Community_Mail#0,"""Mail"""
MainMenu_Community_Chara#0,"""Nearby Characters"""
MainMenu_MyData_CharaInfo#0,"""Character Info"""
MainMenu_MyData_GatInfo#0,"""Gathering Info"""
MainMenu_MyData_ContentInfo#0,"""Content Information"""
MainMenu_MyData_License#0,"""Title List"""
MainMenu_MyData_CraftAchievement#0,"""Crafting Achievements"""
MainMenu_MyData_MyMenu#0,"""Quick Menu"""
MainMenu_MyData_History#0,"""Communication History"""
MainMenu_MyData_TitleAndCard#0,"""Title/ARKS Card"""
MainMenu_MyData_Profile#0,"""Edit ARKS Card"""
MainMenu_MyData_Profile_v#0,"""Edit ARKS Card"""
MainMenu_Quest_StoryBoard#0,"""Story Board"""
MainMenu_Quest_MatterBoard#0,"""Matter Board"""
MainMenu_Quest_ArksRoad#0,"""ARKS Road"""
MainMenu_Quest_ClientOrder#0,"""Client Orders"""
MainMenu_Quest_BingoCard#0,"""ARKS Bingo Card """
MainMenu_Quest_OpenEvent#0,"""Event Info"""
MainMenu_Quest_TotalScoreBoost#0,"""Quest-Linked Boost"""
MainMenu_Quest_ShipBattle#0,"""Competition"""
MainMenu_Quest_QuestInfo#0,"""Quest Information"""
MainMenu_Quest_MapChange#0,"""Change Map"""
MainMenu_Quest_EventItem#0,"""Event Items"""
MainMenu_System_SimbolArt#0,"""Symbol Arts"""
MainMenu_System_ChatConfig#0,"""Chat Settings"""
MainMenu_System_Option#0,"""Options"""
MainMenu_System_LogWindow#0,"""Log Window"""
MainMenu_System_GameHelp#0,"""In-Game Help"""
MainMenu_System_OnlineHelp#0,"""Online Help"""
MainMenu_System_Information#0,"""Information"""
MainMenu_System_Notify#0,"""Announcements"""
MainMenu_System_LoginStamp#0,"""Login Stamps"""
MainMenu_System_StarGem#0,"""Star Gem Itemization"""
MainMenu_ACMenu_ACShop#0,"""AC Shop <pict Arcscash>"""
MainMenu_SALE_IconText#0,"""$(0)<pict sale_shop_icon>"""
MainMenu_ACMenu_Gacha#0,"""Scratch Drawings <pict Arcscash>"""
MainMenu_ACMenu_Recycle#0,"""Recycle Shop"""
MainMenu_ACMenu_MagicStone#0,"""Purchase Star Gems <pict Arcscash>"""
MainMenu_ACMenu_HistoryRental#0,"""Purchase History/Expirations"""
MainMenu_ACMenu_History#0,"""Purchase History"""
MainMenu_ACMenu_Rental#0,"""Rental Expiration"""
MainMenu_Logout_Logout#0,"""Log Out"""
MainMenuCategory_ItemPack#0,"""Inventory"""
MainMenuCategory_Equip#0,"""Equipment"""
MainMenuCategory_MyData#0,"""My Data"""
MainMenuCategory_Mug#0,"""Mags"""
MainMenuCategory_Community#0,"""Community"""
MainMenuCategory_Quest#0,"""Quests"""
MainMenuCategory_System#0,"""System"""
MainMenuCategory_Shop#0,"""AC Menu"""
MainMenuCategory_Logout#0,"""Log Out"""
MainMenu_Title#0,"""Main Menu"""
MainMenu_MainCommand#0,"""Main Commands"""
MainMenu_Notify#0,"""New Items"""
MainMenu_Shortcut#0,"""Shortcuts"""
MainMenu_Notify_KeyHelp#0,"""Go to notifications using <%NextWidget>"""
MainMenu_Notify_KeyHelp_reb#0,"""Check new notifications with <%NextWidget>"""
MainMenu_Notify_KeyHelp_reb2#0,"""Check new notifications with <%NextWidget> after opening the Main Menu"""
MainMenu_Notify_KeyHelp_vita#0,"""Press <pict Sign_TRIANGLE> for new areas."""
MainMenu_Notify_KeyHelp_Disable#0,"""New area is currently unavailable."""
MainMenu_Notify_KeyHelp_Disable_reb#0,"""Cannot check for new notifications at this time."""
MainMenu_Community_NewArrival#0,"""$(0) ($(1))"""
MainMenu_Recycle_NoEnter#0,"""Cannot use during a quest."""
MainMenu_Recycle_NoEnterTitle#0,"""Recycle Shop"""
WeaponPosition#0,"""Weapon Sheath Location"""
RedPivot#0,"""Horizontal (Vertical) Adjustment"""
GreenPivot#0,"""Vertical (Horizontal) Adjustment"""
BluaPivot#0,"""Depth Adjustment"""
Error_NotSetting#0,"""You cannot adjust the position<br>of the selected accessory."""
StarGemMessage#0,"""Purchased/$(0) SG<br>Free/$(1) SG<br><br>※Free SG will be consumed first."""
MainMenu_ACMenu_SGShop#0,"""SG Shop <pict StarGem>"""
MainMenu_ArksContract#0,"""ARKS Missions"""
NotHoldingEvent#0,"""No event is currently being held."""
StatusLabel_EveryMpShort1#0,"""Mission Pass: $(0)"""
StatusLabel_EveryMpShort1_2#0,"""Mission Pass: Not Open"""
StatusLabel_EveryMpShort2#0,"""Tier: $(1) (Until Next Tier $(0)<pict mp_star_icon>)"""
MainMenu_Logout_October#0,"""<space><space><space><space><space><space><space><space><space><space>"""
Toast_October_1#0,"""The Log Out button, which was there until I set my title, had completely disappeared."""
Toast_October_2#0,"""I'm sure that you've noticed by now, that the Log Out button has disappeared."""
Toast_October_3#0,"""This is not an error. Repeat, this is not an error. This is an intended function of setting your title."""
Toast_October_4#0,"""You will no longer be allowed to Log Out from the game until you have removed the title which you have set."""
MainMenu_Shop_Window_Title#0,"""Shop Information"""
MainMenu_Room_Password#0,"""<pict ba_roomkey><pict 4space>Room Matching Settings"""
WeaponCamo_Label_RemoveAll#0,"""全て外す"""
MainMenu_PartyMember_Recruitment#0,"""<pict ba_partysearch><pict 4space>メンバー募集中のパーティー検索"""
PartyMember_Recruitment_Label1#0,"""募集者のキャラクター名"""
PartyMember_Recruitment_Label2#0,"""クラス"""
PartyMember_Recruitment_Label3#0,"""メンバー募集中のパーティー検索"""
PartyMember_Recruitment_Label4#0,"""すべて表示"""
PartyMember_Recruitment_Label5#0,"""対象エリアに移動できないため、パーティーに参加できません。"""
PartyMember_Recruitment_Label_1#0,"""パーティーメンバー募集情報"""
PartyMember_Recruitment_Label_2#0,"""目的"""
PartyMember_Recruitment_Label_3#0,"""募集コメント"""
PartyMember_Recruitment_Label_4#0,"""パーティーメンバー"""
PartyMember_Recruitment_Label_5#0,"""戦闘力制限"""
PartyMember_Recruitment_Label_6#0,"""レベル制限"""
PartyMember_Recruitment_Label_7#0,"""$(0)以上"""
PartyMember_Recruitment_Label_8#0,"""対象エリア"""
PartyMember_Recruitment_Label_9#0,"""【Rank.$(0)】"""
PartyMember_Recruitment_Label_10#0,"""検索中"""
PartyMember_Recruitment_Label_11#0,"""パーティー自動選択"""
PartyMember_Recruitment_Label_12#0,"""自動選択のパーティーに参加する"""
PartyMember_Recruitment_Label_13#0,"""目的に応じて、参加可能なパーティーを自動的に選択し、<br>そのパーティーに参加します。<br>よろしいですか？<br><br><yellow>※募集者が別のルームにいる場合は<br>\u3000対象のルームに移動します。<c><br><yellow>※現在参加中のパーティーからは自動的に脱退します。<c>"""
PartyMember_Recruitment_Label_14#0,"""参加可能なパーティーが見つかりませんでした。"""
MainMenu_System_ACTitle#0,"""AC内訳"""
MainMenu_System_SGTitle#0,"""SG内訳"""
MainMenu_System_NAC#0,"""AC（PC, Switch用）"""
MainMenu_System_PSAC#0,"""AC（PlayStation®用）"""
MainMenu_System_SAC#0,"""AC（共用）"""
ArksCacheMessage#0,"""/ $(0) <pict Arcscash>"""
Category_Item_Guide#0,"""操作するウィンドウは、“操作ウィンドウ切り替え”で切り替えられます。"""
SubMenu_SortInitialize_Title1#0,"""初期化確認"""
SubMenu_SortInitialize_Text1#0,"""“$(0)”メニューの並び順を初期化しますか？"""
SubMenu_Error_Text1#0,"""メニューの並び順を保存できませんでした。"""
SubMenu_Error_Text2#0,"""“$(0)”メニューの並び順を読み込めませんでした。<br>標準の並び順で表示されます。"""
MainMenu_Ranking_Info#0,"""<pict ba_ranking><pict 4space>アークスレコード"""
SubMenu_Ranking_Info#0,"""アークスレコード"""
MainMenu_Ranking_Info_Weekly#0,"""アトランダムイベントレコード"""
MainMenu_Ranking_Info_TeamTask#0,"""チームタスクレコード"""
Loading_Banner_Guide#0,"""くわしく見る：<%NextTabDetails>"""
MainMenu_TeamMember_Recruitment#0,"""<pict ba_teamsearch><pict 4space>メンバー募集中のチーム検索"""
Weapon_CoordinateX#0,"""（X：$(0)）"""
Weapon_CoordinateY#0,"""（Y：$(0)）"""
Weapon_CoordinateZ#0,"""（Z：$(0)）"""
MainMenu_Quest_BoxGacha#0,"""<pict ba_boxg><pict 4space>リワードボックス"""
MainMenu_Quest_BoxGacha_Close#0,"""現在利用可能なリワードボックスはありません。"""
MainMenu_Quest_BoxGacha_Second_Guide#0,"""対象タスクの達成により入手できるメダルを使用することで、アイテムを獲得できます。"""
Category_ArsenalModuleCounter#0,"""M.A.R.S.パレット"""
Category_ArsenalModulePalette#0,"""<pict ba_asemo><pict 4space>M.A.R.S.パレット"""
Confirm_Title#0,"""Ship Transfer Confirmation"""
Confirm_Message#0,"""The following conditions will take effect<br>while in a Shared Ship Battle Block.<br>  ・[Battle Warrior] class only<br>  ・PAs, Techniques, Class Skills unlearned<br>  ・No Meseta, CC or on-hand items allowed<br>  ・Usage of Storage, My Room and Team Room not allowed<br>  ・Emergency Quest notifications are hidden<br>  ・Dedicated Friend List, Mail and Symbol Arts<br>  ・Attachment gauge hidden<br><red>※All conditions will return to normal upon leaving the Shared Ship.<c><br><red>※NetCafe Premium effect Additional Team Points not applied.<c><br><red>※Your character may appear in live<br>broadcasts.<c><br><br>Go to Shared Ship Battle Lobby?"""
Confirm_Title_InBlock#0,"""Block Transfer Confirmation"""
Confirm_Message_InBlock#0,"""You are about to transfer to a Battle Block.<br>The following conditions will take effect:<br><br>  ・[Battle Warrior] class only<br>  ・PAs, Techniques, Class Skills unlearned<br>  ・No Meseta, CC or on-hand items allowed<br>  ・Usage of Storage not allowed<br>  ・My Room and Team Room not allowed<br>  ・Emergency Quest notifications are hidden<br>  ・Dedicated Friend List, Mail and Symbol Arts<br>  ・Attachment gauge hidden<br><br><red>※All conditions will return to normal upon<br>leaving the Shared Ship.<c><br><br>Go to Shared Battle Lobby?"""
Confirm_Title_InNormal#0,"""Ship Transfer Confirmation"""
Confirm_Message_InNormal#0,"""When you return to your ship, please note<br>that Friend Requests, mails and Symbol Arts<br>will not be transferred.<br><br>※You can return to Shared Ship afterwards.<br><br>※Returning to your ship will be listed in<br>your \""Login History\"".<br><br>Return to your ship?"""
ShopTitleText#0,"""Battle Coin Exchange"""
ShopGuideText#0,"""<c f0df60>You can exchange Battle Coins for items.<c>"""
ShopListTitle#0,"""Shop Menu"""
PluralityMenuGuide#0,"""<c f0df60>Please select a shop.<c>"""
Exit#0,"""Leave Shop"""
Buy#0,"""Buy"""
NameNumber#0,"""$(0) x$(1)"""
BuyTitle#0,"""Purchase Confirmation"""
BuyCheck#0,"""These items will cost $(1) $(0).<br>Continue with purchase?"""
CPDenomination#0,"""Battle Coins"""
BuyResultMessage1#0,"""Purchase complete."""
BuyErrorMessage2#0,"""You lack free space in your Inventory,<br> or you have too many of the items you are buying.<br>Purchase could not be completed."""
CPInsufficient#0,"""Insufficient Battle Coins."""
BuyResultMessage2#0,"""Unable to complete your purchase."""
BuyResultTitle#0,"""Item Purchase"""
CancelTitle#0,"""Confirm Purchase Cancellation"""
CancelMessage#0,"""This will cancel the purchase. Continue?"""
SelectItemInputVita#0,"""Please enter an amount."""
MenuErrorTitle#0,"""Message"""
MenuErrorMessage#0,"""[Battle Coin Exchange 2]<br><yellow>will become available once<br>the quest has been cleared.<c><br><br>You cannot access this shop<br>because the quest has not been cleared yet."""
PokaQuest_SummaryName#0,"""Battle Arena"""
PokaRanking_Title#0,"""Battle Ranking Rewards"""
PokaRanking_RewardConfirm#0,"""You have received the following items<br>as your Battle Ranking reward."""
PokaRanking_Date#0,"""Date and Time"""
PokaRanking_Caption#0,"""$(1) [$(0)] Reward"""
PokaRanking_Rule_BattleRoyal#0,"""Battle Royal"""
PokaRanking_Rule_BattleCrystal#0,"""Emblem Battle"""
PokaRanking_Rule_BattleRoyal_Switch#0,"""Battle Royal (Cloud Version)"""
PokaRanking_Rule_BattleCrystal_Switch#0,"""Emblem Battle (Cloud Version)"""
PokaRanking_PrizeMessage#0,"""Collect your Battle Ranking reward from ARKS League Admin Mimi."""
Confirm_Title#1,"""Ship Transfer Confirmation"""
Confirm_Message#1,"""The following conditions will take effect<br>while in a Shared Ship Challenge Block.<br>  ・[Challenger] class only<br>  ・PAs, Techniques, Class Skills unlearned<br>  ・No Meseta, CC or on-hand items allowed<br>  ・Usage of Storage, My Room and Team Room not allowed<br>  ・Emergency Quest notifications are hidden<br>  ・Dedicated Friend List, Mail and Symbol Arts<br>  ・Attachment gauge hidden<br><red>※All conditions will return to normal upon leaving the Shared Ship.<c><br><br>Go to Shared Ship Challenge Lobby?"""
Confirm_Title_InBlock#1,"""Block Transfer Confirmation"""
Confirm_Message_InBlock#1,"""This will move you to the Challenge Blocks.<br>The following are what will change in the blocks:<br><br>・[Challenger] class only at level 1.<br>・PA, Techniques, Class Skills, Meseta,<br>  Casino Coins and Items do not carry over.<br>・You cannot deposit or access your Storage.<br>・Attachment gauges will not be displayed.<br><br><red>※Leaving the Challenge Block will return<br>  the above changes to normal when you leave.<c><br><br>Do you wish to move to the Challenge Blocks?"""
Confirm_Title_InNormal#1,"""Ship Transfer Confirmation"""
Confirm_Message_InNormal#1,"""This will return you to your original ship.<br>The following will be returned to normal:<br><br>・Friends, mails and Symbol Arts that were<br> registered.<br>・Challenge Mile Rankings and Battle Arena<br> Rankings will not be displayed on your original<br> ship and will be aggregated separately from<br> your rank information.<br><br><yellow>※Your login history will display that you've<br> logged in again.<c><br><br><red>※You will still be able to return back to the<br> Shared Ship once you've moved to your<br> original ship.<c><br><br>Do you wish to move back to your original ship?"""
ShopTitleText#1,"""CM Exchange Shop"""
ShopGuideText#1,"""<c f0df60>Exchange your Challenge Miles for items.<c>"""
ShopListTitle#1,"""Shop Menu"""
PluralityMenuGuide#1,"""<c f0df60>Please select a shop.<c>"""
Exit#1,"""Leave Shop"""
Buy#1,"""Buy"""
NameNumber#1,"""$(0) x$(1)"""
BuyTitle#1,"""Purchase Confirmation"""
BuyCheck#1,"""These items will cost $(1) $(0).<br>Continue with purchase?"""
CPDenomination#1,"""CM"""
BuyResultMessage1#1,"""Purchase complete."""
BuyErrorMessage2#1,"""You lack free space in your Inventory,<br> or you have too many of the items you are buying.<br>Purchase could not be completed."""
CPInsufficient#1,"""Insufficient CM."""
BuyResultMessage2#1,"""Unable to complete your purchase."""
BuyResultTitle#1,"""Item Purchase"""
CancelTitle#1,"""Confirm Purchase Cancellation"""
CancelMessage#1,"""This will cancel the purchase. Continue?"""
SelectItemInputVita#1,"""Please enter an amount."""
MenuErrorTitle#1,"""Message"""
MenuErrorMessage#1,"""「CM交換ショップ2」は、<br><yellow>チャレンジクエスト「MISSION：決断」を<br>ミッション3までクリアすることで利用可能となります。<c><br><br>チャレンジクエスト「MISSION：決断」のミッション3を<br>クリアしていないため、利用することができません。"""
ChallengePoint#0,"""Challenge Miles"""
BlackbordCharaName#0,"""Character Name"""
BlackbordPlayerIDname#0,"""Player ID Name"""
