YesText#0,"""네"""
Philia#0,"""필리아"""
Clotho#0,"""클로토"""
Ohza#0,"""오자"""
Marlu#0,"""마루"""
Jan#0,"""쟝"""
Reda#0,"""레다"""
Risa#0,"""리사"""
Klaris#0,"""클라리스 클레이스"""
Casra#0,"""카스라"""
Huey#0,"""휴이"""
Quna#0,"""쿠나"""
Hien#0,"""히 엔"""
Right#0,"""라이트"""
Jig#0,"""지그"""
Ulc#0,"""우르크"""
Regius#0,"""레기아스"""
Azanami#0,"""아자나미"""
Io#0,"""이오"""
Xiao#0,"""샤오"""
Etc_Ep1#0,"""EP1"""
Etc_Ep2#0,"""EP2"""
Etc_Ep3#0,"""EP3"""
Etc_Ep4#0,"""EP4"""
Etc_Ep5#0,"""EP5"""
Etc_Ep6#0,"""EP6"""
Etc_EX#0,"""EX"""
Rojio#0,"""로지오"""
Katori#0,"""사가＆카토리"""
year_228#0,"""A.P.228"""
year_238#0,"""A.P.238"""
year_239#0,"""A.P.239"""
year_240#0,"""A.P.240"""
day_2_20#0,"""2/20"""
day_2_21#0,"""2/21"""
day_2_22#0,"""2/22"""
day_2_23#0,"""2/23"""
day_2_24#0,"""2/24"""
day_2_25#0,"""2/25"""
day_2_26#0,"""2/26"""
day_2_27#0,"""2/27"""
day_2_28#0,"""2/28"""
day_3_1#0,"""3/1"""
day_3_2#0,"""3/2"""
day_3_3#0,"""3/3"""
day_3_4#0,"""3/4"""
day_3_5#0,"""3/5"""
day_3_6#0,"""3/6"""
day_3_7#0,"""3/7"""
day_3_8#0,"""3/8"""
day_3_9#0,"""3/9"""
day_3_10#0,"""3/10"""
day_3_11#0,"""3/11"""
day_3_12#0,"""3/12"""
day_3_13#0,"""3/13"""
day_3_14#0,"""3/14"""
day_3_15#0,"""3/15"""
day_3_16#0,"""3/16"""
day_3_17#0,"""3/17"""
day_3_18#0,"""3/18"""
day_3_19#0,"""3/19"""
day_3_20#0,"""3/20"""
day_3_21#0,"""3/21"""
day_3_22#0,"""3/22"""
day_3_23#0,"""3/23"""
day_3_24#0,"""3/24"""
day_3_25#0,"""3/25"""
day_3_26#0,"""3/26"""
day_3_27#0,"""3/27"""
day_3_28#0,"""3/28"""
day_3_29#0,"""3/29"""
day_3_30#0,"""3/30"""
day_3_31#0,"""3/31"""
day_4_1#0,"""4/1"""
day_4_2#0,"""4/2"""
day_4_3#0,"""4/3"""
day_4_4#0,"""4/4"""
day_4_5#0,"""4/5"""
day_4_6#0,"""4/6"""
day_4_7#0,"""4/7"""
day_4_8#0,"""4/8"""
day_4_9#0,"""4/9"""
day_4_10#0,"""4/10"""
day_4_11#0,"""4/11"""
day_4_12#0,"""4/12"""
day_4_13#0,"""4/13"""
day_4_14#0,"""4/14"""
day_4_15#0,"""4/15"""
day_4_16#0,"""4/16"""
day_4_17#0,"""4/17"""
day_4_18#0,"""4/18"""
day_4_19#0,"""4/19"""
day_4_20#0,"""4/20"""
day_4_21#0,"""4/21"""
day_4_22#0,"""4/22"""
day_4_23#0,"""4/23"""
day_4_24#0,"""4/24"""
day_4_25#0,"""4/25"""
day_4_26#0,"""4/26"""
day_4_27#0,"""4/27"""
day_4_28#0,"""4/28"""
day_4_29#0,"""4/29"""
day_4_30#0,"""4/30"""
day_5_1#0,"""5/1"""
day_5_2#0,"""5/2"""
day_5_3#0,"""5/3"""
day_5_4#0,"""5/4"""
day_5_5#0,"""5/5"""
day_5_6#0,"""5/6"""
day_5_7#0,"""5/7"""
day_5_8#0,"""5/8"""
day_5_9#0,"""5/9"""
day_5_10#0,"""5/10"""
day_5_11#0,"""5/11"""
day_5_12#0,"""5/12"""
day_5_13#0,"""5/13"""
day_5_14#0,"""5/14"""
day_5_15#0,"""5/15"""
day_5_16#0,"""5/16"""
day_5_17#0,"""5/17"""
day_5_18#0,"""5/18"""
day_5_19#0,"""5/19"""
day_5_20#0,"""5/20"""
day_5_21#0,"""5/21"""
day_5_22#0,"""5/22"""
day_5_23#0,"""5/23"""
day_5_24#0,"""5/24"""
day_5_25#0,"""5/25"""
day_5_26#0,"""5/26"""
day_5_27#0,"""5/27"""
day_5_28#0,"""5/28"""
day_5_29#0,"""5/29"""
day_5_30#0,"""5/30"""
day_6_1#0,"""6/1"""
day_6_2#0,"""6/2"""
day_6_3#0,"""6/3"""
day_6_4#0,"""6/4"""
day_6_5#0,"""6/5"""
day_6_6#0,"""6/6"""
day_6_7#0,"""6/7"""
day_6_8#0,"""6/8"""
day_6_9#0,"""6/9"""
day_6_10#0,"""6/10"""
day_6_11#0,"""6/11"""
day_6_12#0,"""6/12"""
day_6_13#0,"""6/13"""
day_6_14#0,"""6/14"""
day_6_15#0,"""6/15"""
day_6_16#0,"""6/16"""
day_6_17#0,"""6/17"""
day_6_18#0,"""6/18"""
day_6_19#0,"""6/19"""
day_6_20#0,"""6/20"""
day_6_21#0,"""6/21"""
day_6_22#0,"""6/22"""
day_6_23#0,"""6/23"""
day_6_24#0,"""6/24"""
day_6_25#0,"""6/25"""
day_6_26#0,"""6/26"""
day_6_27#0,"""6/27"""
day_6_28#0,"""6/28"""
day_6_29#0,"""6/29"""
day_6_30#0,"""6/30"""
day_7_1#0,"""7/1"""
day_7_2#0,"""7/2"""
day_7_3#0,"""7/3"""
day_7_4#0,"""7/4"""
day_7_5#0,"""7/5"""
day_7_6#0,"""7/6"""
day_7_7#0,"""7/7"""
day_7_8#0,"""7/8"""
day_7_9#0,"""7/9"""
day_7_10#0,"""7/10"""
day_7_11#0,"""7/11"""
day_7_12#0,"""7/12"""
day_7_13#0,"""7/13"""
day_7_14#0,"""7/14"""
day_7_15#0,"""7/15"""
day_7_16#0,"""7/16"""
day_7_17#0,"""7/17"""
day_7_18#0,"""7/18"""
day_7_19#0,"""7/19"""
day_7_20#0,"""7/20"""
day_7_21#0,"""7/21"""
day_7_22#0,"""7/22"""
day_7_23#0,"""7/23"""
day_7_24#0,"""7/24"""
day_7_25#0,"""7/25"""
day_7_26#0,"""7/26"""
day_7_27#0,"""7/27"""
day_7_28#0,"""7/28"""
day_7_29#0,"""7/29"""
day_7_30#0,"""7/30"""
day_8_1#0,"""8/1"""
day_8_2#0,"""8/2"""
day_8_3#0,"""8/3"""
day_8_4#0,"""8/4"""
day_8_5#0,"""8/5"""
day_8_6#0,"""8/6"""
day_8_7#0,"""8/7"""
day_8_8#0,"""8/8"""
day_8_9#0,"""8/9"""
day_8_10#0,"""8/10"""
day_8_11#0,"""8/11"""
day_8_12#0,"""8/12"""
day_8_13#0,"""8/13"""
day_8_14#0,"""8/14"""
day_8_15#0,"""8/15"""
day_8_16#0,"""8/16"""
day_8_17#0,"""8/17"""
day_8_18#0,"""8/18"""
day_8_19#0,"""8/19"""
day_8_20#0,"""8/20"""
day_8_21#0,"""8/21"""
day_8_22#0,"""8/22"""
day_8_23#0,"""8/23"""
day_8_24#0,"""8/24"""
day_8_25#0,"""8/25"""
day_8_26#0,"""8/26"""
day_8_27#0,"""8/27"""
day_8_28#0,"""8/28"""
day_8_29#0,"""8/29"""
day_8_30#0,"""8/30"""
day_8_31#0,"""8/31"""
time_8_00#0,"""8:00"""
time_8_10#0,"""8:10"""
time_8_20#0,"""8:20"""
time_8_30#0,"""8:30"""
time_8_40#0,"""8:40"""
time_8_50#0,"""8:50"""
time_9_00#0,"""9:00"""
time_9_10#0,"""9:10"""
time_9_20#0,"""9:20"""
time_9_30#0,"""9:30"""
time_9_40#0,"""9:40"""
time_9_50#0,"""9:50"""
time_10_00#0,"""10:00"""
time_10_10#0,"""10:10"""
time_10_20#0,"""10:20"""
time_10_30#0,"""10:30"""
time_10_40#0,"""10:40"""
time_10_50#0,"""10:50"""
time_10_55#0,"""10:55"""
time_11_00#0,"""11:00"""
time_11_10#0,"""11:10"""
time_11_20#0,"""11:20"""
time_11_30#0,"""11:30"""
time_11_40#0,"""11:40"""
time_11_50#0,"""11:50"""
time_12_00#0,"""12:00"""
time_12_10#0,"""12:10"""
time_12_20#0,"""12:20"""
time_12_30#0,"""12:30"""
time_12_40#0,"""12:40"""
time_12_50#0,"""12:50"""
time_13_00#0,"""13:00"""
time_13_10#0,"""13:10"""
time_13_20#0,"""13:20"""
time_13_30#0,"""13:30"""
time_13_40#0,"""13:40"""
time_13_50#0,"""13:50"""
time_14_00#0,"""14:00"""
time_14_10#0,"""14:10"""
time_14_20#0,"""14:20"""
time_14_30#0,"""14:30"""
time_14_40#0,"""14:40"""
time_14_50#0,"""14:50"""
time_15_00#0,"""15:00"""
time_15_10#0,"""15:10"""
time_15_20#0,"""15:20"""
time_15_30#0,"""15:30"""
time_15_40#0,"""15:40"""
time_15_50#0,"""15:50"""
time_16_00#0,"""16:00"""
time_16_10#0,"""16:10"""
time_16_20#0,"""16:20"""
time_16_30#0,"""16:30"""
time_16_40#0,"""16:40"""
time_16_50#0,"""16:50"""
time_17_00#0,"""17:00"""
time_17_10#0,"""17:10"""
time_17_20#0,"""17:20"""
time_17_30#0,"""17:30"""
time_17_40#0,"""17:40"""
time_17_50#0,"""17:50"""
time_18_00#0,"""18:00"""
time_18_10#0,"""18:10"""
time_18_20#0,"""18:20"""
time_18_30#0,"""18:30"""
time_18_40#0,"""18:40"""
time_18_50#0,"""18:50"""
time_19_00#0,"""19:00"""
time_19_10#0,"""19:10"""
time_19_20#0,"""19:20"""
time_19_30#0,"""19:30"""
time_19_40#0,"""19:40"""
time_19_50#0,"""19:50"""
time_20_00#0,"""20:00"""
time_20_10#0,"""20:10"""
time_20_20#0,"""20:20"""
time_20_30#0,"""20:30"""
time_20_40#0,"""20:40"""
time_20_50#0,"""20:50"""
time_21_00#0,"""21:00"""
time_21_10#0,"""21:10"""
time_21_20#0,"""21:20"""
time_21_30#0,"""21:30"""
time_21_40#0,"""21:40"""
time_21_50#0,"""21:50"""
time_22_00#0,"""22:00"""
time_22_10#0,"""22:10"""
time_22_20#0,"""22:20"""
time_22_30#0,"""22:30"""
time_22_40#0,"""22:40"""
time_22_50#0,"""22:50"""
time_23_00#0,"""23:00"""
time_23_10#0,"""23:10"""
time_23_20#0,"""23:20"""
time_23_30#0,"""23:30"""
time_23_40#0,"""23:40"""
time_23_50#0,"""23:50"""
ep_1#0,"""Episode1"""
ep_2#0,"""Episode2"""
ch_0#0,"""서장"""
ch_1#0,"""제 1장"""
ch_2#0,"""제 2장"""
ch_3#0,"""제 3장"""
ch_4#0,"""제 4장"""
ch_5#0,"""제 5장"""
ch_6#0,"""제 6장"""
ch_7#0,"""제 7장"""
ch_8#0,"""제 8장"""
ch_9#0,"""제 9장"""
ch_10#0,"""제 10장"""
ch_11#0,"""제 1 1장"""
ch_12#0,"""제 1 2장"""
ch_ex#0,"""외전"""
year_???#0,"""A.P.???"""
day_1_7#0,"""1/7"""
day_1_8#0,"""1/8"""
day_1_9#0,"""1/9"""
day_1_10#0,"""1/10"""
day_1_11#0,"""1/11"""
day_1_12#0,"""1/12"""
day_1_13#0,"""1/13"""
day_1_14#0,"""1/14"""
day_1_15#0,"""1/15"""
day_1_16#0,"""1/16"""
day_1_17#0,"""1/17"""
day_1_18#0,"""1/18"""
day_1_19#0,"""1/19"""
day_1_20#0,"""1/20"""
day_1_21#0,"""1/21"""
day_1_22#0,"""1/22"""
day_1_23#0,"""1/23"""
day_1_24#0,"""1/24"""
day_1_25#0,"""1/25"""
day_1_26#0,"""1/26"""
day_1_27#0,"""1/27"""
day_1_28#0,"""1/28"""
day_1_29#0,"""1/29"""
day_1_30#0,"""1/30"""
day_1_31#0,"""1/31"""
day_2_4#0,"""2/4"""
day_2_5#0,"""2/5"""
day_2_9#0,"""2/9"""
day_2_10#0,"""2/10"""
day_2_11#0,"""2/11"""
day_2_13#0,"""2/13"""
day_2_14#0,"""2/14"""
day_2_18#0,"""2/18"""
day_?_?#0,"""?/?"""
time_??_??#0,"""??:??"""
st_010030_title#0,"""기본 조작을 확인하자"""
st_010030_date#0,"""A.P.238/2/20/10:30"""
st_010040_title#0,"""원생 생물과 배틀"""
st_010040_date#0,"""A.P.238/2/20/11:00"""
st_010060_title#0,"""다커 출현 직전"""
st_010060_date#0,"""A.P.238/2/20/11:30"""
st_010070_title#0,"""제노와 합류"""
st_010070_date#0,"""A.P.238/2/20/12:00"""
st_010080_title#0,"""최종 마무리"""
st_010080_date#0,"""A.P.238/2/20/12:30"""
st_010090_title#0,"""수료 임무 달성"""
st_010090_date#0,"""A.P.238/2/20/13:00"""
st_010100_title#0,"""귀환 보고를 하자"""
st_010100_date#0,"""A.P.238/2/20"""
st_010120_title#0,"""첫 번째 마타보드"""
st_010120_date#0,"""A.P.238/2/20/14:00"""
ra_010010_title#0,"""사람 그림자를 본 것 같은데…"""
ra_010010_date#0,"""A.P.238/2/21"""
ra_010020_title#0,"""너무 갑작스러운 다커 출현"""
ra_010020_date#0,"""A.P.238/2/21"""
un_011050_title#0,"""어쩌다 보니 아크스"""
un_011050_date#0,"""A.P.238/2/21"""
un_011120_title#0,"""분하고 원통해!"""
un_011120_date#0,"""A.P.238/2/21"""
ra_010030_title#0,"""클라이언트 오더 연습"""
ra_010030_date#0,"""A.P.238/2/22"""
ra_010680_title#0,"""참견 많은 선배"""
ra_010680_date#0,"""A.P.238/2/22"""
ra_010040_title#0,"""사이좋은 자매 아크스"""
ra_010040_date#0,"""A.P.238/2/22"""
st_010130_title#0,"""시온의 의뢰"""
st_010130_date#0,"""A.P.238/2/27/14:00"""
st_010140_title#0,"""사태 개변의 고지"""
st_010140_date#0,"""A.P.238/2/20/10:00"""
st_010150_title#0,"""수수께끼의 목소리가 들려"""
st_010150_date#0,"""A.P.238/2/20/10:30"""
st_010160_title#0,"""기억대로 나타난 다커"""
st_010160_date#0,"""A.P.238/2/20/11:00"""
st_010170_title#0,"""쓰러진 마토이의 보호"""
st_010170_date#0,"""A.P.238/2/20/12:00"""
st_010180_title#0,"""메디컬 센터에서 온 연락"""
st_010180_date#0,"""A.P.238/2/20/15:00"""
st_010210_title#0,"""불온한 목소리가 이끄는 곳"""
st_010210_date#0,"""A.P.238/2/20/11:30"""
st_010220_title#0,"""가면과의 조우"""
st_010220_date#0,"""A.P.238/2/20/12:00"""
st_010190_title#0,"""EP 1 - 두 번째 마타보드 전달"""
st_010190_date#0,"""A.P.238/2/28/14:00"""
ra_010070_title#0,"""불온한 인영"""
ra_010070_date#0,"""A.P.238/2/20"""
ra_010230_title#0,"""좋은 아크스? 나쁜 아크스?"""
ra_010230_date#0,"""A.P.238/2/21"""
ra_010570_title#0,"""행성 나베리우스의 지질에 대해"""
ra_010570_date#0,"""A.P.238/2/21"""
ra_010580_title#0,"""뭔가 좀 이상한 것 같은데"""
ra_010580_date#0,"""A.P.238/2/22"""
ra_010060_title#0,"""강화된 다커?"""
ra_010060_date#0,"""A.P.238/2/23"""
un_011060_title#0,"""그것밖에 없었으니까"""
un_011060_date#0,"""A.P.238/2/24"""
un_011130_title#0,"""포톤 사용법"""
un_011130_date#0,"""A.P.238/2/24"""
ra_010690_title#0,"""제노와 에코"""
ra_010690_date#0,"""A.P.238/2/28"""
ra_010710_title#0,"""스승님을 닮았어"""
ra_010710_date#0,"""A.P.238/3/3"""
st_010230_title#0,"""EP 1 - 세 번째 마타보드 전달"""
st_010230_date#0,"""A.P.238/3/1/14:00"""
ra_010720_title#0,"""원래는 레인저"""
ra_010720_date#0,"""A.P.238/2/26"""
ra_010080_title#0,"""의욕을 잃은 도공"""
ra_010080_date#0,"""A.P.238/2/28"""
ra_010170_title#0,"""다커는 무엇을 찾는가"""
ra_010170_date#0,"""A.P.238/2/28"""
ra_010090_title#0,"""도공을 찾아가자!"""
ra_010090_date#0,"""A.P.238/2/28"""
ra_010180_title#0,"""동토에 서 있는 인영"""
ra_010180_date#0,"""A.P.238/2/28"""
ra_010110_title#0,"""의욕을 되찾게 해 주고 싶지만…"""
ra_010110_date#0,"""A.P.238/3/1"""
ra_010590_title#0,"""삼림 너머의 동토"""
ra_010590_date#0,"""A.P.238/3/1"""
ra_010100_title#0,"""영광의 창세기"""
ra_010100_date#0,"""A.P.238/3/1"""
un_011070_title#0,"""적성이란 뭘까"""
un_011070_date#0,"""A.P.238/3/1"""
un_011140_title#0,"""아크스 이외의 삶"""
un_011140_date#0,"""A.P.238/3/1"""
st_010240_title#0,"""순수한 탐구자"""
st_010240_date#0,"""A.P.238/3/2/9:00"""
st_010250_title#0,"""아크스를 무시하는 다커"""
st_010250_date#0,"""A.P.238/3/2/10:00"""
st_010255_title#0,"""목적지에 도달"""
st_010255_date#0,"""A.P.238/3/2/10:30"""
st_010280_title#0,"""서 있는 사람 그림자"""
st_010280_date#0,"""A.P.238/3/2/10:30"""
st_010260_title#0,"""아무 일도 없고, 아무것도 보이지 않고"""
st_010260_date#0,"""A.P.238/3/2/11:00"""
st_010290_title#0,"""부서진 창세기"""
st_010290_date#0,"""A.P.238/3/2/11:00"""
st_010300_title#0,"""가면 아래엔"""
st_010300_date#0,"""A.P.238/3/2/11:30"""
ra_010600_title#0,"""나베리우스의 의문"""
ra_010600_date#0,"""A.P.238/3/3"""
ra_010310_title#0,"""이상하고 작은 그림자의 소문!"""
ra_010310_date#0,"""A.P.238/3/5"""
ra_010460_title#0,"""화산 동굴의 용족은 정말 대단해!"""
ra_010460_date#0,"""A.P.238/3/6"""
st_010310_title#0,"""EP 1 - 네 번째 마타보드 전달"""
st_010310_date#0,"""A.P.238/3/3/14:00"""
ra_010120_title#0,"""열정의 재점화"""
ra_010120_date#0,"""A.P.238/3/2"""
ra_010320_title#0,"""작은 그림자가 저를 구해줬어요"""
ra_010320_date#0,"""A.P.238/3/4"""
ra_010240_title#0,"""가면 자식은 어디에 있지"""
ra_010240_date#0,"""A.P.238/3/4"""
ra_010330_title#0,"""존재의 흔적"""
ra_010330_date#0,"""A.P.238/3/6"""
ra_010380_title#0,"""은인의 분실물"""
ra_010380_date#0,"""A.P.238/3/6"""
un_011080_title#0,"""혼나 버렸어요"""
un_011080_date#0,"""A.P.238/3/6"""
un_011150_title#0,"""의욕과 재능"""
un_011150_date#0,"""A.P.238/3/7"""
ra_010390_title#0,"""은혜를 갚고 싶어서"""
ra_010390_date#0,"""A.P.238/3/8"""
ra_010400_title#0,"""만났지만 아직 멀었다"""
ra_010400_date#0,"""A.P.238/3/9"""
ra_010410_title#0,"""겁쟁이의 딜레마"""
ra_010410_date#0,"""A.P.238/3/10"""
ra_010420_title#0,"""두려워하는 이유"""
ra_010420_date#0,"""A.P.238/3/10"""
ra_010340_title#0,"""범인은 누구일까"""
ra_010340_date#0,"""A.P.238/3/11"""
st_010320_title#0,"""함께 조사"""
st_010320_date#0,"""A.P.238/3/12"""
st_010330_title#0,"""탐색 개시는…"""
st_010330_date#0,"""A.P.238/3/12"""
st_010360_title#0,"""그들의 사고방식"""
st_010360_date#0,"""A.P.238/3/12/9:00"""
st_010370_title#0,"""받은 은혜는 잊지 않아"""
st_010370_date#0,"""A.P.238/3/12/10:00"""
st_010335_title#0,"""흔적은 있지만"""
st_010335_date#0,"""A.P.238/3/12/11:30"""
st_010340_title#0,"""네가 마음을 보일 때까지"""
st_010340_date#0,"""A.P.238/3/12/12:00"""
st_010375_title#0,"""EP 1 - 다섯 번째 마타보드 전달"""
st_010375_date#0,"""A.P.238/3/21/14:00"""
ra_010250_title#0,"""깊은 인연"""
ra_010250_date#0,"""A.P.238/3/3"""
ra_010280_title#0,"""마음에 들지 않으면 외적"""
ra_010280_date#0,"""A.P.238/3/5"""
ra_010470_title#0,"""선생님이 실종됐어요!"""
ra_010470_date#0,"""A.P.238/3/8"""
ra_010480_title#0,"""진실의 탐구자"""
ra_010480_date#0,"""A.P.238/3/8"""
ra_010490_title#0,"""대리 정보 수집"""
ra_010490_date#0,"""A.P.238/3/9"""
ra_010500_title#0,"""압도적인 용족"""
ra_010500_date#0,"""A.P.238/3/11"""
ra_010510_title#0,"""이상한 파라미터"""
ra_010510_date#0,"""A.P.238/3/11"""
ra_010130_title#0,"""하나로는 부족해"""
ra_010130_date#0,"""A.P.238/3/13"""
un_011090_title#0,"""싸우는 척"""
un_011090_date#0,"""A.P.238/3/13"""
un_011160_title#0,"""낙오자는 낙오자일 뿐?"""
un_011160_date#0,"""A.P.238/3/13"""
ra_010200_title#0,"""나머지 파츠는 대체 어디에?"""
ra_010200_date#0,"""A.P.238/3/14"""
ra_010520_title#0,"""역시 직접 봐야 해"""
ra_010520_date#0,"""A.P.238/3/18"""
ra_010610_title#0,"""이럴 리가 없어"""
ra_010610_date#0,"""A.P.238/3/18"""
st_010380_title#0,"""용족 조사를 시작하자"""
st_010380_date#0,"""A.P.238/3/19/12:00"""
st_010395_title#0,"""배타적인 용족"""
st_010395_date#0,"""A.P.238/3/19/12:20"""
st_010430_title#0,"""광화하는 용족"""
st_010430_date#0,"""A.P.238/3/19/12:20"""
st_010400_title#0,"""다커가 많아"""
st_010400_date#0,"""A.P.238/3/19/12:40"""
st_010440_title#0,"""용족의 시신"""
st_010440_date#0,"""A.P.238/3/19/12:40"""
st_010410_title#0,"""미쳐 버린 용족"""
st_010410_date#0,"""A.P.238/3/19/13:00"""
st_010450_title#0,"""용족의 규율"""
st_010450_date#0,"""A.P.238/3/19/13:00"""
st_010420_title#0,"""생겨나는 오해"""
st_010420_date#0,"""A.P.238/3/19/13:30"""
st_010460_title#0,"""대화의 시작"""
st_010460_date#0,"""A.P.238/3/19/13:30"""
st_010470_title#0,"""EP 1 - 여섯 번째 마타보드 전달"""
st_010470_date#0,"""A.P.238/3/21/14:00"""
un_011100_title#0,"""무리하지 말라니……"""
un_011100_date#0,"""A.P.238/3/16"""
ra_010430_title#0,"""내딛는 한 걸음"""
ra_010430_date#0,"""A.P.238/3/20"""
ra_010740_title#0,"""단 한 번의 후회"""
ra_010740_date#0,"""A.P.238/3/21"""
st_010555_title#0,"""EP 1 - 일곱 번째 마타보드 전달"""
st_010555_date#0,"""A.P.238/3/21/14:00"""
ra_010440_title#0,"""솔직하게 받아들이면"""
ra_010440_date#0,"""A.P.238/3/21"""
ra_010210_title#0,"""갱도를 탐색하다, 가면의 모습"""
ra_010210_date#0,"""A.P.238/3/22"""
ra_010450_title#0,"""왠지 괜찮을 것 같아"""
ra_010450_date#0,"""A.P.238/3/22"""
ra_010290_title#0,"""겟템하르트의 과거는…"""
ra_010290_date#0,"""A.P.238/3/22"""
st_010480_title#0,"""파손 무기 탐색"""
st_010480_date#0,"""A.P.238/3/24/10:00"""
st_010490_title#0,"""수수께끼의 표식"""
st_010490_date#0,"""A.P.238/3/24/10:30"""
st_010500_title#0,"""존재 증명"""
st_010500_date#0,"""A.P.238/3/24/11:00"""
st_010580_title#0,"""그들의 말이란"""
st_010580_date#0,"""A.P.238/3/24/11:00"""
st_010510_title#0,"""허탕 친 조사"""
st_010510_date#0,"""A.P.238/3/24/11:30"""
st_010590_title#0,"""최심부로 이끄는 길"""
st_010590_date#0,"""A.P.238/3/24/11:30"""
st_010600_title#0,"""두 번째 클라리사의 파편"""
st_010600_date#0,"""A.P.238/3/24/12:00"""
ra_010140_title#0,"""이건… 선단부!"""
ra_010140_date#0,"""A.P.238/3/24"""
st_010470_title#1,"""EP 1 - 여섯 번째 마타보드 전달"""
st_010470_date#1,"""A.P.238/3/21/14:00"""
ra_010530_title#0,"""한시를 다투는 문제"""
ra_010530_date#0,"""A.P.238/3/21"""
ra_010540_title#0,"""히 엔의 기대"""
ra_010540_date#0,"""A.P.238/3/22"""
ra_010800_title#0,"""쉽게 포기하지 않는 녀석"""
ra_010800_date#0,"""A.P.238/3/22"""
st_010555_title#1,"""EP 1 - 일곱 번째 마타보드 전달"""
st_010555_date#1,"""A.P.238/3/21/14:00"""
ra_010220_title#0,"""부유 대륙을 탐색하다, 가면의 모습"""
ra_010220_date#0,"""A.P.238/3/23"""
ra_010550_title#0,"""긍지와 생명의 저울"""
ra_010550_date#0,"""A.P.238/3/23"""
ra_010560_title#0,"""전해지는 구세의 존재"""
ra_010560_date#0,"""A.P.238/3/24"""
st_010520_title#0,"""무작정 조사하러"""
st_010520_date#0,"""A.P.238/3/25/10:00"""
st_010530_title#0,"""히 엔과의 재회"""
st_010530_date#0,"""A.P.238/3/25/10:30"""
st_010620_title#0,"""인정받은 자"""
st_010620_date#0,"""A.P.238/3/25/10:30"""
st_010540_title#0,"""아크스가 다커를 부른다"""
st_010540_date#0,"""A.P.238/3/25/11:00"""
st_010630_title#0,"""새로운 시대"""
st_010630_date#0,"""A.P.238/3/25/11:00"""
st_010545_title#0,"""용족의 거부"""
st_010545_date#0,"""A.P.238/3/25/11:30"""
st_010635_title#0,"""노룡의 허락"""
st_010635_date#0,"""A.P.238/3/25/11:30"""
st_010550_title#0,"""답은 하늘에"""
st_010550_date#0,"""A.P.238/3/25/12:00"""
st_010640_title#0,"""맡겨진 것"""
st_010640_date#0,"""A.P.238/3/25/12:00"""
ra_010150_title#0,"""이건…… 코어 부분!"""
ra_010150_date#0,"""A.P.238/3/25"""
un_011110_title#0,"""이제야 앞을 바라볼 수 있어"""
un_011110_date#0,"""A.P.238/3/29"""
un_011170_title#0,"""노력은 반드시 결실을 맺는 법이야!"""
un_011170_date#0,"""A.P.238/3/28"""
st_010642_title#0,"""비상사태"""
st_010642_date#0,"""A.P.238/3/31/12:00"""
st_010643_title#0,"""아크스의 책무"""
