MissionProgress#0,"""Info. simple de misión"""
MissionReward_RewardList_Next#0,"""Recibir siguiente"""
MissionReward_RewardList_Interrupt#0,"""Cancelar"""
MissionReward_RewardList_Close#0,"""Cerrar"""
MissionNotice_Issue_Header#0,"""<c f0df60>Ordenes recibidas<c>"""
MissionNotice_Issue_Description#0,"""Completa tus objetivos y consigue recompensas."""
MissionNotice_Issue_Number#0,"""…+$(0) otras"""
MissionNotice_Achieve_Header#0,"""Logrado"""
MissionNotice_Achieve_Description#0,"""Gana dinero en Misiones ARKS."""
MissionNotice_Achieve_Number#0,"""…+$(0) otras"""
SimpleStatus_NotOpen#0,"""No hay misiones"""
SimpleStatus_SharedShip#0,"""No es posible confirmar la misión en la Nave Comun."""
MissionBoardCategoryMenuDaily#0,"""Misión Diaria"""
MissionBoardCategoryMenuWeekly#0,"""Misión Semanal"""
MissionBoardCategoryMenuLimited#0,"""Misión por tiempo limitado"""
MissionBoardCategoryMenuGuidance#0,"""Misión Principal"""
MissionBoardCategoryMenuTier#0,"""-"""
MissionReward_Error_General_Header#0,"""Recibir Recompensas"""
MissionReward_Error_General_Msg#0,"""No pudes recibir la recompensa.<br><br>Por favor, intente de nuevo más tarde."""
MissionReward_Error_Inventorylimit_Header#0,"""Recibir Recompensas"""
MissionReward_Error_Inventorylimit_Msg#0,"""El objeto no se recibió porque<br>no tienes espacio o superó<br>el límite del número de objetos."""
MissionReward_Error_limitTime_Header#0,"""Recibir Recompensas"""
MissionReward_Error_limitTime_Msg#0,"""No se recibió porque la fecha de caducidad ha pasado."""
MissionTracking_Change_toast#0,"""Se cambio la mision a seguir"""
MissionTracking_Change_error#0,"""Esta misión no puede ser rastreada."""
MissionMenu_ItemDetail_NoItem#0,"""No hay recompensa."""
