ReturnText#0,"""뒤로"""
PartnerChangeEquipError11#0,"""未鑑定のアイテムは<br>渡すことができません。"""
PartnerChangeEquipError12#0,"""アイテムパックの空き容量不足のため<br>装備を外すことができません。"""
PartnerChangeSubclassSuccess#0,"""サブクラスを変更しました。"""
PartnerChangeSubclassError#0,"""서포트 파트너の<br>サブクラス変更に실패しました。"""
PartnerChangeSameSubclass#0,"""$(0)は現在のサブクラスです。"""
StartCheckButton1#0,"""出発"""
StartCheckButton2#0,"""姿を残して出発"""
Leave#0,"""\u3000（앞으로  $(0)）"""
SubClassSelectTitle#0,"""サブクラスの選択"""
SubClassChangeMessage#0,"""서포트 파트너のサブクラスを<br>$(0)に変更させます。<br><br>정말 괜찮으시겠습니까?"""
ClassList#0,"""クラスリスト"""
ClassLevel#0,"""Lv.(MAX)"""
