ScratchMenue_Title#0,"""스크래치 뽑기"""
PrizeChange_Check_Error02#0,"""현재 선택하신 스크래치는 구매할 수 없습니다.<br>자세한 내용은 플레이어즈 사이트를 확인해 주십시오."""
EmissionParcent#0,"""$(0)%"""
ScratchLabelBonus#0,"""보너스"""
ScratchLabelStage1#0,"""1바퀴"""
ScratchLabelStage2#0,"""2바퀴 이후"""
AllUse#0,"""전부 사용하기"""
Title_scratch#0,"""획득 아이템 목록"""
Title_useitem#0,"""아이템 사용"""
scratch_message#0,"""아래의 경품이 당첨됐습니다!"""
bonus_message#0,"""「1바퀴」의 보수를 모두 획득하면 「2바퀴 이후」로 넘어갑니다.<br>「2바퀴 이후」는 반복 보상을 획득할 수 있습니다."""
useitem_message#0,"""사용 가능한 획득 티켓 아이템을 모두 사용하시겠습니까?<br>아이템을 선택해 하나씩 사용할 수 있습니다.<br><yellow>※창고에 보낸 아이템은 표시되지 않습니다.<c>"""
useitem_message2#0,"""使用可能な獲得チケットアイテムを、すべて使用しますか？<br>アイテムを選択して、１つずつ使用することもできます。"""
Tags01#0,"""추천!"""
Tags02#0,"""인기!"""
Tags03#0,"""보너스!"""
Tags04#0,"""진열종료예정"""
GachaBonusCommentNothing_re#0,"""이 스크래치는<br>회차 보너스가 없습니다."""
GachaBonusCommentAchieved_re#0,"""이 스크래치의<br>회차 보너스를 이미 획득했습니다."""
ScratchChoice_LimitedTime#0,"""진열 기간"""
ScratchStep_CurrentStep#0,"""현재 스텝"""
ScratchStep_CurrentStep2#0,"""Step.$(0) (현재 스텝)"""
ScratchStep_Step#0,"""Step.$(0)"""
ScratchStep_CurrentStepBonus#0,"""<c 97e2fc>현재 스텝 보너스<c><br>$(0)"""
ScratchStep_Bonus01#0,"""효과 없음"""
ScratchStep_Bonus02#0,"""추천 경품 획득 확률 UP($(0)배)"""
ScratchStepBonus_Title#0,"""스텝 보너스 확인"""
ScratchStepBonus_Text#0,"""스크래치를 긁은 횟수에 따라 스텝이 올라갑니다.<br>현재 스텝 수에 따라 스텝 보너스가 발생합니다."""
ScratchSearchTitle#0,"""카테고리 설정"""
ScratchSearchItem_1#0,"""모두 보기"""
ScratchSearchItem_2#0,"""아우터 웨어"""
ScratchSearchItem_3#0,"""베이스 웨어/세트 웨어"""
ScratchSearchItem_4#0,"""이너 웨어"""
ScratchSearchItem_5#0,"""헤어스타일"""
ScratchSearchItem_6#0,"""악세서리"""
ScratchSearchItem_7#0,"""바디 페인트"""
ScratchSearchItem_8#0,"""코스튬"""
ScratchSearchItem_9#0,"""바디 파츠"""
ScratchSearchItem_10#0,"""암 파츠"""
ScratchSearchItem_11#0,"""레그 파츠"""
ScratchSearchItem_12#0,"""헤드 파츠"""
ScratchSearchItem_13#0,"""무기 미채"""
ScratchSearchItem_14#0,"""소비 아이템"""
ScratchSearchItem_15#0,"""기타"""
ScratchSearchItem_none#0,"""해당 항목 아이템이 없습니다."""
ScratchSearchItem_16#0,"""빌드 파츠"""
ScratchSearchItem_17#0,"""포터블 홀로그램"""
Title#0,"""스크래치 창고"""
Header_ItemName#0,"""아이템 이름"""
Header_SavePeriod#0,"""저장 기간"""
Sort_Save#0,"""저장 기간"""
Sort_Reality#0,"""레어리티"""
Sort_Costume#0,"""코스튬/파츠"""
Sort_Camouflage#0,"""무기 미채"""
Sort_Consumables#0,"""소비 아이템"""
Sort_etr#0,"""기타"""
ReceiveButton#0,"""모두 받기"""
SavePeriodNote_Title#0,"""저장 기간"""
SavePeriodNote_Header1#0,"""저장 기간이 끊어진 아이템에 대해서"""
SavePeriodNote_Header1Mess#0,"""스크래치 창고는<yellow> 저장된<br>각 아이템에 저장 기간이 있습니다.<c><br>저장 기간을 넘긴 아이템은<br>「리사이클 포인트」로 자동 변환됩니다.<br>아이템을 꼭 받아주시기 바랍니다."""
SavePeriodNote_Header2#0,"""리사이클 포인트 변환"""
SavePeriodNote_Header2Mess#0,"""경품에 지원 스크래치 1회분 변환"""
StorageCheck_Title#0,"""수령 창고 확인"""
StorageCheck_Mess#0,"""$(0)개 아이템의 받으실 곳을 선택해 주세요.<br><yellow>※너무 많을 경우 받을 수 있는 만큼만 받습니다.<c>"""
StorageCheck_BuckButton#0,"""뒤로"""
StorageCheck_GetPrize#0,"""아이템을 받았습니다."""
StorageCheck_MaxError#0,"""받으실 곳에 빈자리가 없어 아이템을 받으실 수 없습니다.<br>비어 있는 곳을 선택하거나<br>아이템을 정리해 주세요."""
StorageCheck_GetPrize2#0,"""일부 받을 수 없는 아이템이 있었습니다."""
ChangePoint_Title#0,"""스크래치"""
ChangePoint_Text01#0,"""수령 기한이 지나<br>아래의 아이템을 리사이클 포인트로 변환했습니다."""
ChangePoint_Text02#0,"""경품명"""
ChangePoint_Text03#0,"""수령 기한"""
ChangePoint_Text04#0,"""포인트"""
ChangePoint_Text05#0,"""$(0)까지"""
ChangePoint_CloseButton#0,"""닫기"""
ChangePoint_mess01#0,"""스크래치 창고에 수령하지 않은 아이템이 있습니다."""
ChangePoint_mess02#0,"""스크래치 창고에<pure_red>수령 기한에 임박한 미수령 아이템<c>이 있습니다."""
