Name_00000#0,"""초급 타격 무기 Lv.1"""
Name_30005#0,"""리어 타격 방어 Lv.6"""
Name_30006#0,"""리어 타격 방어 Lv.7"""
Name_30007#0,"""리어 타격 방어 Lv.8"""
Name_30008#0,"""리어 타격 방어 Lv.9"""
Name_30009#0,"""리어 타격 방어 Lv.10"""
Name_30010#0,"""리어 사격 방어 Lv.1"""
Name_30011#0,"""리어 사격 방어 Lv.2"""
Name_30012#0,"""리어 사격 방어 Lv.3"""
Name_30013#0,"""리어 사격 방어 Lv.4"""
Name_30014#0,"""리어 사격 방어 Lv.5"""
Name_30015#0,"""리어 사격 방어 Lv.6"""
Name_30016#0,"""리어 사격 방어 Lv.7"""
Name_30017#0,"""리어 사격 방어 Lv.8"""
Name_30018#0,"""리어 사격 방어 Lv.9"""
Name_30019#0,"""리어 사격 방어 Lv.10"""
Name_30020#0,"""리어 법격 방어 Lv.1"""
Name_30021#0,"""리어 법격 방어 Lv.2"""
Name_30022#0,"""리어 법격 방어 Lv.3"""
Name_30023#0,"""리어 법격 방어 Lv.4"""
Name_30024#0,"""리어 법격 방어 Lv.5"""
Name_30025#0,"""리어 법격 방어 Lv.6"""
Name_30026#0,"""리어 법격 방어 Lv.7"""
Name_30027#0,"""리어 법격 방어 Lv.8"""
Name_30028#0,"""리어 법격 방어 Lv.9"""
Name_30029#0,"""리어 법격 방어 Lv.10"""
Name_30030#0,"""리어 유닛 리셋"""
Name_40000#0,"""암 타격 방어 Lv.1"""
Name_40001#0,"""암 타격 방어 Lv.2"""
Name_40002#0,"""암 타격 방어 Lv.3"""
Name_40003#0,"""암 타격 방어 Lv.4"""
Name_40004#0,"""암 타격 방어 Lv.5"""
Name_40005#0,"""암 타격 방어 Lv.6"""
Name_40006#0,"""암 타격 방어 Lv.7"""
Name_40007#0,"""암 타격 방어 Lv.8"""
Name_40008#0,"""암 타격 방어 Lv.9"""
Name_40009#0,"""암 타격 방어 Lv.10"""
Name_40010#0,"""암 사격 방어 Lv.1"""
Name_40011#0,"""암 사격 방어 Lv.2"""
Name_40012#0,"""암 사격 방어 Lv.3"""
Name_40013#0,"""암 사격 방어 Lv.4"""
Name_40014#0,"""암 사격 방어 Lv.5"""
Name_40015#0,"""암 사격 방어 Lv.6"""
Name_40016#0,"""암 사격 방어 Lv.7"""
Name_40017#0,"""암 사격 방어 Lv.8"""
Name_40018#0,"""암 사격 방어 Lv.9"""
Name_40019#0,"""암 사격 방어 Lv.10"""
Name_40020#0,"""암 법격 방어 Lv.1"""
Name_40021#0,"""암 법격 방어 Lv.2"""
Name_40022#0,"""암 법격 방어 Lv.3"""
Name_40023#0,"""암 법격 방어 Lv.4"""
Name_40024#0,"""암 법격 방어 Lv.5"""
Name_40025#0,"""암 법격 방어 Lv.6"""
Name_40026#0,"""암 법격 방어 Lv.7"""
Name_40027#0,"""암 법격 방어 Lv.8"""
Name_40028#0,"""암 법격 방어 Lv.9"""
Name_40029#0,"""암 법격 방어 Lv.10"""
Name_40030#0,"""암 유닛 리셋"""
Name_50000#0,"""레그 타격 방어 Lv.1"""
Name_50001#0,"""레그 타격 방어 Lv.2"""
Name_50002#0,"""레그 타격 방어 Lv.3"""
Name_50003#0,"""레그 타격 방어 Lv.4"""
Name_50004#0,"""레그 타격 방어 Lv.5"""
Name_50005#0,"""레그 타격 방어 Lv.6"""
Name_50006#0,"""레그 타격 방어 Lv.7"""
Name_50007#0,"""레그 타격 방어 Lv.8"""
Name_50008#0,"""레그 타격 방어 Lv.9"""
Name_50009#0,"""레그 타격 방어 Lv.10"""
Name_50010#0,"""레그 사격 방어 Lv.1"""
Name_50011#0,"""레그 사격 방어 Lv.2"""
Name_50012#0,"""레그 사격 방어 Lv.3"""
Name_50013#0,"""레그 사격 방어 Lv.4"""
Name_50014#0,"""레그 사격 방어 Lv.5"""
Name_50015#0,"""레그 사격 방어 Lv.6"""
Name_50016#0,"""레그 사격 방어 Lv.7"""
Name_50017#0,"""레그 사격 방어 Lv.8"""
Name_50018#0,"""레그 사격 방어 Lv.9"""
Name_50019#0,"""레그 사격 방어 Lv.10"""
Name_50020#0,"""레그 법격 방어 Lv.1"""
Name_50021#0,"""레그 법격 방어 Lv.2"""
Name_50022#0,"""레그 법격 방어 Lv.3"""
Name_50023#0,"""레그 법격 방어 Lv.4"""
Name_50024#0,"""레그 법격 방어 Lv.5"""
Name_50025#0,"""레그 법격 방어 Lv.6"""
Name_50026#0,"""레그 법격 방어 Lv.7"""
Name_50027#0,"""레그 법격 방어 Lv.8"""
Name_50028#0,"""레그 법격 방어 Lv.9"""
Name_50029#0,"""레그 법격 방어 Lv.10"""
Name_50030#0,"""레그 유닛 리셋"""
Name_00076#0,"""초급 타격 무기 Lv.21"""
Name_00077#0,"""초급 타격 무기 Lv.22"""
Name_00078#0,"""초급 타격 무기 Lv.23"""
Name_00079#0,"""초급 타격 무기 Lv.24"""
Name_00080#0,"""중급 타격 무기 Lv.17"""
Name_00081#0,"""중급 타격 무기 Lv.18"""
Name_00082#0,"""중급 타격 무기 Lv.19"""
Name_00083#0,"""중급 타격 무기 Lv.20"""
Name_00084#0,"""상급 타격 무기 Lv.13"""
Name_00085#0,"""상급 타격 무기 Lv.14"""
Name_00086#0,"""상급 타격 무기 Lv.15"""
Name_00087#0,"""상급 타격 무기 Lv.16"""
Name_00088#0,"""★１０타격 무기 Lv.11"""
Name_00089#0,"""★１０타격 무기 Lv.12"""
Name_00090#0,"""★１０타격 무기 Lv.13"""
Name_00091#0,"""★１０타격 무기 Lv.14"""
Name_00092#0,"""★１１타격 무기 Lv.9"""
Name_00093#0,"""★１１타격 무기 Lv.10"""
Name_00094#0,"""★１１타격 무기 Lv.11"""
Name_00095#0,"""★１１타격 무기 Lv.12"""
Name_00096#0,"""★１２타격 무기 Lv.7"""
Name_00097#0,"""★１２타격 무기 Lv.8"""
Name_00098#0,"""★１２타격 무기 Lv.9"""
Name_00099#0,"""★１２타격 무기 Lv.10"""
Name_00100#0,"""★1～12 신세 타격 무기 Lv.1"""
Name_00101#0,"""★1～12 신세 타격 무기 Lv.2"""
Name_00102#0,"""★1～12 신세 타격 무기 Lv.3"""
Name_00103#0,"""★1～12 신세 타격 무기 Lv.4"""
Name_00104#0,"""★1～12 신세 타격 무기 Lv.5"""
Name_00105#0,"""★1～12 신세 타격 무기 Lv.6"""
Name_00106#0,"""★1～12 신세 타격 무기 Lv.7"""
Name_00107#0,"""★1～12 신세 타격 무기 Lv.8"""
Name_00108#0,"""★1～12 신세 타격 무기 Lv.9"""
Name_00109#0,"""★1～12 신세 타격 무기 Lv.10"""
Name_00110#0,"""★1～12 신세 타격 무기 Lv.11"""
Name_00111#0,"""★1～12 신세 타격 무기 Lv.12"""
Name_00112#0,"""★1～12 신세 타격 무기 Lv.13"""
Name_00113#0,"""★1～12 신세 타격 무기 Lv.14"""
Name_00114#0,"""★1～12 신세 타격 무기 Lv.15"""
Name_00115#0,"""★1～12 신세 타격 무기 Lv.16"""
Name_00116#0,"""★1～12 신세 타격 무기 Lv.17"""
Name_00117#0,"""★1～12 신세 타격 무기 Lv.18"""
Name_00118#0,"""★１３ 신세 타격 무기 Lv.1"""
Name_00119#0,"""★１３ 신세 타격 무기 Lv.2"""
Name_00120#0,"""★１３ 신세 타격 무기 Lv.3"""
Name_00121#0,"""★１３ 신세 타격 무기 Lv.4"""
Name_00122#0,"""★１３ 신세 타격 무기 Lv.5"""
Name_00123#0,"""★１３ 신세 타격 무기 Lv.6"""
Name_00124#0,"""★１３ 신세 타격 무기 Lv.7"""
Name_00125#0,"""★１３ 신세 타격 무기 Lv.8"""
Name_00126#0,"""★１３ 신세 타격 무기 Lv.9"""
Name_00127#0,"""★１３ 신세 타격 무기 Lv.10"""
Name_00128#0,"""★１３ 신세 타격 무기 Lv.11"""
Name_00129#0,"""★１３ 신세 타격 무기 Lv.12"""
Name_00130#0,"""★１４ 신세 타격 무기 Lv.1"""
Name_00131#0,"""★１４ 신세 타격 무기 Lv.2"""
Name_00132#0,"""★１４ 신세 타격 무기 Lv.3"""
Name_00133#0,"""★１４ 신세 타격 무기 Lv.4"""
Name_00134#0,"""★１４ 신세 타격 무기 Lv.5"""
Name_00135#0,"""★１４ 신세 타격 무기 Lv.6"""
Name_00136#0,"""★１４ 신세 타격 무기 Lv.7"""
Name_00137#0,"""★１４ 신세 타격 무기 Lv.8"""
Name_00138#0,"""★１４ 신세 타격 무기 Lv.9"""
Name_00139#0,"""★１５ 신세 타격 무기 Lv.1"""
Name_00140#0,"""★１５ 신세 타격 무기 Lv.2"""
Name_00141#0,"""★１５ 신세 타격 무기 Lv.3"""
Name_00142#0,"""★１５ 신세 타격 무기 Lv.4"""
Name_00143#0,"""★１５ 신세 타격 무기 Lv.5"""
Name_00144#0,"""★１５ 신세 타격 무기 Lv.6"""
Name_00145#0,"""타격 무기 리셋 레시피"""
Name_00146#0,"""★１２타격 무기 【법격】 Lv.8"""
Name_00147#0,"""★１２타격 무기 【법격】 Lv.10"""
Name_00148#0,"""초급 타격 무기 【기량】 Lv.9"""
Name_00149#0,"""초급 타격 무기 【기량】 Lv.11"""
Name_00150#0,"""초급 타격 무기 【기량】 Lv.13"""
Name_00151#0,"""초급 타격 무기 【기량】 Lv.16"""
Name_00152#0,"""초급 타격 무기 【기량】 Lv.18"""
Name_00153#0,"""초급 타격 무기 【기량】 Lv.20"""
Name_00154#0,"""초급 타격 무기 【기량】 Lv.22"""
Name_00155#0,"""초급 타격 무기 【기량】 Lv.24"""
Name_00156#0,"""중급 타격 무기 【기량】 Lv.6"""
Name_00157#0,"""중급 타격 무기 【기량】 Lv.8"""
Name_00158#0,"""중급 타격 무기 【기량】 Lv.10"""
Name_00159#0,"""중급 타격 무기 【기량】 Lv.12"""
Name_00160#0,"""중급 타격 무기 【기량】 Lv.14"""
Name_00161#0,"""중급 타격 무기 【기량】 Lv.16"""
Name_00162#0,"""중급 타격 무기 【기량】 Lv.18"""
Name_00163#0,"""중급 타격 무기 【기량】 Lv.20"""
Name_00164#0,"""상급 타격 무기 【기량】 Lv.4"""
Name_00165#0,"""상급 타격 무기 【기량】 Lv.5"""
Name_00166#0,"""상급 타격 무기 【기량】 Lv.6"""
Name_00167#0,"""상급 타격 무기 【기량】 Lv.8"""
Name_00168#0,"""상급 타격 무기 【기량】 Lv.10"""
Name_00169#0,"""상급 타격 무기 【기량】 Lv.12"""
Name_00170#0,"""상급 타격 무기 【기량】 Lv.14"""
Name_00171#0,"""상급 타격 무기 【기량】 Lv.16"""
Name_00172#0,"""★１０타격 무기 【기량】 Lv.3"""
Name_00173#0,"""★１０타격 무기 【기량】 Lv.4"""
Name_00174#0,"""★１０타격 무기 【기량】 Lv.5"""
Name_00175#0,"""★１０타격 무기 【기량】 Lv.7"""
Name_00176#0,"""★１０타격 무기 【기량】 Lv.8"""
Name_00177#0,"""★１０타격 무기 【기량】 Lv.10"""
Name_00178#0,"""★１０타격 무기 【기량】 Lv.12"""
Name_00179#0,"""★１０타격 무기 【기량】 Lv.14"""
Name_00180#0,"""★１１타격 무기 【기량】 Lv.2"""
Name_00181#0,"""★１１타격 무기 【기량】 Lv.3"""
Name_00182#0,"""★１１타격 무기 【기량】 Lv.4"""
Name_00183#0,"""★１１타격 무기 【기량】 Lv.6"""
Name_00184#0,"""★１１타격 무기 【기량】 Lv.7"""
Name_00185#0,"""★１１타격 무기 【기량】 Lv.8"""
Name_00186#0,"""★１１타격 무기 【기량】 Lv.10"""
Name_00187#0,"""★１１타격 무기 【기량】 Lv.12"""
Name_00188#0,"""★１２타격 무기 【기량】 Lv.1"""
Name_00189#0,"""★１２타격 무기 【기량】 Lv.2"""
Name_00190#0,"""★１２타격 무기 【기량】 Lv.3"""
Name_00191#0,"""★１２타격 무기 【기량】 Lv.4"""
Name_00192#0,"""★１２타격 무기 【기량】 Lv.5"""
Name_00193#0,"""★１２타격 무기 【기량】 Lv.6"""
Name_00194#0,"""★１２타격 무기 【기량】 Lv.8"""
Name_00195#0,"""★１２타격 무기 【기량】 Lv.10"""
Name_10076#0,"""초급 사격 무기 Lv.21"""
Name_10077#0,"""초급 사격 무기 Lv.22"""
Name_10078#0,"""초급 사격 무기 Lv.23"""
Name_10079#0,"""초급 사격 무기 Lv.24"""
Name_10080#0,"""중급 사격 무기 Lv.17"""
Name_10081#0,"""중급 사격 무기 Lv.18"""
Name_10082#0,"""중급 사격 무기 Lv.19"""
Name_10083#0,"""중급 사격 무기 Lv.20"""
Name_10084#0,"""상급 사격 무기 Lv.13"""
Name_10085#0,"""상급 사격 무기 Lv.14"""
Name_10086#0,"""상급 사격 무기 Lv.15"""
Name_10087#0,"""상급 사격 무기 Lv.16"""
Name_10088#0,"""★１０사격 무기 Lv.11"""
Name_10089#0,"""★１０사격 무기 Lv.12"""
Name_10090#0,"""★１０사격 무기 Lv.13"""
Name_10091#0,"""★１０사격 무기 Lv.14"""
Name_10092#0,"""★１１사격 무기 Lv.9"""
Name_10093#0,"""★１１사격 무기 Lv.10"""
Name_10094#0,"""★１１사격 무기 Lv.11"""
Name_10095#0,"""★１１사격 무기 Lv.12"""
Name_10096#0,"""★１２사격 무기 Lv.7"""
Name_10097#0,"""★１２사격 무기 Lv.8"""
Name_10098#0,"""★１２사격 무기 Lv.9"""
Name_10099#0,"""★１２사격 무기 Lv.10"""
Name_10100#0,"""★1～12 신세 사격 무기 Lv.1"""
Name_10101#0,"""★1～12 신세 사격 무기 Lv.2"""
Name_10102#0,"""★1～12 신세 사격 무기 Lv.3"""
Name_10103#0,"""★1～12 신세 사격 무기 Lv.4"""
Name_10104#0,"""★1～12 신세 사격 무기 Lv.5"""
Name_10105#0,"""★1～12 신세 사격 무기 Lv.6"""
Name_10106#0,"""★1～12 신세 사격 무기 Lv.7"""
Name_10107#0,"""★1～12 신세 사격 무기 Lv.8"""
Name_10108#0,"""★1～12 신세 사격 무기 Lv.9"""
Name_10109#0,"""★1～12 신세 사격 무기 Lv.10"""
Name_10110#0,"""★1～12 신세 사격 무기 Lv.11"""
Name_10111#0,"""★1～12 신세 사격 무기 Lv.12"""
Name_10112#0,"""★1～12 신세 사격 무기 Lv.13"""
Name_10113#0,"""★1～12 신세 사격 무기 Lv.14"""
Name_10114#0,"""★1～12 신세 사격 무기 Lv.15"""
Name_10115#0,"""★1～12 신세 사격 무기 Lv.16"""
Name_10116#0,"""★1～12 신세 사격 무기 Lv.17"""
Name_10117#0,"""★1～12 신세 사격 무기 Lv.18"""
Name_10118#0,"""★１３ 신세 사격 무기 Lv.1"""
Name_10119#0,"""★１３ 신세 사격 무기 Lv.2"""
Name_10120#0,"""★１３ 신세 사격 무기 Lv.3"""
Name_10121#0,"""★１３ 신세 사격 무기 Lv.4"""
Name_10122#0,"""★１３ 신세 사격 무기 Lv.5"""
Name_10123#0,"""★１３ 신세 사격 무기 Lv.6"""
Name_10124#0,"""★１３ 신세 사격 무기 Lv.7"""
Name_10125#0,"""★１３ 신세 사격 무기 Lv.8"""
Name_10126#0,"""★１３ 신세 사격 무기 Lv.9"""
Name_10127#0,"""★１３ 신세 사격 무기 Lv.10"""
Name_10128#0,"""★１３ 신세 사격 무기 Lv.11"""
Name_10129#0,"""★１３ 신세 사격 무기 Lv.12"""
Name_10130#0,"""★１４ 신세 사격 무기 Lv.1"""
Name_10131#0,"""★１４ 신세 사격 무기 Lv.2"""
Name_10132#0,"""★１４ 신세 사격 무기 Lv.3"""
