MesetaDenomination#0,"""<pict reb_meseta>메세타"""
MenuGuide_N_Meseta#0,"""N-메세타로 매일 상품이 바뀌는 아이템을 구매할 수 있는 샵입니다. \""상품 갱신\""으로, 즉시 상품 리스트를 갱신할 수 있습니다. (매일 1회 무료)"""
MenuTitle#0,"""샵 메뉴"""
MenuSG#0,"""스타잼으로 구매"""
MenuMeseta#0,"""메세타로 구매"""
MenuEnd#0,"""샵 에서 나가기"""
SgShopTitle#0,"""스타잼으로 구매"""
SgShopGuide#0,"""<c f0df60>구매할 아이템을 선택해주세요. 「리스트 수동 갱신<c><pict StarGem><c f0df60>」으로 즉시 상품 리스트를 갱신할 수 있습니다.<c>"""
SgShopGuide_v#0,"""<c f0df60>구매할 아이템을 선택해주세요. 「리스트 수동 갱신<c><pict StarGem><c f0df60>」으로 즉시 상품 리스트를 갱신할 수 있습니다.<c>"""
MesetaShopTitle#0,"""메세타로 사기"""
MesetaShopGuide#0,"""<c f0df60>구매할 아이템을 선택해주세요. 「리스트 수동 갱신<c><pict StarGem><c f0df60>」으로 즉시 상품 리스트를 갱신할 수 있습니다.<c>"""
MesetaShopGuide_v#0,"""<c f0df60>구매할 아이템을 선택해주세요. 「리스트 수동 갱신<c><pict StarGem><c f0df60>」으로 즉시 상품 리스트를 갱신할 수 있습니다.<c>"""
ShopListTitle#0,"""상품 리스트"""
ShopListResetTime#0,"""차회 갱신: $(0)"""
ShopListReset_N_Time#0,"""다음 갱신까지：앞으로$(0)"""
ShopListReset_N_UpdateTime#0,"""샵을 다시 열면 상품이 갱신"""
ShopListResetButton#0,"""<yellow>리스트 수동 갱신<c><pict StarGem>"""
ShopListResetButton_N_Free#0,"""상품 갱신 (매일 1회 무료)"""
ShopListResetButton_N_Premium#0,"""상품 갱신 (프리미엄)"""
ShopListResetButton_N_SG#0,"""상품 갱신<pict 4space><pict StarGem>"""
ShopListResetTime_wait#0,"""정보 얻는 중"""
RenewConfirmTitle#0,"""리스트 수동 갱신"""
RenewConfirmTitle_N#0,"""상품 갱신"""
RenewConfirmMessage#0,"""<pict StarGem><c 1dedd7>SG 소비 컨텐츠<c><br><br>「$(0)」을 구매해<br>상품 리스트를 즉시 갱신할 수 있습니다.<br>구매 확인 화면으로 넘어가시겠습니까?<br><br><yellow>※상품은 랜덤이라서<br>같은 상품이 선택될 수 있습니다.<c><br><br> (소지 SG:$(1))"""
RenewConfirmMessage_N_Free#0,"""\""$(1)\""의 상품 리스트를<br>무료로 즉시 갱신할 수 있습니다.<br>갱신 하시겠습니까?<br><br><yellow>※상품 목록은 무작위이므로<br>동일한 상품이 진열될 수도 있습니다.<br>※매일 1회 무료로 갱신할 수 있습니다.<br>\""프리미엄 세트\""의 유효기간 동안은,<br>1회 더, 무료로 갱신할 수 있습니다.<c><br><br>무료 상품 갱신: 앞으로 <yellow>$(0)회<c>"""
RenewConfirmMessage_N_Premium#0,"""<yellow>\""프리미엄 세트\"" 보너스<c><br><br>\""프리미엄 세트\""유효 기간 동안은,<br>\""$(1)\""의 상품 리스트를<br>1회 더, 무료로 갱신할 수 있습니다.<br>괜찮으시겠습니까?<br><br><yellow>※상품 목록은 무작위이므로<br>동일한 상품이 진열될 수도 있습니다.<c><br><br>무료 상품 갱신: 앞으로 <yellow>$(0)회<c>"""
RenewBuyTitle#0,"""리스트 수동 갱신"""
RenewBuyMessage#0,"""아래의 아이템을 $(0)SG (통상 $(1)SG)로 구매해<br>지금 바로 상품 리스트를 갱신합니다.<br>괜찮으시겠습니까?<br><br><yellow>※연속 구매 시 구매 1회차～9회차까지는<br>가격이 할인되지만 횟수가 늘어나면<br>할인율이 낮아집니다.<c><br>※구매 횟수는 매일 <utc>20:00</utc>에 리셋됩니다.<br> (소지 SG:$(2))"""
RenewBuyMessage_N_SG#0,"""<pict StarGem><c 1dedd7>SG 소비 컨텐츠<c><br><br>\""$(1)\""의 상품 리스트를<br><pict StarGem><yellow>10SG를 소비<c>하고 즉시 갱신합니다.<br>괜찮으시겠습니까?<br><br><yellow>※상품 목록은 무작위이므로<br>동일한 상품이 진열될 수도 있습니다.<c><br><br>수동 갱신：앞으로 <yellow>$(0)회<c><br><pict StarGem>소지SG：$(2)"""
RenewResultTitle#0,"""상품 리스트 갱신 결과"""
RenewResultMessage#0,"""상품 리스트 갱신에 성공했습니다."""
RenewResultError#0,"""상품 리스트 갱신에 실패했습니다."""
RenewResultError2#0,"""스타잼이 부족합니다."""
RenewResultError3#0,"""이미 자동 갱신에 의해 상품 리스트 갱신이 이루어졌습니다."""
RenewResultError4#0,"""서버와의 통신에 실패했습니다.<br><br>나중에 다시 시도해주세요."""
RenewResultError5#0,"""예기치 못한 문제가 발생했습니다.<br><br>나중에 다시 시도해주세요."""
RenewResultError6#0,"""데이터베이스 액세스에 실패했습니다.<br><br>나중에 다시 시도해주세요."""
RenewSgShop#0,"""SG 트레저 샵 갱신"""
RenewSgShop01#0,"""SG 트레저 샵 갱신 (1회차)"""
RenewSgShop02#0,"""SG 트레저 샵 갱신 (2회차)"""
RenewSgShop03#0,"""SG 트레저 샵 갱신 (3회차)"""
RenewSgShop04#0,"""SG 트레저 샵 갱신 (4회차)"""
RenewSgShop05#0,"""SG 트레저 샵 갱신 (5회차)"""
RenewSgShop06#0,"""SG 트레저 샵 갱신 (6회차)"""
RenewSgShop07#0,"""SG 트레저 샵 갱신 (7회차)"""
RenewSgShop08#0,"""SG 트레저 샵 갱신 (8회차)"""
RenewSgShop09#0,"""SG 트레저 샵 갱신 (9회차)"""
RenewSgShop10#0,"""SG 트레저 샵 갱신 (10회차 이상)"""
RenewSgShop_N_Free#0,"""트레저 샵 (SG) 갱신 (무료)"""
RenewSgShop_N_Premium#0,"""트레저 샵 (SG) 갱신 (프리미엄)"""
RenewSgShop_N_SG#0,"""트레저 샵 (SG) 갱신 (<pict StarGem>10SG)"""
RenewMesetaShop#0,"""메세타 트레저 샵 갱신"""
RenewMesetaShop01#0,"""메세타 트레저 샵 갱신 (1회차)"""
RenewMesetaShop02#0,"""메세타 트레저 샵 갱신 (2회차)"""
RenewMesetaShop03#0,"""메세타 트레저 샵 갱신 (3회차)"""
RenewMesetaShop04#0,"""메세타 트레저 샵 갱신 (4회차)"""
RenewMesetaShop05#0,"""메세타 트레저 샵 갱신 (5회차)"""
RenewMesetaShop06#0,"""메세타 트레저 샵 갱신 (6회차)"""
RenewMesetaShop07#0,"""메세타 트레저 샵 갱신 (7회차)"""
RenewMesetaShop08#0,"""메세타 트레저 샵 갱신 (8회차)"""
RenewMesetaShop09#0,"""메세타 트레저 샵 갱신 (9회차)"""
RenewMesetaShop10#0,"""메세타 트레저 샵 갱신 (10회차 이상)"""
RenewMesetaShop_N_Free#0,"""트레저 샵 (N-메세타) 갱신 (무료)"""
RenewMesetaShop_N_Premium#0,"""트레저 샵 (N-메세타) 갱신 (프리미엄)"""
RenewMesetaShop_N_SG#0,"""트레저 샵 (N-메세타) 갱신 (<pict StarGem>10SG)"""
InfoError_None#0,"""FailureReason_None<br>성공"""
InfoError_Error#0,"""상품 리스트의 정보를 얻지 못했습니다.<br>나중에 다시 접속해 주세요."""
InfoError_NotFound#0,"""상품 리스트의 정보를 얻지 못했습니다.<br>나중에 다시 접속해 주세요."""
InfoError_NoMoney#0,"""소지금가 부족합니다."""
InfoError_N_Premium#0,"""\""프리미엄 세트\""의 유효기간이 만료되어,<br>\""$(0)\""의<br>사용이 불가능합니다."""
InfoError_N_TimeOut#0,"""일일 상품 갱신 시간이 지났습니다.<br>수동으로 갱신을 하기 전에 샵을 다시 열어<br>상품 리스트를 갱신해 주세요."""
BuyError_OK#0,"""BlackMarketBuyAns_OK<br>교환 성공"""
BuyError_LowPoint#0,"""스타잼이 부족합니다."""
BuyError_IllegalParam#0,"""구매할 수 없었습니다.<br>나중에 다시 접속해 주세요."""
BuyError_NoSpace#0,"""아이템 팩의 여유 공간 부족<br>또는 소지 수의 한계를 넘어서고 있기 때문에<br>구매할 수 없습니다."""
BuyError_ExchangeLimit#0,"""구매 가능 수량이 초과되어<br>구매할 수 없었습니다."""
BuyError_Other#0,"""구매할 수 없었습니다.<br>나중에 다시 접속해 주세요."""
BuyError_N_BuyPremium#0,"""<pict Arcscash><scarlet>AC 소비 컨텐츠<c><br><yellow>\""프리미엄 세트\""<c>의 유효기간이 만료되어,<br>구매할 수 없는 상품이 있습니다.<br><br>\""프리미엄 세트\""를 활성화 하여<br>구매하실 수 있습니다.<br>\""프리미엄 세트\""의 구매 화면으로 이동하시겠습니까?"""
BuyError_N_UsePremium#0,"""<pict Arcscash><c 5fdf00>이미 구매한 아이템 사용<c><br>\""프리미엄 세트\""의 유효기간이 만료되어,<br>구매할 수 없는 상품이 있습니다.<br><br>소지하고 있는 <yellow>\""프리미엄 세트\""<c>를 사용하여<br>구매할 수 있도록 하시겠습니까?<br><br><yellow>※\""프리미엄 세트\""를 여러 종류 소지하고 있는 경우엔<br>유효기간이 긴 것 부터 우선적으로 사용합니다.<c>"""
Mark_Premium#0,"""프리미엄"""
Open_SgShop#0,"""SG 샵에서 기간 한정 상품 판매 중!"""
ShopTitleText#0,"""배틀 코인 교환 샵"""
NormalShopGuideText#0,"""<c f0df60>배틀 코인을 소비해 아이템과 교환할 수 있습니다. 교환할 아이템을 선택해주세요.<c>"""
LimitedShopGuideText#0,"""<c f0df60>교환할 아이템을 선택해 주세요(교환 수에는 주 마다 제한이 있으며 매주 <utcdow>수요일 4:00</utcdow>에 리셋됩니다).<c>"""
ShopListTitle#1,"""샵 메뉴"""
PluralityMenuGuide#0,"""<c f0df60>샵을 선택해주세요.<c>"""
Exit#0,"""샵 에서 나가기"""
Buy#0,"""구매"""
NameNumber#0,"""$(0)×$(1)"""
BuyTitle#0,"""구매 확인"""
BuyCheck#0,"""아래의 아이템을 $(1)$(0)으로 구매합니다.<br>괜찮으시겠습니까?"""
BCDenomination#0,"""BC"""
BuyResultMessage1#0,"""아이템을 구매했습니다."""
BuyErrorMessage2#0,"""아이템 팩의 여유 공간 부족<br>또는 소지 수의 한계를 넘어서고 있기 때문에<br>구매할 수 없습니다."""
BCInsufficient#0,"""소지 BC가 부족합니다."""
BuyResultMessage2#0,"""아이템을 구매하지 못했습니다."""
BuyResultTitle#0,"""아이템 구매"""
CancelTitle#0,"""구매 취소 확인"""
CancelMessage#0,"""구매를 취소합니다.<br>괜찮으시겠습니까?"""
SelectItemInputVita#0,"""개수를 입력해주세요"""
MenuErrorTitle#0,"""메시지"""
MenuErrorMessage#0,"""「BC 교환 샵 」 선택 오류 메시지"""
