RenameTitle#0,"""Cambiar nombre"""
AllRemoverMessage#0,"""Todos los Caramelos en esta Caja<br>Serán Devueltos al Inventario.<br>¿Estás Seguro?<br><br><yellow>Requiere Todo-Removedor de Caramelos: 1<br>(Tienes: $(0))<c>"""
AllRemoverResultMessage#0,"""Todos los dulces regresados a su Inventario."""
ItemPackErrorMessage#0,"""Espacio insuficiente en Inventario para recibir objetos."""
ConfirmTitle#0,"""Confirmar uso de objeto"""
CandySize#0,"""$(0)x$(1)"""
StatusTitle#0,"""Estado"""
Attribute#0,"""Res. Atributos"""
StatusNumber#0,"""$(0)<c ff9c70> (＋$(1))<c>"""
StatusPercent#0,"""$(0)%"""
StatusNumber2#0,"""(+$(0))"""
CandyTypeName1#0,"""Postre"""
CandyTypeName2#0,"""Rollo"""
CandyTypeName3#0,"""Galletas"""
CandyTypeName4#0,"""Panqueque"""
CandyTypeName5#0,"""Soda"""
CandyTypeName6#0,"""Crepa"""
CandyTypeName7#0,"""Barra de Dulce"""
CandyTypeName8#0,"""サンド"""
CandyTypeName9#0,"""Gomita"""
NumberUnlimited#0,"""20"""
StatusNumberMinus#0,"""$(0)<c 32cdff> (－$(1))<c>"""
StatusPercentPlus#0,"""$(0)%<c ff9c70> (＋$(1))<c>"""
StatusPercentMinus#0,"""$(0)%<c 32cdff> (－$(1))<c>"""
PetName#0,"""$(0) ($(1)種)"""
IceCrushTitle#0,"""Borrar Cubo de Caramelo"""
RemoverTitle#0,"""Quitar dulces"""
IceCrushNumber#0,"""Tienes """
RemoverNumber#0,"""Tienes """
EraserNumber#0,"""Elimina-Caramelo"""
RemoverHelp#0,"""Por Favor Seleccione un Caramelo<br>para ser devuelto al inventario.<br><br><yellow>Requiere Remueve-Caramelos: 1<c>"""
IceCrushHelp#0,"""Por Favor, Selecciona un Caramelo<br>Cubo para Eliminar.<br><br><yellow>Requiere Trituradoras de Caramelo: 1<c>"""
CompositeRemainTime1Minute#0,"""Restante: Menos de 1 minuto"""
CompositeRemainTime#0,"""Restante: $(0) Minutos"""
CompositeRemainGauge#0,"""+$(0)（+<pict pet_stone_red>$(1)）"""
CompositeRemainGaugeExtendPay#0,"""+$(0)"""
CompositeRemainGaugeExtendNotPay#0,"""（+<pict pet_stone_red>$(0)）"""
MaxCountError#0,"""No Puedes Agregar más<br>de Este Tipo de Dulce."""
AttributeWarning#0,"""属性値が上限を超えてセットされたため、<br>上限値に合わせて、余剰分はカットされました。"""
IceClushRarityError#0,"""No se Pudo Quitar el Cubo de Caramelo."""
HP#0,"""HP"""
Strike#0,"""打撃力"""
Firearm#0,"""射撃力"""
Techinic#0,"""法撃力"""
Dex#0,"""技量"""
DfpStrike#0,"""打撃防御"""
DfpFirearm#0,"""射撃防御"""
DfpTechnic#0,"""法撃防御"""
Element#0,"""Atributo"""
ItemErrorMessage#0,"""Insuficiente $(0)."""
MoveHelp#0,"""外すを選択するとセット済みのキャンディーが外れます。<br>もう一度セットしたい場合はキャンディーの追加から<br>外したキャンディーをセットしてください。"""
ParfaitErrorMessage#0,"""No Puedes Agregar Postre que Comparta un Efecto."""
Title#3,"""Alimentar mascota"""
List_Title#0,"""Selección de huevo"""
List_CheckLockMessage#0,"""Ocultar objetos protegidos"""
List_DirectBuy#0,"""Cargar mas Alimentos<pict StarGem>"""
List_PopupGuide#0,"""Seleccione un Huevo para Alimentar."""
Param_Title#0,"""ペットプラス値"""
DesideYesNo_Title#0,"""Alimentar mascota"""
DesideYesNo_Msg#0,"""Alimentar $(1)<br>Mascota \""$(0)\"".<br>¿Estas Seguro?"""
DesideYesNo_MsgLock#0,"""Alimentar $(1)<br>Mascota \""$(0)\"".<br>¿Estas Seguro?<br><br><yellow>Has seleccionado un Elemento que está Protegido.<c>"""
RareYesNo_Title#0,"""Alimentar mascota"""
RareYesNo_Msg#0,"""Este huevo es de rareza $(0) o mas.<br>¿Seguro que quieres?"""
Toast_Success#0,"""Se a consumido el huevo."""
Toast_SuccessName#0,"""$(0) a consumido<br>el huevo $(1)."""
SubstitutePetName#0,"""Mascotas"""
SubstituteEggName#0,"""Huevos"""
Warning_MaxLv_Title#0,"""Alimentar mascota"""
Warning_MaxLv_Msg#0,"""レベルが上限のため、<br>経験値は獲得できません。<br><br>※プラス値のみ上げることが可能です。"""
Warning_MaxParam_Title#0,"""Alimentar mascota"""
Warning_MaxParam_Msg#0,"""$(0)のプラス値が上限のため<br>これ以上、上がらないパラメータがあります。"""
Warning_MaxAll_Title#0,"""Alimentar mascota"""
Warning_MaxAll_Msg#0,"""$(0) no puede<br>fortalecerse más.<br>No Tendrá Efecto."""
Warning_MaxAll_MsgPreLimitBreak#0,"""$(0) no puede<br>fortalecerse más.<br>No Tendrá Efecto.<br><br>Hablando con Pietro en el Vestíbulo Principal.,<br>$(1) puede elevar su nivel máximo a través del <yellow>Mascota Limit Break<c>."""
Warning_LockEgg_Title#0,"""Alimentar mascota"""
Warning_LockEgg_Msg#0,"""Elementos Bloqueados no Pueden ser<br>usados para la Alimentacion de Mascota."""
DirectBuy_EggSynthesisNum_MaxCount_Title#0,"""Confirmación de compra"""
DirectBuy_EggSynthesisNum_MaxCount_Msg#0,"""「合成可能数回復」$(0)no puedes<br>comprar mas."""
DirectBuy_EggSynthesisNum_FromButton_Title#0,"""Confirmación de compra"""
DirectBuy_EggSynthesisNum_FromButton_Msg#0,"""<pict StarGem><c 1dedd7>Consumo de SG<c><br><br>$(0)の合成可能数を<br>SGでチャージすることができます。<br><br>「合成可能数回復」の購入確認画面に<br>進みますか？"""
DirectBuy_EggSynthesisNum_FromEmpty_Title#0,"""Confirmación de compra"""
DirectBuy_EggSynthesisNum_FromEmpty_Msg#0,"""<pict StarGem><c 1dedd7>Consumo de SG<c><br><br>$(0)<br>Tiene actualmente poca capacidad de syntesis<br><br>Deseas rellenar su 「Capacidad de syntesys」 con <pict StarGem>SG?"""
DirectBuy_EggSynthesisNum_Confirm_Title#0,"""Confirmación de compra"""
DirectBuy_EggSynthesisNum_Confirm_Msg#0,"""以下のアイテムを$(0)SG（通常100SG）で購入し、<br>合成可能数を５個回復させます。<br>よろしいですか？<br><yellow><br>※連続購入時、購入１回目～９回目までは<br>\u3000価格が割引されますが、回数が増えると<br>\u3000割引率が下がります。<c><br>※購入回数は毎日<utc>20:00</utc>にリセットされます。<br>（所持SG:$(1)）"""
DirectBuy_EggSynthesisNum_Confirm_ItemName#0,"""合成可能数回復"""
DirectBuy_EggSynthesisNum_Item01#0,"""合成可能数回復（１回目）"""
DirectBuy_EggSynthesisNum_Item02#0,"""合成可能数回復（２回目）"""
DirectBuy_EggSynthesisNum_Item03#0,"""合成可能数回復（３回目）"""
DirectBuy_EggSynthesisNum_Item04#0,"""合成可能数回復（４回目）"""
DirectBuy_EggSynthesisNum_Item05#0,"""合成可能数回復（５回目）"""
DirectBuy_EggSynthesisNum_Item06#0,"""合成可能数回復（６回目）"""
DirectBuy_EggSynthesisNum_Item07#0,"""合成可能数回復（７回目）"""
DirectBuy_EggSynthesisNum_Item08#0,"""合成可能数回復（８回目）"""
DirectBuy_EggSynthesisNum_Item09#0,"""合成可能数回復（９回目）"""
DirectBuy_EggSynthesisNum_Item10#0,"""合成可能数回復（１０回目以上）"""
DirectBuy_EggSynthesisNum_Success_Title#0,"""Finalización de compra"""
DirectBuy_EggSynthesisNum_Success_Msg#0,"""$(0)の<br>合成可能数を５つ追加しました。<br><br><yellow>※この５回分は、エッグ合成時の<br>\u3000獲得経験値量にボーナスがつきます。<c><br><br>※購入回数は毎日<utc>20:00</utc>にリセットされます。"""
DesideYesNo_MsgAdd_Title#0,"""Alimentar mascota"""
DesideYesNo_MsgAdd_Header#0,"""ペット「$(0)」に<br>$(1)を合成します。"""
DesideYesNo_MsgAdd_Lock#0,"""<yellow><br>ロック状態のアイテムが選択されています。<c>"""
DesideYesNo_MsgAdd_Rare#0,"""<yellow><br>レアリティ$(0)以上のアイテムが選択されています。<c>"""
DesideYesNo_MsgAdd_MaxLv#0,"""<yellow><br>$(0)のレベルが上限のため、<br>経験値は獲得できません。<c>"""
DesideYesNo_MsgAdd_MaxParam#0,"""<yellow><br>Porque $(0) ha alcanzado el<br>límite de stats, algunas estadísticas<br>no podran aumentar.<c>"""
DesideYesNo_MsgAdd_ReturnedEgg#0,"""<br>※これは、<c ff4f3f>「ペットをエッグに戻す」で作られたエッグ<c><br>\u3000です。本当に素材とするか、<yellow>再度ご確認ください。<c>"""
DesideYesNo_MsgAdd_Footer#0,"""<yellow><c><br>¿Está seguro de que desea realizar<br>la Synthesis del huevo?"""
Composition_Error_NoItem1#0,"""No hay objetos que se puedan utilizar para la Synthesis del huevo."""
Composition_After_Title#0,"""Alimentar mascota"""
Composition_After_ReleaseCandy_Msg#0,"""Tu mascota supero el Nv.50<br>Fueron removidos los cubos<br>de jalea de la caja de dulces."""
Composition_After_LimitBreak_Msg#0,"""Tu mascota supero el Nv.100<br><br>Habla con Pietro para que<br>habilite el <yellow>Limit Break<c> de $(0)."""
Composition_After_MaxLv_Msg#0,"""Tu mascota alcanzo el nivel maximo."""
Title#4,"""Liberar mascota"""
Message#0,"""$(0) sera liberada.<br>¿Deseas continuar?<br><br><c ff4f3f>※ Las mascotas liberadas seran removidas de [Pet List].<br>Esta acción no puede ser reversada.<c>"""
Success#0,"""Has liberado tu mascota."""
Message2#0,"""Esta mascota es de <yellow>rareza 7+<c>.<br>¿Realmente la quieres liberar?"""
Title#5,"""限界突破"""
Message#1,"""Esta a punto de hacer el limit break de las siguientes mascotas.<br>¿Estas seguro?<br><br>※Una vez se haga el limit break, estas podran subir a <yellow>Nv.101 o mas<c>.<br>※Igualmente la experiencia que reciba la mascota<br><yellow>se vera ampliamente reducida.<c>"""
Success#1,"""El Limit Break de tus mascotas se logro con exito."""
ErrorServerBug#0,"""サーバーとの通信に失敗しました。<br><br>時間をおいて再度お試しください。"""
ErrorClientBug#0,"""A ocurrido un problema inesperado.<br><br>Espera y reintenta mas tarde."""
ErrorDBAccess#0,"""Fallo al acceder a la base de datos.<br><br>Espera y reintenta mas tarde."""
ErrorPetTypeInvalid#0,"""ペットの種類が正しくありません。"""
ErrorPetHasFound#0,"""既にペットを所持しています。"""
ErrorPetNotFound#0,"""ペットが見つかりませんでした。"""
ErrorPetOwnership#0,"""オーナー登録されているペットです。"""
ErrorPetCanNotLimitBreak#0,"""限界突破の条件を満たしていないため、<br>ペットの限界突破に失敗しました。"""
ErrorPetRarityUnknown#0,"""ペットのレアリティが取得できませんでした。"""
ErrorPetLock#0,"""ロックされているペットは<br>選択できません。"""
ErrorEggTypeInvalid#0,"""エッグの種類が正しくありません。"""
ErrorEggNotFound#0,"""エッグが見つかりませんでした。"""
ErrorEggOwnership#0,"""オーナー登録されているエッグです。"""
ErrorEggCanNotHatch#0,"""このエッグは使用することができません。<br>「エッグ合成」でのみ使用することができます。"""
ErrorEggRarityUnknown#0,"""エッグのレアリティが取得できませんでした。"""
ErrorEggLock#0,"""ロックされているエッグは<br>選択できません。"""
ErrorCandyTypeInvalid#0,"""キャンディーの種類が正しくありません。"""
ErrorCandyNotFound#0,"""キャンディーが見つかりませんでした。"""
ErrorCandyDuplicate#0,"""キャンディーのセットができませんでした。"""
ErrorCandyOutOfBox#0,"""キャンディーのセットができませんでした。"""
ErrorCandyNotArrangement#0,"""キャンディーのセットができませんでした。"""
ErrorCandyTypeFull#0,"""キャンディーのセットができませんでした。"""
ErrorCandyBoxInvalid#0,"""キャンディーボックスの状態が正しくない可能性があります。"""
ErrorNotInLobby#0,"""ペットラボの機能を使用することができません。"""
ErrorSupportInvalid#0,"""不明なアイテムが使用されました。"""
ErrorSupportLack#0,"""補助アイテムが不足しています。"""
ErrorPaidItemNotFound#0,"""合成可能数回復を持っていません。"""
ErrorPaidItemInvalid#0,"""不明なアイテムが使用されました。"""
ErrorMesetaLack#0,"""Insuficientes mesetas."""
ErrorMStoneLack#0,"""Insuficientes Star Gems."""
ErrorPetAddInvalid#0,"""不正なペットの追加が行なわれました。"""
ErrorPetAddMax#0,"""ペットの登録数が上限に達しています。"""
ErrorPetDeleteInvalid#0,"""ペットを逃がすことができませんでした。"""
ErrorPetRenameInvalid#0,"""ペットネームの変更を行えませんでした。"""
ErrorPetRenameFilter#0,"""不正な文字列が含まれているため<br>変更できませんでした。"""
ErrorCandyAddInvalid#0,"""キャンディーをセットできませんでした。"""
ErrorCandyAddTypeFull#0,"""タイプ設置上限を超えているため、セットできませんでした。"""
ErrorCandyRemoveInvalid#0,"""キャンディーをアイテムに戻すことができませんでした。"""
ErrorCandyRemoveBackpackFull#0,"""アイテムパックの空き容量不足、<br>または所持数の限界を超えているため、<br>使用できませんでした。"""
ErrorCandyRemoveItemLack#0,"""キャンディーリムーバーが足りないため、<br>アイテムに戻すことができませんでした。"""
ErrorCandyDeleteInvalid#0,"""キャンディーを削除することができませんでした。"""
ErrorCandyDeleteitemLack#0,"""キャンディーイレイサーが足りないため、<br>削除することができませんでした。"""
ErrorCandyCompressInvalid#0,"""キャンディー圧縮を行うことができませんでした。"""
ErrorCandyCompressItemInvalid#0,"""必要なアイテムが不正です。"""
ErrorCandyCompressItemNotFound#0,"""必要なアイテムが不足しています。"""
ErrorCandyCompressItemLack#0,"""必要なアイテムが不足しています。"""
ErrorCandyCompressSupportInvalid#0,"""補助アイテムが不正です。"""
ErrorCandyCompressSupportNotFound#0,"""補助アイテムが不足しています。"""
ErrorCandyCompressSupportLack#0,"""補助アイテムが不足しています。"""
ErrorCandyCompressMax#0,"""これ以上圧縮できません。"""
ErrorCandyCompressSettingInvalid#0,"""キャンディー圧縮の設定が不正です。"""
ErrorCandyCompressBackpackFull#0,"""アイテムパックの空き容量不足、<br>または所持数の限界を超えているため、<br>圧縮できませんでした。 """
ErrorIceBlockInvalid#0,"""キャラメルキューブが不正です。"""
ErrorIceBlockNotFound#0,"""キャラメルキューブ以外が選択されました。"""
ErrorIceBlockLackOfRarity#0,"""補助アイテムのレアリティが不足しています。"""
ErrorIceBlockLackOfItem#0,"""キャラメルクラッシャーが足りないため、<br>キャラメルキューブを破壊できませんでした。"""
ErrorPetSynthesisInvalid#0,"""エッグ合成を行えませんでした。"""
ErrorPetSynthesisSettingInvalid#0,"""エッグ合成できないアイテムが選択されました。"""
ErrorPetSynthesisMany#0,"""エッグ合成に複数アイテムが指定されました。"""
ErrorPetSynthesisPayMax#0,"""合成可能数が上限を超えるため、<br>合成可能数回復を購入することができません。"""
ErrorInheritanceCantGetCost#0,"""必要なメセタを取得できませんでした。"""
ErrorInheritancePetKindInvalid#0,"""ペット進化で指定したペットと異なるエッグの種類です。"""
ErrorInheritanceRarityLack#0,"""ペット進化で指定したエッグのレアリティが不足しています。"""
ErrorInheritancePotentialInvalid#0,"""ペット進化で指定したエッグのペット能力が間違っています。"""
ErrorInheritanceColorInvalid#0,"""指定したペット/エッグはカラー変更に対応していません。"""
ErrorEtc#0,"""A ocurrido un problema inesperado.<br><br>(Otros errores ($(0))"""
