TitleLogo_Enter#0,"""กดปุ่ม ENTER"""
Title_CharacterMake#1,"""<c f0df60>กรุณาเลือกตัวเลือก<c>"""
Title_BenchmarkMenu#1,"""<c f0df60>กรุณาเลือกตัวเลือก<c>"""
Connecting#0,"""กรุณารอสักครู่"""
Title_IdSelect_cc#1,"""<c f0df60>เลือก \""เริ่มเกม\"" เพื่อเข้าเล่นเกม หรือเลือก \""เปลี่ยนข้อมูลผู้ใช้\"" เพื่อเปลี่ยนอีเมลและอื่นๆ<c>"""
Title_Login_v#0,"""<c f0df60>กรุณาเลือก Ship โดย SEGA ID ของคุณจะใช้เหมือนกันในทุกแพลตฟอร์ม<c>"""
Title_Login_Hangame#0,"""<c f0df60>กรุณาเลือกชื่อ Ship<c>"""
Title_ID#0,"""<c f0df60>สามารถใช้ SEGA ID เดียวกันได้ทั้งบนเวอร์ชัน PC, PlayStation®Vita และ PlayStation®4<c>"""
Language_Help#0,"""<c f0df60>เลือกภาษาของเสียงพากย์และข้อความในเกม<c>"""
hange_ID#0,"""<c f0df60>เลือก \""ใช่\"" เพื่อโอนย้ายข้อมูลการเล่นของคุณไปยัง SEGA ID หรือเลือก \""ไม่\"" เพื่อเล่นโดยไม่โอนย้ายข้อมูล<c>"""
IpEdit#0,"""กรุณาป้อน IP Address ปลายทาง"""
Disconnect#0,"""การเชื่อมต่อเซิร์ฟเวอร์หมดเวลา"""
PSN_Connect_Error#0,"""ไม่สามารถเชื่อมต่อกับ<br>\""PlayStation Network\"" ได้<br>กรุณารอสักครู่แล้วลองใหม่อีกครั้ง หากสถานการณ์ไม่ดีขึ้น ให้ลองตรวจสอบเว็บไซต์ผู้เล่น Phantasy Star Online 2 หรือเว็บไซต์ทางการของ PlayStation® เพื่อดูข้อมูลเพิ่มเติม"""
UseAgreement_Title#0,"""Phantasy Star Online 2 - ข้อตกลงการใช้งาน"""
UseAgreement_Message#0,"""ข้อตกลงการใช้งาน 『Phantasy Star Online 2』<br>1-1-1 นิชิชินากาวะ เขตชินากาวะ โตเกียว\u3000ซูมิโตโม ฟุโดซัง โอซากิ การ์เด้น ทาวเวอร์<br>บริษัท SEGA จำกัด<br>23 พฤษภาคม 2012<br><br>ก่อนใช้บริการซอฟต์แวร์ เครือข่าย และบริการที่เกี่ยวข้อง (รวมเรียกว่า \""บริการนี้\"") ของ 『Phantasy Star Online 2』 (รวมถึง 『Phantasy Star Online 2 New Genesis』 และ 『Phantasy Star Online 2』) (ต่อไปนี้เรียกว่า 『PSO2』) โปรดอ่านและยอมรับข้อตกลงต่อไปนี้ที่กำหนดโดยบริษัท SEGA จำกัด (ต่อไปนี้เรียกว่า \""บริษัท\"")<br>การยอมรับข้อตกลงนี้เป็นเงื่อนไขในการอนุญาตให้ท่านใช้บริการ หากพบว่าท่านละเมิดข้อตกลงแม้เพียงส่วนใดส่วนหนึ่ง บริษัทขอสงวนสิทธิ์ในการระงับการให้บริการโดยไม่ต้องแจ้งให้ทราบล่วงหน้า ในกรณีนี้ บริษัทจะไม่คืนเงินใดๆ ที่ท่านได้ชำระไปแล้ว<br>หากท่านเป็นผู้เยาว์ (อายุต่ำกว่า 18 ปี) กรุณาขอความยินยอมจากผู้แทนโดยชอบธรรม (ผู้ปกครอง) ก่อนยอมรับข้อตกลงนี้<br><br>ข้อ 1 (ข้อตกลงนี้)<br>1. ข้อตกลง กฎระเบียบ และนโยบายที่ประกาศบนเว็บไซต์ทางการของบริษัท (URL: https://pso2.jp/ ต่อไปนี้เรียกว่า \""เว็บไซต์นี้\"") ถือเป็นส่วนหนึ่งของข้อตกลงนี้<br>2. หากมีข้อขัดแย้งระหว่างข้อตกลงบนเว็บไซต์กับข้อตกลงฉบับนี้ ให้ยึดตามข้อกำหนดบนเว็บไซต์เป็นหลัก<br>3. บริษัทอาจเปลี่ยนแปลงข้อตกลงนี้ได้ตามความเหมาะสม โดยจะมีผลบังคับใช้หลังจากประกาศบนเว็บไซต์ 24 ชั่วโมง หรือเมื่อแจ้งไปยังอีเมลของท่าน การที่ท่านใช้บริการต่อไปจะถือว่ายอมรับการเปลี่ยนแปลงนั้น<br>4. หากท่านไม่ยอมรับการเปลี่ยนแปลง กรุณาหยุดใช้บริการทันที บริษัทจะไม่คืนเงินหรือค่าธรรมเนียมใดๆ ทั้งสิ้น<br>5. ท่านรับทราบว่าข้อตกลงนี้อาจมีการเปลี่ยนแปลงและตกลงที่จะตรวจสอบประกาศบนเว็บไซต์อย่างสม่ำเสมอ<br><br>ข้อ 2 (การใช้เกมเซิร์ฟเวอร์)<br>1. ในการใช้บริการนี้ ท่านต้องเชื่อมต่อกับเกมเซิร์ฟเวอร์ที่บริษัทกำหนด (ต่อไปนี้เรียกว่า \""เกมเซิร์ฟเวอร์\"") ผ่านอินเทอร์เน็ต<br>2. ในการเชื่อมต่อ ท่านต้องมี SEGA ID หรือ ID บริการจากบุคคลที่สามที่บริษัทกำหนด (รวมเรียกว่า \""ID\"") โดยระบบจะจัดการข้อมูลของท่านแยกตาม ID<br>3. การเชื่อมต่อต้องใช้การยืนยันตัวตนด้วย ID และรหัสผ่าน<br>4. ท่านต้องรับผิดชอบค่าใช้จ่ายในการเตรียมอุปกรณ์ การเชื่อมต่ออินเทอร์เน็ต และค่าบริการอื่นๆ ด้วยตนเอง<br>5. บริษัทจะไม่คืนเงินให้ไม่ว่าในกรณีใด หากท่านไม่สามารถเชื่อมต่อเซิร์ฟเวอร์ได้ ยกเว้นจะระบุไว้เป็นอย่างอื่นในข้อตกลง<br>6. เมื่อเชื่อมต่อเซิร์ฟเวอร์ ระบบอาจดาวน์โหลดข้อมูลอัปเดตอัตโนมัติ ซึ่งถือเป็นส่วนหนึ่งของการใช้บริการและท่านต้องรับผิดชอบกระบวนการดังกล่าว<br>7. ห้ามใช้การเชื่อมต่อที่ไม่ถูกต้อง หรือหลีกเลี่ยงระบบป้องกันเพื่อเข้าสู่เซิร์ฟเวอร์<br>8. การเชื่อมต่อต้องทำจากอุปกรณ์ที่อยู่ในประเทศญี่ปุ่นเท่านั้น ห้ามเชื่อมต่อจากต่างประเทศโดยตรง หรือผ่านอุปกรณ์ในญี่ปุ่นจากต่างประเทศ<br><br>ข้อ 3 (ค่าบริการพื้นฐาน)<br>การเข้าเล่นเกมและเชื่อมต่อเซิร์ฟเวอร์พื้นฐานให้บริการฟรี ยกเว้นบริการเสริมที่ระบุว่ามีค่าใช้จ่าย<br><br>ข้อ 4 (บริการเสริมแบบมีค่าใช้จ่าย)<br>1. บริษัทอาจมีบริการเสริมที่ต้องชำระเงิน (ต่อไปนี้เรียกว่า \""บริการเสริม\"") ซึ่งท่านต้องซื้อสกุลเงิน/วิธีการชำระเงินล่วงหน้า (ต่อไปนี้เรียกว่า \""สกุลเงินล่วงหน้า\"") ตามที่บริษัทกำหนด รายละเอียดจะประกาศบนเว็บไซต์<br>2. การชำระเงินจะเป็นไปตามกฎและช่องทางที่ผู้ให้บริการชำระเงินกำหนด<br>3. ข้อพิพาทใดๆ กับผู้ให้บริการชำระเงิน ท่านจะต้องแก้ไขด้วยตนเอง<br>4. ไอเทมหรือเนื้อหาที่ซื้อด้วยสกุลเงินล่วงหน้าจะถือว่าได้รับบริการแล้ว และไม่จัดเป็นสกุลเงินล่วงหน้าอีกต่อไป<br><br>ข้อ 5 (การใช้และข้อจำกัดของบริการเสริมและสกุลเงินล่วงหน้า)<br>1. บริษัทอาจกำหนดขีดจำกัดในการซื้อและถือครองสกุลเงินล่วงหน้าของท่าน<br>2. การใช้บริการเสริมจะหักลบจากสกุลเงินล่วงหน้าทันทีที่กดยืนยัน<br>3. สกุลเงินล่วงหน้ามีอายุการใช้งาน 1 ปีนับจากการซื้อครั้งล่าสุด และจะถูกลบโดยอัตโนมัติเมื่อหมดอายุ<br>4. ห้ามโอน ให้ยืม จำนำ หรือใช้สกุลเงินล่วงหน้าเป็นหลักประกันแก่บุคคลที่สาม<br>5. หากบัญชีถูกระงับถาวรตามข้อ 18 สกุลเงินล่วงหน้าทั้งหมดจะถือเป็นโมฆะ<br>6. บริษัทจะไม่รับคืนหรือคืนเงินค่าสกุลเงินล่วงหน้าไม่ว่าในกรณีใด เว้นแต่กฎหมายจะบังคับ<br><br>ข้อ 6 (การยกเลิกบริการเสริม)<br>บริษัทสามารถระงับหรือยกเลิกบริการเสริมและสกุลเงินล่วงหน้าได้ โดยจะแจ้งให้ทราบล่วงหน้า 60 วัน และหากเกมปิดให้บริการ บริการเสริมจะสิ้นสุดลงทันที<br><br>ข้อ 7 (การลงทะเบียนข้อมูล)<br>1. ท่านต้องลงทะเบียนข้อมูลที่ถูกต้อง (รวมถึงข้อมูลส่วนบุคคลเช่นอีเมล) ตามที่บริษัทกำหนด<br>2. ท่านต้องตรวจสอบและรับรองความถูกต้องของข้อมูลที่ให้ไว้<br>3. หากมีการเปลี่ยนแปลงข้อมูล ท่านต้องอัปเดตผ่านระบบที่กำหนดทันที<br>4. บริษัทอาจมอบหมายให้หน่วยงานภายนอกจัดการข้อมูลของท่าน ภายใต้มาตรการคุ้มครองข้อมูลส่วนบุคคล<br>5. บริษัทจะใช้ข้อมูลของท่านเพื่อวัตถุประสงค์ต่อไปนี้เท่านั้น:<br>หนึ่ง. เพื่อให้บริการ แจ้งข่าวสาร ส่งของรางวัล และแก้ไขปัญหา<br>สอง. เพื่อตรวจสอบการละเมิดสิทธิ์ของบริษัท<br>สาม. เพื่อทำการตลาดและวิเคราะห์ข้อมูล (โดยไม่ระบุตัวตน)<br>สี่. เพื่อบริการสนับสนุนลูกค้า<br>6. บริษัทจะไม่เปิดเผยข้อมูลให้บุคคลที่สาม เว้นแต่:<br>หนึ่ง. กฎหมายบังคับ<br>สอง. มีคำสั่งจากหน่วยงานที่มีอำนาจ<br>สาม. เพื่อปกป้องสิทธิ์ของบริษัทหรือบุคคลอื่นในกรณีฉุกเฉิน<br>สี่. มีความจำเป็นต่อผู้รับเหมาในทางธุรกิจ<br>ห้า. ในกรณีการโอนกิจการ<br>7. หากพบว่าข้อมูลเป็นเท็จหรือละเมิดสิทธิ์ บริษัทอาจลบหรือแก้ไขข้อมูลนั้นได้<br>8. การจัดการข้อมูลส่วนบุคคลจะเป็นไปตามนโยบายความเป็นส่วนตัวของบริษัท (http://sega.jp/privacypolicy/)<br>9. สำหรับ ID บุคคลที่สาม การจัดการข้อมูลจะขึ้นอยู่กับนโยบายของบุคคลที่สามนั้น<br><br>ข้อ 8 (ID และรหัสผ่าน)<br>1. โปรดเก็บรักษา ID และรหัสผ่านของท่านเป็นความลับ ห้ามเปิดเผยหรือให้ผู้อื่นใช้<br>2. บริษัทจะไม่รับผิดชอบต่อความเสียหายใดๆ ที่เกิดจากการถูกบุคคลที่สามขโมย ID เว้นแต่เกิดจากความประมาทเลินเล่ออย่างร้ายแรงของบริษัท<br>3. การกระทำใดๆ ผ่าน ID ของท่าน ถือเป็นความรับผิดชอบของท่านแต่เพียงผู้เดียว<br>4. หากพบการใช้หลาย ID เข้าสู่ระบบพร้อมกันในลักษณะผิดปกติ บริษัทอาจระงับการให้บริการกับ ID ทั้งหมดของท่าน<br><br>ข้อ 9 (การห้ามโกงและการกระทำผิด)<br>1. ห้ามกระทำการต่อไปนี้ (เรียกว่า \""การโกง (Cheat)\""):<br>หนึ่ง. ดัดแปลงข้อมูลตัวละคร ไอเทม หรือสร้างขึ้นอย่างผิดกฎหมาย<br>สอง. ใช้วิธีการเล่นที่อยู่นอกเหนือจากที่ออกแบบมาให้ใช้ปกติ<br>สาม. ใช้โปรแกรมช่วยเล่น (มาโคร) หรือเครื่องมือที่บริษัทไม่อนุญาต<br>สี่. วิเคราะห์ ทำวิศวกรรมย้อนกลับ หรือแก้ไขตัวเกม<br>ห้า. ดัดแปลงระบบ การดำเนินเกม หรือเนื้อหาของเกมออนไลน์<br>2. ห้ามแจกจ่าย ส่งต่อ หรือสนับสนุนการใช้โปรแกรมโกงแก่ผู้อื่น<br>3. ห้ามเจาะระบบ หรือก่อกวนการทำงานของเซิร์ฟเวอร์เกม<br>4. ห้ามฉวยโอกาสจากบั๊กหรือข้อผิดพลาดของเกมเพื่อสร้างความได้เปรียบ<br>5. ห้ามดักจับ แก้ไข หรือทำวิศวกรรมย้อนกลับข้อมูลที่รับส่งระหว่างเซิร์ฟเวอร์<br>6. หากพบบั๊ก กรุณาแจ้งฝ่ายสนับสนุนของบริษัทแทนการเผยแพร่ให้ผู้เล่นอื่นทราบ<br><br>ข้อ 10 (ข้อห้ามทั่วไป)<br>ห้ามกระทำการดังต่อไปนี้ในระหว่างการใช้บริการ:<br>หนึ่ง. กระทำการผิดกฎหมาย หรือสนับสนุนให้เกิดการกระทำผิดกฎหมาย<br>สอง. ละเมิดสิทธิ์ (เช่น ชื่อเสียง ความเป็นส่วนตัว ลิขสิทธิ์) ของผู้อื่น<br>สาม. ใช้ข้อความลามกอนาจาร เหยียดหยาม คุกคาม รุนแรง หรือขัดต่อศีลธรรมอันดี<br>สี่. ใช้เกมเพื่อการค้า การหาเสียง การระดมทุน หรือการเผยแผ่ศาสนา<br>ห้า. ชักชวนเพื่อการพบปะเชิงชู้สาวหรืออนาจาร<br>หก. ส่งจดหมายลูกโซ่ หรือชักชวนให้ทำธุรกิจลูกโซ่<br>เจ็ด. กล่าวร้าย คุกคาม หรือทำให้ผู้อื่นรู้สึกไม่สบายใจ<br>แปด. แอบอ้างเป็นพนักงานของบริษัท หรือทีมงานสนับสนุน<br>เก้า. ส่งไวรัส ข้อมูลขยะ หรือการกระทำที่สร้างภาระให้กับเซิร์ฟเวอร์และรบกวนผู้อื่น<br>สิบ. ให้ข้อมูลเท็จ หรือหลอกลวงบริษัท<br>สิบเอ็ด. การกระทำใดๆ ที่ขัดขวางการดำเนินงานของเกม<br>สิบสอง. ใส่ร้ายป้ายสีบริษัทหรือบริการของบริษัท<br>สิบสาม. ซื้อขายหรือโอนข้อมูลในเกมโดยไม่ได้รับอนุญาต<br>สิบสี่. ซื้อขายไอเทมหรือข้อมูลในเกมด้วยเงินจริง (RMT - Real Money Trading)<br>สิบห้า. ละเมิดลิขสิทธิ์ของบริการนี้<br>สิบหก. ใช้ซอฟต์แวร์ PSO2 เชื่อมต่อไปยังเซิร์ฟเวอร์อื่นที่ไม่ใช่ของทางการ<br>สิบเจ็ด. ชักชวนหรือสนับสนุนให้ผู้อื่นใช้โปรแกรมโกง<br>สิบแปด. ส่งข้อความก่อกวนผู้เล่นคนอื่นซ้ำๆ (Spam)<br>สิบเก้า. ละเมิดข้อกำหนดอื่นๆ ในข้อตกลงนี้<br>ยี่สิบ. เผยแพร่ลิงก์หรือบอกวิธีการกระทำความผิดตามที่ระบุไว้ข้างต้น<br>ยี่สิบเอ็ด. การกระทำอื่นใดที่บริษัทพิจารณาว่าไม่เหมาะสม<br>ยี่สิบสอง. สนับสนุนหรือเตรียมการเพื่อกระทำการที่ขัดต่อกฎระเบียบทั้งหมดข้างต้น<br>"""
