Title_DeadMenu#0,"""전투 불능 메뉴"""
Menu_Sub#0,"""서브 메뉴"""
Menu_Money#0,"""AC / SG 메뉴"""
MainMenu_Equip_WeaponAvatar#0,"""<pict ba_camouflage><pict 4space>무기 미채"""
MainMenu_ACMenu_MyShop#0,"""<pict ba_task><pict 4space>마이 샵"""
MainMenu_World_WorldMap#0,"""<pict ba_worldmap><pict 4space>월드 맵"""
MainMenu_World_MessagePack#0,"""<pict ba_mpack><pict 4space>메시지 팩"""
MainMenu_Quest_Rebops#0,"""<pict ba_task><pict 4space>태스크"""
MainMenu_Quest_MissionPass#0,"""<pict ba_missionpass><pict 4space>미션 패스"""
Category_Item#0,"""아이템"""
Category_Equip#0,"""장비/서브 팔레트"""
Category_SubPallet#0,"""장비/서브 팔레트"""
Category_Task#0,"""태스크 / 퀘스트"""
Category_WorldMap#0,"""월드"""
Category_LogOut#0,"""로그아웃"""
Category_Communication#0,"""커뮤니케이션"""
Category_Personal#0,"""퍼스널"""
Category_Chat#0,"""채팅"""
Category_Info#0,"""인포메이션"""
Category_System#0,"""시스템"""
Category_Scratch#0,"""스크래치 긁기"""
Category_ACShop#0,"""<pict ba_acshop><pict 4space>AC / SG샵<pict 4space><pict Arcscash><pict StarGem>"""
Category_SGShop#0,"""<pict ba_sgshop>SG 샵<pict StarGem>"""
Category_MyShop#0,"""마이 샵"""
Category_RecycleShop#0,"""<pict ba_recycle><pict 4space>아이템 리사이클"""
Category_BuyHistory#0,"""<pict ba_history><pict 4space>구입이력/유효기한"""
Category_Shop#0,"""샵"""
Popup_ItemPack#0,"""<pict ba_task><pict 4space>아이템 팩"""
Popup_FriendList#0,"""<pict ba_friend><pict 4space>프렌드 리스트"""
Popup_PartyCommand#0,"""<pict ba_partycom><pict 4space>파티 커맨드"""
Popup_TeamCommand#0,"""<pict ba_guild><pict 4space>팀 커맨드"""
Popup_Mail#0,"""<pict ba_mail><pict 4space>메일"""
Popup_ArksSearch#0,"""<pict ba_search><pict 4space>아크스 서치"""
Popup_CommuHistory#0,"""<pict ba_commu><pict 4space>커뮤니케이션 이력"""
Popup_NearCharacter#0,"""<pict ba_surround><pict 4space>주위 캐릭터"""
Popup_CharacterData#0,"""<pict ba_charainfo><pict 4space>캐릭터 정보"""
Popup_Honor#0,"""<pict ba_title><pict 4space>칭호"""
Popup_ArksCard#0,"""<pict ba_card><pict 4space>아크스 카드"""
Popup_Honor_ArksCard#0,"""칭호/아크스 카드"""
Popup_PlayLog#0,"""<pict ba_performance><pict 4space>플레이 실적"""
Popup_GroupChat#0,"""<pict ba_gchat><pict 4space>그룹 채팅 설정"""
Popup_ShortcutWord#0,"""<pict ba_shortcut><pict 4space>숏 컷 워드 설정"""
Popup_AutoWord#0,"""<pict ba_autoword><pict 4space>오토 워드 설정"""
Popup_SymbolArt#0,"""<pict ba_symbol><pict 4space>심볼 아트"""
Popup_Information#0,"""<pict ba_info><pict 4space>알림"""
Popup_Help#0,"""<pict ba_help><pict 4space>헬프"""
Popup_Option#0,"""<pict ba_option><pict 4space>옵션"""
Popup_CampaignItem#0,"""<pict ba_get><pict 4space>캠페인 아이템 받기"""
Popup_ItemCode#0,"""<pict ba_code><pict 4space>아이템 코드"""
Popup_ControlSetting#0,"""<pict ba_conf><pict 4space>조작 설정"""
Popup_MagMenu#0,"""<pict ba_mag><pict 4space>마그"""
Popup_Stamp#0,"""<pict ba_stamp><pict 4space>스탬프"""
Popup_BuyScratch#0,"""<pict ba_scratch><pict 4space>스크래치 긁기<pict 4space><pict Arcscash>"""
Popup_ScratchStorage#0,"""<pict ba_scwa><pict 4space>스크래치 창고"""
Popup_QuestInfo#0,"""<pict ba_questinfo><pict 4space>퀘스트 정보"""
Popup_Equip_Weapon#0,"""<pict ba_weapon><pict 4space>무기 장비"""
Popup_Equip_Guard#0,"""<pict ba_unit><pict 4space>방어구 장비"""
Popup_Equip_Subpalette#0,"""<pict ba_subp><pict 4space>서브 팔레트"""
Popup_Equip_Fashion#0,"""<pict ba_cos><pict 4space>패션 편집"""
Popup_QuestMenue#0,"""퀘스트 메뉴"""
Operation_MenuCommon#0,"""메뉴 아래의 메뉴 가이드 커먼 설정입니다."""
MenuEquipmentOpen#0,"""선택한 아이템을 장비하기"""
MainMenu_Equip_WeaponPosition#0,"""<pict ba_positioning><pict 4space>무기 납도 위치 설정"""
MainMenu_Loguin_Bonus#0,"""<pict icon_login_bonus><pict 4space>로그인 보너스"""
Menu_Matching_Blockade#0,"""매칭 중에는 사용할 수 없습니다."""
HealTank#0,"""자신의 HP 를 최대치의 50% 회복한다."""
RecoveryMoonAtomizer#0,"""주위에 있는 전투 불능 상태인 플레이어를 부활시킵니다."""
HunterWarCry#0,"""<yellow>【액티브 스킬】<c><br>주위 에너미의 주의를 끌어들인다.<br>게다가 일정시간 동안 공격을 맞출 시 에너미에게<br>노려지기 쉬워지게 된다.<br><yellow>이 스킬은 메인클래스만 적용된다."""
HunterIronWill#0,"""남은 HP 이상의 데미지를 받았을 때<br>HP 가 1 남는다.<br>발동 시에 무적 시간이 발생한다.<br><yellow>이 스킬은 메인 클래스만 적용된다."""
HunterMassiveHunter#0,"""<yellow>【액티브 스킬】<c><br>일정시간 받는 데미지를 감소시키며<br>에너미의 공격으로 인해<br>띄워지거나 날라가는 것을 방지한다."""
HunterParryingPa#0,"""PA를 발동한 후<br>일정시간 이내에 에너미의 공격을 받으면<br>그 PA의 위력이 상승한다.<br><yellow>※헌터 무기 전용<c>"""
HunterSwordGuardCounterPlus#0,"""소드 가드 카운터 발동 시<br>통상 공격을 하여<br>추가로 카운터가 발생한다."""
HunterSwordNormalAttackPlus#0,"""소드의 통상 공격 단계가<br>최대 5단계로 증가한다."""
HunterSwordAttackExtra#0,"""통상 공격 단계가 최대 5단계로 증가한다.<br><yellow>※소드 전용<c>"""
HunterWeakHitAdvance#0,"""仮テキスト"""
HunterParryingCritical#0,"""仮テキスト"""
HunterCounterBoost#0,"""仮テキスト"""
HunterJustGuardDownBoost#0,"""仮テキスト"""
HunterSwordGuardCounter#0,"""무기 액션을 이용한<br>저스트 가드 성공 시<br>자동으로 카운터가 발생한다.<br><yellow>※소드 전용<c>"""
HunterFlashGuard#0,"""받는 데미지를 경감한다."""
HunterAllGuard#0,"""무기 액션을 이용한<br>가드가 전방향에 대응한다.<br><yellow>※헌터 무기 전용<c>"""
HunterParryingPPHeal#0,"""헌터 아츠 어벤지 발동 시<br>PP가 회복된다."""
HunterParryingPaJustGuard#0,"""PA 발동 시<br>발동하는 순간에만 에너미의 공격을 무효화 한다.<br><yellow>※헌터 무기 전용<c>"""
HunterSlowFallCharge#0,"""PA 차지 중 낙하 속도가 느려진다.<br><yellow>※헌터 무기 전용<c>"""
HunterTecArtsSkipAttack#0,"""같은 무기로 서로 다른 PA를 연속으로 사용한 후의<br>통상 공격이 4단계로 변화한다.<br>최대 공격 단계가 3단계 이하인 경우<br>최종 단계로 변화한다.<br><yellow>※헌터 무기 전용<c>"""
HunterSameArtsSkipAttack#0,"""같은 무기로 같은 PA를 연속으로 사용한 후의<br>통상 공격이 3단계로 변화한다.<br><yellow>※헌터 무기 전용<c>"""
HunterPartisanVolgraptor#0,"""무기 액션을 길게 누르면<br>피해를 축적하는 포톤으로 이루어진 창을 발사한다.<br>포톤의 창은 일정 시간이 경과하거나<br>일정 데미지를 주면 폭발한다.<br><yellow>※파르티잔 전용<c>"""
HunterPartisanAssaultCharge#0,"""PA 발동 후 특정 타이밍에<br>무기 액션 버튼을 눌러<br>차지가 가능한 찌르기 공격을 실시한다.<br><yellow>※파르티잔 전용<c>"""
HunterPartisanParryingAssaultCharge#0,"""헌터 아츠 어벤지 발동 시<br>해당 PA로 어설트 차지를 하면<br>그 위력이 상승한다."""
HunterWLanceAttackExtra#0,"""통상 공격 단계가 최대 4단계로 증가한다.<br><yellow>※와이어드 랜스 전용<c>"""
HunterWLanceWAPlus#0,"""무기 액션 발동 시<br>방향 입력을 하면 동작이 변화한다.<br><yellow>※와이어드 랜스 전용<c>"""
HunterWLanceWAGuardPointPlus#0,"""무기 액션 발동 시<br>에너미의 공격을 무효화 한다.<br><yellow>※와이어드 랜스 전용<c>"""
RangerGaugeShotGun#0,"""<yellow>【액티브 스킬】<c><br>공격으로<br>축적된 게이지를 소비함으로써<br>특수한 근거리 산탄을 발산한다.<br><yellow>※어설트 라이플 전용<c>"""
RangerGaugeShotGunAway#0,"""스프레드 샷 발동 시<br>무적시간이 발생한다.<br>또한 방향 입력 시 회피 거리가 길어진다."""
RangerWeakBullet#0,"""<yellow>【액티브 스킬】<c><br>명중시킨 부위에 주는 데미지가<br>늘어나는 탄환을 발사한다.<br><yellow>※메인 클래스 / 어설트 라이플 전용<c>"""
RangerWeakBulletParse#0,"""위크 불릿이 명중한 부위에<br>공격을 일정 횟수 맞춤으로써<br>주는 데미지가 증가하고<br>스킬 효과 시간이 연장된다.<br><yellow>※메인 클래스 전용<c>"""
RangerWeaponActionAvoid#0,"""무기 액션 발동 시<br>무적시간이 발생한다.<br><yellow>※어설트 라이플 전용<c>"""
RangerGrenadeTrap#0,"""무기 액션을 길게 누르면<br>그레네이드를 이용한 공격을 실시한다.<br>동시에 방향 입력을 하면 투척하며<br>입력하지 않으면 그 자리에 설치한다.<br><yellow>※어설트 라이플 전용<c>"""
RangerRangeBonus#0,"""仮テキスト"""
RangerDownChain#0,"""仮テキスト"""
RangerWeakHitAdvance#0,"""仮テキスト"""
RangerWeakBlastBonus#0,"""仮テキスト"""
RangerFallSlowAttack#0,"""통상 공격 중엔 낙하 속도가 느려진다.<br><yellow>※레인저 무기 전용<c>"""
RangerFallSlowCharge#0,"""PA 차지 중 낙하 속도가 느려진다.<br><yellow>※레인저 무기 전용<c>"""
RangerClusterBombRecastReduce#0,"""무기 액션 발동 후<br>재사용이 가능해질 때까지의 시간을 단축한다.<br><yellow>※런처 전용<c>"""
RangerLauncherChargeConvergence#0,"""차지 상태에서 통상 공격을 할 때<br>앞으로 방향을 입력하면<br>집탄성이 향상된다.<br><yellow>※런처 전용<c>"""
RangerConditionBadGuard#0,"""상태 이상에 걸릴 확률이 낮아진다."""
RangerConditionBadEase#0,"""상태 이상의 효과 시간을 줄인다."""
ForcePhotonFlare#0,"""<yellow>【액티브 스킬】<c><br>일정 시간 동안 최대 PP가 증가하며<br>무기의 위력이 상승한다.<br><yellow>※메인 클래스 / 포스 무기 전용<c>"""
ForcePpConvert#0,"""<yellow>【액티브 스킬】<c><br>발동 시 최대 HP를 기준으로<br>일정 비율의 HP를 소비하는 대신<br>일정 시간동안 PP의 자연 회복량이 증가한다."""
ForcePpConvertReCharge#0,"""PP 컨버트의 스톡 수가 증가한다."""
ForceChargePpRevival#0,"""테크닉 충전 중에도<br>PP를 자연 회복하게 된다.<br><yellow>※포스 무기 전용<c>"""
ForceChargeEscape#0,"""테크닉 차지 중 무기 액션이나<br>스텝을 하더라도 차지 상태를<br>유지하고 다음에 같은 테크닉 사용 시<br>PP를 소비하지 않고 차지 시간도 단축된다.<br><yellow>※로드 전용<c>"""
ForceHeal#0,"""레스타 사인 사용 시<br>주위에 있는 캐릭터도 회복된다.<br><yellow>※메인 클래스 전용<c>"""
ForceOverFlow#0,"""仮テキスト"""
ForcePhotonFlareTecShortCharge#0,"""포톤 플레어 발동 중에<br>테크닉의 위력이 낮아지는 대신<br>차지 시간을 단축한다.<br><yellow>※메인 클래스 / 포스 무기 전용<c>"""
ForcePhotonFlareAfterBurst#0,"""仮テキスト"""
ForcePhotonFlareBoost#0,"""仮テキスト"""
ForceRodCounterTechnic#0,"""무기 액션을 이용한 가드,<br>또는 스텝을 이용한 회피 성공 시<br>테크닉을 사용하면<br>무적시간이 발생한다.<br><yellow>※로드 전용<c>"""
ForcePhotonFlarePpRefrain#0,"""포톤 플레어가 끝났을 때<br>포톤 플레어 중 소모한 PP량에 따라<br>PP가 회복된다.<br><yellow>※메인 클래스 전용<c>"""
ForceNightmare#0,"""자신의 주위에서 에너미를<br>다운시키거나 격파했을 때<br>PP가 회복된다."""
ForceReflectCounterShot#0,"""무기 액션을 이용한<br>가드 성공 후에 테크닉 발동 시<br>같은 속성의 법격탄 공격을 추가한다.<br><yellow>※로드 전용<c>"""
ForceRodCounterTecBonus#0,"""로드 장비 중<br>스텝으로 회피<br>또는 무기 액션으로 가드 성공 시<br>테크닉을 사용하면<br>무적시간이 발생한다."""
ForceRodAbsorption#0,"""테크닉 발동 후<br>공격이나 회피를 하지 않고 있으면<br>PP가 회복된다.<br><yellow>※로드 전용<c>"""
ForceTalisConcentrate#0,"""PA 발동 후 탈리스 전개 시<br>전개시간이 감소하는 대신<br>테크닉의 위력이 상승하며<br>소비 PP가 감소한다."""
ForceTalisQuickMarkShot#0,"""무기 액션 발동 시<br>방향 입력을 하지 않음으로써<br>일정 시간 동안 단속적으로<br>여러 에너미를 공격한다.<br><yellow>※탈리스 전용<c>"""
ForceTalisSetRevok#0,"""무기 액션을 길게 누르면<br>PA에 의한 탈리스 전개 상태를 해제한다.<br><yellow>※탈리스 전용<c>"""
ForcePpRestorate#0,"""PP 자연 회복량이 증가한다."""
ForceSlowFallCharge#0,"""테크닉 차지 중<br>낙하 속도가 느려진다<br><yellow>※포스 무기 전용<c>"""
ForceBartaBlot#0,"""차지하지 않은 빙속성 테크닉을<br>일정 횟수 에너미에게 맞춤으로써<br>얼음 문장을 새긴다. 게다가 같은<br>속성의 테크닉을 차지하여 적중시키면<br>문장이 기폭해 추가 피해를 입힌다."""
ForceZondeClad#0,"""차지하지 않은 뇌속성 테크닉을<br>일정 횟수 에너미에게 맞춤으로써 스스로가<br>전기를 띈 상태가 된다. 게다가 같은<br>속성의 테크닉을 차지하여 적중시키면 대전이<br>해제되고 그 테크닉을 강화한다."""
FighterLimitBreak#0,"""<yellow>【액티브 스킬】<c><br>일정 시간 동안<br>받는 데미지가 증가하는 대신<br>무기의 위력이 상승한다.<br><yellow>※메인 클래스 / 파이터 무기 전용<c>"""
FighterLimitBreakPhotonCharge#0,"""리미트 브레이크 종료 시<br>PP가 회복된다.<br><yellow>이 스킬은 메인 클래스에만 적용된다."""
FighterLimitBreakInsurance#0,"""리미트 브레이크 발동 중<br>남은 HP 보다 큰 데미지를 입었을 때<br>리미트 브레이크가 끝나고 HP 가 1이 남게 된다.<br>추가적으로 발동 시 무적시간이 발생한다.<br><yellow>※메인 클래스 전용<c>"""
KnuckleDodgeHeatRevenge#0,"""무기 액션을 이용한<br>회피 성공 후 통상 공격이<br>5단계로 변화한다.<br><yellow>※너클 전용<c>"""
FighterKnuckleSwayCounterPlus#0,"""너클 스웨이 카운터 발동 시<br>무기 액션을 사용함으로써<br>추가 카운터가 발생한다."""
FighterKnuckleNormalAttackPlus#0,"""통상 공격 단계가 최대 5단계로 증가한다.<br><yellow>※너클 전용<c>"""
FighterPhotonFlood#0,"""仮テキスト"""
FighterUnFlatBonus#0,"""仮テキスト"""
FighterTecArtsJABonus#0,"""仮テキスト"""
FighterPPSlayer#0,"""仮テキスト"""
FighterKnuckleSwayCounter#0,"""무기 액션을 이용한 회피 성공 시<br>자동으로 카운터가 발생한다.<br><yellow>※너클 전용<c>"""
FighterChaseAdvance#0,"""다운되어 있는 에너미에게<br>주는 데미지가 증가한다."""
FighterChaseAdvancePPRecovery#0,"""다운되어 있는 에너미를<br>공격했을 때 PP 회복량이 증가한다."""
FighterTecArtsSkipAttack#0,"""같은 무기로 서로 다른 PA를 연속으로 사용한 후의<br>통상 공격이 4단계로 변화한다.<br>최대 공격 단계가 3단계 이하인 경우<br>최종 단계로 변화한다.<br><yellow>※파이터 무기 전용<c>"""
FighterSameArtsSkipAttack#0,"""같은 무기로 같은 PA를 연속으로 사용한 후의<br>통상 공격이 3단계로 변화한다.<br><yellow>※파이터 무기 전용<c>"""
FighterSkipArts#0,"""방향 입력을 하지 않고 PA를 사용하면<br>그 PA의 뒷부분 부터 발동한다.<br><yellow>※파이터 무기 전용<c>"""
FighterTDAnotherDerive#0,"""PA 발동 후 특정 타이밍에<br>통상 공격 버튼을 누름으로써<br>에너미에게 돌격을 가한다.<br><yellow>※트윈 대거 전용<c>"""
FighterTDSpinCounter#0,"""무기 액션을 이용한 가드 성공 시<br>통상 공격을 하여<br>카운터가 발생한다.<br><yellow>※트윈 대거 전용<c>"""
FighterTDAttackExtra#0,"""통상 공격 단계가 최대 4단계로 증가한다.<br><yellow>※트윈 대거 전용<c>"""
FighterDSDodgeWindCounter#0,"""무기 액션을 이용한 가드 성공 시<br>통상 공격을 하여<br>카운터가 발생한다.<br><yellow>※더블 세이버 전용<c>"""
FighterDSDodgeWindWACounter#0,"""무기 액션을 이용한 가드 성공 시<br>추가적으로 무기 액션을 사용함으로써<br>특수한 카운터가 발생한다.<br><yellow>※더블 세이버 전용<c>"""
FighterDSDeadlyArcher#0,"""2단계 카마이타치를 두른 상태에서<br>무기 액션을 길게 누르면<br>모든 카마이타치를 에너지로 바꿔<br>에너미에게 무기를 투척한다.<br><yellow>※더블 세이버 전용<c>"""
FighterDSEnhanceAttack#0,"""2단계 카마이타치를 두른 상태에서<br>통상 공격 버튼을 길게 누르면<br>모든 카마이타치를 에너지로 바꿔<br>회오리 바람을 발생시킨다.<br><yellow>※더블 세이버 전용<c>"""
GunnerChainTrigger#0,"""차지 PA 발동 후<br>공격으로 “체인 수”를 증가시켜<br>다시 차지 PA를 맞힘으로써 강력한<br>“체인 피니쉬”가 발생한다.<br><yellow>※메인 클래스 / 트윈 머신 건 전용<c>"""
GunnerChainFinish#0,"""체인 피니쉬 발생 후<br>체인 트리거 중 체인 수에 따라<br>재발동이 가능해질 때까지의<br>시간이 단축된다.<br><yellow>이 스킬은 메인 클래스에만 적용된다."""
GunnerChainFinishTimeBonus#0,"""체인 피니쉬 발동 후<br>체인 수에 따라 체인 트리거의<br>재사용이 가능해질 때까지의 시간을 단축한다.<br><yellow>※메인 클래스 전용<c>"""
GunnerSRollArts#0,"""무기 액션 발동 중<br>PA 버튼을 누름으로써 PP를 소비하고<br>평소보다 위력이 높은 공격을 실시한다.<br><yellow>※트윈 머신 건 전용<c>"""
GunnerCounterPABurst#0,"""무기 액션을 이용한 회피 성공 시<br>다음에 사용할 PA의<br>PP 소비량이 증가하는 대신<br>위력이 상승한다.<br><yellow>※트윈 머신 건 전용<c>"""
GunnerChainBoost#0,"""체인 피니쉬 발동 후<br>일정 시간 동안 무기 액션 중의<br>공격 동작의 변화하고 체인 수에 따라<br>무기의 공격속도가 빨라진다.<br><yellow>※메인 클래스 / 트윈 머신 건 전용<c>"""
GunnerNeutralDeadApproach#0,"""방향 입력을 하지 않고<br>무기 액션을 발동하면<br>전방으로 돌진하는 동작으로 변화한다.<br><yellow>※트윈 머신 건 전용<c>"""
GunnerPerfectKeeper#0,"""仮テキスト"""
GunnerChainFinishBonus#0,"""仮テキスト"""
GunnerNeoTime#0,"""仮テキスト"""
GunnerNeoTimeBlastBonus#0,"""仮テキスト"""
GunnerNeoTimePPRefresh#0,"""仮テキスト"""
GunnerAirAttackBonus#0,"""仮テキスト"""
GunnerReactionWeak#0,"""仮テキスト"""
GunnerFallSlowAttack#0,"""통상 공격 중엔 낙하 속도가 느려진다.<br><yellow>※거너 무기 전용<c>"""
GunnerFallSlowCharge#0,"""PA 차지 중 낙하 속도가 느려진다.<br><yellow>※거너 무기 전용<c>"""
GunnerGaugeShotGun#0,"""<yellow>【액티브 스킬】<c><br>공격으로<br>축적된 게이지를 소비함으로써<br>특수한 근거리 산탄을 발산한다.<br><yellow>※어설트 라이플 전용<c>"""
GunnerGaugeShotGunAway#0,"""스프레드 샷 발동 시<br>무적시간이 발생한다.<br>또한 방향 입력 시 회피 거리가 길어진다."""
GunnerAttackPPRestraint#0,"""공격을 통한 PP 회복량이 증가한다."""
GunnerOverWhelm#0,"""보스 이외의 에너미를 공격했을 때의<br>PP 회복량이 증가한다."""
TechterShiftaDeband#0,"""<yellow>【액티브 스킬】<c><br>일정 시간 동안 자신과 주위 캐릭터의<br>에너미에게 주는 데미지가 증가하고<br>받는 데미지를 경감한다.<br><yellow>※메인 클래스 전용<c>"""
TechterPartyAssist#0,"""시프타/데반드 발동 시<br>거리가 먼 같은 파티의<br>케릭터에도 효과를 부여한다.<br><yellow>※메인 클래스 전용<c>"""
TechterWandElementChange#0,"""차지 테크닉을 사용하면<br>법격 폭발이 같은 속성으로 변화한다.<br><yellow>※완드 전용<c>"""
TechterWandElementDiscard#0,"""무기 액션을 길게 누르면<br>완드 엘리먼트 체인지로 인해<br>변화한 법격 폭발 속성을 원래대로 되돌린다.<br><yellow>※완드 전용<c>"""
TechterHeal#0,"""레스타 사인 사용 시 회복량이 증가하고<br>주위에 있는 캐릭터도 회복된다.<br><yellow>※메인 클래스 전용<c>"""
TechterWandGuardCounter#0,"""무기 액션을 이용한 가드 성공 시<br>통상 공격을 하면<br>카운터가 발생한다.<br><yellow>※완드 전용<c>"""
TechterAssistField#0,"""仮テキスト"""
TechterWandLovers#0,"""<yellow>【액티브 스킬】<c><br>일정 시간 동안 통상 공격에<br>에너미의 공격을 튕기는 효과를 추가하여<br>띄워지거나 날라가는 것을 방지한다.<br><yellow>※완드 전용<c>"""
TechterWandCounterReflection#0,"""무기 액션 등을 이용한 가드 성공 시<br>법격 폭발이 발생한다.<br><yellow>※완드 전용<c>"""
TechterShiftaStrike#0,"""시프타/데반드에<br>에너미에게 주는 다운 값이<br>증가하는 효과를 추가한다.<br><yellow>※메인 클래스 전용<c>"""
TechterShiftaAdvance#0,"""시프타/데반드에<br>다운 중인 에너미에게 주는 데미지가<br>증가하는 효과를 추가한다.<br><yellow>※메인 클래스 전용<c>"""
TechterDebandCut#0,"""시프타/데반드에<br>상태이상에 잘 걸리지 않는 효과를 추가한다.<br><yellow>※메인 클래스 전용<c>"""
TechterDebandPpReStraight#0,"""시프타/데반드에<br>PP 자연 회복량이 증가하는 효과를 추가한다.<br><yellow>※메인 클래스 전용<c>"""
TechterExtendAssist#0,"""시프타/데반드의 효과 시간을 연장한다.<br><yellow>※메인 클래스 전용<c>"""
TechterElementWeakBonus#0,"""에너미를 약점 속성으로 공격했을 때<br>포톤 블래스트 게이지가 증가한다."""
TechterAwakeYell#0,"""보스 에너미가 가까이 있을 때<br>포톤 블래스트 게이지가<br>쌓이기 쉬워진다."""
TechterReverseBonus#0,"""부활시킨 아군에게<br>시프타/데반드의 효과를 부여한다.<br><yellow>※메인 클래스 전용<c>"""
TechterWandGuardCounterEdge#0,"""완드 패리 카운터 발동 시<br>충격파가 발생한다."""
TechterFallSlowCharge#0,"""PA와 테크닉 차지 중<br>낙하 속도가 느려진다<br><yellow>※텍터 무기 전용<c>"""
TechterBartaBlot#0,"""차지하지 않은 빙속성 테크닉을<br>일정 횟수 에너미에게 맞춤으로써<br>얼음 문장을 새긴다. 게다가 같은<br>속성의 테크닉을 차지하여 적중시키면<br>문장이 기폭해 추가 피해를 입힌다."""
TechterZondeClad#0,"""차지하지 않은 뇌속성 테크닉을<br>일정 횟수 에너미에게 맞춤으로써 스스로가<br>전기를 띈 상태가 된다. 게다가 같은<br>속성의 테크닉을 차지하여 적중시키면 대전이<br>해제되고 그 테크닉을 강화한다."""
FighterKnuckleAttackExtra#0,"""통상 공격 단계가 최대 5단계로 증가한다.<br><yellow>※너클 전용<c>"""
ForceTalisTecBurst#0,"""<yellow>【액티브 스킬】<c><br>공격으로<br>축적된 게이지를 소비함으로써<br>특수한 원거리 공격을 한다.<br><yellow>※탈리스 전용<c>"""
TechterTalisTecBurst#0,"""<yellow>【액티브 스킬】<c><br>공격으로<br>축적된 게이지를 소비함으로써<br>특수한 원거리 공격을 한다.<br><yellow>※탈리스 전용<c>"""
TechterTalisQuickMarkShot#0,"""무기 액션 발동 시<br>방향 입력을 하지 않음으로써<br>일정 시간 동안 단속적으로<br>여러 에너미를 공격한다.<br><yellow>※탈리스 전용<c>"""
TechterTalisSetRevok#0,"""무기 액션을 길게 누르면<br>PA에 의한 탈리스 전개 상태를 해제한다.<br><yellow>※탈리스 전용<c>"""
BraverGuardRelief#0,"""무기 액션을 이용한 가드 시<br>받는 데미지와 PP 소비량을 경감한다."""
