Title#0,"""Centro de entrenamiento ARKS"""
ChallengeResultSub4#0,"""Meseta obtenida"""
ChallengeResultSub5#0,"""Bonos de grupo"""
ChallengeResultSub6#0,"""Completa Ranking"""
ChallengeResultSub7#0,"""Bonus Total de Miles"""
Get#0,"""¡Obtenido!"""
CollectFileRareDropBoost#0,"""レアドロップ倍率ボーナス適用"""
CollectFilePremiumBoost#0,"""プレミアムボーナスで2倍上昇！"""
BasnetResultTitle1#0,"""Resultados de la victoria"""
BasnetResultTitle2#0,"""Resultados de la misión"""
BasnetResultTitle3#0,"""Resultado"""
BasnetResultTitle4#0,"""BP"""
BasnetResultTitle5#0,"""Cambio de grado"""
BasnetResultTitle6#0,"""Cambio de grado (Boost+$(0)%）"""
BasnetResultSub1#0,"""Resultado"""
BasnetResultSub2#0,"""Jefes derrotados"""
BasnetResultSub3#0,"""Diferencia del calibre de fuerza"""
BasnetResultSub4#0,"""Cantidad de torres restantes"""
BasnetResultSub5#0,"""Base de defensa a cargo"""
BasnetResultSub6#0,"""Daño a las instalaciones aliadas"""
BasnetResultSub7#0,"""Cuenta de incapacitación"""
BasnetResultSub8#0,"""バスターポイント"""
BasnetResultSub9#0,"""Grado"""
BasnetResultSub10#0,"""Puntos Buster actuales"""
BasnetResultSub11#0,"""Al siguiente grado"""
BasnetResultText1#0,"""Victoria"""
BasnetResultText2#0,"""Derrota"""
BasnetResultText3#0,"""Completado"""
BasnetResultText4#0,"""Ha fallado"""
BasnetResultText5#0,"""+$(0)"""
BasnetResultText6#0,"""-$(0)"""
BasnetResultText7#0,"""$(0)"""
BasnetResultText8#0,"""$(0)%"""
BasnetResult_NextPointNone#0,"""―"""
BasnetResultText9#0,"""$(0)"""
ArmadaPoint_Quest#0,"""獲得迎撃ポイント"""
ArmadaPoint_Total#0,"""全セクター獲得迎撃ポイント合計"""
Prism_RemainCanon#0,"""-"""
MackResult_Sub1#0,"""到達したステップ数"""
MackResult_Floor#0,"""ステップ$(0)"""
MackResult_Sub2#0,"""クリアランク"""
MackResult_NoRank#0,"""－"""
MackResult_PointName#0,"""ディバイドポイント"""
MackResult_WeeklyPointName#0,"""今週獲得したディバイドポイント"""
MenuType_OngoingQuest#0,"""Misión actual"""
MenuType_OngoingTrial#0,"""発生中のＥトライアル"""
MenuType_QuestCondition#0,"""Requerimienots de misión"""
MenuType_QuestDestruction#0,"""Abandonar misión"""
MenuType_BeforeQuestResult#0,"""Resultados de la misión anterior"""
MenuType_Back#1,"""Volver"""
Trial_Title#0,"""発生中のＥトライアル情報"""
Trial_Name#0,"""Ｅトライアル名"""
Trial_TrialTarget#0,"""Ｅトライアル目標"""
Trial_ExtraTarget#0,"""Objetivo Extra"""
Trial_FailureConditions#0,"""Condiciones para fallo"""
Trial_Achievement#0,"""Progreso"""
Trial_Back#0,"""Volver"""
Target_Success#0,"""¡Misión completada!"""
MenuType_ExtraQuestConfirm#0,"""Contenido de la campaña"""
MenuType_ArksBoostRoadConfirm#0,"""Info. de ARKS Boost Rally"""
Target_Finish#0,"""Fin de la estrategia"""
YesText#0,"""Si"""
NoText#0,"""いいえ"""
CloseText#0,"""Cerrar"""
OpenText#0,"""Abrir"""
MaxText#0,"""Maximizar"""
MinText#0,"""Minimizar"""
Sort#0,"""Ordenar"""
Copy#0,"""Copiar"""
Peaste#0,"""Pegar"""
NextText#0,"""Siguiente"""
PrevText#0,"""Anterior"""
CancelText#0,"""Cancelar"""
OKText#0,"""OK """
ReturnText#0,"""Volver"""
CheckText#0,"""No mostrar está ventana nuevamente."""
Q_Event001#0,"""Actualmente estamos preparandonos para una operación a gran escala que involucra a todos los miembros ARKS."""
Q_Event001_01_MES#0,"""Los ARKS estan preparandose para una operación a gran escala en respuesta a la actividad del enemigo en los bosques de Naberius."""
Q_Event001_02_MES#0,"""Los ARKS estan preparandose para una operación a gran escala en respuesta a la actividad enemiga en la Tundra de Naberius."""
Q_Event001_03_MES#0,"""Los ARKS estan preparandose para una operación a gran escala en respuesta a la actividad enemiga en las Ruinas de Naberius."""
Q_Event001_04_MES#0,"""Los ARKS estan preparandose para una operación a gran escala en respuesta a la actividad enemiga en las Cavernas de Amduscia."""
Q_Event001_05_MES#0,"""Los ARKS estan preparandose para una operación a gran escala en respuesta a la actividad enemiga en el Continente Flotante de Amduscia."""
Q_Event001_06_MES#0,"""Los ARKS estan preparandose para una operación a gran escala en respuesta a la actividad enemiga en los Desiertos de Lillipa."""
Q_Event001_07_MES#0,"""Los ARKS estan preparandose para una operación a gran escala en respuesta a la actividad enemiga en los Tuneles de Lillipa."""
Q_Event001_08_MES#0,"""Los ARKS estan preparandose para una operación a gran escala en respuesta a la actividad enemiga en la Cantera de Lillipa."""
Q_Event001_09_MES#0,"""Los ARKS estan preparandose para una operación a gran escala en la Nave Nodriza corrompida."""
Q_Event001_51_MES#0,"""A todos los ARKS por favor prepararse para una operación de eliminación a gran escala sobre Naberius."""
Q_Event001_52_MES#0,"""A todos los ARKS por favor prepararse para una operación de eliminación a gran escala sobre Amduscia."""
Q_Event001_53_MES#0,"""A todos los ARKS por favor prepararse para una operación de eliminación a gran escala sobre Lillipa."""
Q_Event001_54_MES#0,"""A todos los ARKS por favor prepararse para una operación de eliminación a gran escala sobre Wopal."""
Q_Event001_90_MES#0,"""Los ARKS estan preparando una operación a gran escala en respuesta a la actividad enemiga en multiples areas."""
Q_Event001_91_MES#0,"""Todos los ARKS son instruidos para prepararse para una operación de supresión a gran escala en multiples planetas."""
Q_Event002_MES#0,"""La misión de emergencia está disponible. Estamos llevando a cabo operaciones a gran escala con la participación de todos los agentes ARKS. Por favor, visite un asesor de misiones para participar en la misión."""
Q_Event003_MES#0,"""La operación a gran escala ha terminado. Gracias por su cooperación."""
R_Event004_MES#0,"""Actualmente estamos procesando los resultados de Ranking de interrupción. Por favor espere para un aviso futuro."""
R_Event005_MES#0,"""Las Clasificaciones de interrupción han sido actualizadas. Por favor verifique en un visiofono cerca. El participante actual mejor clasificado es <%TSE_AllTopPlayer_Name>. Felicidades."""
Q_Event006_MES#0,"""¡Hay una <red>emergencia<c>!, Numerosos Darkers se están acercando a la flota ARKS!"""
Q_Event007_MES#0,"""¡Hay una <red>emergencia<c>! Una nave ARKS ¡Ha sido invadida por los Darkers! todos los ARKS, por favor informen al asesor de misiones para iniciar una operación de rescate urgente!"""
W_Event008_MES#0,"""El conteo semanal de clasificación ha terminado! El recuento de los resultados comenzara ahora. Por favor espere."""
W_Event009_MES#0,"""Los resultados de la clasificación semanal se han actualizado! Por favor, consulte los detalles en el visiphone mas cercano."""
RD_Event001_MES#0,"""¡Hay una <red>emergencia!<c> Dark Falz se acerca a las flotas ARKS!"""
RD_Event002_MES#0,"""¡Hay una <red>emergencia!<c> Dark Falz está atacando las flotas ARKS! Todo el personal, contraataquen de inmediato!"""
RD_Event003_MES#0,"""La tasa de derrota de los objetivos brazos de Dark Falz van en 0 %! la energia de Dark Falz no se ha detenido. Se espera que todos los ARKS lo den todo!"""
RD_Event004_MES#0,"""La tasa de derrota contra los brazos de Dark falz van en 20% de la meta! la energia de Dark Falz no se ha detenido. ARKS vayan con todo!"""
A_Event001_MES#0,"""Los ARKS se estan preparando para una investigación a gran escala de lecturas anomalas en las profundidades del espacio."""
A_Event002_MES#0,"""La misión de emergencia está disponible. Estamos llevando a cabo una investigación a gran escala de una anomalia en las profundidades del espacio. Por favor, visite un asesor de misiones para participar en la misión."""
D_Event001_MES#0,"""¡Hay una <red>emergencia!<c> numerosos Darkers se estan acercando a las bases mineras de Lillipa!"""
D_Event002_MES#0,"""¡Hay una <red>emergencia!<c> la base minera de Lillipa está siendo atacada por Darkers! Todos los ARKS, por favor informen al asesor de misiones para iniciar una operación de defensa urgente!"""
D_Event003_MES#0,"""¡Hay una <red>emergencia!<c> numerosos Darkers se estan acercando a la primer base minera de Lillipa!"""
D_Event004_MES#0,"""¡Hay una <red>emergencia!<c> la primer base minera de Lillipa está siendo atacada por Darkers! Todos los operarios ARKS, por favor informen al asesor de misiones para iniciar una operación de defensa urgente!"""
D_Event005_MES#0,"""¡Hay una <red>emergencia!<c> numerosos Darkers se estan acercando a la segunda base minera de Lillipa!"""
D_Event006_MES#0,"""¡Hay una <red>emergencia!<c> la segunda base minera de Lillipa está siendo atacada por Darkers! Todos los operarios ARKS, por favor informen al asesor de misiones para iniciar una operación de defensa urgente!"""
D_Event007_MES#0,"""¡Hay una <red>emergencia!<c> Darkers se estan acercando a la tercer base minera de Lillipa!"""
D_Event008_MES#0,"""¡Hay una <red>emergencia!<c> la tercera base minera de Lillipa ¡Esta siendo atacada por Darkers! todos los operarios ARKS, por favor informen al asesor de misiones para iniciar una operación de defensa urgente!"""
LS_Event001_MES#0,"""¡Pronto estaremos realizando un concierto en el área comercial!, ¡Esperamos verlos pronto a todos disfrutando de el!"""
LS_Event002_MES#0,"""¡Un concierto se está presentando en el área comercial!, ¡No se lo pierdan!"""
LS_Event003_MES#0,"""¡Gracias a todos por escucharme!, ¡Hasta la proxima!, ¡Esto fue Quna nos despedimos!"""
RD_Event005_MES#0,"""Tasa de derrota, brazo de Dark Falz va en 40% de la meta! Dark Falz está cada vez mas debil. ¡Ahora es nuestra oportunidad!"""
RD_Event006_MES#0,"""Tasa de derrota, brazos de Dark Falz va en 60% de la meta! Excelente progreso. ¡Por favor, mantengan ese buen trabajo!."""
RD_Event007_MES#0,"""Tasa de derrota, brazos de Dark Falz va en 80% de la meta! Se confirma daño masivo contra Dark Falz. ¡Por favor, acáben con el!."""
RD_Event008_MES#0,"""Se nos acába rápido el tiempo de ataque. No seremos capaces de completar nuestro objetivo. Todos los ARKS, den su maximo esfuerzo."""
RD_Event009_MES#0,"""Se nos acába rápido el tiempo de ataque. No seremos capaces de completar nuestro objetivo. Todos los ARKS, den su maximo esfuerzo."""
RD_Event010_MES#0,"""Se nos acába rápido el tiempo de ataque. No seremos capaces de completar nuestro objetivo. Todos los ARKS, den su maximo esfuerzo."""
RD_Event011_MES#0,"""Se nos acába rápido el tiempo de ataque. No seremos capaces de completar nuestro objetivo. Todos los ARKS, den su maximo esfuerzo."""
RD_Event012_MES#0,"""Ya estamos por cumplir el plazo. Podemos empezar la segunda fase si llegamos a nuestra meta para entonces. Preparense para el ataque final."""
RD_Event013_MES#0,"""Nuestro ataque inicial ha fallado... Pueden abandonar la nave ARKS atacada; todas las naves ARKS sobrevivientes deben retirarse a una zona segura."""
RD_Event014_MES#0,"""¡Asalto inicial exitoso!, ¡Comenzando fase dos!, ¡Acerquense y Ataquen a Dark Falz mientras este debilitado!"""
RD_Event015_MES#0,"""Dark Falz ha sido repelido. Agradecemos hoy a todos los ARKS por su cooperación."""
RD_Event016_MES#0,"""Oh, entonces tu eres el exterminador de plagas? Entonces no tendras ningún problema exterminando <%Sint64Arg1> a través de las naves durante 30 minutos!"""
RD_Event017_MES#0,"""Este es un aviso de emergencia!, Nuestras lecturas indican que Dark Falz Luther se acerca, junto con una antigua nave ARKS infectada."""
RD_Event018_MES#0,"""Aviso de la directiva de emergencia. Ahora estamos empezando un ataque total contra los apostoles de Dark Falz Luther. Todos los operarios ARKS que se preparen para luchar en la antigua nave ARKS infestada."""
RD_Event019_MES#0,"""Nos aproximamos rapidamente al plazo limite para está operación. A pesar de que ya hemos logrado nuestro objetivo, se debe mantener el asalto."""
RD_Event020_MES#0,"""Nos aproximamos rapidamente al plazo limite para está operación. Todavia no hemos llegado a nuestro objetivo. Contamos con todos los agentes ARKS que asistan a la operación."""
RD_Event021_MES#0,"""Hemos fijado las coordenadas de Dark Falz Luther. Parece estar utilizando los restos de sus apostoles para ahorrar energia. Todos los operarios ARKS partan inmediatamente y destruyanlo."""
RD_Event022_MES#0,"""Hemos fijado las coordenadas de Dark Falz Luther. Todos los operarios ARKS partan inmediatamente y destruyanlo."""
RD_Event023_MES#0,"""Actualmente estamos luchando contra Dark Falz Luther. Solicitamos que todos los operarios ARKS se dirigan al asesor de misiones para unirse a la lucha."""
Q_Event001_10_MES#0,"""Los ARKS estan preparandose para una operación a gran escala en Harkotan en la region de Shironia."""
Q_Event001_11_MES#0,"""Los ARKS estan preparandose para una operación a gran escala en Harkotan en la region de Kuron."""
Q_Event001_55_MES#0,"""A todos los ARKS por favor prepararse para una operación de eliminación a gran escala sobre Harkotan."""
Q_Event010_MES#0,"""¡Hay una <red>emergencia!<c> Dark Falz Elder y Dark Falz Luther se estan acercando a las proximidades de las flotas ARKS."""
D_Event009_MES#0,"""¡A todos los ARKS!, ¡Soy Necky!, para probar su fuerza les pondre un desafio, y a continuación me unire a ustedes!"""
D_Event010_MES#0,"""Ahora con el asesor de misiones ¡Podran aceptar mi desafio! Intenten unirse"""
D_Event011_MES#0,"""¡A todos los ARKS! gracias por aceptar mi desafio, ¡Nos veremos luego en otra oportunidad!"""
D_Event012_MES#0,"""Emisión urgente. Un anuncio se hará en breve para la participación de todos los ARKS en una operación especial. Por favor manténgase al tanto."""
D_Event013_MES#0,"""Misión urgente. Se ha realizado una solicitud para la participación de todos los ARKS en una operación especial. Por favor únase a la operación desde el asesor de misiones más cercano."""
D_Event014_MES#0,"""アークスのみんな！\u3000オレはポリタン！\u3000ＶＲ空間を借りてクエストを作ったぞ。もうすぐ開園だから参加してくれよっ！"""
D_Event015_MES#0,"""ポリタンランドの開園だっ！\u3000クエストカウンターから参加出来るからぜひ参加してくれよなっ！"""
D_Event016_MES#0,"""今日はポリタンランドに遊びに来てくれてありがとう！\u3000また次があれば参加してくれよなっ！"""
D_Event017_MES#0,"""現在、ＶＲ空間にて全アークス一斉参加の特殊訓練を準備中です。"""
D_Event018_MES#0,"""緊急任務発生。全アークス一斉参加による特殊訓練実施中。アークス各員はクエストカウンターより、任務への参加を。"""
M_Event001_MES#0,"""¡Una pelicula en vivo está por comenzar en el área comercial!."""
M_Event002_MES#0,"""Una pelicula en vivo se está mostrando en el área comercial."""
Q_TwiceEvent001_01_MES#0,"""Los ARKS estan preparando multiples operaciones a gran escala en respuesta a la actividad del enemigo en los Bosques de Naberius."""
Q_TwiceEvent001_02_MES#0,"""Los ARKS estan preparando multiples operaciones a gran escala en respuesta a la actividad del enemigo en la Tundra de Naberius."""
Q_TwiceEvent001_03_MES#0,"""Los ARKS estan preparando multiples operaciones a gran escala en respuesta a la actividad del enemigo en las Ruinas de Naberius."""
Q_TwiceEvent001_04_MES#0,"""Los ARKS estan preparando multiples operaciones a gran escala en respuesta a la actividad del enemigo en las Cavernas de Amduscia."""
Q_TwiceEvent001_05_MES#0,"""Los ARKS estan preparando multiples operaciones a gran escala en respuesta a la actividad del enemigo en los Continentes Flotantes de Amduscia."""
Q_TwiceEvent001_06_MES#0,"""Los ARKS estan preparando multiples operaciones a gran escala en respuesta a la actividad del enemigo en los Desiertos de Lillipa."""
Q_TwiceEvent001_07_MES#0,"""Los ARKS estan preparando multiples operaciones a gran escala en respuesta a la actividad del enemigo en los Tuneles de Lillipa."""
Q_TwiceEvent001_08_MES#0,"""Los ARKS estan preparando multiples operaciones a gran escala en respuesta a la actividad del enemigo en las Canteras de Lillipa."""
Q_TwiceEvent001_09_MES#0,"""Los ARKS estan preparando multiples operaciones a gran escala en respuesta a la actividad del enemigo en la Nave ARKS corrompida."""
Q_TwiceEvent001_10_MES#0,"""Los ARKS estan preparando multiples operaciones a gran escala en respuesta a la actividad del enemigo en Harkotan en la region de Shironia."""
Q_TwiceEvent001_51_MES#0,"""Se informa a todos los ARKS que se preparen para multiples operaciones de supresión a gran escala en Naberius."""
Q_TwiceEvent001_52_MES#0,"""Se informa a todos los ARKS que se preparen para multiples operaciones de supresión a gran escala en Amduscia."""
Q_TwiceEvent001_53_MES#0,"""Se informa a todos los ARKS que se preparen para multiples operaciones de supresión a gran escala en Lillipa."""
Q_TwiceEvent001_54_MES#0,"""Se informa a todos los ARKS que se preparen para multiples operaciones de supresión a gran escala en Wopal."""
Q_TwiceEvent001_55_MES#0,"""Se informa a todos los ARKS que se preparen para multiples operaciones de supresión a gran escala en Harkotan."""
Q_TwiceEvent001_90_MES#0,"""Los ARKS estan preparando multiples operaciones a gran escala en respuesta a la actividad enemiga en varias areas."""
Q_TwiceEvent001_91_MES#0,"""Los ARKS estan preparando multiples operaciones a gran escala en respuesta a la actividad enemiga en varios planetas."""
Q_TwiceEvent002_MES#0,"""La primer misión de emergencia está activada. Estamos llevando a cabo operaciones a gran escala con la participación de todos los agentes ARKS. Por favor, dirijase a un asesor de misiones para participar en la misión."""
Q_TwiceEvent003_MES#0,"""La segunda misión de emergencia está activada. Estamos llevando a cabo operaciones a gran escala con la participación de todos los agentes ARKS. Por favor, dirijase a un asesor de misiones para participar en la misión."""
D_TwiceEvent001_MES#0,"""Este es un aviso de emergencia para todos los operarios. Los Darkers estan convergiendo en varias Bases Mineras de Lillipa. Prepararse para las operaciones defensivas."""
D_TwiceEvent002_1_MES#0,"""La primera operación defensiva de la emergencia está en marcha. La Primer Base Minera de Lillipa está siendo atacado por los Darkers. Todos los operarios ARKS, por favor, unirse desde el asesor de misiones."""
D_TwiceEvent003_1_MES#0,"""La primera operación defensiva de la emergencia está en marcha. La Segunda Base Minera de Lillipa está siendo atacado por los Darkers. Todos los operarios ARKS, por favor, unirse desde el asesor de misiones."""
D_TwiceEvent004_1_MES#0,"""La primera operación defensiva de la emergencia está en marcha. La Tercer Base Minera de Lillipa está siendo atacado por los Darkers. Todos los operarios ARKS, por favor, unirse desde el asesor de misiones."""
D_TwiceEvent002_2_MES#0,"""La segunda operación defensiva de la emergencia está en marcha. LA Primer Base Minera de Lillipa está siendo atacado por los Darkers. Todos los operarios ARKS, por favor, unirse desde el asesor de misiones."""
D_TwiceEvent003_2_MES#0,"""La segunda operación defensiva de la emergencia está en marcha. La Segunda Base Minera de Lillipa está siendo atacado por los Darkers. Todos los operarios ARKS, por favor, unirse desde el asesor de misiones."""
D_TwiceEvent004_2_MES#0,"""La segunda operación defensiva de la emergencia está en marcha. La Tercer Base Minera de Lillipa está siendo atacado por los Darkers. Todos los operarios ARKS, por favor, unirse desde el asesor de misiones."""
RD_Event024_MES#0,"""Este es un aviso de emergencia. Hemos detectado un aumento de tensión en Harkotan. Un evento de clase \""Magatsu\"", es inminente."""
RD_Event025_MES#0,"""Esto es una emergencia. Magatsu ha aparecido y está invadiendo la provincia de Shironia Harkotan. Todo el personal, preparese para luchar en la intercepción"""
RD_Event026_MES#0,"""Magatsu ha sido repelido. Gracias por su cooperación."""
RD_Event027_MES#0,"""Hay una <red>emergencia.<c> Dirijanse a Harkotan para perseguir a Magatsu. Todos los operarios ARKS, dirigirse inmediatamente a buscar y destruir a Magatsu."""
RD_Event028_MES#0,"""La persecución de Magatsu ha terminado. Agradecemos a todos los operarios ARKS por su cooperación."""
RD_Event029_MES#0,"""¡Hay una <red>emergencia!<c> Tenemos las lecturas de 【Profound Darkness】 en aumento por los cielos de Naberius."""
RD_Event030_MES#0,"""¡Hay una <red>emergencia!<c> Una operación para destruir a 【Profound Darkness】 está en marcha. A todos los operarios ARKS, informe al asesor de misiones para participar en está misión urgente."""
RD_Event031_MES#0,"""【Profound Darkness】 ha sido repelido. A todos los operarios ARKS, gracias por su cooperación."""
RD_Event040_MES#0,"""¡Hay una <red>emergencia!<c> Estamos recibiendo lecturas de Dark Falz Apprentice en Lillipa. Todos los operarios ARKS deben prepararse para participar. """
RD_Event041_MES#0,"""¡Hay una <red>emergencia!<c> Comenzar la Operación Para volver a sellar a Dark Falz Apprentice. Todos los operarios ARKS , por favor dirijase a la base de Minera de Lillipa desde el asesor de misiones."""
RD_Event042_MES#0,"""Dark Falz Apprentice ha sido exitosamente re-sellado. A todos los operarios ARKS, gracias por su cooperación."""
RD_Event043_MES#0,"""¡Hay una <red>emergencia!<c> En la Tierra, se ha confirmado la aparición de una super-reacción. Actualmente se está preparando la estrategia para el ataque."""
RD_Event044_MES#0,"""Anuncio oficial de <red>emergencia<c>. Enorme Super-Reacción generada en la tierra, se iniciara la estrategia del combate. Se requiere a todos los miembros ARKS para que participen en la misión desde el asesor de misiones ."""
LS_Event004_MES#0,"""Arks de todo el mundo, nuestra embajadora global Sachiko Kobayashi. Realizara un concierto en vivo en el escenario en el área comercial. Esperemos que lo disfruten"""
LS_Event005_MES#0,"""Arks de todo el mundo, nuestra embajadora global Sachiko Kobayashi. Está por empezar el concierto en el escenario en el área comercial. Esperemos que lo disfruten"""
RD_Event045_MES#0,"""Emisión de emergencia. Se han detectado lecturas de éter anormales en la luna de la Tierra. Los preparativos militares están en marcha."""
RD_Event046_MES#0,"""Emisión de emergencia. Una operación para derrotar a ESC-A Falz Mother en la luna de la Tierra ha comenzado. Todos los ARKS, por favor únase a la operación desde el asesor de misiones más cercano."""
RD_Event047_MES#0,"""ESC-A Falz Mother ha sido derrotada. Todos los ARKS, gracias por su cooperación."""
RD_Event048_MES#0,"""Emisión de emergencia. Hemos detectado señales de Deus ESC-A apareciendo en la Tierra. Los preparativos militares están en marcha."""
RD_Event049_MES#0,"""Emisión de emergencia. La operación para derrotar a Deus ESC-A en la Tierra ha comenzado. Todos los operarios ARKS, por favor únase a la operación desde el asesor de misiones más cercano."""
RD_Event050_MES#0,"""Deus ESC-A ha reaparecido en la Tierra. Hemos comenzado una nueva operación restringida para agentes ARKS de Lv.80 para derrotarlo. Por favor únase a la operación desde el asesor de misiones más cercano para comenzar la operación."""
RD_Event051_MES#0,"""Deus ESC-A ha sido sometido con éxito. Gracias por su cooperación."""
RD_Event052_MES#0,"""Emisión de emergencia. Hemos detectado señales de un brote masivo de Phantom en la Tierra. Todos los operarios ARKS de Lv.80, por favor únase a la operación desde el asesor de misiones más cercano para comenzar nuestra operación estratégica."""
RD_Event053_MES#0,"""Hemos logrado repeler el brote masivo de Phantom en la Tierra. Damos las gracias a cada ARKS por su cooperación."""
Q_Event001_56_MES#0,"""Contactando a todo el mundo. Hemos detectado un anormal cambio en Omega, el mundo diferente. Prontamente puede ocurrir una gran batalla. Por favor esten preparados."""
Q_Event001_57_MES#0,"""Transmisión de emergencia. Un accidente ocurrió en Omega. Parece que se produjo una gran batalla. Ve tan pronto como sea posible."""
Q_Event001_58_MES#0,"""La batalla en Omega ha cesado. Gracias a todos por su cooperación con la operación."""
RD_Event054_MES#0,"""Contactando a todos. Hemos confirmado la aparición del Crimson Evil Dragon en Omega. Prepárense y salgan tan pronto como sea posible."""
RD_Event055_MES#0,"""Transmisión de emergencia. Se ha confirmado que el Crimson Evil Dragon fue visto cerca de las ruinas del antiguo castillo de Cuent. Rechaza esta amenaza lo antes posible."""
RD_Event056_MES#0,"""Parece que el Evil Dragon ha reanudado sus ataques. Todos los operativos de ARKS que cumplan con los requisitos específicos, únanse a la operación en su Asistente de misiones más cercano para comenzar nuestra operación estratégica."""
RD_Event057_MES#0,"""Parece que el Evil Dragon ha sido rechazado. ¡Gracias por su cooperación!"""
Q_Event001_59_MES#0,"""Todos los ARKS tienen instrucciones de prepararse para una operación de supresión a gran escala en la Tierra."""
RD_Event058_MES#0,"""Contactando a todos. Hemos confirmado informes de que Dark Falz 【Loser】 apareció en Omega. Por favor, prepárense y salga tan pronto como sea posible."""
RD_Event059_MES#0,"""Transmisión de emergencia. Tenemos informes de que Dark Falz 【Loser】 apareció en Omega. Prepárese de inmediato y supere esta amenaza."""
RD_Event060_MES#0,"""La amenaza de Dark Falz se ha calmado. Gracias por su cooperación con la operación."""
RD_Event061_MES#0,"""Parece que Dark Falz 【Loser】 ha reanudado sus ataques. Todos los operativos de ARKS que cumplan con los requisitos específicos, únanse a la operación en su Asistente de misiones más cercano para comenzar nuestra operación estratégica."""
RD_Event062_MES#0,"""Contactando a todos. Hemos confirmado informes de que Dark Falz 【Apprentice】 apareció en Omega. Por favor, prepárense y parta tan pronto como sea posible."""
RD_Event063_MES#0,"""Transmisión de emergencia. Tenemos informes de que Dark Falz 【Apprentice】 apareció en Omega. Por favor preparate inmediatamente y acaba con esta amenaza."""
RD_Event064_MES#0,"""La operación para derrotar a Dark Falz 【Apprentice】 ha concluido. Gracias por su cooperación con la operación."""
RD_Event065_MES#0,"""Transmisión de emergencia. Hemos detectado lecturas anormales de Ether que provienen de la Luna y de la Tierra. Los preparativos estan en marcha."""
