tut_006207#0,"""레스타 사인"""
tut_006314#0,"""패션 티켓"""
tut_006315#0,"""마그"""
tut_006316#0,"""프리셋 능력"""
tut_006318#0,"""스크래치"""
tut_006319#0,"""아이템 교환 샵"""
tut_006320#0,"""칭호"""
tut_006321#0,"""전투 섹션"""
tut_006322#0,"""서브클래스"""
tut_006324#0,"""PSE"""
tut_006325#0,"""레어 에너미"""
tut_006326#0,"""특수 능력 추가"""
tut_006329#0,"""잠재 능력 해방"""
tut_006330#0,"""한계 돌파"""
tut_006331#0,"""리전 마그"""
tut_006333#0,"""퀘스트 카운터"""
tut_006335#0,"""챌린지 설정: 코쿤"""
tut_006336#0,"""드롬"""
tut_006337#0,"""타워"""
tut_006338#0,"""인핸스드 에너미"""
tut_006339#0,"""멀티웨폰"""
tut_006340#0,"""배틀디아: 옐로"""
tut_006341#0,"""월드 트라이얼"""
tut_006342#0,"""긴급 퀘스트"""
tut_006343#0,"""기간틱스"""
tut_006344#0,"""프로텍트 컨테이너"""
tut_006350#0,"""물리 다운/속성 다운"""
tut_006351#0,"""배틀디아: 퍼플"""
tut_006352#0,"""날씨에 따른 에너미 강화"""
tut_006353#0,"""데이나이트 시프트"""
tut_006354#0,"""보스 에너미"""
tut_006356#0,"""테크닉"""
tut_006357#0,"""PA (포톤 아츠)"""
tut_006358#0,"""이동 액션 조작"""
tut_006359#0,"""공격 액션 조작"""
tut_006360#0,"""리전"""
tut_006361#0,"""어셈블리 포인트 소탕"""
tut_006362#0,"""돌즈 관제기 트라이얼"""
tut_006363#0,"""퀘스트 즉시개시 제안"""
tut_006364#0,"""다운 게이지"""
tut_006365#0,"""매칭"""
tut_006366#0,"""긴급 퀘스트의 수주"""
tut_006367#0,"""메시지 팩"""
tut_006368#0,"""업 드래프터"""
tut_006369#0,"""액티브 소나"""
tut_006370#0,"""에너미 토벌 트라이얼"""
tut_006371#0,"""스텔라 기프트 트라이얼"""
tut_006372#0,"""방위 트라이얼"""
tut_006378#0,"""패스워드 매칭"""
tut_006379#0,"""마이 샵"""
tut_006390#0,"""돌즈"""
tut_006397#0,"""클래스 스킬"""
tut_006398#0,"""전투력 올리는 법 1"""
tut_006399#0,"""간단조작"""
tut_006403#0,"""드레드 에너미"""
tut_006404#0,"""하이랭크 섹션"""
tut_006405#0,"""스텔라 그레이스 회수 작전"""
tut_006408#0,"""전투력 올리는 법 2"""
tut_006409#0,"""전투력 올리는 법 3"""
tut_006411#0,"""자원 채굴 리그 방위전 : 에아리오"""
tut_006412#0,"""딜리버리 디바이스"""
tut_006413#0,"""돌즈 웨폰"""
tut_006414#0,"""콜렉트 사인"""
tut_006415#0,"""자원 채굴 리그의 기능"""
tut_006416#0,"""서든 인시던트"""
tut_006418#0,"""모바일 캐논"""
tut_006419#0,"""어드바이스"""
tut_006421#0,"""브레이버"""
tut_006422#0,"""발검(카타나)"""
tut_006423#0,"""강궁(불릿보우)"""
tut_006431#0,"""바운서"""
tut_006432#0,"""마장각(제트 부츠)"""
tut_006433#0,"""비상검(듀얼 블레이드)"""
tut_006434#0,"""알터즈"""
tut_006435#0,"""포마즈"""
tut_006451#0,"""낙법"""
tut_006452#0,"""랍피"""
tut_006453#0,"""N-엑스큐브"""
tut_006454#0,"""리아메이의 사이드 태스크"""
tut_006455#0,"""룸 매칭 설정"""
tut_006456#0,"""폭풍 속 에너미 토벌 트라이얼"""
tut_006457#0,"""트랜저브 파괴 트라이얼"""
tut_006462#0,"""스타레스"""
tut_006463#0,"""프리미엄 세트"""
tut_006465#0,"""컬러 배리언트 무기"""
tut_006466#0,"""마그 색상 컬러"""
tut_006467#0,"""로날딘의 태스크"""
tut_006468#0,"""상태이상"""
tut_006471#0,"""플로팅 보드"""
tut_006472#0,"""퀵 메뉴의 커스터마이즈"""
tut_006473#0,"""프렌드/팀 멤버 합류 기능"""
tut_006474#0,"""파티 멤버 모집"""
tut_006476#0,"""전투력 ２"""
tut_006477#0,"""전투력 올리는 법 ４"""
tut_006478#0,"""전투력 올리는 법 ５"""
tut_006479#0,"""마그 주크박스"""
tut_006480#0,"""블루 포탈: 베리어블"""
tut_006483#0,"""촬영 전용 룸"""
tut_006484#0,"""캡탄"""
tut_006485#0,"""이퀄라이징 에너미"""
tut_006486#0,"""트리니테스"""
tut_006487#0,"""챌린지 설정"""
tut_006488#0,"""한랭지 에너미 토벌 트라이얼"""
tut_006489#0,"""프로즌 컨테이너"""
tut_006490#0,"""돌즈 수송 물자 탈취 트라이얼"""
tut_006491#0,"""복합 속성 테크닉"""
tut_006492#0,"""메갈로틱스"""
tut_006493#0,"""투척 액션"""
tut_006495#0,"""콜드 포톤 융기 트라이얼"""
tut_006496#0,"""눈보라 폭풍 속 에너미 토벌 트라이얼"""
tut_006497#0,"""거대 고드름"""
tut_006498#0,"""저은 데미지 내성 올리는 법"""
tut_006499#0,"""에인션트 에너미"""
tut_006500#0,"""필드 레이스"""
tut_006501#0,"""필드 레이스: 주파"""
tut_006502#0,"""팀 태스크"""
tut_006503#0,"""필드 레이스: 판조"""
tut_006504#0,"""아이템 교환: 크바리스"""
tut_006505#0,"""암즈 리파이너"""
tut_006506#0,"""팀"""
tut_006507#0,"""드랍 아이템 자동 매각 설정"""
tut_006508#0,"""트레저 샵"""
tut_006509#0,"""돋보기 모드"""
tut_006510#0,"""메뉴 순서 변경 기능"""
tut_006511#0,"""파티 멤버 집합"""
tut_006512#0,"""저온 데미지 내성 １"""
tut_006513#0,"""저온 데미지 내성 ２"""
tut_006514#0,"""저온 데미지 내성 ３"""
tut_006515#0,"""레이요르드 협만"""
tut_006520#0,"""아이템 리사이클"""
tut_006523#0,"""웨이커"""
tut_006524#0,"""벙커 Type.1"""
tut_006526#0,"""애드온 스킬"""
tut_006528#0,"""아크스 레코드"""
tut_006529#0,"""주구 (택트)"""
tut_006531#0,"""에아리오에서 입수할 수 있는 광석"""
tut_006532#0,"""리템에서 입수할 수 있는 광석"""
tut_006533#0,"""크바리스에서 입수할 수 있는 광석"""
tut_006535#0,"""플레이 네비게이터"""
tut_006539#0,"""플레이 리포트"""
tut_006540#0,"""적정 거리"""
tut_006550#0,"""제네시스 포인트 교환 샵"""
tut_006551#0,"""각 컬러 설정 일괄 관리"""
tut_006552#0,"""마이 세트"""
tut_006554#0,"""팀에 가입하는 방법"""
tut_006555#0,"""팀원 모집 중인 팀 찾기"""
tut_006556#0,"""게임 가이드"""
tut_006557#0,"""코디 카탈로그"""
tut_006558#0,"""갖고 싶은 물건 리스트"""
tut_006559#0,"""화산탄"""
tut_006560#0,"""군광석"""
tut_006561#0,"""용암 웅덩이"""
tut_006562#0,"""인비저블 박스"""
tut_006563#0,"""스카우트 와스프"""
tut_006564#0,"""리콘 기간츠"""
tut_006565#0,"""존넬 파괴 트라이얼"""
tut_006566#0,"""스티아에서 구할 수 있는 광석"""
tut_006569#0,"""노이젠 플랜트"""
tut_006570#0,"""포톤 차지 사인"""
tut_006571#0,"""익스플로시브 디코이"""
tut_006572#0,"""스카이 호퍼／스카이 차저"""
tut_006573#0,"""플라즈마 트랩"""
tut_006577#0,"""할피리아 호수의 전투"""
tut_006578#0,"""할피리아 호수의 전투"""
tut_006579#0,"""모바일 캐논 M2"""
tut_006581#0,"""팀 게시판"""
tut_006582#0,"""미션 패스 창고"""
tut_006583#0,"""크리에이티브 스페이스"""
tut_006584#0,"""편집 모드"""
tut_006585#0,"""빌드 파츠 설치"""
tut_006586#0,"""편집 모드 종료"""
tut_006587#0,"""크리에이티브 스페이스NPC"""
tut_006588#0,"""제네시스 포인트"""
tut_006589#0,"""빌드 파츠 입수 방법"""
tut_006590#0,"""빌드 파츠 등록"""
tut_006591#0,"""빌드 파츠 회전"""
tut_006592#0,"""빌드 파츠 스케일"""
tut_006593#0,"""빌드 파츠 컬러 변경"""
tut_006594#0,"""지형 업/다운"""
tut_006595#0,"""빌드 팔레트"""
tut_006596#0,"""설계도"""
tut_006597#0,"""설계도 다운로드"""
tut_006598#0,"""빌드 메뉴"""
tut_006599#0,"""빌드 옵션"""
tut_006600#0,"""최대 설치 거리"""
tut_006601#0,"""크리에이티브 스페이스 단말"""
tut_006602#0,"""SONIC 콜라보"""
tut_006605#0,"""크리에이티브 스페이스"""
tut_006606#0,"""루시엘"""
tut_006607#0,"""마이샵 칭호 및 고급 기능"""
tut_006608#0,"""슬레이어"""
tut_006609#0,"""총검 (건 슬래시)"""
tut_006610#0,"""스타레스"""
tut_006611#0,"""소재 창고"""
tut_006612#0,"""클래스 레벨 업"""
tut_006613#0,"""모든 트레이니아 답파"""
tut_006614#0,"""『NGS』스토리 진행 티켓"""
tut_006615#0,"""셀카 모드"""
tut_006616#0,"""콜라보 아이콘"""
tut_006617#0,"""이벤트 응모 관련 표시 설정"""
tut_006618#0,"""빌드 파츠 삭제"""
tut_006619#0,"""이니셜 텔레포터"""
tut_006620#0,"""공개 정보 설정"""
tut_006621#0,"""PSO2 11주년 이벤트 개요"""
tut_006622#0,"""계절 이벤트 한정 트라이얼"""
tut_006623#0,"""마이닝"""
tut_006624#0,"""에아리오 점프 패드"""
tut_006625#0,"""힌드라스 릴리"""
tut_006626#0,"""할파 환경 실험구역 조사②"""
tut_006627#0,"""듀얼 퀘스트"""
tut_006628#0,"""포터블 홀로그램"""
tut_006629#0,"""스토리 6장"""
tut_006630#0,"""밤 로드 에너미"""
tut_006631#0,"""글로서드 에너미"""
tut_006632#0,"""중요 목표 토벌 임무"""
tut_006633#0,"""루이나스"""
tut_006635#0,"""바이탈 게이지 디자인 변경"""
tut_006636#0,"""프리셋 능력 강화"""
tut_006637#0,"""아이템 교환 샵에서 교환하는 방법"""
tut_006638#0,"""팀 스페이스"""
tut_006639#0,"""강뢰역 에너미 토벌 트라이얼"""
tut_006640#0,"""최심부의 트라이얼과 보상"""
tut_006641#0,"""단시간 협소지역 에너미 토벌"""
tut_006642#0,"""팀 마그"""
tut_006643#0,"""N-팀 포인트"""
tut_006644#0,"""지오 에너미"""
tut_006645#0,"""테임즈 포획 트라이얼"""
tut_006646#0,"""할파 환경 실험구역 조사①"""
tut_006647#0,"""루프 마크아드의 강력한 스타레스"""
tut_006648#0,"""팀 멤버 모집"""
tut_006649#0,"""헌티드 도메인"""
tut_006650#0,"""기르바 양동 트라이얼"""
tut_006651#0,"""테크아츠 커스터마이즈"""
tut_006653#0,"""어트랙팅 소서"""
tut_006658#0,"""리워드 박스"""
tut_006661#0,"""최근 업데이트된 팀 스페이스"""
tut_006663#0,"""적색계"""
tut_006664#0,"""타임 익스텐션 퀘스트"""
tut_006666#0,"""그랜드 토치 스탠드/토치 스탠드"""
tut_006667#0,"""라인 스트라이크에 대하여"""
tut_006668#0,"""라인 스트라이크의 덱"""
tut_006669#0,"""라인 스트라이크의 대전 규칙 종류"""
tut_006670#0,"""카드 스크래치"""
tut_006671#0,"""라인 스트라이크의 게임 룰"""
tut_006673#0,"""버스트 체인지"""
tut_006675#0,"""빌드 파츠 설치 미세 조정"""
tut_006676#0,"""언락 사인 회수 트라이얼"""
tut_006678#0,"""레거시 체스트"""
tut_006680#0,"""원더링 체스트"""
tut_006682#0,"""서프라이즈 체스트"""
tut_006683#0,"""시가지 퀘스트에 대하여 (콘프로용)"""
tut_006684#0,"""네임리스 시티 거주 구역 조사"""
tut_006686#0,"""스토리 7장"""
tut_006687#0,"""모든 특수 능력 이식"""
tut_006688#0,"""EX 특수 능력 이식"""
unknown#0,"""불명"""
player_move#0,"""캐릭터의 액션/조작"""
base_system#0,"""시스템/기타"""
equip_wepon_type#0,"""무기의 종류"""
battle#0,"""전투 기본조작"""
skill_classskill#0,"""클래스/스킬"""
skill_class#0,"""클래스 스킬"""
adventure#0,"""모험"""
quest_basic#0,"""탐색 섹션/전투 섹션"""
urgency#0,"""긴급 퀘스트"""
communication#0,"""커뮤니케이션"""
enemy#0,"""에너미"""
datanum#0,"""$(0)"""
palettes#0,"""메인 팔레트/서브 팔레트"""
battle_power#0,"""전투력"""
class#0,"""클래스"""
trial#0,"""트라이얼"""
urgency_defence#0,"""자원 채굴 리그 방위전"""
item_shop#0,"""아이템/샵"""
weapons_enhancement#0,"""장비 강화"""
limited_time_event#0,"""기간 한정 이벤트"""
world_trial#0,"""월드 트라이얼"""
field_race#0,"""필드 레이스"""
rayjord_gorge#0,"""레이요르드 협만"""
noisen_plant#0,"""노이젠 플랜트"""
df_thirdform_quest#0,"""할피리아 호수의 전투"""
creative_space#0,"""크리에이티브 스페이스"""
grow_up_quest#0,"""루시엘 탐험"""
item#0,"""아이템"""
shop#0,"""샵"""
esthetic#0,"""에스테"""
special_area#0,"""특정 섹션"""
content_on_the_field#0,"""필드 컨텐츠"""
order_quest#0,"""기타 퀘스트"""
quest_related#0,"""퀘스트 카운터"""
other#0,"""기타"""
useful_features#0,"""편의 기능"""
task#0,"""태스크/미션 패스"""
line_duel#0,"""라인 스트라이크"""
urban_area#0,"""네임리스 시티"""
