PlayNav_Unit1_Item1#0,"""Lv.7 도달하기"""
PlayNav_Unit6_Item1#0,"""Lv.20 도달하기"""
PlayNav_Unit6_Index1#0,"""・사이드 태스크를 달성하기<br>・배틀디아를 클리어하기<br>・아래 전투 섹션에서 에너미를 쓰러뜨리기<br>마그너스산 (Rank.2)<br>반포드 연구소 유적 (Rank.2)<br>레졸의 숲"""
PlayNav_Unit6_Item2#0,"""장비를 강화하기"""
PlayNav_Unit6_Index2#0,"""・레어리티 ★4의 무기와 방어구 강화치 +40으로 만들기<br>・각각의 장비에 특수 능력을 4개 추가하기<br>・레어리티 ★4 무기의 잠재 능력을 Lv.3까지 해방시키기"""
PlayNav_Unit6_Item3#0,"""클래스 스킬을 습득하기"""
PlayNav_Unit6_Index3#0,"""・트레이니아를 클리어 하고 스킬 포인트를 얻기<br>・클래스 카운터에서 메인 클래스 및<br>서브 클래스의 클래스 스킬을 총 28개 배우기"""
PlayNav_Unit7_Item1#0,"""Lv.20 도달하기"""
PlayNav_Unit7_Index1#0,"""・사이드 태스크를 달성하기<br>・배틀디아를 클리어하기<br>・아래 전투 섹션에서 에너미를 쓰러뜨리기<br>마그너스산 (Rank.2)<br>반포드 연구소 유적 (Rank.2)<br>레졸의 숲"""
PlayNav_Unit7_Item2#0,"""장비를 강화하기"""
PlayNav_Unit7_Index2#0,"""・레어리티 ★4의 무기와 방어구 강화치 +40으로 만들기<br>・각각의 장비에 특수 능력을 4개 추가하기<br>・레어리티 ★4 무기의 잠재 능력을 Lv.3까지 해방시키기"""
PlayNav_Unit7_Item3#0,"""클래스 스킬을 습득하기"""
PlayNav_Unit7_Index3#0,"""・트레이니아를 클리어 하고 스킬 포인트를 얻기<br>・클래스 카운터에서 메인 클래스 및<br>서브 클래스의 클래스 스킬을 총 34개 배우기"""
PlayNav_Unit8_Item1#0,"""Lv.22 도달하기"""
PlayNav_Unit8_Index1#0,"""・사이드 태스크를 달성하기<br>・아래 전투 섹션에서 에너미를 쓰러뜨리기<br>리템 에르노자"""
PlayNav_Unit8_Item2#0,"""장비를 강화하기"""
PlayNav_Unit8_Index2#0,"""・레어리티 ★4의 무기와 방어구 강화치 +40으로 만들기<br>・각각의 장비에 특수 능력을 4개 추가하기<br>・레어리티 ★4 무기의 잠재 능력을 Lv.3까지 해방시키기"""
PlayNav_Unit8_Item3#0,"""장비를 강화하기 위해 광석을 얻기"""
PlayNav_Unit8_Index3#0,"""・아래의 섹션에서 광석을 얻기<br>포톤 청크: 남부 에아리오<br>포톤 쿼츠: 북부 에아리오<br>듀아로마이트: 남부 에아리오, 서부 에아리오<br>트라이나이트: 북부 에아리오, 남부 리템<br>테드라사이트: 서부 리템, 북부 리템, 루프 마크아드"""
PlayNav_Unit9_Item1#0,"""Lv.24 도달하기"""
PlayNav_Unit9_Index1#0,"""・사이드 태스크를 달성하기<br>・아래 전투 섹션에서 에너미를 쓰러뜨리기<br>리템 에르노자"""
PlayNav_Unit9_Item2#0,"""장비를 강화하기"""
PlayNav_Unit9_Index2#0,"""・레어리티 ★5의 무기와 벙어구를 얻기<br><yellow>※에너미가 드랍하거나 마이 샵을 이용<c><br>・레어리티 ★5의 무기와 방어구를 강화치 +40으로 만들기<br>・각각의 장비에 특수 능력을 4개 추가하기<br>・레어리티 ★5 무기의 잠재 능력을 Lv.3까지 해방시키기"""
PlayNav_Unit9_Item3#0,"""클래스 스킬을 습득하기"""
PlayNav_Unit9_Index3#0,"""・트레이니아를 클리어 하고 스킬 포인트를 얻기<br>・클래스 카운터에서 메인 클래스 및<br>서브 클래스의 클래스 스킬을 총 40개 배우기"""
PlayNav_Unit10_Item1#0,"""Lv.40 도달하기"""
PlayNav_Unit10_Index1#0,"""・사이드 태스크를 달성하기<br>・배틀디아를 클리어하기<br>・아래 전투 섹션에서 에너미를 쓰러뜨리기<br>마그너스산 (Rank.3)<br>반포드 연구소 유적 (Rank.3)<br>레졸의 숲 (Rank.2)"""
PlayNav_Unit10_Item2#0,"""장비를 강화하기"""
PlayNav_Unit10_Index2#0,"""・레어리티 ★5의 무기와 벙어구를 얻기<br><yellow>※에너미가 드랍하거나 마이 샵을 이용<c><br>・레어리티 ★5의 무기와 방어구를 강화치 +40으로 만들기<br>・각 각 장비에\""Ⅱ\""이상의 특수 능력을 4개 추가하기<br>・레어리티 ★5 무기의 잠재 능력을 Lv.3까지 해방시키기"""
PlayNav_Unit10_Item3#0,"""클래스 스킬을 습득하기"""
PlayNav_Unit10_Index3#0,"""・트레이니아를 클리어 하고 스킬 포인트를 얻기<br>・클래스 카운터에서 메인 클래스 및<br>서브 클래스의 클래스 스킬을 총 48개 배우기"""
PlayNav_Unit11_Item1#0,"""Lv.43 도달하기"""
PlayNav_Unit11_Index1#0,"""・사이드 태스크를 달성하기<br>・배틀디아를 클리어하기<br>・아래 전투 섹션에서 에너미를 쓰러뜨리기<br>마그너스산 (Rank.3)<br>반포드 연구소 유적 (Rank.3)<br>레졸의 숲 (Rank.2)"""
PlayNav_Unit11_Item2#0,"""장비를 강화하기"""
PlayNav_Unit11_Index2#0,"""・레어리티 ★5의 무기와 벙어구를 얻기<br><yellow>※에너미가 드랍하거나 마이 샵을 이용<c><br>・레어리티 ★5의 무기와 방어구를 강화치 +40으로 만들기<br>・각 각 장비에\""Ⅱ\""이상의 특수 능력을 4개 추가하기<br>・레어리티 ★5 무기의 잠재 능력을 Lv.3까지 해방시키기"""
PlayNav_Unit11_Item3#0,"""특수 능력 캡슐을 얻기"""
PlayNav_Unit11_Index3#0,"""・아래의 섹션에서 특수 능력 캡슐을 얻기<br>타격 클래스: 마그너스산 (Rank.3)<br>사격 클래스: 마크아드 하층 (Rank.3)<br>법격 클래스: 리템 에르노자 (Rank.3)"""
PlayNav_Unit12_Item1#0,"""Lv.43 도달하기"""
PlayNav_Unit12_Index1#0,"""・사이드 태스크를 달성하기<br>・아래 전투 섹션에서 에너미를 쓰러뜨리기<br>리템 에르노자 (Rank.3)<br>마크아드 하층 (Rank.3)"""
PlayNav_Unit12_Item2#0,"""장비를 강화하기"""
PlayNav_Unit12_Index2#0,"""・레어리티 ★5의 무기와 벙어구를 얻기<br><yellow>※에너미가 드랍하거나 마이 샵을 이용<c><br>・레어리티 ★5의 무기와 방어구를 강화치 +40으로 만들기<br>・각 각 장비에\""Ⅱ\""이상의 특수 능력을 4개 추가하기<br>・레어리티 ★5 무기의 잠재 능력을 Lv.3까지 해방시키기"""
PlayNav_Unit12_Item3#0,"""장비를 강화하기 위해 광석을 얻기"""
PlayNav_Unit12_Index3#0,"""・아래의 섹션에서 광석을 얻기<br>포톤 청크: 남부 에아리오<br>포톤 쿼츠: 북부 에아리오<br>듀아로마이트: 남부 에아리오, 서부 에아리오<br>트라이나이트: 북부 에아리오, 남부 리템<br>테드라사이트: 서부 리템, 북부 리템, 루프 마크아드"""
PlayNav_Unit13_Item1#0,"""Lv.49 도달하기"""
PlayNav_Unit13_Index1#0,"""・사이드 태스크를 달성하기<br>・아래 전투 섹션에서 에너미를 쓰러뜨리기<br>베르가나 유적"""
PlayNav_Unit13_Item2#0,"""장비를 강화하기"""
PlayNav_Unit13_Index2#0,"""・레어리티 ★5의 무기와 벙어구를 얻기<br><yellow>※에너미가 드랍하거나 마이 샵을 이용<c><br>・강화 소재 교환으로 특수 능력 캡슐을 얻기<br>・레어리티 ★5의 무기와 방어구를 강화치 +40으로 만들기<br>・각 각 장비에\""Ⅱ\""이상의 특수 능력을 4개 추가하기<br>・레어리티 ★5 무기의 잠재 능력을 Lv.3까지 해방시키기"""
PlayNav_Unit13_Item3#0,"""클래스 스킬을 습득하기"""
PlayNav_Unit13_Index3#0,"""・트레이니아를 클리어 하고 스킬 포인트를 얻기<br>・클래스 카운터에서 메인 클래스 및<br>서브 클래스의 클래스 스킬을 총 48개 배우기"""
PlayNav_Unit14_Item1#0,"""Lv.60 도달하기"""
PlayNav_Unit14_Index1#0,"""・사이드 태스크를 달성하기<br>・배틀디아를 클리어하기<br>・아래 전투 섹션에서 에너미를 쓰러뜨리기<br>베르가나 유적<br>로스트 센트럴"""
PlayNav_Unit14_Item2#0,"""장비를 강화하기"""
PlayNav_Unit14_Index2#0,"""・레어리티 ★6의 무기와 방어구를 얻기<br><yellow>※에너미가 드랍하거나 마이 샵을 이용<c><br>・강화 소재 교환으로 특수 능력 캡슐을 얻기<br>・레어리티 ★6의 무기와 방어구를 강화치 +50으로 만들기<br>・각 각 장비에\""Ⅲ\""이상의 특수 능력을 4개 추가하기<br>・레어리티 ★6 무기의 잠재능력 Lv.3까지 해방시키기"""
PlayNav_Unit14_Item3#0,"""클래스 스킬을 습득하기"""
PlayNav_Unit14_Index3#0,"""・아래의 섹션에서 특수 능력 캡슐을 얻기<br>타격 클래스: 로스트 센트럴, 마그너스산 (Rank.3)<br>사격 클래스: 로스트 센트럴, 마크아드 하층 (Rank.3)<br>법격 클래스: 로스트 센트럴 (Rank.3), <br>리템 에르노자 (Rank.3)"""
PlayNav_Unit15_Item1#0,"""Lv.52 도달하기"""
PlayNav_Unit15_Index1#0,"""・사이드 태스크를 달성하기<br>・배틀디아를 클리어하기<br>・아래 전투 섹션에서 에너미를 쓰러뜨리기<br>베르가나 유적<br>로스트 센트럴"""
PlayNav_Unit15_Item2#0,"""장비를 강화하기"""
PlayNav_Unit15_Index2#0,"""・레어리티 ★6의 무기와 방어구를 얻기<br><yellow>※에너미가 드랍하거나 마이 샵을 이용<c><br>・강화 소재 교환으로 특수 능력 캡슐을 얻기<br>・레어리티 ★6의 무기와 방어구를 강화치 +50으로 만들기<br>・각 각 장비에\""Ⅲ\""이상의 특수 능력을 4개 추가하기<br>・레어리티 ★6 무기의 잠재능력 Lv.4까지 해방시키기"""
PlayNav_Unit15_Item3#0,"""클래스 스킬을 습득하기"""
PlayNav_Unit15_Index3#0,"""・트레이니아를 클리어 하고 스킬 포인트를 얻기<br>・클래스 카운터에서 메인 클래스, <br>서브 클래스의 클래스 스킬을 총 56개 배우기"""
PlayNav_Unit16_Item1#0,"""Lv65 도달하기"""
PlayNav_Unit16_Index1#0,"""・사이드 태스크를 달성하기"""
PlayNav_Unit16_Item2#0,"""장비를 강화하기"""
PlayNav_Unit16_Index2#0,"""・레어리티 ★의 무기와 방어구를 얻기<br><yellow>※에너미가 드랍하거나 마이 샵을 이용<c><br>・강화 소재 교환으로 특수 능력 캡슐을 얻기<br>・레어리티 ★의 무기와 방어구를 강화치 +60으로 만들기<br>・각 각 장비에 \""Ⅲ\""이상의 특수 능력을 5개 추가하기<br>・레어리티 ★6 무기의 점재능력 Lv.까지 해방시키기"""
PlayNav_Unit16_Item3#0,"""특수 능력 캡슐을 얻기"""
PlayNav_Unit16_Index3#0,"""・아래의 섹션에서 특수 능력 캡슐을 얻기<br>클래스 공통: 로스트 센트럴 (Rank.3)<br>타격 클래스: 마그너스산 (Rank.4)<br>사격 클래스: 마크아드 하층 (Rank.4)<br>법격 클래스: 리템 에르노자 (Rank.4)"""
PlayNav_Unit17_Item1#0,"""Lv65 도달하기"""
PlayNav_Unit17_Index1#0,"""・사이드 태스크를 달성하기"""
PlayNav_Unit17_Item2#0,"""장비를 강화하기"""
PlayNav_Unit17_Index2#0,"""・레어리티 ★의 무기와 방어구를 얻기<br><yellow>※에너미가 드랍하거나 마이 샵을 이용<c><br>・강화 소재 교환으로 특수 능력 캡슐을 얻기<br>・레어리티 ★의 무기와 방어구를 강화치 +60으로 만들기<br>・각 각 장비에 \""Ⅲ\""이상의 특수 능력을 5개 추가하기<br>・레어리티 ★6 무기의 점재능력 Lv.까지 해방시키기"""
PlayNav_Unit17_Item3#0,"""클래스 스킬을 습득하기"""
PlayNav_Unit17_Index3#0,"""・트레이니아를 클리어 하고 스킬 포인트를 얻기<br>・클래스 카운터에서 메인 클래스 및<br>서브 클래스의 클래스 스킬을 총 74개 배우기"""
PlayNav_Unit18_Item1#0,"""Lv67に到達する"""
PlayNav_Unit18_Index1#0,"""・サイドタスクを達成する<br>・以下の戦闘セクションでエネミーを倒す<br>\u3000デクストベース"""
PlayNav_Unit18_Item2#0,"""装備を強化する"""
PlayNav_Unit18_Index2#0,"""・レアリティ★８の武器と★７の防具を入手する<br><yellow>※エネミーからのドロップ、もしくはマイショップを利用<c><br>・強化素材交換で特殊能力カプセルを入手する<br>・レアリティ★８の武器と★７の防具を強化値＋50にする<br>・それぞれの装備に“Ⅲ”以上の特殊能力を５つ追加する<br>・レアリティ★８の武器の潜在能力Lv.4の解放を行う"""
PlayNav_Unit18_Item3#0,"""特殊能力カプセルを入手する"""
PlayNav_Unit18_Index3#0,"""・以下のセクションで特殊能力カプセルを入手する<br>\u3000クラス共通：デクストベース<br>\u3000打撃クラス：マグナス山（Rank.4）<br>\u3000射撃クラス：マクアド下層（Rank.4）<br>\u3000法撃クラス：リテム・エルノザ（Rank.4）"""
