Symbol_Common_ID#0,"""파츠 ID"""
CreateForm_Menu_Size#0,"""사이즈"""
CreateForm_Menu_Rotate#0,"""회전"""
CreateForm_Menu_Warp#0,"""왜곡"""
CreateForm_Menu_Reverse#0,"""반전"""
CreateForm_Menu_ReverseUPDOWN#0,"""상하 반전"""
CreateForm_Menu_ReverseLEFTRIGHT#0,"""좌우 반전"""
CreateForm_Menu_ColorSelect#0,"""컬러"""
CreateForm_Menu_Alpha#0,"""투명도 조정"""
CreateForm_Menu_Move#0,"""정렬"""
CreateForm_Menu_Move_Shift#0,"""연속 이동"""
CreateForm_Menu_Move_UP#0,"""한 개 위로 이동\u3000\u3000<gray>[-]<c>"""
CreateForm_Menu_Move_UP_V#0,"""한 개 위로 이동"""
CreateForm_Menu_Move_DOWN#0,"""한 개 아래로 이동\u3000\u3000<gray>[+]<c>"""
CreateForm_Menu_Move_DOWN_V#0,"""한 개 아래로 이동"""
CreateForm_Menu_Move_TOP#0,"""가장 위로 이동\u3000<gray>[Ctrl]+[E]<c>"""
CreateForm_Menu_Move_TOP_V#0,"""가장 위로 이동"""
CreateForm_Menu_Move_BOTTOM#0,"""가장 아래로 이동\u3000<gray>[Ctrl]+[E]<c>"""
CreateForm_Menu_Move_BOTTOM_V#0,"""가장 아래로 이동"""
CreateForm_Menu_Delete#0,"""삭제"""
CreateForm_Menu_Duplicate#0,"""복제\u3000\u3000\u3000<gray>[Ctrl]+[D]<c>"""
CreateForm_Menu_Duplicate_V#0,"""복제"""
CreateForm_Menu_Copy#0,"""복사\u3000\u3000<gray>[Ctrl]+[C]<c>"""
CreateForm_Menu_Copy_V#0,"""복사"""
CreateForm_Menu_Paste#0,"""붙혀넣기\u3000<gray>[Ctrl]+[V]<c>"""
CreateForm_Menu_Paste_V#0,"""붙혀넣기"""
CreateForm_Menu_AddParts#0,"""上に파츠 추가"""
CreateForm_Menu_ColorCopy#0,"""색상 복사"""
CreateForm_Menu_ColorPaste#0,"""색상 반영"""
CreateForm_Menu_Change#0,"""파츠 변경"""
CreateForm_Menu_Edit#0,"""편집"""
CreateForm_Menu_Etc#0,"""기타"""
CreateForm_Menu_ColorPasteToast#0,"""색상과 투명도 정보를 복사했습니다"""
ListForm_Title#0,"""데이터 선택"""
ListForm_Hash#0,"""식별 ID: $(0)"""
ListForm_NoHash#0,"""식별 ID: 없음"""
ListForm_ItemName#0,"""슬롯$(1)\u3000$(0)"""
ListForm_DefaultName#0,"""이름 미설정"""
ListForm_List_Non#0,"""데이터가 없습니다"""
ListForm_NoSymbolArt#0,"""심볼 아트가 없습니다"""
ListForm_NowLoading#0,"""읽는 중…"""
ListForm_WrongSize#0,"""대상 사이즈와 다릅니다"""
ListForm_StockSave_Exp#0,"""스톡에 저장했습니다."""
ListForm_ServerSave_Exp#0,"""저장했습니다."""
ListForm_StockLoad_Exp#0,"""스톡에서 불러왔습니다."""
ListForm_ServerLoad_Exp#0,"""불러왔습니다."""
ListForm_StockRemove_Exp#0,"""저장 리스트에서 삭제했습니다."""
ListForm_ServerRemove_Exp#0,"""저장 리스트에서 삭제했습니다."""
ListForm_VITA_Status_Title#0,"""선택 중인 심볼 아트의 스테이터스"""
ListForm_VITA_Hash#0,"""식별 ID"""
ListForm_VITA_Size#0,"""사이즈"""
ListForm_Say_Title#0,"""심볼 아트 발언"""
ListForm_Save_Exp#0,"""선택 슬롯에는 다른 데이터가 있습니다.<br>현재 데이터로 덮어쓰시겠습니까?"""
ListForm_RemoveQue_Title#0,"""심볼 아트 삭제"""
ListForm_RemoveQue_Exp#0,"""이 심볼 아트를 삭제합니다.<br>괜찮으시겠습니까?"""
ListForm_RemoveImport_Title#0,"""불러온 심볼 아트 삭제"""
ListForm_RemoveImport_Exp#0,"""불러온 이 심볼 아트를 삭제합니다.<br>괜찮으시겠습니까?"""
ListForm_ClearImport_Title#0,"""불러온 심볼 아트 전부 삭제"""
ListForm_ClearImport_Exp#0,"""불러온 심볼 아트를 전부 삭제합니다.<br>괜찮으시겠습니까?"""
ListForm_BAN_Exp#0,"""사용이 제한된 심볼 아트가 포함되어 있었습니다.<br>제한이 없는 것들만 저장했습니다."""
ListForm_Illegal_LayerDelete#0,"""부정한 파츠가 사용되고 있었기 때문에 삭제했습니다."""
ListForm_Error_ServerLoadFailed#0,"""읽기에 실패했습니다.<br><br><br>[No.1200］"""
ListForm_Error_LoacalLoadFailed#0,"""읽기에 실패했습니다.<br><br>[No.1201］"""
ListForm_Error_LoacalLoadFailed_Null#0,"""빈 데이터가 요청되었습니다.<br><br>[No.1202］"""
ListForm_Error_LoacalLoadFailed_Not#0,"""데이터를 찾을 수 없었습니다.<br><br>[No.1203］"""
ListForm_Error_LoacalLoadFailed_Other#0,"""읽기에 실패했습니다.<br><br>[No.1204］"""
ListForm_Error_SaveFailed#0,"""저장에 실패했습니다.<br><br>[No.1205］"""
ListForm_Error_LoacalRemoveFailed#0,"""삭제에 실패했습니다.<br><br>[No.1206］"""
ListForm_Error_ServerRemoveFailed#0,"""삭제에 실패했습니다.<br><br>[No.1207］"""
ListForm_Error_LoadImport#0,"""읽기에 실패했습니다.<br><br>[No.1208］"""
ListForm_Error_RemoveImport#0,"""삭제에 실패했습니다.<br><br>[No.1209］"""
ListForm_Error_Illegaldata#0,"""부정한 심볼 데이터이기 때문에<br>저장하지 못했습니다.<br><br>[No.1210］"""
ListForm_Error_IllegalNotSay#0,"""부정한 파츠가 사용되고 있기 때문에<br>발언할 수 없었습니다.<br><br>[No.1211]"""
SelectedForm_Title#0,"""심볼 아트 리스트"""
SelectedForm_Exp#0,"""<c f0df60>편집 또는 발언할 심볼 아트를 선택해주세요. 빈칸에서 「편집」을 선택하면 새로 작성할 수 있습니다.<c>"""
SelectedForm_Exp_v#0,"""<c f0df60>편집 또는 발언할 심볼 아트를 선택해주세요.<c>"""
ListForm_Exp#0,"""<c f0df60>저장할 슬롯을 선택해주세요.<c>"""
EditForm_Exp#0,"""<c f0df60>「파츠 추가」버튼으로 추가한 파츠를 편집해 심볼 아트를 작성합니다.(? 버튼으로 조작 설명)<c>"""
EditForm_Exp_v#0,"""<c f0df60>「파츠 추가」버튼으로 추가한 파츠를 편집해 심볼 아트를 작성합니다.<c>"""
SelectedForm_SaveList#0,"""1.저장 리스트"""
SelectedForm_LogList_Big#0,"""2.기록 (표준)"""
SelectedForm_LogList_Normal#0,"""2.기록 (중)"""
SelectedForm_LogList_Mini#0,"""3.기록 (소)"""
SelectedForm_LogList#0,"""2.기록"""
SelectedForm_Etc#0,"""4.불러오기"""
SelectedForm_EditName_Title#0,"""심볼 아트 이름 변경"""
SelectedForm_EditName_Exp#0,"""심볼 아트 이름<br>(이 이름은 다른 사람에게도 표시됩니다)"""
SelectedForm_Menu_Save#0,"""저장하기"""
SelectedForm_Menu_Say#0,"""바로 발언하기"""
SelectedForm_Menu_Edit#0,"""편집"""
SelectedForm_Menu_Delete#0,"""삭제하기"""
SelectedForm_Menu_Clear#0,"""전부 삭제하기"""
SelectedForm_Menu_NameEdit#0,"""심볼 아트 이름 변경"""
SelectedForm_Menu_BlackList#0,"""-"""
SelectedForm_Menu_Import#0,"""불러오기"""
SelectedForm_LoadImport_Exp#0,"""불러오기를 완료했습니다."""
SelectedForm_Error_Filter#0,"""심볼 아트 이름에 사용할 수 없는 문자가 포함되어 있습니다."""
SelectedForm_Error_Premium#0,"""<pict Arcscash><c ff4f3f>AC 소비 컨텐츠<c><br><yellow>프리미엄 세트<c>이용권이 없으시거나<br>이용 기한이 만료되었습니다.<br><br>슬롯11～40에 데이터 저장 기능은<br><yellow>프리미엄 세트<c>유효 기간 동안에만<br>사용할 수 있습니다.<br><br><yellow>프리미엄 세트<c>를 이용하려면<br>메인 메뉴의 「AC 샵」으로 가주세요."""
Title#0,"""심볼 아트 선택"""
Title_Monitor#0,"""심볼 아트 모니터"""
Close_Title#0,"""확인"""
Close_Exp#0,"""선택한 심볼 아트를 표시합니다.<br>괜찮으시겠습니까?<br><br>※선택하지 않은 경우<br>심볼 아트는 표시되지 않습니다."""
