MYROOM#0,"""Tu cuarto"""
guide_cancel_key_vita#0,"""<%Cancel>"""
guide_enter_total_cost#0,"""Espacio: """
guide_not_key#0,"""No utilizar nada"""
ItemList_Title_RoomGoods#0,"""LISTA DE MUEBLES"""
ItemList_Title_Reform#0,"""REMODELING PASS LIST"""
ItemList_Title_MovePass#0,"""SCENERY PASS LIST"""
ItemList_Title_MusicDisc#0,"""Lista de discos de música"""
ItemList_Title_EntryMusic#0,"""Listas de BGM registrados"""
ItemList_Title_ItemList_Title_DisplayWeapon#0,"""LISTA DE ARMAS"""
ItemList_Title_ItemList_Title_DisplayWeaponAvatar#0,"""Weapon camo list"""
ItemList_Title_ItemList_Title_DecoGoods#0,"""LISTA DE DECORACIÓN"""
ItemList_Title_ItemList_Title_PresentBox#0,"""LISTA DE REGALOS"""
ItemList_Title_ItemList_Title_PhotonGachanItemAdd#0,"""LIST OF ITEMS THAT CAN BE REGISTERED"""
ItemList_Title_ItemList_Title_PhotonGachanItemDelete#0,"""REGISTERED ITEM LIST"""
ItemList_Title_ItemList_Title_Recommended#0,"""Line-up"""
ItemList_Title_Cost#0,"""Instalar cost"""
ItemList_Title_Add_Current_Max#0,"""$(2) (REGISTRADO: $(0)/$(1))"""
RoomCustmize_Title#0,"""REMODEL QUARTERS"""
RoomCustmize_header1#0,"""Cuarto"""
RoomCustmize_header2#0,"""Comandos de la decoración"""
RoomCustmize_header3#0,"""Tamaño"""
RoomCustmize_Reform#0,"""Remodelar"""
RoomCustmize_RoomSize#0,"""Expandir Cuarto"""
RoomCustmize_CheckMessage#0,"""Tras la remodelación, se moveran todas las decoraciones.<br>¿Estas seguro?"""
RoomCustmize_RoomSize_Middle#0,"""Chico"""
RoomCustmize_RoomSize_Large#0,"""Grande"""
PortalUnit_Title#0,"""Unidad portal"""
PortalUnit_Move_Lobby#0,"""Ir al ARKS Lobby"""
BGMMenu_Title#0,"""Menú de registro de discos"""
BGMMenu_Entry#0,"""Registrar disco musical"""
BGMMenu_Play#0,"""Ver Discos registrados"""
BGMMenu_Cancel#0,"""Regresar"""
Reform_Room_Center#0,"""Cuarto central"""
Reform_Room_Left#0,"""Cuarto izquierdo"""
Reform_Room_Rght#0,"""Cuarto derecho"""
Reform_Room_None#0,"""Usar Room Expansión Pass"""
Reform_UseInfo#0,"""¿Utilizar este pase de remodelacion?<br>※ Esto movera todos los objetos<br>de decoración."""
Reform_DeleteRoomInfo#0,"""Remover este cuarto?<br>※ Esto movera todos los objetos<br>de decoración."""
Reform_Playing#0,"""Cambiando cuarto..."""
DeleteRoomGoods_SelectRoom_Playing#0,"""Se ha retirado todo el mobiliario de la habitación seleccionada."""
MovePass_UseInfo#0,"""Usar este Scenery Pass?<br>※ Esto quitara<br>\u3000todas las decoraciones."""
DeleteRoomGoodsInSelectRoom_UseInfo_Title#0,"""CONFIRMAR LA RETIRADA DEL MOBILIARIO"""
DeleteRoomGoodsInSelectRoom_UseInfo#0,"""¿Quitar todo el mobiliario de esta habitación??"""
RoomSize_Delete#0,"""Borrar"""
ItemList_MenuTitle#0,"""Info. del objeto"""
ItemList_Install#0,"""Instalar"""
Custmize_Main_Install#0,"""Instalar"""
Custmize_Main_Delete#0,"""Quitar"""
Custmize_Main_1#0,"""Primero"""
Custmize_Main_2#0,"""Segundo"""
Custmize_Main_3#0,"""Tercero"""
Custmize_Main_4#0,"""Cuarto"""
RoomGoodsSelectTitle#0,"""SELECCIONAR MOBILIARIO"""
SelectMenu_Title_EntryMusicDisc#0,"""Registrar Music Disc"""
ItemList_Title_ItemList_Title_PosterBoardGoods#0,"""LISTA DE POSTERES"""
BGMMenu_Entry_UseInfo#0,"""¿Quieres registrarlo?"""
BGMMenu_Entry_UseInfo2#0,"""Quieres agregar $(0)?"""
RoomGoods_Action#0,"""Mover bienes"""
RoomGoods_Removal#0,"""Quitar"""
RoomGoods_Cancel#0,"""Regresar"""
RoomGoods_Motion_Default#0,"""Ejecutar el truco"""
RoomGoods_Motion_SitDown#0,"""Sentarse"""
RoomGoods_Motion_Sleeping#0,"""Acostarse"""
RoomGoods_Motion_Darts#0,"""Jugar a los dardos"""
RoomGoods_Motion_Bathe#0,"""Bañarse"""
RoomGoods_Motion_Toilet#0,"""Enjuagar"""
RoomGoods_Motion_Kusudama#0,"""Abrir"""
RoomGoods_Motion_Instrument#0,"""Tocar"""
RoomGoods_Motion_SwitchOn#0,"""Presiona el interruptor"""
RoomGoods_Motion_Yoga#0,"""Hacer yoga"""
RoomGoods_Motion_Paku#0,"""Ponga una mano"""
RoomGoods_Motion_Barbel#0,"""Levantar pesas"""
RoomGoods_Motion_Use#0,"""Usar"""
RoomGoods_Motion_RiceCakeMaking#0,"""Amasar pastel"""
RoomGoods_Custmize_Gimmick#0,"""Combinar bienes"""
RoomGoods_Custmize_Remove#0,"""Quitar combinación"""
RoomGoods_MessageInOut#0,"""Editar mensage"""
RoomGoods_PresentBox#0,"""Abrir el $(0)"""
RoomGoods_GoodJob#0,"""Enviar un agradecimiento"""
RoomGoods_GoodJob_Greeting#0,"""Editar saludo"""
RoomGoods_GoodJob_Thanks#0,"""Editar mensage de agradecimiento"""
RoomGoods_PlayingBGM#0,"""Cambiar BGM"""
RoomGoods_DefaultBGM#0,"""Reiniciar BGM"""
RoomGoods_ChangeTune#0,"""Cambiar melodia"""
RoomGoods_DisplayWeapon#0,"""Mostrar arma"""
RoomGoods_DisplayWeaponInfo#0,"""Ver detalles de armas"""
RoomGoods_DisplayWeaponAvatar#0,"""Mostrar weapon camo"""
RoomGoods_DisplayWeaponAvatarInfo#0,"""Ver detalles weapon camo"""
RoomGoods_MyShop#0,"""Activar tienda"""
RoomGoods_Timer#0,"""Coolocar tiempo"""
RoomGoods_GahaRecommended#0,"""Ver premios"""
RoomGoods_GahaPlay#0,"""Gira el Photogachan"""
RoomGoods_GahaManagement#0,"""Administrar Photogachan"""
RoomGoods_FatChecker#0,"""Comprobar el peso"""
RoomGoods_CashBox_Challenge#0,"""Solve a password"""
RoomGoods_CashBox_ChangeNum#0,"""Cambiar numeros"""
RoomGoods_CashBox_Confirmation#0,"""Record actual"""
RoomGoods_Mikiri_Challenge#0,"""Desafiar"""
RoomGoods_Mikiri_Easy#0,"""Modo normal"""
RoomGoods_Mikiri_Normal#0,"""Modo difícil"""
RoomGoods_Mikiri_Hard#0,"""Modo muy difícil"""
RoomGoods_Mikiri_HiScore#0,"""Modo de alto puntaje"""
RoomGoods_Mikiri_CheckRecord#0,"""Ver mejores records"""
RoomGoods_SupportPartnerStandSet#0,"""Llamar Support Partner(s)"""
RoomGoods_SaProjector#0,"""Establecer Symbol Art"""
RoomGoods_OrgelPlay#0,"""Reproducir Music Box"""
RoomGoods_OrgelStop#0,"""Detener Music Box"""
RoomGoods_StrongBoxOpen#0,"""扉を開く"""
RoomGoods_StrongBoxClose#0,"""扉を閉じる"""
RoomGoods_DiceShake#0,"""Tirar el dado"""
RoomGoods_DiceEdit#0,"""Editar mensaje"""
RoomGoods_BlackBoard#0,"""Revisar mensajes"""
RoomGoods_CameraShoot#0,"""Menú de la camara"""
RoomGoods_CameraSetting#0,"""Posicionamiento"""
RoomGoods_CameraGuideShoot#0,"""Disparar: """
RoomGoods_CameraGuideMove01#0,"""Angulo: """
RoomGoods_CameraGuideMove02#0,"""Altura: """
RoomGoods_CameraGuideMove03#0,"""Rotación: """
RoomGoods_CameraGuideMove04#0,"""Enfocar: """
RoomGoods_CameraGuideReset#0,"""Restablecer camara: """
RoomGoods_CameraGuideResetVita#0,"""Restablecer camara: """
RoomGoods_CameraGuideCancel#0,"""Volver:"""
RoomGoods_CameraGuideShoot_key#0,"""<%Decide>"""
RoomGoods_CameraGuideMove01_key#0,"""Mover el ratón"""
RoomGoods_CameraGuideMove02_key#0,"""<%MoveForward>/<%MoveBack>"""
RoomGoods_CameraGuideMove03_key#0,"""<%MoveLeft>/<%MoveRight>"""
RoomGoods_CameraGuideMove04_key#0,"""<%PaletteForce>/<%PaletteReverse>"""
RoomGoods_CameraGuideReset_key#0,"""<%NextTabDetails>"""
RoomGoods_CameraGuideCancel_key#0,"""<%Cancel>/Esc"""
RoomGoods_CameraGuideShoot_pad#0,"""<%Decide>"""
RoomGoods_CameraGuideMove01_pad#0,"""Stick Derecha"""
RoomGoods_CameraGuideMove02_pad#0,"""Stick Izquierdo (↑/↓)"""
RoomGoods_CameraGuideMove03_pad#0,"""Stick Izquierdo (←/→)"""
RoomGoods_CameraGuideMove04_pad#0,"""<%PaletteForce>/<%PaletteReverse>"""
RoomGoods_CameraGuideReset_pad#0,"""<%NextTabDetails>"""
RoomGoods_CameraGuideResetVita_pad#0,"""<%AllWindowClose>"""
RoomGoods_CameraGuideCancel_pad#0,"""<%Cancel>"""
RoomGoods_RaceMachine_Entry#0,"""Participar en la carrera"""
RoomGoods_RoomRunnerRunning#0,"""Ir a correr"""
RoomGoods_CraftCommonOwner#0,"""Menu craft"""
RoomGoods_CraftCommonGuest#0,"""Ver orden de compra"""
RoomGoods_CraftOrderOwner#0,"""Ver la Lista de Solicitudes"""
RoomGoods_CraftOrderGuest#0,"""Ver orden de compra"""
RoomGoods_Shower#0,"""Tomar una ducha"""
RoomGoods_StopShower#0,"""Parar de ducharse"""
RoomGoods_Motion_Hug#0,"""Abrazar"""
RoomGoods_Motion_Ice#0,"""Comer"""
RoomGoods_DioramaOn#0,"""Activar la animación de destrucción"""
RoomGoods_DioramaOff#0,"""Desactivar la animación de destrucción (Reset)"""
RoomGoods_DioramaBreak#0,"""Romper"""
RoomGoods_DioramaReset#0,"""Deshacer"""
RoomGoods_GolfPlay#0,"""Desafiar"""
RoomGoods_GolfScore#0,"""Ver mejores records"""
RoomGoods_Tanzaku#0,"""Escriba su deseo"""
RoomGoods_Access#0,"""Acceder"""
RoomGoods_PlayDrum#0,"""Tocar los tambores"""
RoomGoods_DrumpadGuideSnare#0,"""Tocar los Snare Drum"""
RoomGoods_DrumpadGuideHighhat#0,"""Tocar los platillos altos"""
RoomGoods_DrumpadGuideHighTam#0,"""Toca el tom alto"""
RoomGoods_DrumpadGuideLowTom#0,"""Sonar el Rotum"""
RoomGoods_DrumpadGuideCymbal#0,"""Tocar el platillo Crash"""
RoomGoods_DrumpadGuideDrum#0,"""Tocar el bombo"""
RoomGoods_DrumpadGuideReturn#0,"""Regresar"""
RoomGoods_DrumpadGuideSnare_pad#0,"""：<%SubPaletteLeft>"""
RoomGoods_DrumpadGuideHighhat_pad#0,"""：<%PaletteReverse>"""
RoomGoods_DrumpadGuideHighTam_pad#0,"""：<%SubPaletteRight>"""
RoomGoods_DrumpadGuideLowTom_pad#0,"""：<%PhotonArts>"""
RoomGoods_DrumpadGuideCymbal_pad#0,"""：<%NormalAttack>"""
RoomGoods_DrumpadGuideDrum_pad#0,"""：<%Access>"""
RoomGoods_DrumpadGuideReturn_pad#0,"""：<%Cancel>"""
RoomGoods_DrumpadGuideSnare_key#0,"""[1] Tecla"""
RoomGoods_DrumpadGuideHighhat_key#0,"""[2] Tecla"""
RoomGoods_DrumpadGuideHighTam_key#0,"""[3] Tecla"""
RoomGoods_DrumpadGuideLowTom_key#0,"""[4] Tecla"""
RoomGoods_DrumpadGuideCymbal_key#0,"""[5] Tecla"""
RoomGoods_DrumpadGuideDrum_key#0,"""[6] Tecla"""
RoomGoods_DrumpadGuideReturn_key#0,"""[0]キー"""
RoomGoods_DrumpadGuideOr#0,"""o """
RoomGoods_LightSourceChangeColor#0,"""Cambio color de luz"""
RoomGoods_LightSourceInvalid#0,"""Volver a la iluminación normal"""
RoomGoods_Closet#0,"""Ir al salón de belleza"""
PresentBox#0,"""Sólo el propietario de la sala puede abrir una caja de regalo.<br>El objeto colocado en su interior se entregará al jugador que<br>abra la caja de regalo, y ésta desaparecerá.<br><br>¿Quieres colocar una caja de regalo?"""
Common#0,"""Sólo el propietario de la habitación puede utilizar la función de visualización de este mobiliario.<br><br>¿Quieres colocar el mobiliario?"""
ob_1001_0000#0,"""Tema Básico"""
ob_1001_0001#0,"""Tema Básico"""
ob_1002_0000#0,"""Tema Moderno"""
ob_1002_0001#0,"""Tema Moderno"""
ob_1003_0000#0,"""Tema Gotico/R"""
ob_1003_0001#0,"""Tema Gotico/R"""
ob_1004_0000#0,"""Tema Clasico"""
ob_1004_0001#0,"""Tema Clasico"""
ob_1005_0000#0,"""Tema Básico/B"""
ob_1005_0001#0,"""Tema Básico/B"""
ob_1006_0000#0,"""Tema Básico/P"""
ob_1006_0001#0,"""Tema Básico/P"""
ob_1007_0000#0,"""Tema Moderno/Y"""
ob_1007_0001#0,"""Tema Moderno/Y"""
ob_1008_0000#0,"""Tema Moderno/B"""
ob_1008_0001#0,"""Tema Moderno/B"""
ob_1009_0000#0,"""Tema Gotico/B"""
ob_1009_0001#0,"""Tema Gotico/B"""
ob_1010_0000#0,"""Tema Gotico"""
ob_1010_0001#0,"""Tema Gotico"""
ob_1011_0000#0,"""Tema Clasico/P"""
ob_1011_0001#0,"""Tema Clasico/P"""
ob_1012_0000#0,"""Tema Clasico/C"""
ob_1012_0001#0,"""Tema Clasico/C"""
ob_1013_0000#0,"""Sweets Theme"""
ob_1013_0001#0,"""Sweets Theme"""
ob_1014_0000#0,"""Sweets Theme／Ｂ"""
ob_1014_0001#0,"""Sweets Theme／Ｂ"""
ob_1015_0000#0,"""Sweets Theme／Ｃ"""
ob_1015_0001#0,"""Sweets Theme／Ｃ"""
ob_1016_0000#0,"""Tema Chino"""
ob_1016_0001#0,"""Tema Chino"""
ob_1017_0000#0,"""Tema Chino/G"""
ob_1017_0001#0,"""Tema Chino/G"""
ob_1018_0000#0,"""Tema Chino/B"""
ob_1018_0001#0,"""Tema Chino/B"""
ob_1019_0000#0,"""Tema occidental"""
ob_1019_0001#0,"""Tema occidental"""
ob_1020_0000#0,"""Tema occidental／Ｂ"""
ob_1020_0001#0,"""Tema occidental／Ｂ"""
ob_1021_0000#0,"""Tema occidental／Ｃ"""
ob_1021_0001#0,"""Tema occidental／Ｃ"""
ob_1022_0000#0,"""Tema Oriental"""
ob_1022_0001#0,"""Tema Oriental"""
ob_1023_0000#0,"""Tema Oriental 2"""
ob_1023_0001#0,"""Tema Oriental 2"""
ob_1024_0000#0,"""Tema Oriental 2"""
ob_1024_0001#0,"""Tema Oriental 2"""
ob_1027_0000#0,"""Tema Oriental /B"""
ob_1027_0001#0,"""Tema Oriental /B"""
ob_1028_0000#0,"""Tema Oriental／Ｃ"""
ob_1028_0001#0,"""Tema Oriental／Ｃ"""
ob_1029_0000#0,"""Tema retro"""
ob_1029_0001#0,"""Tema retro"""
ob_1030_0000#0,"""Retro Theme"""
ob_1030_0001#0,"""Retro Theme"""
ob_1031_0000#0,"""Tema de lujo"""
ob_1031_0001#0,"""Tema de lujo"""
ob_1032_0000#0,"""Tema retro /G"""
ob_1032_0001#0,"""Tema retro /G"""
ob_1033_0000#0,"""Tema retro / B"""
ob_1033_0001#0,"""Tema retro / B"""
ob_1034_0000#0,"""Old Theme /B"""
ob_1034_0001#0,"""Old Theme /B"""
ob_1035_0000#0,"""Old Theme /C"""
ob_1035_0001#0,"""Old Theme /C"""
ob_1036_0000#0,"""Fancy Theme／Ｂ"""
ob_1036_0001#0,"""Fancy Theme／Ｂ"""
ob_1037_0000#0,"""Fancy Theme／Ｃ"""
ob_1037_0001#0,"""Fancy Theme／Ｃ"""
ob_1038_0000#0,"""Tema oriental 2"""
ob_1038_0001#0,"""Tema oriental 2"""
ob_1039_0000#0,"""Tema oriental 2"""
ob_1039_0001#0,"""Tema oriental 2"""
ob_1040_0000#0,"""Tema oriental 2"""
ob_1040_0001#0,"""Tema oriental 2"""
ob_1041_0000#0,"""Tema elegante"""
ob_1041_0001#0,"""Tema elegante"""
ob_1042_0000#0,"""Tema elegante / B"""
ob_1042_0001#0,"""Tema elegante / B"""
ob_1043_0000#0,"""Nightclub Theme"""
ob_1043_0001#0,"""Nightclub Theme"""
ob_1044_0000#0,"""Nightclub Theme／Ｂ"""
ob_1044_0001#0,"""Nightclub Theme／Ｂ"""
ob_1045_0000#0,"""Woody THeme"""
ob_1045_0001#0,"""Woody THeme"""
ob_1046_0000#0,"""Woody THeme / B"""
ob_1046_0001#0,"""Woody THeme / B"""
ob_1047_0000#0,"""Tema escolar"""
ob_1047_0001#0,"""Tema escolar"""
ob_1048_0000#0,"""Tema oriental 2"""
ob_1048_0001#0,"""Tema oriental 2"""
ob_1049_0000#0,"""Tema oriental 2"""
ob_1049_0001#0,"""Tema oriental 2"""
ob_1050_0000#0,"""Tema oriental 2"""
ob_1050_0001#0,"""Tema oriental 2"""
ob_1051_0000#0,"""Tema oriental 2"""
ob_1051_0001#0,"""Tema oriental 2"""
ob_1052_0000#0,"""Tema oriental 2"""
ob_1052_0001#0,"""Tema oriental 2"""
Title#0,"""Opciónes de admisión"""
If_All_OK#0,"""Todos los jugadores"""
If_Friend_Guild_Member#0,"""Amigos y miembros de tu Team"""
If_Guild_Member#0,"""Miembros de tu Team"""
If_Friend_Member#0,"""Amigos"""
If_All_Not#0,"""Privado (Solo tu)"""
PasswardInfo#0,"""Establecer contraseña de entrada (16 caracteres como máximo)"""
Enter#0,"""Confirmar"""
Enter_Hint#0,"""Se aplicaran los ajustes."""
Title#1,"""Introduzca el mensaje"""
MenuMessage#0,"""Mensaje a mostrar"""
MenuFukidashi#0,"""Tipo de globo"""
MenuManpu#0,"""表示する漫符"""
Title_Edit#0,"""Ajustes actuales"""
MenuItem#0,"""Insertar objeto"""
MenuMeseta#0,"""Insertar Meseta"""
Title_Meseta#0,"""Símbolos emotivos para mostrar"""
Meseta_Message#0,"""Por favor, introduzca la cantidad de la Meseta que desea regalar."""
Result_Title#0,"""Recibe presente"""
Result_MesseaeItem#0,"""Usted recibió the present item<br>$(0)."""
Result_MesseaeMeseta#0,"""Has recibido $(0) Mesetas."""
Result_None#0,"""Estaba vacío."""
Title_Check#0,"""Confirmar presente"""
Check_MesseaeItem#0,"""¿Estás seguro de que quieres poner<br>$(0) en la caja de regalo?"""
Check_MesseaeMeseta#0,"""¿Estás seguro de que quieres poner<br>$(0) meseta en la caja de regalo?"""
Check_MesseaeNone#0,"""¿Está seguro de que quiere colocar una caja de regalo vacía?"""
Title#2,"""Terminal de tu cuarto"""
Menu_Main#0,"""<c f0df60>Puedes colocar bienes de cuarto, cambiar el tema del cuarto, mover objetos, y cambiar el room lock settings.<c>"""
Menu_Main_v#0,"""<c f0df60>Colocar el mobiliario o remodelar (cambiar de tema o añadir habitaciones).<c>"""
Menu_RoomGoods#0,"""<c f0df60>Seleccione y coloque el mobiliario. Compruebe el coste de colocación y el tamaño en [Detalles del artículo] antes de colocarlo.<c>"""
Menu_RoomGoods_v#0,"""<c f0df60><c f0df60>Selecciona y coloca el mobiliario.<c> <c ffa500>Alternar entre el icono de Almacenamiento y el de Inequipable con <pict Sign_TRIANGLE>.<c><c>"""
Menu_RoomSelect#0,"""<c f0df60>Por favor selecciona un cuarto para remodelar. Un Remodeling Pass es requerido por 'Theme' y 'Room Remodeling' type renovations.<c>"""
Menu_RoomSelect_v#0,"""<c f0df60>Por favor selecciona un cuarto para remodelar<c>"""
Menu_Reform#0,"""<c f0df60>Para cambiar de tema, utilice un Pase de Remodelación de tipo Temático. Para cambiar el tamaño, utilice un Pase de Remodelación de tipo habitación. Puede utilizar cualquiera de los dos tipos de pase para añadir una habitación<c>"""
Menu_Reform_v#0,"""<c f0df60>Para cambiar de tema, se necesita un Pase de Remodelación de tipo Temático. Para cambiar de tamaño, necesitas un Pase de Remodelación de tipo Habitación.<c>"""
Menu_MovePass#0,"""<c f0df60>Please Selecciona un Scenery Pass destination. (Scenery Passes available through Scratch.)<c>"""
Menu_BGM#0,"""<c f0df60>Puedes añadir música de tus discos de música. La música añadida se puede reproducir en el jukebox<c>"""
Menu_BGMEntry#0,"""<c f0df60>Puedes registrar una BGM desde un Disco de Música. Por favor, seleccione un disco de música para registrarlo.<c>"""
Menu_BGMCheck#0,"""<c f0df60>Puedes cambiar la BGM que se reproduce en tu cuarto. Por favor selecciona la BGM que deseas reproducir.<c>"""
Menu_RoomLock#0,"""<c f0df60>Puede establecer un bloqueo de sala (admisión limitada). Por favor, especifique un grupo al que se le permita la admisión a esta sala.<c>"""
Menu_PresentBoxMain#0,"""<c f0df60>Puedes ubicar Meseta o objetos en el present box.<c>"""
Menu_PresentBoxItem#0,"""<c f0df60>Por favor selecciona un objeto para ser ubicado en el present box.<c>"""
Menu_PresentBoxMeseta#0,"""<c f0df60>Seleccione la cantidad de meseta que desea colocar en la caja de regalo<c>"""
Menu_WeaponDisplay#0,"""<c f0df60>Puedes mostrar un holograma del arma que tengas. Por favor selecciona un arma para ser mostrada.<c>"""
Menu_WeaponDisplayInfo#0,"""<c f0df60>Ver detalles de las armas mostradas<c>"""
Menu_WeaponAvatarDisplay#0,"""<c f0df60>Muestra hologramas de los camuflajes de tus armas. Seleccione las armas que desea mostrar<c>"""
Menu_WeaponAvatarDisplayInfo#0,"""<c f0df60>Ver los detalles de los camuflajes de las armas mostradas.<c>"""
Menu_RoomGoodsAccess#0,"""<c f0df60>Puedes utilizar los objetos del cuarto. Pero, solo el propietario del cuarto puede mover o eliminar objetos.<c>"""
Menu_RoomGoodsAccess_v#0,"""<c f0df61>Características de acceso del mobiliario. El propietario del alojamiento personal también puede mover y retirar el mobiliario aquí<c>"""
Menu_DecoGoods#0,"""<c f0df60>Selecciona un objeto de habitación que puede ser usado para decorar. Por favor selecciona el elemento que quieras instalar.<c>"""
Menu_DecoGoods_v#0,"""<c f0df60>Coloca un mueble 1 x 1 en la ubicación seleccionada. Seleccione el mobiliario<c>"""
Menu_Message#0,"""<c f0df60>Introduzca un mensaje que se mostrará en el mobiliario.<c><c>"""
Menu_GoodJob#0,"""<c f0df60>Enviar un agradecimiento a el propietario de este cuarto.<c>"""
Menu_GoodJob_Greeting#0,"""<c f0df60>Introduzca un mensaje que se mostrará cuando un jugador se acerque al contador de Kudos.<c>"""
Menu_GoodJob_Thanks#0,"""<c f0df60>Introduzca un mensaje que se mostrará cuando reciba Kudos.<c>"""
Menu_SetTimer#0,"""<c f0df60>Programar un temporizador para mostrar un mensaje después de varios minutos<c>"""
Menu_PhotoGachan_Line_Up#0,"""<c f0df60>Comprueba los premios de la máquina de cápsulas de fotones<c>"""
Menu_PhotoGachan_Play#0,"""<c f0df60>Utiliza la máquina de cápsulas de fotones una vez<c>"""
Menu_PhotoGachan_Management#0,"""<c f0df60>Cambiar la configuración de la máquina de cápsulas de fotones<c>"""
Menu_Ceilling_RoomSelect#0,"""<c f0df60>Seleccione la habitación en la que desea colocar los muebles de techo<c>"""
Menu_Ceilling_SetPointSelect#0,"""<c f0df60>Designe el punto de colocación, o retire el mobiliario<c>"""
Menu_Symbolart#0,"""<c f0df60>Introduzca el Symbol Art que se mostrará en el mobiliario<c>"""
