Category_All#0,"""ทั้งหมด"""
Left_Thumb1#0,"""นิ้วโป้งซ้าย 1"""
Left_Thumb2#0,"""นิ้วโป้งซ้าย 2"""
Left_FirstFinger1#0,"""นิ้วชี้ซ้าย 1"""
Left_FirstFinger2#0,"""นิ้วชี้ซ้าย 2"""
Left_FirstFinger3#0,"""นิ้วชี้ซ้าย 3"""
Left_SecondFinger1#0,"""นิ้วกลางซ้าย 1"""
Left_SecondFinger2#0,"""นิ้วกลางซ้าย 2"""
Left_SecondFinger3#0,"""นิ้วกลางซ้าย 3"""
Left_ThirdFinger1#0,"""นิ้วนางซ้าย 1"""
Left_ThirdFinger2#0,"""นิ้วนางซ้าย 2"""
Left_ThirdFinger3#0,"""นิ้วนางซ้าย 3"""
Left_ForthFinger1#0,"""นิ้วก้อยซ้าย 1"""
Left_ForthFinger2#0,"""นิ้วก้อยซ้าย 2"""
Left_ForthFinger3#0,"""นิ้วก้อยซ้าย 3"""
Right_Thumb1#0,"""นิ้วโป้งขวา 1"""
Right_Thumb2#0,"""นิ้วโป้งขวา 2"""
Right_FirstFinger1#0,"""นิ้วชี้ขวา 1"""
Right_FirstFinger2#0,"""นิ้วชี้ขวา 2"""
Right_FirstFinger3#0,"""นิ้วชี้ขวา 3"""
Right_SecondFinger1#0,"""นิ้วกลางขวา 1"""
Right_SecondFinger2#0,"""นิ้วกลางขวา 2"""
Right_SecondFinger3#0,"""นิ้วกลางขวา 3"""
Right_ThirdFinger1#0,"""นิ้วนางขวา 1"""
Right_ThirdFinger2#0,"""นิ้วนางขวา 2"""
Right_ThirdFinger3#0,"""นิ้วนางขวา 3"""
Right_ForthFinger1#0,"""นิ้วก้อยขวา 1"""
Right_ForthFinger2#0,"""นิ้วก้อยขวา 2"""
Right_ForthFinger3#0,"""นิ้วก้อยขวา 3"""
Key_DefaultColor#0,"""สีเริ่มต้น"""
Key_HairColor1#0,"""สี 1"""
Key_HairColor2#0,"""สี 2"""
Key_EyeColor_Right#0,"""สีตาขวา"""
Key_EyeColor_Left#0,"""สีตาซ้าย"""
Key_EyebrowsColor#0,"""สี"""
Key_EyeLashesColor#0,"""สี"""
Key_SkinMainColor#0,"""สีผิว"""
Key_SkinSubColor#0,"""อันเดอร์โทนผิว"""
Key_CostumeColor#0,"""สี"""
Key_OuterWearColor1#0,"""สี 1"""
Key_OuterWearColor2#0,"""สี 2"""
Key_BaseWearColor1#0,"""สี 1"""
Key_BaseWearColor2#0,"""สี 2"""
Key_InnerWearColor1#0,"""สี 1"""
Key_InnerWearColor2#0,"""สี 2"""
Key_CastMainColor#0,"""สีหลัก"""
Key_CastSubColor1#0,"""สีรอง 1"""
Key_CastSubColor2#0,"""สีรอง 2"""
Key_CastSubColor3#0,"""สีรอง 3"""
Key_SetWearColor1#0,"""สี 1"""
Key_SetWearColor2#0,"""สี 2"""
Key_RestoreDefaultColor#0,"""รีเซ็ตเป็นค่าเริ่มต้น"""
Key_CostumeColorFull#0,"""สีคอสตูม"""
Key_OuterWearColor1Full#0,"""สี Outerwear 1"""
Key_OuterWearColor2Full#0,"""สี Outerwear 2"""
Key_BaseWearColor1Full#0,"""สี Basewear 1"""
Key_BaseWearColor2Full#0,"""สี Basewear 2"""
Key_InnerWearColor1Full#0,"""สี Innerwear 1"""
Key_InnerWearColor2Full#0,"""สี Innerwear 2"""
Key_HairColor1Full#0,"""สีผม 1"""
Key_HairColor2Full#0,"""สีผม 2"""
Key_EyebrowsColorFull#0,"""สีคิ้ว"""
Key_EyeLashesColorFull#0,"""สีขนตา"""
Key_SetWearColor1Full#0,"""สี Setwear 1"""
Key_SetWearColor2Full#0,"""สี Setwear 2"""
Key_FullsetWearColor1Full#0,"""สี Full Setwear 1"""
Key_FullsetWearColor2Full#0,"""สี Full Setwear 2"""
Key_DefaultColor_Yellow#0,"""<yellow>สีเริ่มต้น<c>"""
Key_EyeColor_Right_Yellow#0,"""<yellow>สีตาขวา<c>"""
Key_EyeColor_Left_Yellow#0,"""<yellow>สีตาซ้าย<c>"""
Key_SkinMainColor_Yellow#0,"""<yellow>สีผิว<c>"""
Key_SkinSubColor_Yellow#0,"""<yellow>อันเดอร์โทนผิว<c>"""
Key_CastMainColor_Yellow#0,"""<yellow>สีหลัก<c>"""
Key_CastSubColor1_Yellow#0,"""<yellow>สีรอง 1<c>"""
Key_CastSubColor2_Yellow#0,"""<yellow>สีรอง 2<c>"""
Key_CastSubColor3_Yellow#0,"""<yellow>สีรอง 3<c>"""
Key_CostumeColorFull_Yellow#0,"""<yellow>สีคอสตูม<c>"""
Key_OuterWearColor1Full_Yellow#0,"""<yellow>สี Outerwear 1<c>"""
Key_OuterWearColor2Full_Yellow#0,"""<yellow>สี Outerwear 2<c>"""
Key_BaseWearColor1Full_Yellow#0,"""<yellow>สี Basewear 1<c>"""
Key_BaseWearColor2Full_Yellow#0,"""<yellow>สี Basewear 2<c>"""
Key_InnerWearColor1Full_Yellow#0,"""<yellow>สี Innerwear 1<c>"""
Key_InnerWearColor2Full_Yellow#0,"""<yellow>สี Innerwear 2<c>"""
Key_HairColor1Full_Yellow#0,"""<yellow>สีผม 1<c>"""
Key_HairColor2Full_Yellow#0,"""<yellow>สีผม 2<c>"""
Key_EyebrowsColorFull_Yellow#0,"""<yellow>สีคิ้ว<c>"""
Key_EyeLashesColorFull_Yellow#0,"""<yellow>สีขนตา<c>"""
Key_SetWearColor1Full_Yellow#0,"""<yellow>สี Setwear 1<c>"""
Key_SetWearColor2Full_Yellow#0,"""<yellow>สี Setwear 2<c>"""
Key_FullsetWearColor1Full_Yellow#0,"""<yellow>สี Full Setwear 1<c>"""
Key_FullsetWearColor2Full_Yellow#0,"""<yellow>สี Full Setwear 2<c>"""
Title_CategoryMenu#0,"""เมนูแก้ไข"""
Operation_CategoryMenu#0,"""เลือก: <%Decide>\u3000ยกเลิก: <%Cancel>\u3000เปลี่ยนระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000เลื่อนกล้องขึ้นลง: <swguidetype CameraUpDown>"""
Operation_CategoryMenu_Esthe#0,"""เปลี่ยนระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000เลื่อนกล้องขึ้นลง: <swguidetype CameraUpDown>\u3000แสดงหน้าต่างล็อก: <%MultiSelect>＋<%Function>\u3000เริ่มแชต: <%MultiSelect>＋<%Exception>"""
Key_Category_Preset#0,"""จัดการ Creation Data"""
Help_Category_Preset#0,"""บันทึกและโหลด Creation Data"""
Key_Category_Face#0,"""ปรับแต่งส่วนหัว"""
Help_Category_Face#0,"""เปลี่ยนทรงผมและปรับแต่งดวงตาของคุณ"""
Key_Category_Body#0,"""ปรับแต่งร่างกาย"""
Help_Category_Body#0,"""ปรับแต่งสัดส่วนร่างกายและสีผิวของคุณ"""
Key_Category_Fashion#0,"""ปรับแต่งแฟชั่น"""
Help_Category_Fashion#0,"""เปลี่ยนคอสตูม, Layered Wear, ชิ้นส่วน CAST และเลือกเครื่องประดับ (Accessories)"""
Key_Category_Other#0,"""ปรับแต่งอื่นๆ"""
Help_Category_Other#0,"""เปลี่ยนเสียง, Motion และการตั้งค่าอื่นๆ"""
Key_Category_CreateData#0,"""Create Data"""
Help_Category_CreateData#0,"""บันทึกและโหลด Creation Data"""
Key_Category_Test#0,"""ทดสอบต่างๆ"""
Help_Category_Test#0,"""ทดสอบดูว่าตัวละครของคุณจะเป็นอย่างไรเมื่อใช้ Motion และอยู่ใน Field ต่างๆ"""
Operation_Category_Test#0,"""คำแนะนำสำหรับเมนูทดสอบต่างๆ เลือก: <%Decide>\u3000ยกเลิก: <%Cancel>"""
Operation_EditItem#0,"""เลือก: <%Decide>\u3000ยกเลิก: <%Cancel>\u3000เปลี่ยนระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000เลื่อนกล้องขึ้นลง: <swguidetype CameraUpDown>"""
Operation_CategoryMenu_Esthe#1,"""เปลี่ยนระยะกล้อง: <swguidetype CameraLength>\u3000หมุนกล้อง: <swguidetype CameraTurn>\u3000เลื่อนกล้องขึ้นลง: <swguidetype CameraUpDown>\u3000แสดงหน้าต่างล็อก: <%MultiSelect>＋<%Function>\u3000เริ่มแชต: <%MultiSelect>＋<%Exception>"""
Key_Item_FacePreset#0,"""พรีเซ็ตตัวอย่าง"""
Help_Item_FacePreset#0,"""เลือกรูปแบบใบหน้าเริ่มต้น คุณสามารถนำมาปรับแต่งเพิ่มเติมในภายหลังได้"""
Key_Item_BodyPreset#0,"""การปรับแต่งแบบง่าย"""
Help_Item_BodyPreset#0,"""เลือกรูปแบบร่างกายเริ่มต้น คุณสามารถนำมาปรับแต่งเพิ่มเติมในภายหลังได้"""
Key_Item_Face#0,"""ใบหน้า"""
Help_Item_Face#0,"""เลือกโครงหน้า คุณยังสามารถปรับแต่งโครงร่างและตำแหน่งของสัดส่วนบนใบหน้าได้"""
Key_Item_HairAndHeadParts#0,"""ทรงผม & ชิ้นส่วนหัว"""
Help_Item_HairAndHeadParts#0,"""เลือกทรงผมหรือชิ้นส่วนหัว CAST ที่ต้องการใช้ คุณยังสามารถเปลี่ยนสีผมได้ด้วย"""
Key_Item_Neck#0,"""ปรับแต่งคอ"""
Help_Item_Neck#0,"""ปรับความยาวและความกว้างของคอ รวมถึงขนาดของศีรษะ"""
Key_Item_Eye#0,"""ดวงตา"""
Help_Item_Eye#0,"""เลือกรูปแบบดวงตาและตั้งค่าสี"""
Key_Item_EyeDetail#0,"""รายละเอียดดวงตา"""
Help_Item_EyeDetail#0,"""ปรับแต่งรูปร่างและขนาดของดวงตารวมถึงเปลือกตา"""
Key_Item_Eyebrows#0,"""คิ้ว"""
Help_Item_Eyebrows#0,"""เลือกรูปแบบคิ้ว คุณยังสามารถปรับสี, ตำแหน่ง และความหนาได้"""
Key_Item_Eyelashes#0,"""ขนตา"""
Help_Item_Eyelashes#0,"""เลือกรูปแบบขนตา คุณยังสามารถปรับสีขนตาได้"""
Key_Item_Nose#0,"""จมูก"""
Help_Item_Nose#0,"""ปรับแต่งขนาด, รูปทรง และความโด่งของจมูก"""
Key_Item_Mouth#0,"""ปาก / ฟัน"""
Key_Item_Teeth#0,"""ฟัน / ลิ้น"""
Help_Item_Mouth#0,"""ปรับแต่งขนาดและรูปทรงของปาก"""
Help_Item_Teeth#0,"""เลือกรูปแบบฟันและลิ้นของคุณ"""
Key_Item_EarAndHorn#0,"""หู / เขา"""
Help_Item_EarAndHorn#0,"""เลือกและปรับแต่งหูรวมถึงเขาของคุณ"""
Key_Item_MakePattern#0,"""รูปแบบเมคอัพ"""
Help_Item_MakePattern#0,"""เลือกรูปแบบของเมคอัพ / Face Paint"""
Key_Item_LineOfSight#0,"""ดวงตา"""
Key_Item_BodyTypeSelect#0,"""เลือกประเภทสรีระ (Body Type)"""
Help_Item_BodyTypeSelect#0,"""เลือกประเภทสรีระของคุณ Body Type จะเป็นตัวกำหนดตัวเลือกอื่นๆ ที่คุณสามารถใช้งานได้"""
Key_Item_ShapeAndBreast#0,"""สัดส่วนร่างกาย / หน้าอก"""
Help_Item_ShapeAndBreast#0,"""ปรับสมดุลของสัดส่วนร่างกายและบริเวณหน้าอก"""
Key_Item_ArmAndHand#0,"""ไหล่ / แขน / มือ"""
Help_Item_ArmAndHand#0,"""ปรับสมดุลของไหล่, แขน และมือ"""
Key_Item_WaistAndLeg#0,"""เอว / ขา"""
Help_Item_WaistAndLeg#0,"""ปรับสมดุลของเอวและขา"""
Key_Item_Skin#0,"""ผิวหนัง"""
Help_Item_Skin#0,"""เลือกประเภทและสีผิวของคุณ"""
Key_Item_BodyPaint#0,"""Body Paint"""
Help_Item_BodyPaint#0,"""เลือก Body Paint ของคุณและตั้งค่าลำดับการแสดงผลทับซ้อนกัน"""
Key_Item_MyFashion#0,"""มายแฟชั่น (My Fashion)"""
Help_Item_MyFashion#0,"""บันทึกหรือเลือกพรีเซ็ตแฟชั่นตัวละครของคุณ สามารถโหลดได้เฉพาะไอเทมที่อยู่ในช่องเก็บของ (Inventory) เท่านั้น"""
Key_Item_Costume#0,"""คอสตูม"""
Help_Item_Costume#0,"""เลือกคอสตูมที่จะสวมใส่ คุณยังสามารถแก้ไขสีของคอสตูมบางชุดได้ด้วย"""
Key_Item_Layering#0,"""Layering"""
Help_Item_Layering#0,"""เลือก Basewear, Outerwear และ Innerwear คุณยังสามารถแก้ไขสีของชุดได้ด้วย"""
Key_Item_CastParts#0,"""Cast Parts"""
Help_Item_CastParts#0,"""เลือก Body Parts, Arm Parts และ Leg Parts คุณยังสามารถแก้ไขสีของชิ้นส่วนได้ด้วย"""
Key_Item_DecorationsSetting#0,"""การแสดงผลเครื่องตกแต่ง"""
Help_Item_DecorationsSetting#0,"""เปลี่ยนการตั้งค่าการแสดงผลของเครื่องตกแต่งบางส่วนบน Basewear, Setwear และ Cast Parts ต่างๆ"""
Key_Item_Accessory#0,"""เครื่องประดับ (Accessories)"""
Help_Item_Accessory#0,"""เลือกและปรับแต่งเครื่องประดับ (Accessories)"""
Key_Item_Sticker#0,"""สติกเกอร์ (Sticker)"""
Help_Item_Sticker#0,"""เลือกสติกเกอร์ที่จะแสดงบนคอสตูม"""
Key_Item_Voice#0,"""ปรับแต่งเสียง"""
Help_Item_Voice#0,"""เลือกเสียงและปรับระดับความสูงต่ำของเสียง (Pitch)"""
Key_Item_FacialCustom#0,"""ปรับแต่งสีหน้า (Facial Expressions)"""
Help_Item_FacialCustom#0,"""ปรับแต่งรายละเอียดสีหน้าของคุณ"""
Key_Item_MotionCustom#0,"""ปรับแต่งการเคลื่อนไหว (Movement)"""
Help_Item_MotionCustom#0,"""เปลี่ยนแอนิเมชัน Motion การเคลื่อนไหวของตัวละครคุณ"""
Key_Item_CreateData_Save#0,"""บันทึก Creation Data"""
Help_Item_CreateData_Save#0,"""สามารถบันทึก Creation Data ได้ (แบ็กอัปไฟล์การออกแบบปัจจุบัน)"""
Key_Item_CreateData_Load#0,"""โหลด Creation Data"""
Help_Item_CreateData_Load#0,"""โหลด Creation Data (แสดงผลได้สูงสุด 100 รายการ)"""
Key_Item_MotionTest#0,"""ทดสอบการเคลื่อนไหว"""
Help_Item_MotionTest#0,"""เลือก Motion เพื่อทดสอบ"""
Key_Item_LobbyActionTest#0,"""ทดสอบ Lobby Action"""
Help_Item_LobbyActionTest#0,"""เลือก Lobby Action เพื่อทดสอบ"""
Key_Item_FieldTest#0,"""ทดสอบใน Field"""
Help_Item_FieldTest#0,"""เปลี่ยนพื้นหลังเป็น Field อื่น"""
Key_Item_LightingTest#0,"""ทดสอบแสง (Lighting)"""
Help_Item_ExpressionTest#0,"""ทดสอบสีหน้าตัวละครของคุณ"""
Key_Item_ExpressionTest#0,"""ทดสอบสีหน้า (Facial Expression)"""
Help_Item_LightingTest#0,"""ทดสอบดูว่าตัวละครของคุณจะเป็นอย่างไรในสภาพแสงที่แตกต่างกัน"""
Key_Item_Random#0,"""สุ่มข้อมูล (Randomize Data)"""
Help_Item_Random#0,"""สุ่มสร้างดีไซน์ตัวละคร"""
Key_Item_SyncOption#0,"""ตั้งค่าการซิงค์ Body Type"""
Help_Item_SyncOption#0,"""เลือกว่าจะให้ Body Type ของคุณซิงค์สัดส่วนโดยอัตโนมัติหรือไม่"""
Key_Item_EditMotionSelect#0,"""ตั้งค่าการเคลื่อนไหวใน Editor"""
Help_Item_EditMotionSelect#0,"""เปลี่ยนรูปแบบการเคลื่อนไหวของตัวละครคุณในขณะที่กำลังปรับแต่ง"""
Key_Item_MotionChange#0,"""ปรับแต่ง Motions"""
Help_Item_MotionChange#0,"""เลือก Motion ที่ต้องการใช้ในสถานการณ์ต่างๆ เช่น ท่ายืนนิ่ง (Idle) และท่ากระโดด"""
Key_Item_RunMotionChange#0,"""ปรับแต่งท่าวิ่ง (Run Motion)"""
Help_Item_RunMotionChange#0,"""สามารถเปลี่ยน Motion การวิ่งได้"""
Key_Item_EmoteTypeSelect#0,"""ประเภท Motion เริ่มต้น (Default)"""
Help_Item_EmoteTypeSelect#0,"""เลือกประเภทของ Lobby Action และ Motion อื่นๆ ที่คุณต้องการให้ความสำคัญเป็นหลัก"""
Key_Item_EstheOption#0,"""การตั้งค่า Salon"""
Help_Item_EstheOption#0,"""เปลี่ยนการตั้งค่ากล้องและการแสดงข้อมูลใน Beauty Salon"""
Key_Item_CreateData_LoadFace#0,"""โหลด Face Data"""
Help_Item_CreateData_LoadFace#0,"""โหลด Face Data ที่บันทึกไว้ (แสดงผลสูงสุด 100 รายการเรียงตามชื่อ) ※ไม่มีผลกับสีผิว"""
Key_Item_FaceEditMain_Simple#0,"""บริเวณใบหน้า (Face Area)"""
Help_Item_FaceEditMain_Simple#0,"""คุณสามารถเลือกรูปแบบใบหน้า ทรงผม และชิ้นส่วนหัว (Head Parts) ได้"""
Key_Item_FaceEditSub_Simple#0,"""อื่นๆ (Other)"""
Help_Item_FaceEditSub_Simple#0,"""คุณสามารถเลือกหู ฟัน ลิ้น และตั้งค่าสีผมได้"""
Key_Item_ArmAndHand_Simple#0,"""แขน / มือ"""
Help_Item_ArmAndHand_Simple#0,"""สามารถปรับสมดุลของแขนและมือได้"""
Key_Item_BodyEditSub_Simple#0,"""อื่นๆ (Other)"""
Help_Item_BodyEditSub_Simple#0,"""คุณสามารถเลือกรูปแบบผิวหนัง และตั้งค่าสีต่างๆ ได้"""
Key_Item_FaceAndHead_Simple#0,"""ใบหน้า / ส่วนหัว"""
Help_Item_FaceAndHead_Simple#0,"""คุณสามารถตั้งค่ารูปแบบใบหน้า ทรงผม สีผม และอื่นๆ ได้"""
Key_Item_AroundEyes_Simple#0,"""บริเวณดวงตา (Eye Area)"""
Help_Item_AroundEyes_Simple#0,"""คุณสามารถตั้งค่ารูปแบบดวงตา คิ้ว ขนตา และสีของดวงตาได้"""
Key_Item_EarHornAndMouth_Simple#0,"""หู / เขา / ปาก"""
Help_Item_EarHornAndMouth_Simple#0,"""คุณสามารถตั้งค่าหู เขา ฟัน และลิ้นได้"""
Key_Item_ColorEdit#0,"""จัดการสีแบบกลุ่ม (Batch Color Management)"""
Help_Item_ColorEdit#0,"""ช่วยให้คุณสามารถแก้ไขสีทั้งหมดที่เปลี่ยนได้จากหน้าจอเดียวกัน"""
Key_Item_Toon#0,"""ตั้งค่าการแสดงผลแบบ Toon"""
Help_Item_Toon#0,"""ตั้งค่าว่าจะให้แสดงตัวละครและคอสตูมในสไตล์ Toon (อนิเมะ) หรือไม่"""
Key_Item_ItemPack#0,"""ช่องเก็บของ / คลัง (Inventory/Storage)"""
Help_Item_ItemPack#0,"""เปิดเมนูช่องเก็บของ / คลัง"""
Title_SetAccessoryList#0,"""เครื่องประดับที่สวมใส่อยู่"""
Param_SetAccessoryName#0,"""$(0)"""
Label_RemoveAll#0,"""ถอดทั้งหมด"""
Label_RemoveAll_NoTag#0,"""ถอดทั้งหมด"""
Label_Cost#0,"""Cost"""
Label_Search#0,"""ค้นหา (Search)"""
Param_Cost_Now#0,"""$(0)"""
Param_Cost_Max#0,"""$(0)"""
Label_Cost_Slash#0,"""/"""
Title_AccessorySetting#0,"""ปรับแต่งเครื่องประดับ"""
Label_AccessoryAttach#0,"""ตำแหน่งที่ติดตั้ง (Attach Location)"""
Label_AccessoryColor1#0,"""ตั้งค่าสี 1"""
Label_AccessoryColor2#0,"""ตั้งค่าสี 2"""
Label_AccessoryPosition#0,"""ตำแหน่ง (Position)"""
Label_AccessoryRotation#0,"""การหมุน (Rotation)"""
Label_AccessorySize#0,"""ขนาด (Size)"""
Label_SizeSyncMove#0,"""ซิงค์การปรับขนาด (Sync Resize)"""
Label_X#0,"""X"""
Label_Y#0,"""Y"""
Label_Z#0,"""Z"""
Title_ColorSetting#0,"""ตั้งค่าสีเครื่องประดับ"""
Label_ZoneDefault#0,"""รีเซ็ตเป็นค่าเริ่มต้น (Reset to Defaults)"""
Label_ZoneSkin#0,"""สีผิว"""
Label_ZoneHair#0,"""สีผม"""
Label_ZoneEye#0,"""สีตา"""
Label_ZoneCostume#0,"""สีคอสตูม"""
Label_ZoneParts#0,"""สีชิ้นส่วน (Parts Colors)"""
Title_AttachSetting#0,"""ตั้งค่าตำแหน่งที่ติดตั้ง"""
Title_NowAttachPoint#0,"""การตั้งค่าปัจจุบัน"""
Param_NowAttachPoint#0,"""$(0)"""
Sort_Default#0,"""เรียงลำดับมาตรฐาน (Standard Sort)"""
Sort_Name#0,"""เรียงตามชื่อ"""
Sort_Cost#0,"""เรียงตาม Cost"""
Popup_Select#0,"""เปลี่ยน"""
Popup_Select_NoTag#0,"""เปลี่ยน"""
Popup_Custom#0,"""การตั้งค่าขั้นสูง"""
Label_Custom#0,"""การตั้งค่าขั้นสูง"""
Popup_Copy#0,"""คัดลอก"""
Popup_Paste#0,"""วาง"""
Popup_Remove#0,"""ถอด"""
Popup_Favorite#0,"""รายการโปรด"""
Message_CostOver#0,"""Cost เกินขีดจำกัด"""
Message_NotCopied#0,"""ไม่ได้ระบุแหล่งที่มาในการคัดลอก"""
Message_CopyFailed#0,"""คัดลอกล้มเหลว"""
Button_Init#0,"""รีเซ็ตการตั้งค่า"""
Button_Init_NoTag#0,"""รีเซ็ตการตั้งค่า"""
Message_Init#0,"""รีเซ็ตการตั้งค่าทั้งหมดหรือไม่?"""
Title_Init#0,"""ยืนยันการรีเซ็ต"""
Message_AllRemove#0,"""ถอดเครื่องประดับที่สวมใส่อยู่ทั้งหมดหรือไม่?"""
Title_AllRemoveCheck#0,"""ยืนยันการถอดของที่สวมใส่"""
Popup_Hint#0,"""คัดลอก & วาง เครื่องประดับ"""
Label_Color#0,"""แก้ไขสี"""
Accessory_Coordinate#0,"""（X,Y,Z：$(0),$(1),$(2)）"""
Title_BodyPreset#0,"""ปรับแต่งพรีเซ็ตรูปร่าง"""
Label_BodyBaseType#0,"""ประเภทรูปร่างพื้นฐาน"""
Label_BodyMorphing#0,"""ปรับสัดส่วนร่างกาย (Morphing)"""
Label_HeightSlider#0,"""ส่วนสูง"""
Title_FacialCustom#0,"""ปรับแต่งสีหน้า (Facial Expression)"""
Label_TestButton#0,"""ยืนยันสีหน้า"""
Label_TestButton_NoTag#0,"""ยืนยันสีหน้า"""
Label_Pause#0,"""หยุด"""
Label_DefaultButton#0,"""รีเซ็ตเป็นค่าเริ่มต้น"""
Label_DefaultButton_NoTag#0,"""รีเซ็ตเป็นค่าเริ่มต้น"""
Label_EyeSize#0,"""ขนาดม่านตา"""
Label_EyebrowUpDown_Right#0,"""คิ้วขวา: ความสูง"""
Label_EyebrowUpDown_Left#0,"""คิ้วซ้าย: ความสูง"""
Label_EyeCornerUpDown#0,"""หางตา: ความสูง"""
Label_EyeClose_Right#0,"""เปลือกตาขวา: ความสูง"""
Label_EyeClose_Left#0,"""เปลือกตาซ้าย: ความสูง"""
Label_EyebrowPrompt_Right#0,"""คิ้วขวา: อารมณ์"""
Label_EyebrowPrompt_Left#0,"""คิ้วซ้าย: อารมณ์"""
Label_MouthUpDown_Right#0,"""มุมปากขวา: ความสูง"""
Label_MouthUpDown_Left#0,"""มุมปากซ้าย: ความสูง"""
Label_Tongue#0,"""ปรับตำแหน่งลิ้น"""
Label_TongueHorizon#0,"""ปรับตำแหน่งลิ้น ซ้าย/ขวา"""
Label_TongueVertical#0,"""ปรับตำแหน่งลิ้น ขึ้น/ลง"""
Label_MouthForm_A#0,"""รูปปาก (A)"""
Label_MouthForm_I#0,"""รูปปาก (I)"""
Label_MouthForm_U#0,"""รูปปาก (U)"""
Label_MouthForm_E#0,"""รูปปาก (E)"""
Label_MouthForm_O#0,"""รูปปาก (O)"""
Label_EyebrowsMood_Right#0,"""คิ้วขวา: อารมณ์"""
Label_EyebrowsMood_Left#0,"""คิ้วซ้าย: อารมณ์"""
Title_DefaultCheck#0,"""รีเซ็ตเป็นค่าเริ่มต้น"""
Message_DefaultCheck#0,"""การดำเนินการนี้จะรีเซ็ตเป็นค่าเริ่มต้น ต้องการดำเนินการต่อหรือไม่?"""
Label_SyncEyelib#0,"""ซิงค์ความสูงเปลือกตา"""
Label_SyncEyebrowPosition#0,"""ซิงค์การปรับความสูงคิ้ว"""
Label_SyncEyebrowMood#0,"""ซิงค์การปรับอารมณ์คิ้ว"""
Label_SyncMouthShape#0,"""ซิงค์ความสูงมุมปาก"""
Label_LipOpenClose#0,"""ปรับการอ้า/หุบริมฝีปาก"""
Label_mouthCornerPosition#0,"""ตำแหน่งมุมปาก"""
Label_mouthCornerShape#0,"""รูปทรงมุมปาก"""
Label_upperLipShape#0,"""รูปทรงริมฝีปากบน"""
Label_lowerLipShape#0,"""รูปทรงริมฝีปากล่าง"""
Label_lipRatio#0,"""สัดส่วนริมฝีปาก บน/ล่าง"""
Label_teethOpenClose#0,"""ปรับการอ้า/หุบฟัน"""
Label_teethVerticalPosition#0,"""ตำแหน่งฟันแนวตั้ง"""
Label_jawOpenClose#0,"""ปรับการอ้า/หุบขากรรไกรล่าง"""
Label_eyelashAngle#0,"""องศาขนตา"""
Label_eyelashLength#0,"""ความยาวขนตา"""
Label_eyeShadow#0,"""อายแชโดว์ (Eye Shadow)"""
Label_pupilShape#0,"""รูปทรงรูม่านตา"""
Label_lipSyncStrength#0,"""ความแรงของ Lip Sync"""
Title_HeadPreset#0,"""ปรับแต่งพรีเซ็ตใบหน้า"""
Label_FaceBaseType#0,"""ประเภทใบหน้าพื้นฐาน"""
