ErrorMember#0,"""$(0)는 팀 멤버가 아닙니다."""
Menu#0,"""스카우트 철회"""
Msg1#5,"""$(0) 님에게 제안한<br>스카우트 요청을 철회하시겠습니까?"""
Msg2#5,"""「$(0)」 님에게 제안한 스카우트 요청을 철회했습니다."""
Error1#4,"""스카우트 제안을 철회할 권한이 없습니다."""
ErrorOther#3,"""스카우트 제안을 철회할 수 없습니다."""
ConfirmTitle#4,"""스카우트 제안 철회 확인"""
ErrorTitle#4,"""스카우트 제안 철회"""
Msg1#6,"""「$(0)」 님은<br>블록 리스트로 등록되어 있습니다.<br><br>그래도 스카우트하시겠습니까?"""
Msg2#6,"""「$(0)」 님을 스카우트하시겠습니까?"""
Msg3#2,"""「$(0)」 님을 스카우트했습니다."""
Error1#5,"""「$(0)」 님은<br>이미 소속된 팀이 있어<br>스카우트 할 수 없습니다."""
Error2#4,"""스카우트 중인 인원을 포함한<br>팀 멤버 수가 100명을 초과하므로<br>스카우트 할 수 없습니다."""
Error3#3,"""「$(0)」 님은 5명에게 제안을 받고 있으므로<br>스카우트 할 수 없습니다."""
Error4#0,"""이미 스카우트 중입니다."""
Error5#0,"""스카우트 권한이 없습니다."""
Error6#0,"""팀 기능을 이용하는 데 실패했습니다.<br><br>스카우트 수가 상한치일 경우<br>제안을 철회해야 합니다.<br><br>혹은 일시적으로 기능 이용이 제한되었을<br>가능성도 있으므로<br>잠시 뒤 다시 시도해 주십시오."""
ErrorOther#4,"""스카우트 할 수 없습니다."""
ConfirmTitle#5,"""스카우트확인"""
ErrorTitle#5,"""스카우트"""
SendTitle#0,"""팀 스카우트 송신 확인"""
SendMsg#0,"""「$(0)」 님을<br>「$(1)」에<br>스카우트하시겠습니까?<br><br>메시지를 전송할 수 있습니다.<br>이 메시지로 스카우트하시겠습니까?"""
DefaultMessage#0,"""저희 팀에서 같이 게임 하실래요?"""
ConfirmTitle#6,"""팀 마스터 인계 확인"""
ErrorTitle#6,"""팀 마스터 인계"""
Msg1#7,"""팀 마스터 양도 제안을 받았습니다.<br>팀 마스터 권한을 받으시겠습니까?"""
Msg2#7,"""팀 마스터가 되었습니다."""
Msg3#3,"""팀 마스터 직에서 물러났습니다."""
Error1#6,"""팀 마스터 직 요청이 없습니다."""
Error2#5,"""팀 멤버가 아닙니다."""
Error3#4,"""팀 마스터가 되지 못했습니다."""
Msg1#8,"""「$(0)」 님에게<br>팀 마스터 권한을 양도하시겠습니까?"""
Msg2#8,"""「$(0)」 님에게 팀 마스터 권한 양도를 제안했습니다."""
Msg3#4,"""「$(0)」 님이 팀 마스터 양도를 받아들였습니다."""
Msg4#2,"""「$(0)」 님이 팀 마스터 양도를 거절했습니다."""
Error1#7,"""이미 팀 마스터 양도 제안을 하셨습니다."""
Error2#6,"""상대방이 매니저가 아닙니다."""
ErrorOther#5,"""팀 마스터 양도 제안에 실패했습니다."""
ConfirmTitle#7,"""팀 마스터 양도 확인"""
ErrorTitle#7,"""팀 마스터 양도"""
Msg1#9,"""「$(0)」 님을<br>팀에서 제명하시겠습니까?"""
Msg2#9,"""「$(0)」 님을 팀에서 제명했습니다."""
Error1#8,"""제명할 권한이 없습니다."""
Error2#7,"""팀 마스터는 제명 대상이 아닙니다."""
Error3#5,"""이 팀은 현재 일시적으로<br>일부 기능이 이용정지된 상태입니다.<br><br>잠시 뒤 다시 시도해 주십시오."""
ErrorOther#6,"""「$(0)」 님을 제명하지 못했습니다."""
ConfirmTitle#8,"""팀 제명 확인"""
ErrorTitle#8,"""팀 제명"""
Promote_Msg1#0,"""$(0) 님을 <br>$(1) 등급으로<br>승격시키겠습니까?"""
Promote_Msg2#0,"""「$(0)」 님을 $(1) 등급으로 승격했습니다."""
Promote_Error1#0,"""$(0) 님을<br>$(1) 등급으로<br>승격할 권한이 없습니다."""
Promote_ErrorOther#0,"""승격하지 못했습니다."""
Promote_ConfirmTitle#0,"""팀 승격 확인"""
Promote_TitleTitle#0,"""팀 승격"""
Demote_Msg1#0,"""$(0) 님을<br>$(1) 등급으로<br>강등시키겠습니까?"""
Demote_Msg2#0,"""「$(0)」 님을 $(1) 등급으로 강등했습니다."""
Demote_Error1#0,"""$(0) 님을<br>$(1) 등급으로<br>강등할 권한이 없습니다."""
Demote_ErrorOther#0,"""강등하지 못했습니다."""
Demote_ConfirmTitle#0,"""팀 강등 확인"""
Demote_ErrorTitle#0,"""팀 강등"""
Msg1#10,"""직접 팀을 설립하시겠습니까?"""
Msg2#10,"""팀명을 입력하세요."""
Msg3#5,"""「$(0)」 팀을 설립했습니다."""
Error1#9,"""팀을 설립하려면<br>클래스 레벨이 10 이상이어야 합니다."""
Error2#8,"""사용할 수 없는 팀명입니다."""
Error3#6,"""이미 팀에 소속되어 있습니다."""
Error4#1,"""사용할 수 없는 팀명입니다."""
Error5#1,"""팀명이 너무 깁니다."""
Error6#1,"""사용할 수 없는 단어가 포함되어 있습니다."""
Error7#0,"""사용할 수 없는 기호가 포함되어 있거나<br>이름 앞뒤에 반각 또는 전각 띄어쓰기 부호가<br>포함되어 있습니다."""
ErrorOther#7,"""팀을 설립하지 못했습니다."""
ConfirmTitle#9,"""팀 설립 확인"""
InputTitle#0,"""팀 설립 """
ErrorTitle#9,"""팀 설립 """
RenameTitle#0,"""팀명 변경"""
guild_level#0,"""현재 팀 레벨"""
guild_point#0,"""현재 팀 포인트"""
extend_topic#0,"""확장 항목"""
extend_level#0,"""필요한 팀 레벨"""
extend_point#0,"""소비 팀 포인트"""
point#0,"""TP"""
level#0,"""Lv."""
nothing#0,"""선택할 수 있는 항목이 없습니다"""
move#0,"""거점 이동처 선택"""
move_date#0,"""$(0)까지"""
move_date2#0,"""기한 : $(0)까지."""
move_default#0,"""(초기룸)"""
move_00#0,"""우주공간"""
move_01#0,"""온천 거점"""
move_02#0,"""밀림 거점"""
move_03#0,"""해안 거점"""
move_04#0,"""사막 거점"""
move_05#0,"""동토 거점"""
move_06#0,"""야경 거점"""
move_07#0,"""부유 거점"""
janitor#0,"""담당자 선택"""
janitor_looks#0,"""미리보기"""
janitor_00#0,"""에나"""
janitor_01#0,"""투리아"""
janitor_02#0,"""펜데"""
janitor_03#0,"""에냐"""
janitor_04#0,"""미젠"""
janitor_05#0,"""테셀라"""
janitor_06#0,"""지오"""
janitor_07#0,"""크시"""
janitor_08#0,"""비앙카"""
janitor_09#0,"""리카르도"""
janitor_10#0,"""스즈란"""
janitor_11#0,"""랍피"""
janitor_12#0,"""리리파"""
janitor_decide#0,"""담당자로 결정"""
janitor_voice#0,"""음성 확인"""
confirm_point#0,"""(현재 포인트：$(0)TP)"""
change_bgm_tune#0,"""곡조 변경"""
no_change_bgm_tune#0,"""이 곡은 곡조를 변경할 수 없습니다."""
Adaptive_Tune0#0,"""튠 A"""
Adaptive_Tune1#0,"""튠 B"""
Adaptive_Tune2#0,"""튠 C"""
Adaptive_Tune3#0,"""튠 D"""
Adaptive_Tune4#0,"""튠 E"""
Adaptive_Tune5#0,"""튠 F"""
Adaptive_Tune6#0,"""튠 G"""
Adaptive_Tune7#0,"""튠 H"""
Adaptive_Tune8#0,"""튠 I"""
Adaptive_Tune9#0,"""튠 J"""
cancel_confirm#0,"""변경사항을 반영하지 않고 종료합니다.<br><br>종료하시겠습니까?"""
cancel_message#0,"""변경사항이 없으므로 TP를 소비하지 않았습니다."""
move_08#0,"""일본식 거점"""
move_09#0,"""수상 유적 거점"""
move_10#0,"""파이오니어2(시티)"""
move_11#0,"""도쿄 거점"""
move_12#0,"""전함 거점"""
move_13#0,"""월면 거점"""
move_14#0,"""계류 거점"""
Adaptive_Tune10#0,"""튠 K"""
Adaptive_Tune11#0,"""튠 L"""
Adaptive_Tune12#0,"""튠 M"""
Adaptive_Tune13#0,"""튠 N"""
Adaptive_Tune14#0,"""튠 O"""
Adaptive_Tune15#0,"""튠 P"""
Adaptive_Tune16#0,"""튠 Q"""
Adaptive_Tune17#0,"""튠 R"""
Adaptive_Tune18#0,"""튠 S"""
Adaptive_Tune19#0,"""튠 T"""
Adaptive_Tune20#0,"""튠 U"""
Adaptive_Tune21#0,"""튠 V"""
Adaptive_Tune22#0,"""튠 W"""
Adaptive_Tune23#0,"""튠 X"""
Adaptive_Tune24#0,"""튠 Y"""
Adaptive_Tune25#0,"""튠 Z"""
contents_00#0,"""팀 레벨업(Lv.2)"""
contents_01#0,"""팀 레벨업(Lv.3)"""
contents_02#0,"""팀 레벨업(Lv.4)"""
contents_03#0,"""팀 레벨업(Lv.5)"""
contents_04#0,"""팀룸 획득"""
contents_05#0,"""팀 액세서리 기능 획득"""
contents_06#0,"""팀 액세서리 변경"""
contents_07#0,"""팀 창고 획득"""
contents_08#0,"""팀 창고 용량 업(100)"""
contents_09#0,"""팀 창고 용량 업(150)"""
contents_10#0,"""팀 창고 용량 업(200)"""
contents_11#0,"""팀 창고 용량 업(250)"""
contents_12#0,"""팀 창고 용량 업(300)"""
contents_13#0,"""팀룸 거점 변경"""
contents_14#0,"""팀 카운터 담당자 변경"""
contents_15#0,"""계절 데코레이션 획득"""
contents_16#0,"""팀룸 BGM 변경"""
contents_17#0,"""곡조 변경"""
contents_18#0,"""팀룸 BGM 초기화"""
contents_19#0,"""팀 액세서리 시착"""
contents_20#0,"""팀 액세서리 시착"""
contents_21#0,"""심볼 아트 모니터 등록/변경"""
contents_22#0,"""심볼 아트 모니터 삭제"""
contents_23#0,"""팀명 변경"""
contents_24#0,"""팀룸 잠금 해제"""
contents_25#0,"""팀룸 잠금"""
contents_26#0,"""팀 전용 상점 획득"""
confirm_00#0,"""$(0)TP를 소모해<br>팀 레벨을 Lv.$(1)로 만듭니다.<br><br>진행하시겠습니까?"""
confirm_01#0,"""$(0)TP를 소모해<br>팀룸을 사용 가능하게 만듭니다.<br><br>진행하시겠습니까?"""
confirm_02#0,"""$(0)TP를 소모해<br>팀룸 내에서 팀 전용<br>창고 단말기를 사용할 수 있게 합니다.<br><br>진행하시겠습니까?"""
confirm_03#0,"""$(0)TP를 소모해<br>팀 참고 용량을 「$(1)」까지<br>확장합니다.<br><br>진행하시겠습니까?"""
confirm_04#0,"""$(0)TP를 소모해<br>「$(1)」 팀룸으로 변경합니다.<br><br>진행하시겠습니까?"""
confirm_04_1#0,"""$(0)TP를 소모해<br>「$(1)」 팀룸으로 되돌립니다.<br><br>진행하시겠습니까?"""
confirm_05#0,"""$(0)TP를 소모해<br>팀 카운터 담당자를 변경합니다.<br><br>진행하시겠습니까?"""
confirm_06#0,"""$(0)TP를 소모해<br>계절 데코레이션을 설치 가능하게 합니다.<br><br>진행하시겠습니까?"""
confirm_07#0,"""$(0)TP를 소모해<br>팀룸 BGM을 변경합니다.<br><br>진행하시겠습니까?"""
confirm_08#0,"""곡조를 변경합니다.<br><br>진행하시겠습니까?"""
confirm_09#0,"""팀룸 BGM을 초기상태로 되돌립니다.<br><br>진행하시겠습니까?"""
confirm_10#0,"""$(0)TP를 소모해<br>팀 액세서리 기능을 획득합니다.<br><br>팀 액세서리 장비 중에는<br>액세서리 선택4가 표시되지 않습니다.<br><br>진행하시겠습니까?"""
confirm_11#0,"""액세서리 선택4를 비표시 상태로 만들고<br>팀 액세서리를 시착합니다.<br>시착 반영은 팀룸을 나가는 순간 해제됩니다.<br><br>진행하시겠습니까?"""
confirm_12#0,"""$(0)TP를 소모해<br>팀 액세서리를 변경합니다.<br><br>진행하시겠습니까?"""
confirm_13#0,"""액세서리 선택4를 비표시 상태로 만들고<br>팀 액세서리를 시착합니다.<br>시착 반영은 팀룸을 나가는 순간 해제됩니다.<br><br>진행하시겠습니까?"""
confirm_14#0,"""$(0)TP를 소모해<br>심볼 아트 모니터 편집을 유효하게 변경합니다.<br><br>진행하시겠습니까?"""
confirm_15#0,"""선택한 심볼 아트 모니터를 삭제합니다.<br><br>진행하시겠습니까?"""
confirm_16#0,"""$(0)TP를 소모해<br>팀명을 변경합니다.<br><br>진행하시겠습니까?"""
confirm_17#0,"""팀룸 잠금을 해제합니다.<br><br>진행하시겠습니까?"""
confirm_18#0,"""팀룸을 잠급니다.<br><br>진행하시겠습니까?"""
confirm_19#0,"""$(0)TP를 소모해<br>팀 전용 상점을 사용할 수 있게 합니다.<br><br><yellow>※이하 팀 멤버는<br> 팀 전용 상점의 이용 및<br> 아이템 부여 대상에서 제외됩니다.<br>  ・입단 7일 미만인 멤버<br>  ・30일 이상 접속 기록이 없는 멤버<c><br><br>진행하시겠습니까?"""
Moving_00#0,"""거점 변경처 후보"""
Moving_01#0,"""팀룸 거점 풍경"""
success_00#0,"""팀 레벨이 Lv.$(0)가 되었습니다."""
success_00_lv4#0,"""팀 레벨이 Lv.4가 되어 팀룸 내부 카운터에 「MusicDisc 등록」이 추가되었습니다."""
success_00_lv5#0,"""팀 레벨이 Lv.5가 되어 팀룸 내부 카운터에 「팀 액세서리」기능이 추가되었습니다."""
success_01#0,"""팀룸을 사용할 수 있게 되었습니다. 자세한 사항은 우편함을 확인해 주십시오."""
success_02#0,"""팀 창고를 사용할 수 있게 되었습니다."""
success_03#0,"""팀 창고 용량이 확장됐습니다."""
success_04#0,"""팀 룸 변경 : 「$(0)」."""
success_05#0,"""팀 카운터 담당자가 변경되었습니다."""
success_06#0,"""팀룸에 계절 데코레이션이 나타나도록 변경되었습니다."""
success_07#0,"""팀룸 BGM을 변경했습니다."""
success_08#0,"""곡조를 변경했습니다."""
success_09#0,"""팀룸 BGM을 초기화했습니다."""
success_10#0,"""팀 액세서리 기능을 획득했습니다. 자세한 사항은 우편함을 확인해 주십시오."""
success_11#0,"""팀 액세서리를 시착했습니다."""
success_12#0,"""팀 액세서리를 변경했습니다. 자세한 사항은 우편함을 확인해 주십시오."""
success_13#0,"""팀 액세서리를 시착했습니다."""
success_14#0,"""심볼 아트 모니터의 설정/변경이 완료되었습니다."""
success_15#0,"""선택된 심볼 아트 모니터를 삭제했습니다."""
success_16#0,"""팀명을 변경했습니다."""
success_17#0,"""팀룸의 잠금을 해제했습니다."""
success_18#0,"""팀룸을 잠궜습니다."""
success_19#0,"""팀 전용 상점을 사용할 수 있게 되었습니다."""
error_00#0,"""팀 포인트가 부족합니다."""
