Coin#0,"""소지 카지노 코인"""
LimitedItemTitle2#0,"""<yellow>리셋 일자<c>"""
LimitedItemText1#0,"""$(0)개까지 교환 가능 """
LimitedItemText2#0,"""앞으로 $(0)개"""
LimitedItemTitle3#0,"""교환 아이템 정보"""
title_big_gacha#0,"""코인 교환기"""
2gide_big_gacha#0,"""<c f0df60>카지노 코인 패스 1장으로 1회 사용 가능하며 카지노 코인이 당첨됩니다.<c>"""
content_big_gacha#0,"""코인 교환기"""
mawasu_gacha#0,"""코인 교환기를 돌린다"""
Play_1Time#0,"""1번 돌린다"""
Play_5Time#0,"""5번 돌린다"""
Return#0,"""돌아간다"""
PrizeInfo#0,"""경품 정보"""
PosCoin#0,"""획득 카지노 코인"""
PlayConfirmTitle#0,"""확인"""
PlayConfirm#0,"""카지노 코인 패스를 $(0)장 사용합니다.<br>괜찮으시겠습니까?<br><br>(소지 카지노 코인 패스 : $(1)장)"""
CoinPassMiss#0,"""카지노 코인 패스가 부족합니다."""
SystemError#0,"""교환에 실패했습니다."""
SuccessMessage#0,"""카지노 코인을 획득했습니다."""
ExplainMessage#0,"""$(0)～$(1)<pict AmusementCoin>"""
ExplainMessage2#0,"""<c ffff00>$(0)～$(1)<pict AmusementCoin>(캠페인 중)<c>"""
Step_1#0,"""<c ffffff>$(0)<c><pict AmusementCoin>"""
Step_2#0,"""<c 00ff00>$(0)<c><pict AmusementCoin>"""
Step_3#0,"""<c ffa800>$(0)<c><pict AmusementCoin>"""
Step_4#0,"""<c ffff00>$(0)<c><pict AmusementCoin>"""
CoinPlayMax#0,"""카지노 코인은<br>$(0)을 초과하여 소지할 수 없습니다.<br>그래도 돌리시겠습니까?"""
CampaignText#0,"""-"""
SuperCampaignText#0,"""-"""
react_red1#0,"""아주 맛있는 맛이다.\u3000(◇◇◇◇◇)"""
react_red2#0,"""내 입맛에 맞는 맛이다.\u3000(◇◇◇◇)"""
react_red3#0,"""좋지도 나쁘지도 않은 맛이다.\u3000(◇◇◇)"""
react_red4#0,"""입맛에 맞지 않는 맛이다.\u3000(◇◇)"""
react_red5#0,"""아주 미묘한 맛이다.\u3000(◇)"""
react_blue1#0,"""상쾌한 기분이다.\u3000(♪♪♪♪♪)"""
react_blue2#0,"""산뜻한 기분이다.\u3000(♪♪♪♪)"""
react_blue3#0,"""여느 때와 같은 기분이다.\u3000(♪♪♪)"""
react_blue4#0,"""뭔가 부족한 기분이다.\u3000(♪♪)"""
react_blue5#0,"""축 늘어지는 기분이다.\u3000(♪)"""
react_purple1#0,"""지금의 운세는 : 대길!!\u3000(☆☆☆☆☆)"""
react_purple2#0,"""지금의 운세는 : 중길!\u3000(☆☆☆☆)"""
react_purple3#0,"""지금의 운세는 : 길\u3000(☆☆☆)"""
react_purple4#0,"""지금의 운세는 : 말길!\u3000(☆☆)"""
react_purple5#0,"""지금의 운세는 : 흉!!\u3000(☆)"""
title_shooter#0,"""메세탄 슈터"""
2gide_shooter#0,"""<c f0df60>최대 4인 플레이로 메세탄 슈터를 플레이 할 수 있습니다.<c>"""
2gide_shooter_item#0,"""<c f0df60>$(0)<pict AmusementCoin>으로$(1)배<c>"""
content_shooter#0,"""메세탄 슈터"""
shooter_help#0,"""사격 : <%NormalAttack> 이동 : <%LStick> 카메라 조작 : <%RStick> 도중에 퇴석 : <%MainMenu>"""
shooter_help_key#0,"""사격 : <%NormalAttack> 이동 : <%MoveLeft>/<%MoveRight> 카메라 조작 : 마우스 이동 도중에 퇴석 : Esc"""
away_confirmation#0,"""퇴석 확인"""
away_button#0,"""퇴석한다"""
shooter_result#0,"""슈터 결과"""
shooter_result_comment#0,"""메세탄 슈터를 계속할까요?"""
acquisition_cc#0,"""획득<pict AmusementCoin>"""
possession_cc#0,"""총 소지량<pict AmusementCoin>"""
rate_1#0,"""브론즈"""
rate_2#0,"""실버"""
rate_3#0,"""골드"""
shooter_menu_item#0,"""$(0) 모드로 플레이"""
cc_with_icon#0,"""$(0)<pict AmusementCoin>"""
shooter_result_item#0,"""$(0)<pict AmusementCoin>으로 플레이($(1)모드)"""
contents_info_title#0,"""메세탄 슈터 정보"""
contents_info#0,"""<space>"""
contents_info_rate#0,"""$(0) 모드"""
player_num#0,"""플레이어 인원수\u3000$(1)／$(0)"""
shooter_menu_message#0,"""$(0)<pict AmusementCoin>으로<br>메세탄 슈터를 플레이합니다.<br>괜찮으시겠습니까?<br><br>(소지 코인 <pict AmusementCoin>：$(1)）<br><br>메세탄 슈터 플레이 중에는<br>파티나 퀘스트와 관련된<br>일부 알림이 오지 않습니다."""
shooter_menu_coin_message#0,"""카지노 코인이 부족합니다."""
away_message#0,"""메세탄 슈터에서 퇴장하여<br>획득한 코인을 정산합니다.<br><br>괜찮으시겠습니까?"""
line_message#0,"""WAITING…<br>현재 WAVE가 끝날 때까지 기다려주세요."""
toast_playing#0,"""다른 플레이어가 플레이 중이므로 불가능합니다."""
toast_burst_failed#0,"""다른 플레이어가 PSE 버스트 중입니다. 잠시만 기다려주세요."""
toast_coin_message#0,"""코인이 부족하므로 게임을 종료했습니다."""
CampaignText#1,"""PSE 레벨 상승 배율 UP"""
SuperCampaignText#1,"""PSE 레벨 상승 배율<yellow>크게 UP!<c>"""
title_slot#0,"""랍피 슬롯"""
2gide_slot#0,"""<c f0df60>랍피 슬롯을 플레이 할 수 있습니다.<c>"""
content_slot#0,"""랍피 슬롯"""
bet_maisu#0,"""베팅 코인 수"""
Coin#1,"""남은 코인 수"""
slot_tonyu#0,"""투입"""
slot_help#0,"""투입\u3000\u3000\u3000\u3000\u3000/← →<br>시작\u3000\u3000\u3000/Enter<br>슬롯 종료/Esc<br>배당표를 본다\u3000/End<br>도움말\u3000\u3000\u3000\u3000/Home"""
slot_haitohyo#0,"""배당표"""
SlotInfo#0,"""기본 정보"""
SlotBonus#0,"""보너스 게임 당첨 횟수"""
SlotMeter#0,"""랍피 미터"""
SlotJackpot#0,"""JACKPOT"""
SlotMenuPlay#0,"""플레이한다"""
SlotMenuBack#0,"""돌아간다"""
SlotMenuTitle#0,"""랍피 슬롯 정보"""
BasicInfo#0,"""1회 플레이에 1～5<pict AmusementCoin>"""
BonusNum#0,"""$(0)회"""
RappyOn#0,"""<pict slot_rappy_on>"""
RappyOff#0,"""<pict slot_rappy_off>"""
EndConfirmTitle#0,"""종료 확인"""
EndConfirm#0,"""랍피 슬롯을 종료합니다.<br>괜찮으시겠습니까?"""
CoinNum#0,"""$(0)<pict AmusementCoin>"""
InfoCoinNum#0,"""x $(0)"""
InfoStr00#0,"""+bonusgame"""
InfoStr01#0,"""meter+1"""
InfoCoin_01#0,"""x100"""
InfoCoin_02#0,"""x 30"""
InfoCoin_03#0,"""x 15"""
InfoCoin_04#0,"""x10"""
InfoCoin_05#0,"""x 8"""
InfoCoin_06#0,"""x 5"""
InfoCoin_07#0,"""x 3"""
Help_00#0,"""투입"""
Help_01#0,"""시작"""
Help_02#0,"""배당표"""
Help_03#0,"""종료"""
Help_04#0,"""채팅"""
Help_10#0,"""[↑][↓]키"""
Help_10a#0,"""<pict Alpha_UP><pict Alpha_DOWN>"""
Help_10b#0,"""<pict Sign_UP><pict Sign_DOWN>"""
Help_10c#0,"""<pict Number_UP><pict Number_DOWN>"""
Help_11#0,"""<%Decide>"""
Help_12#0,"""[←][End]키"""
Help_12a#0,"""<pict Alpha_LEFT>"""
Help_12b#0,"""<pict Sign_LEFT>"""
Help_12c#0,"""<pict Number_LEFT>"""
Help_13#0,"""<%Cancel>/[ESC]키"""
Help_13a#0,"""<%Cancel>"""
Help_14#0,"""<pict Sign_SELECT>"""
Help_14a#0,"""<pict Sign_START>"""
SlotInitMsg#0,"""-,---,---"""
NoCoinTitle#0,"""카지노 코인 에러"""
NoCoinMessage#0,"""카지노 코인이 부족합니다."""
WaitLongMsg#0,"""일정 시간 동안 랍피 슬롯을 움직이지 않아 퇴석되었습니다."""
ChanceModeExplanation#0,"""/mn17 뀨-♪프리 스핀에 돌입 뀨!<br>WILD 그림 출현 확률 상승중! 기대하라뀨뀨뀨"""
BonusModeExplanation#0,"""/mn38 /toge 뀨우뀨우-♪♪\u3000랍피 PSE 버스트 중에는 출현한 WILD 그림이 홀드 된다 뀨! 지금이 승부수를 걸 때다 뀨!"""
JackpotText#0,"""/mn22 /toge $(0)！<br>뀨-우!\u3000대단해!\u3000뀨뀨뀨-웃!"""
TipsText0#0,"""/mn9 WILD 그림은 어떤 그림이든 어울리는 특별한 그림이야 뀨!"""
TipsText1#0,"""/mn1 발자국 마크는 꽝이야……뀨우"""
TipsText2#0,"""/mn9 랍피 미터가 5개 쌓였다면<br>타이밍 좋게 WILD 그림을 노려라 뀨!"""
TipsText3#0,"""/mn9 랍피 PSE 찬스는 중앙의 릴이 WILD 그림에 홀드 된다 뀨!"""
TipsText4#0,"""/mn9 랍피 PSE 버스트 중에는 WILD 그림이<br>멈추면 홀드 되니까 대 찬스다 뀨!"""
TipsText5#0,"""/mn9 WILD 그림이 모두 나열되면 잭팟!\u3000뀨뀨！"""
TipsText6#0,"""/mn9 잭팟에 당첨되면<br>한 가득 코인을 얻는다 뀨!"""
TipsText7#0,"""/mn9 당첨되기 쉬운 머신과 당첨되기 어려운 머신이<br>있는 것 같아……이 머신은 분명 괜찮을 거야!"""
TipsText8#0,"""/mn9 베팅 코인 수에 따라 보상 코인 수가<br>배로 늘어날 거야!"""
TipsText9#0,"""/mn9 랍피 PSE 찬스는 돌입 시의<br>베팅 코인 수를 유지한 채로 프리 스핀한다 뀨!"""
TipsText10#0,"""/mn16 /moya 오늘도 당첨되자 랍피의 날!\u3000뀨우뀨우!"""
TipsText11#0,"""/moya /mn4 당첨돼줘 부탁이야 뀨뀨뀨-!"""
TipsText12#0,"""/mn15 이길 때까지 하면 패배는 없어 뀨뀨!"""
TipsText13#0,"""/mn7 랍피의 신이시여 부탁합니다 뀨!"""
TipsText14#0,"""/mn10 대박나면 넘치도록 경품을 받을 수 있다 뀨!"""
TipsText15#0,"""/mn20 뀨우뀨우!\u3000슬슬 흐름을 탈 것 같아!"""
TipsText16#0,"""랍피 PSE 찬스를 쓰고싶어!\u3000뀨뀨！"""
TipsText17#0,"""랍피 PSE 찬스까지 간다면……<br>뀨뀨뀻!"""
TipsText18#0,"""/mn1 뀨우……너무 빨리 돌아서<br>노리기가 너무 어려워 뀨뀨"""
TipsText19#0,"""/moya 잭팟 한번쯤은 보고싶어!<br>뀨뀻！"""
CampaignText#2,"""랍피 PSE 찬스 돌입률 UP"""
SuperCampaignText#2,"""랍피 PSE 찬스 돌입률 <yellow>크게 UP!！<c><br>WILD 그림 확률 <yellow>2배!<c>"""
TopMenu#0,"""메뉴"""
MenuSlot#0,"""슬롯"""
MenuShooter#0,"""슈터"""
SubMenuSlot#0,"""슬롯 메뉴"""
SlotAnimeTest#0,"""애니메이션 테스트"""
SlotInfoTest#0,"""정보 표시 테스트"""
SubMenuGacha#0,"""코인 교환기"""
SubMenuBlackjack#0,"""블랙냑 메뉴"""
SlotInfo_01#0,"""베팅 설정"""
SlotInfo_02#0,"""시작"""
SlotInfo_03#0,"""배당표"""
SlotInfo_04#0,"""종료"""
access#0,"""현재 잭팟은 $(0) 코인입니다.<br><br><yellow>\u3000※잭팟 횟수가 500000에 도달하면<br>\u3000잭팟 발생 확률 UP!<c>"""
balloon_help#0,"""<%PhotonArts>버튼으로 내리기"""
RouletteFullScreenTitle#0,"""리리 룰렛"""
RouletteGuide#0,"""<c f0df60>리리 룰렛을 플레이 할 수 있습니다.<c>"""
RouletteTitle#0,"""리리 룰렛"""
RouletteBETTitle#0,"""리리 룰렛"""
RouletteBETMessageAa#0,"""<yellow>앞으로$(0)번 베팅 가능합니다.<c>"""
RouletteBETMessageAb#0,"""<red>베팅은 두 곳까지입니다.<c>"""
RouletteBETMessageB#0,"""<yellow>베팅 코인 수를 선택해주세요.<c>"""
RouletteBETMessage#0,"""베팅을 했을 경우 결과를 확인할 때까지 에어리어 이동을<br>하지 않으시는 것을 권장합니다.<br>코인이 정상 지급되지 않을 수 있습니다.<br><br>자신의 베팅 코인 수：$(0)<pict AmusementCoin><br>전체 베팅 코인 수：$(1)<pict AmusementCoin>"""
RouletteBETMessage2#0,"""<yellow>$(0)배<c>"""
RouletteInfoTitle#0,"""과거의 추첨 결과"""
RouletteInfoHead1#0,"""<c ffc85a>이전 회차<c>"""
RouletteInfoHead2#0,"""<c ffc85a>2<c>"""
RouletteInfoHead3#0,"""<c ffc85a>3<c>"""
RouletteInfoHead4#0,"""<c ffc85a>4<c>"""
RouletteInfoHead5#0,"""<c ffc85a>5<c>"""
RouletteInfoHead6#0,"""<c ffc85a>6<c>"""
RouletteInfoHead7#0,"""<c ffc85a>7<c>"""
RouletteInfoHead8#0,"""<c ffc85a>8<c>"""
RouletteInfoHead9#0,"""<c ffc85a>9<c>"""
RouletteInfoHead10#0,"""<c ffc85a>10<c>"""
RouletteInfoHead11#0,"""<c ffc85a>11<c>"""
RouletteInfoHead12#0,"""<c ffc85a>12<c>"""
RouletteInfoHead13#0,"""<c ffc85a>13<c>"""
RouletteInfoHead14#0,"""<c ffc85a>14<c>"""
RouletteInfoHead15#0,"""<c ffc85a>15<c>"""
RouletteInfoHead16#0,"""<c ffc85a>16<c>"""
RouletteInfoHead17#0,"""<c ffc85a>17<c>"""
RouletteInfoHead18#0,"""<c ffc85a>18<c>"""
RouletteInfoHead19#0,"""<c ffc85a>19<c>"""
RouletteInfoHead20#0,"""<c ffc85a>20<c>"""
RouletteColor1#0,"""빨강"""
RouletteColor2#0,"""파랑"""
RouletteColor3#0,"""녹색"""
RouletteMiss#0,"""꽝 칸"""
RouletteChance#0,"""찬스 칸"""
RouletteBonus#0,"""트리플 찬스 칸"""
RouletteFailure#0,"""꽝"""
RouletteResultAnd#0,"""그리고 $(0)"""
RouletteResultFrame#0,"""【$(0)】"""
RouletteResultName#0,"""$(0)$(1)"""
RouletteColorMessage1#0,"""<red>$(0)<c>"""
RouletteColorMessage2#0,"""<blue>$(0)<c>"""
RouletteColorMessage3#0,"""<c 00552e>$(0)<c>"""
RoulettePayoutCoins#0,"""리리 룰렛 : 환급액은 $(0)코인입니다."""
RoulettePayoutNone#0,"""리리 룰렛 : 환급액이 없습니다."""
RouletteBetSuccesss#0,"""베팅 했습니다."""
RouletteBetErrorState#0,"""지금은 베팅 할 수 없습니다."""
RouletteBetErrorCoin#0,"""코인이 부족합니다."""
RouletteBetErrorMaxCoin#0,"""최대 베팅 코인을 넘었습니다."""
RouletteBetErrorMaxBet#0,"""최대 베팅 횟수를 넘었습니다."""
RouletteCancelSuccesss#0,"""베팅을 취소했습니다."""
RouletteCancelErrorState#0,"""가능 시간이 지났습니다. 취소할 수 없습니다."""
RouletteCancelErrorCoin#0,"""베팅되지 않았습니다. 취소할 수 없습니다."""
RouletteBetTerminal#0,"""베팅 단말기"""
RouletteBetTerminalAccess#0,"""$(0)에 건다"""
RouletteBetMagnification#0,"""배율：$(0)배"""
RouletteBetNone#0,"""없음"""
RouletteMenuBetCoins#0,"""$(0)<pict AmusementCoin> 추가한다"""
RouletteMenuBetCancel#0,"""베팅 취소"""
RouletteMenuClose#0,"""돌아간다"""
RouletteCampaignText#0,"""더블 찬스 발생 확률 UP"""
SuperRouletteCampaignText#0,"""더블 찬스 발생 확률 <yellow>크게 UP!"""
RouletteBETInfo#0,"""현재 베팅"""
RouletteBETCoinsDisplay#0,"""$(0)<pict AmusementCoin>"""
RouletteAnyNumber#0,"""１～５"""
RouletteNpc_ChanceSelectStart#0,"""/mn9"""
RouletteNpc_ChanceSelectEnd#0,"""-"""
RouletteNpc_RouletteStart#0,"""-"""
RouletteNpc_BetStart#0,"""-"""
RouletteNpc_BetEndNearly#0,"""/mn15"""
RouletteNpc_BetEnd#0,"""-"""
RouletteNpc_ChanceStart#0,"""/toge /mn22"""
RouletteNpc_BonusStart#0,"""/toge /mn22"""
RouletteNpc_RouletteEnd#0,"""-"""
RouletteNpc_ResultHit01#0,"""-"""
RouletteNpc_ResultHit02#0,"""-"""
RouletteNpc_ResultNoHit01#0,"""/mn4"""
RouletteNpc_ResultNoHit02#0,"""/mn1"""
RouletteNpc_ResultNoHit03#0,"""/mn2"""
RouletteNpc_Response01#0,"""/toge"""
RouletteNpc_Response02#0,"""-"""
RouletteNpc_TalkOne01#0,"""-"""
RouletteNpc_TalkOne02#0,"""-"""
RouletteNpc_TalkOne03#0,"""-"""
RouletteNpc_TalkOne04#0,"""-"""
RouletteNpc_TalkOne05#0,"""-"""
RouletteNpc_TalkOne06#0,"""-"""
RouletteNpc_TalkOne07#0,"""-"""
RouletteNpc_TalkOne08#0,"""-"""
RouletteNpc_TalkOne09#0,"""-"""
RouletteNpc_TalkOne10#0,"""-"""
RouletteNpc_ChanceResponse01#0,"""-"""
RouletteNpc_ChanceResponse02#0,"""/toge"""
RouletteNpc_Explosion#0,"""/toge"""
RouletteNpc_Name#0,"""레드 리리파"""
RouletteNpc_ChanceSelectStart#1,"""찬스 칸을 결정한다구!"""
RouletteNpc_ChanceSelectEnd#1,"""찬스 칸 결정!"""
RouletteNpc_RouletteStart#1,"""룰렛 시작한다구!"""
RouletteNpc_BetStart#1,"""베팅 타임 개시라구!"""
RouletteNpc_BetEndNearly#1,"""베팅 타임이 얼마 안 남았다구!"""
RouletteNpc_BetEnd#1,"""베팅 타임 종료라구!"""
RouletteNpc_ChanceStart#1,"""$(0)이라구!"""
RouletteNpc_BonusStart#1,"""좋아 $(0)다!"""
RouletteNpc_RouletteEnd#1,"""룰렛 : 결과는 $(0)$(1)$(2)$(3)(이)라구!"""
RouletteNpc_ResultHit01#1,"""$(0)가<br>$(1)회 맞혔다고!"""
RouletteNpc_ResultHit02#1,"""$(0)코인을 획득한 녀석이 $(1)명이나 있다구!"""
RouletteNpc_ResultNoHit01#1,"""다음엔 맞춰보자고!"""
RouletteNpc_ResultNoHit02#1,"""언젠가는 당첨되는 원리라니까"""
RouletteNpc_ResultNoHit03#1,"""잃은 만큼 만회해보자고!"""
RouletteNpc_Response01#1,"""흐름을 타고 있어!"""
RouletteNpc_Response02#1,"""역시라니까!"""
RouletteNpc_TalkOne01#1,"""이왕 건다면 색 숫자 베팅으로 15배를 노리라구"""
RouletteNpc_TalkOne02#1,"""트리플 찬스 룰렛은 찬스가 3배라구"""
RouletteNpc_TalkOne03#1,"""베팅은 한 곳에 100 코인까지 걸 수 있다구."""
RouletteNpc_TalkOne04#1,"""베팅은 최대 두 군데까지 걸 수 있다구."""
RouletteNpc_TalkOne05#1,"""베팅 타임 중에는 베팅 취소가 가능하다구"""
RouletteNpc_TalkOne06#1,"""이전 결과를 참고해보자구"""
RouletteNpc_TalkOne07#1,"""망설여질 땐 한 곳에 올인이라구"""
RouletteNpc_TalkOne08#1,"""룰렛은 기억을 갖고 있지 않다구"""
RouletteNpc_TalkOne09#1,"""맞추기 쉬운 건 색깔 베팅이라구"""
RouletteNpc_TalkOne10#1,"""흐름을 타자구"""
RouletteNpc_ChanceResponse01#1,"""찬스 룰렛이라구"""
RouletteNpc_ChanceResponse02#1,"""기대해보자구"""
RouletteNpc_Explosion#1,"""봄버-어!"""
RouletteNpc_ChanceSelectStart#2,"""-"""
RouletteNpc_ChanceSelectEnd#2,"""-"""
RouletteNpc_RouletteStart#2,"""-"""
RouletteNpc_BetStart#2,"""-"""
RouletteNpc_BetEndNearly#2,"""/mn18"""
RouletteNpc_BetEnd#2,"""-"""
RouletteNpc_ChanceStart#2,"""/toge /mn20"""
RouletteNpc_BonusStart#2,"""/toge /mn20"""
RouletteNpc_RouletteEnd#2,"""-"""
RouletteNpc_ResultHit01#2,"""-"""
RouletteNpc_ResultHit02#2,"""-"""
RouletteNpc_ResultNoHit01#2,"""/mn2"""
RouletteNpc_ResultNoHit02#2,"""/mn8"""
RouletteNpc_ResultNoHit03#2,"""-"""
RouletteNpc_Response01#2,"""-"""
RouletteNpc_Response02#2,"""/mn22"""
RouletteNpc_TalkOne01#2,"""-"""
RouletteNpc_TalkOne02#2,"""-"""
RouletteNpc_TalkOne03#2,"""-"""
RouletteNpc_TalkOne04#2,"""-"""
RouletteNpc_TalkOne05#2,"""-"""
RouletteNpc_TalkOne06#2,"""-"""
RouletteNpc_TalkOne07#2,"""-"""
RouletteNpc_TalkOne08#2,"""-"""
RouletteNpc_TalkOne09#2,"""-"""
RouletteNpc_TalkOne10#2,"""-"""
RouletteNpc_ChanceResponse01#2,"""-"""
RouletteNpc_ChanceResponse02#2,"""/toge"""
RouletteNpc_Explosion#2,"""/toge"""
RouletteNpc_Name#1,"""블루 리리파"""
RouletteNpc_ChanceSelectStart#3,"""찬스 칸을 결정합니다"""
RouletteNpc_ChanceSelectEnd#3,"""찬스 칸이 결정됐습니다"""
RouletteNpc_RouletteStart#3,"""룰렛 시작합니다"""
RouletteNpc_BetStart#3,"""베팅 타임 개시입니다"""
RouletteNpc_BetEndNearly#3,"""베팅 타임이 곧 종료됩니다"""
RouletteNpc_BetEnd#3,"""베팅 타임 종료입니다"""
RouletteNpc_ChanceStart#3,"""$(0)에 멈췄습니다"""
RouletteNpc_BonusStart#3,"""$(0)입니다!"""
RouletteNpc_RouletteEnd#3,"""룰렛 : 결과는 $(0)$(1)$(2)$(3)입니다"""
RouletteNpc_ResultHit01#3,"""당첨자는 $(0)<br>$(1)코인을 획득하셨습니다"""
RouletteNpc_ResultHit02#3,"""$(0)회、$(1)분이 획득하셨습니다"""
RouletteNpc_ResultNoHit01#3,"""냉정한 결과였습니다"""
RouletteNpc_ResultNoHit02#3,"""다음 게임이 승부처입니다"""
RouletteNpc_ResultNoHit03#3,"""이기기를 포기하면 지는 겁니다"""
RouletteNpc_Response01#3,"""축하드립니다"""
RouletteNpc_Response02#3,"""굉장해요!"""
RouletteNpc_TalkOne01#3,"""숫자 베팅의 배당은 5배입니다"""
RouletteNpc_TalkOne02#3,"""찬스 칸이 결정되면 기대감이 커집니다"""
RouletteNpc_TalkOne03#3,"""한 칸에 베팅금은 최대 100코인까지입니다"""
RouletteNpc_TalkOne04#3,"""최대 2번까지 베팅 가능합니다"""
RouletteNpc_TalkOne05#3,"""이전 결과 이력은 판단에 도움을 줍니다"""
RouletteNpc_TalkOne06#3,"""직감을 믿는 것도 중요합니다"""
