01_MainLobby_001#0,"""Cuando eres premium, puedes aceptar hasta 40 Ordenes de clientes a la vez."""
01_MainLobby_025#0,"""Puedes usar Net Cafe Premium solo logueandote desde un Cafe de internet certificado."""
01_MainLobby_026#0,"""Puedes ganar puntos Net Cafe jugando desde un Cafe Internet autorizado, dependiendo de tu tiempo de juego."""
01_MainLobby_027#0,"""Cuando eres premium, puedes continuar vendiendo los items de tu tienda una vez el Premium expire."""
01_MainLobby_028#0,"""Cuando eres premium, puedes intercarmbiar items con otros usuarios Premium hasta que el Premium expire."""
01_MainLobby_029#0,"""Cuando eres premium, recibes un bono por todos los puntos FUN recibidos hasta que el Premium expire."""
01_MainLobby_030#0,"""Cuando eres premium, ¡Recibes un almacen de 400 espacios!"""
01_MainLobby_031#0,"""En el inventario, puedes usar <%MultiSelect> para seleccionar multiples objetos."""
01_MainLobby_032#0,"""La función de teclado dentro del<br>inventario [Ctrl]+[C] permite copiar el nombre de los objetos"""
01_MainLobby_033#0,"""Si vendes un objeto por error, puedes recuperarlo rapidamente seleccionando [Reembolsar]."""
01_MainLobby_034#0,"""En el salon de belleza, en el segundo piso, puedes cambiar la apariencia de tu personaje o tu ayudante (Partner)."""
01_MainLobby_035#0,"""En el campship, puedes llamar amigos acompañantes desde la consola en la ventana cerca del terminal medico y la tienda."""
01_MainLobby_036#0,"""En el menú [Personajes cercanos], puedes enviar solicitudes de amistad a otros jugadores."""
01_MainLobby_037#0,"""En el menú [Personajes cercanos], puedes invitar otros jugadores a tu grupo."""
01_MainLobby_038#0,"""En el mostrador de titulos, puedes recibir recompensas por completar varios logros."""
01_MainLobby_039#0,"""Todos los objetos que caen en una misión son diferentes para cada jugador, por lo tanto puedes recoger objetos sin preocuparte por los demas."""
01_MainLobby_040#0,"""La función de teclado、<br>[Scroll Lock] es el ON/OFF del modo de Charla Directa."""
01_MainLobby_041#0,"""Asegurate de verificar las ordenes de los clientes antes de entrar en una misión, para ganar mas experiencia por hacer la misma misión contaria como una recompensa adicional."""
01_MainLobby_042#0,"""Es posible enviar objetos al almacen básico, o al almacen del personaje<br>asi como también es posible enviar varios items a la ves usando la tecla Shift"""
01_MainLobby_043#0,"""Usando [Alt]+[←]/[→], podrás cambiar el canal en el que escribes rapidamente."""
01_MainLobby_044#0,"""Usando [Ctrl]+[←]/[→], podrás escoger que canales ver, los cuales vez en la ventana Log."""
01_MainLobby_045#0,"""La función de teclado<br>dentro del Chat [Ctrl]+[↑]/[↓] verifica el historial de conversación."""
01_MainLobby_046#0,"""La función de teclado<br>dentro del Chat [Shift]+[Enter] で、カットインつきで発言できる。"""
01_MainLobby_047#0,"""La función de teclado<br>dentro del Chat [Ctrl]+[Enter] permite hablar seleccionando la forma y emoción del Globo."""
01_MainLobby_048#0,"""La función de teclado<br>[Alt]+[A]～[Z]permite realizar una gran variedad de acciones de lobby."""
01_MainLobby_049#0,"""La función de teclado<br>[Ctrl]+[Alt]+[A]～[Z] permite realizar la acción de lobby del sexo opuesto."""
01_MainLobby_050#0,"""En el laboratorio de objetos, puedes mejorar armas y protectores."""
01_MainLobby_051#0,"""Seleccionando [Gestion de la Tienda] en el Visiphone, puedes vender objetos a otros jugadores."""
01_MainLobby_052#0,"""En la tienda AC, puedes comprar items para incrementar el total de items que puedes tener en tu inventario."""
01_MainLobby_053#0,"""En la Tienda de reciclaje, puedes comerciar items que no te sirvan por otros items valiosos para ti."""
01_MainLobby_054#0,"""Algunas de las estadisticas de tu sub clase se transladaran a tu clase principal."""
01_MainLobby_055#0,"""Al completar el tablero de asuntos, progresaras aun mas en la historia."""
01_MainLobby_056#0,"""Muchos equipos con una variedad de habilidades especiales estan disponibles en el tablero de asuntos."""
01_MainLobby_057#0,"""Completando todos los nodos amarillos en el tablero de asuntos desbloquearas nuevas misiones del modo historia."""
01_MainLobby_058#0,"""En el menú opciónes, puedes cambiar la configuración de pantalla, junto con otros muchos ajustes."""
01_MainLobby_059#0,"""Puedes ver tu historial de grupo en el menú [Historial de comunicaciones]."""
01_MainLobby_060#0,"""Puedes cambiar la información que se muestra sobre cada jugador en el menú rápido."""
01_MainLobby_061#0,"""En el [Menu rápido], puedes usar [Comandos de Estrategia de Compañero] para decirles a tus personajes acompañantes que reserven sus Photon Blasts para encadenamiento."""
01_MainLobby_062#0,"""Cuanto mayor sea el nivel del enemigo, muchas mas Mesetas tiraran."""
01_MainLobby_063#0,"""Los items que caen de las cajas son diferentes en cada área."""
01_MainLobby_064#0,"""Cuando haya ocurrido un estado especial en cada campo es probable que un PSE ocurra."""
01_MainLobby_065#0,"""Cuando escribas <lt>pos<gt>, diras tus coordenadas en el mapa."""
01_MainLobby_066#0,"""Cuando escribas <lt>target<gt> o <lt>t<gt>,<br>diras el último Item/Enemigo que tuviste."""
01_MainLobby_067#0,"""Puedes mostrar el nombre del actual E-Trial escribiendo <lt>et1<gt> en el chat."""
01_MainLobby_068#0,"""Al jugar con el mando, el objetivo marcado actual se puede cambiar moviendo el <%RStick>."""
01_MainLobby_069#0,"""Cuando eres premium, puedes guardar hasta 40 Symbol Arts!!.  ¿Genial no?."""
01_MainLobby_070#0,"""Cuando eres premium, puedes moverte a un bloque lleno usando el espacio reservado para los Premium."""
01_MainLobby_071#0,"""Cuando eres premium, una vez uses un makeover ticket, puedes usar el salon gratis por 60 minutos."""
01_MainLobby_072#0,"""Cuando eres premium, ganaras un efecto adicional al tomar cualquier bebida medica en el terminal."""
01_MainLobby_073#0,"""Mediante el uso de reducción de riesgos y los elementos auxiliares mejorados, puedes reducir la posibilidad de fallo al fortalecer los objetos."""
01_MainLobby_074#0,"""Se puede especificar el canal que desea utilizar el texto, escribiendo \""/t\"" para el Team \""/p\"" para el Grupo, y \""/a\"" a los que estan cerca."""
01_MainLobby_075#0,"""Los efectos del aumento del nivel del PSE dependen del área en la que tienen lugar"""
01_MainLobby_076#0,"""Un Cross Burst es cuando ocurre más de un Burst a la vez."""
01_MainLobby_077#0,"""En ciertos climas (incluyendo tormentas de truenos en el bosque<br>o la Aurora en los cielos de la Tundra), el PSE puede ser subido de nivel rapidamente."""
01_MainLobby_078#0,"""Puedes verificar tu ultima conexión utilizando [Historial de conexion] en el [Menu de Inicio]."""
01_MainLobby_079#0,"""Mediante el uso de [Recibir recompensa de campaña] en el visiphone, usted puede recibir recompensas por completar las campañas."""
01_MainLobby_080#0,"""Si deseas mayor seguridad, puedes establecer un one-time login password. <red>(no recomendado)<c>"""
01_MainLobby_081#0,"""La persona encargada del Lab de objetos puede cambiar, dependiendo de si el bloque es par o impar. """
01_MainLobby_083#0,"""Cuando haces una misión en grupo, la EXP obtenida por los enemigos<br>incrementa dependiendo de la cantidad de gente en el grupo."""
01_MainLobby_084#0,"""Cuando eres premium, puedes obtener mas Login Stamps."""
01_MainLobby_085#0,"""Puede llamar a tus [Amigos] o personas que no son amigos<br>seleccionando [Gratis] desde la terminal de partner en el camp ship."""
01_MainLobby_086#0,"""Por seleccionar [Allow players other than friends to use] en el Visiphone<br>durante [Friend Partner Registration], es una manera fácil de obtener puntos FUN."""
01_MainLobby_087#0,"""Si subes de nivel tu clase, tu subclase también subira de nivel (Hasta cierto punto)."""
01_MainLobby_088#0,"""Usando [Teams currently looking for members] en el visiphone te permitirá encontrar Teams que estan reclutando miembros."""
01_MainLobby_089#0,"""Las PA y las habilidades que usará tu [Soportes] se basan en su personalidad."""
01_MainLobby_090#0,"""Los atributos de tu support partner no son afectados por los afixes de su equipo.<br>Sim embargo, su HP y ataque sera incrementado entre mas rareza tenga su equipo."""
01_MainLobby_091#0,"""El rendimiento de los partner de hecho no se ve afectada por sus estadisticas de Protectores.<br>However, their HP and attack power is increased slightly as the rarity of the units increases."""
01_MainLobby_092#0,"""A medida que mejora su relación con tu [Soporte],<br>la cantidad de órdenes que pueden tomar a la vez aumenta."""
01_MainLobby_093#0,"""El [Soporte] puede ayudarlo con las órdenes de clientes que están<br>parcialmente completadas o que no se completaron en absoluto."""
01_MainLobby_094#0,"""Seleccionando [Craft] en el visiphone, puedes craftear,<br>buscar por crafteadores, y aprender craft recipes."""
01_MainLobby_095#0,"""Por escojer [Craft] en el visiphone, puedes enviar una solicitud de crafteo o cancelar una en progreso."""
01_MainLobby_096#0,"""Puedes incrementar tu nivel de crafteo haciendo varios crafts."""
01_MainLobby_097#0,"""En el menú de opciónes, puedes cambiar el color de la información<br>de los jugadores para mostrar si estan o no en un grupo."""
01_MainLobby_098#0,"""En las opciónes del menu, puedes escojer si quieres ver o no, los symbol Arts."""
01_MainLobby_099#0,"""En el menú de opciónes, puedes cambiar si quieres ver el nombre del personaje de un jugador o ID del jugador en el equipo y chat privado."""
01_MainLobby_100#0,"""Se puede establecer un angulo de camara diferente en el menu<br>[Selección de camara]."""
01_MainLobby_101#0,"""Puedes colocar un mensage de maximo 10 caracteres en tu estado online."""
01_MainLobby_102#0,"""Puedes cambiar de nombre del skill tree en el class counter."""
01_MainLobby_103#0,"""Usted puede configurar su expresión y posar para su<br>pose de victoria en [Configuración del chat]"""
01_MainLobby_104#0,"""Puedes volver a usar apariencias de MAG previamente desbloqueadas<br>usando un Change Pass para MAG."""
01_MainLobby_105#0,"""Puede cambiar el numero de notificaciones que se vea a la vez en el menú [Notification Settings]."""
01_MainLobby_106#0,"""Si usa una contraseña de un solo uso (OTP), puede almacenar 200 artículos adicionales en el Almacén OTP."""
01_MainLobby_107#0,"""Puede confirmar los objetos necesarios y otra información diversa<br>para una orden de cliente a través del menú [Ordenes de cliente]."""
01_MainLobby_108#0,"""Si usas un rare enemy trigger, puedes forzar que salga<br>un enemigo raro."""
01_MainLobby_109#0,"""Por seleccionar [Ordenes de cliente] en el menú principal, puedes ver las ordenes de cliente asosiadas con tu misión actual."""
01_MainLobby_110#0,"""Puedes usar [My Set] En el asesor de clases, para guardar tu clase<br>y armamento para cargarlos después."""
01_MainLobby_111#0,"""Al usar [Mostrar/Ocultar mapa] desde el Menú rápido, o Precionar la tecla M puede verificar las ubicaciones de NPC y tiendas cercanas."""
01_MainLobby_112#0,"""Puedes colocar un racordatorio con el cual seras notificado cuando<br>El Premium este a punto de expirar en 7 dias."""
01_MainLobby_113#0,"""Puedes configurar un Nombre de Misión para ser usado automaticamente cuando<br>se inicie una misión en lugar del nombre del personaje."""
01_MainLobby_114#0,"""Puedes configurar una opción para cambiar el fondo de la<br>caja de chat al mismo color que el canal de voz."""
01_MainLobby_115#0,"""Si dominas [High Time] y no te golpean mientras está activo, [One More Time] se activa y evita que se restablezca el daño hasta que se acabe."""
01_MainLobby_116#0,"""La subpallete actual se puede visualizar de 3 formas: nunca la muestre, la muestra durante un breve período de tiempo y siempre la muestra."""
01_MainLobby_117#0,"""Cuando marque [Abrir] en la configuración de Grupo,<br>se mostrará de manera preferente en la lista de participantes del asesor de misiones."""
01_MainLobby_118#0,"""Si marca [Abrir] en la configuración de grupo, puede llenar su grupo con NPC, y cuando un jugador real intente unirse, eliminará uno de ellos cada vez para hacer espacio."""
01_MainLobby_119#0,"""Puede ver una lista en los equipos y ver sus efectos configurados seleccionando [Ver efectos del Set] en el menú del objeto."""
01_MainLobby_120#0,"""Puede guardar sus unidades de Timed Ability con la opción [Save to Backup Data Drive]."""
01_MainLobby_121#0,"""Normalmente no puedes intercambiar objetos con ningún otro jugador, salvó si eres premiun"""
01_MainLobby_122#0,"""Cuando eres Premiun puedes itercambiar objetos con otros jugadores e incluso puedes comprar objetos con una rareza de 10<yellow>★<c> o mayor"""
01_MainLobby_123#0,"""[A. Personaje] puede almacenar 350 elementos por personaje. Además, puede expandirlo a 1780 artículos con ARKS Cash."""
01_MainLobby_124#0,"""Los objetos en su [A. Personaje] pueden llevarse a otras naves [Ships Servers] cuando se transfieren."""
01_MainLobby_125#0,"""El almacenamiento de PSO2es está disponible para usarse durante 30 días que se puede restaurar  por cada inicio de sesión vinculado a PSO2es."""
01_MainLobby_126#0,"""Layered Wear se compone de tres objetos:<br>[Chaqueta] Outerwear, [Ropa base ] Basewear , [Ropa interior] Innerwear, o [Ou], [Ba] y [In]"""
01_MainLobby_127#0,"""Además de la ropa y las piezas, también puede cambiar sus accesorios, estilo de cabello, pintura corporal en [Edición de moda] del menú principal."""
01_MainLobby_128#0,"""Puede comprobar la información en \""Ver detalles de Moda\"" de otros jugadores Realizando click en ellos"""
01_MainLobby_129#0,"""Puede cambiar el orden de prioridad de su pintura corporal y ropa interior."""
01_MainLobby_130#0,"""Al guardar datos de personajes en el salón de belleza, puede sobrescribir datos anteriores utilizando el mismo nombre."""
01_MainLobby_131#0,"""Puede ajustar el posicionamiento de un arma enfundada utilizando la opción [Personalizar] en el menú principal."""
01_MainLobby_132#0,"""EPISODE4 avanza el \""storyboard\"" cuando avanza la historia."""
01_MainLobby_133#0,"""El contenido visualizado del Menú rápido se puede cambiar usando <%MultiSelect>."""
01_MainLobby_134#0,"""Algunas habilidades especiales para mascotas se otorgan solo cuando se identifica un [SPECIAL EGG]. Estas son habilidades especiales para mascotas."""
01_MainLobby_135#0,"""Los atributos de las mascotas se pueden cambiar colocando Candy Ramune en su caja de dulces."""
01_MainLobby_136#0,"""Los panqueques aumentan los atributos de una mascota y se pueden obtener en el laboratorio de mascotas a cambio de varios objetos."""
01_MainLobby_138#0,"""Se puede obtener una [Llave bono] necesaria para las misiones de bonificación cuando se completan las misiones destacadas."""
01_MainLobby_139#0,"""Los objetos que tienen fecha de caducidad, como \""Llave bono\""<br>Trata de usarlos con la mayor brevedad posible."""
01_MainLobby_140#0,"""Al seleccionar [EPISODIO 4] al iniciar sesión, puede usar el guión gráfico para experimentar eventos en EPISODIO 4."""
01_MainLobby_141#0,"""Usando el storyboard, puedes jugar a misiones de la historia que se lleven a cabo en el EPISODIO 4."""
01_MainLobby_142#0,"""Al usar el storyboard, algunos eventos no usarán el Campship."""
01_MainLobby_143#0,"""Los terminales médicos y de almacenamiento se encuentran cerca de la entrada del puente."""
01_MainLobby_144#0,"""Cuando inicie sesión en el modo EPISODIO 4, no podrá usar el Matter Board."""
01_MainLobby_145#0,"""Mediante el uso de la Llave Bono, puede jugar misiones de bonificación que le dan un montón de EXP, meseta u objetos raros."""
01_MainLobby_146#0,"""Hay diferentes tipos de Llave Bono. Las misiones de bonificación que desbloquean también son diferentes."""
01_MainLobby_147#0,"""Si completas misiones de bonificación en una dificultad más alta, el EXP, la meseta y los objetos raros serán mejores."""
01_MainLobby_148#0,"""Las misiones de bonificación solo pueden ser completadas en solitario."""
01_MainLobby_149#0,"""Los anillos ganan Exp derrotando enemigos y completando ordenes de cliente"""
01_MainLobby_150#0,"""Puedes comprobar el historial desde la terminal Visiphone"""
01_MainLobby_151#0,"""Si pides una \""Misión de entrenamiento\"" con la asesora de misiones<br>puedes aprender a luchar con cada clase."""
01_MainLobby_152#0,"""Trata de darle una dieta balanceada a tu MAG para que en el futuro no te arrepientas"""
01_MainLobby_153#0,"""El centro de formación de Arks de la Asesora de misiones,<br>Es posible practicar las habilidades de clase."""
01_MainLobby_154#0,"""Las Armas de nuevo tipo se fortalesen usando como recipiente otras armas de nuevo tipo"""
01_MainLobby_155#0,"""Si utilizas las misma arma -NT como material de fortalecimiento este le dara mas exp ademas suma aun mas el elemento."""
01_MainLobby_156#0,"""Puedes obtener una Hoja de Colección de Pudding, que te permite recolectar objetos e intercambiarlos por armas raras."""
01_MainLobby_157#0,"""Si presionas F11 puedes jugar a la loteria usando AC, Fun, o Star Gems"""
01_MainLobby_158#0,"""Durante ciertas acciones lobby actions, puede presionar <%NormalAttack> o <%PhotonArts> en el medio del ciclo para cambiar el comportamiento de la acción del lobby."""
01_MainLobby_159#0,"""Con ciertas lobby actions, puedes seleccionar [Reaccionar] en otro jugador para hacer la acción de lobby de reacción correspondiente."""
01_MainLobby_160#0,"""Mascotas como \""Wanda\"", poseen una especie de huevo superior, llamado \""Zynga\"" y pueden ser evolucionadas."""
01_MainLobby_161#0,"""Si no está seguro de qué habilidades escoger, trate de seleccionar \""Set recomendado\""."""
01_MainLobby_162#0,"""Es posible configurar Lobby Actions como favoritos en el menú [Realizar Lobby Actions]. Esto hace que sea mucho más fácil llevar a cabo las acciones de lobby más utilizadas."""
01_MainLobby_163#0,"""Puedes establecer la apariencia de los Dark Blasts de otros jugadores en tu configuración de Dark Blast."""
01_MainLobby_164#0,"""Puede copiar el nombre de un elemento resaltándolo en la lista de objetos, presionando Ctrl + C."""
01_MainLobby_165#0,"""En Opciones, puedes cambiar el formato del menú Configuración de grupo al formato Detalles <br>, lo que te permite establecer manualmente opciones como el nombre de tu grupo."""
03_MyRoom_001#0,"""Mientras seas Premium, tienes disponibles dos diseños de habitaciones: A y B."""
03_MyRoom_002#0,"""Desde el menú rápido, puedes ir al salon de tu Team o a tu propio cuarto."""
03_MyRoom_003#0,"""Si colocas un jukebox en tu habitación, puedes registrar discos de musica para desbloquear nuevos BGM para su uso."""
03_MyRoom_004#0,"""El objeto de habitación para configurar a tu Support Partner, la<br>consola de acompañante, puede ser comprado en la tienda de mi habitación."""
03_MyRoom_005#0,"""Seleccionando el menú Craft desde la terminal de la habitación de otro jugador, podrás enviarle un requerimiento de Crafting a ese jugador."""
03_MyRoom_006#0,"""Puedes hacer crafteo, revisar tus solicitudes de crafteo, y cambiar la configuración de tu \""Letrero de anuncio\"" desde el menú craft en el terminal de tu habitación."""
03_MyRoom_007#0,"""Puedes ver el historial de eventos en<br>orden cronologico usando el menu<br>[Cronicas de Eventos] en tu cuarto."""
03_MyRoom_008#0,"""La tasa de éxito de tu [Soporte] para las Misiones será mayor si todos están en la misma área."""
03_MyRoom_009#0,"""En el Visiphone, puede usar [Tienda de jugadores] para buscar hasta 4 affixes en un objeto a la vez."""
03_MyRoom_010#0,"""En el Visiphone, puede usar [Tienda de jugadores] para buscar objetos de una rareza específica o superior."""
03_MyRoom_011#0,"""En el Visiphone, puede usar [Tienda de jugadores] para buscar disfraces y varias partes por género."""
03_MyRoom_012#0,"""En el Visiphone, puede usar [Tienda de jugadores] para buscar objetos y varios boletos por subcategoría."""
03_MyRoom_013#0,"""Si compra un arma de 12 estrellas o superior, se registrará en el momento de la compra."""
03_MyRoom_014#0,"""Puede guardar sus unidades Timed Ability  con la opción [Save to Backup Data Drive]."""
04_GuildRoom_001#0,"""Cuando el lider del Team no se<br>conecta en 30 dias, un moderador<br>puede asumir el control del Team."""
04_GuildRoom_002#0,"""Puede bloquear/desbloquear la sala desde el menú [Expansion del salon del Team]"""
04_GuildRoom_003#0,"""Si su posición en el equipo es Moderador o superior, puede eliminar miembros del Team inferior del menú del Team."""
04_GuildRoom_004#0,"""Los miembros que no son miembros del team no pueden ver los contenidos del tablón de anuncios del team , el mostrador del team , el almacén del equipo, etc."""
04_GuildRoom_005#0,"""Los miembros que no pertenecen al Team pueden verificar el crecimiento del Árbol Photon, pero no pueden obtener sus efectos."""
04_GuildRoom_006#0,"""Puede buscar al jugador que quiere pertenecer al equipo desde [Exploracion para miembros del Team]"""
04_GuildRoom_007#0,"""Si su rango de equipo es Manager o superior, puede usar la Tienda del Team en el Team Counter"""
07_AmusementLobby_001#0,"""Los Casino Coins pueden ser convertidas usando un Intercambiador de Monedas<br>en el Casino."""
07_AmusementLobby_002#0,"""Juntando Casino Coins puedes cambiarlas luego por un premio<br>en el mostrador de intercambio de premios."""
07_AmusementLobby_003#0,"""Hay un graffiti hecho por un grupo de Lillipans escondidos en el área del Casino?..."""
07_AmusementLobby_004#0,"""Cualquier moneda que esté por encima del límite de posesión se perderá si sale para una misión. ¡Cambielos por premios a menudo!"""
07_AmusementLobby_005#0,"""En el Mesetan Shooter puedes jugar unas 3 oleadas cada vez."""
07_AmusementLobby_006#0,"""Perderas monedas si le disparas a las bombas en el Mesetan Shooter."""
07_AmusementLobby_007#0,"""Me pregunto que hara Umbra en el Mesetan Shooter si<br>no le disparan por un rato?..."""
07_AmusementLobby_008#0,"""Durante el Mesetan Shooter, La reina mesetan puede mostrarse."""
07_AmusementLobby_009#0,"""En Mesetan Shooter, tanto como suba tu PSE, es más probable obtener una mejor oleada."""
07_AmusementLobby_010#0,"""En el Rappy Slots, un chance Rappy PSE ocurre cuando el Rappymetro está lleno."""
07_AmusementLobby_011#0,"""En el Rappy Slots, Me pregunto que pasara si alineas todos los WILDS..."""
07_AmusementLobby_012#0,"""En el Rappy Slots, si consigues todos los WILDs en todos los Slots, ganaras el PREMIO MAYOR!"""
07_AmusementLobby_013#0,"""En el Mesetan Shoter, la conmutación a la operación del punto de vista de sobreimpulso permite responder al ajuste fino con configuración de operación y configuración de cámara opcional."""
07_AmusementLobby_014#0,"""En Black Nyack, cuantos más jugadores haya en la misma mesa, más fácil será obtener Battle Bonyas."""
07_AmusementLobby_015#0,"""En Black Nyack, el jugador con la mano más alta durante una Battle Bonyas, recibirá una bonificación."""
07_AmusementLobby_016#0,"""En Black Nyack, obtener 3 Cartas Especiales te otorgará un combo TRES SP."""
07_AmusementLobby_017#0,"""En Black Nyack, puedes duplicar tu APUESTA haciendo DOBLE BAJADA, pero solo en tu primer sorteo."""
07_AmusementLobby_018#0,"""En Lili Roulette, puedes apostar hasta dos puntos por juego."""
07_AmusementLobby_019#0,"""En Lili Roulette, puede apostar de tres maneras: 'Por color', 'por número' y 'por color y número'"""
07_AmusementLobby_020#0,"""Lily Roulette aumenta los éxitos al parar en la Misa de oportunidad."""
07_AmusementLobby_021#0,"""Cuando Lily Roulette se detiene en Triple Chance Mass?..."""
07_AmusementLobby_022#0,"""¿Hay alguna instancia en la que la Lili Roulette otorgue un pago de 30 veces o más?..."""
07_AmusementLobby_023#0,"""Al llegar a la última etapa (stage 30) en Arkuma Slots, se otorga una bonificación de finalización que puede permitirle adquirir una gran cantidad de monedas de casino."""
07_AmusementLobby_024#0,"""La bonificación completa se puede adquirir organizando tres tipos de símbolos en Arkuma Slots."""
07_AmusementLobby_025#0,"""Arkuma Slot tiene un límite superior en la cantidad de días jugables por día."""
10_Dungeon_001#0,"""¿Quieres ayudar a traducir al inglés? Póngase en contacto con AIDA en el juego (ID: Aida Enna) para obtener más información.<br>Tambien en Discord (http://discord.gg/PSO2)"""
10_Dungeon_002#0,"""¿Quieres ayudar a<br>traducir al español?.<br>Puedes contactarte en el juego con (ID: Blazter) / (ID: Nozomi Ren) / (ID: Maxii1996) para mas información.<br>Tambien en Discord (http://discord.gg/PSO2) y Facebook (http://fb.com/PSO2spanish/)"""
10_Dungeon_003#0,"""Cuando el MAG no tiene energia,<br>no puede hacer nada."""
10_Dungeon_004#0,"""Recuerda, si tu MAG sube de nivel, ¡El Photon Blast tambien!"""
10_Dungeon_005#0,"""Al habilitar la función [Recoger mesetas automaticamente] en el menú de opciónes, recogeras mesetas simplemente pasando cerca de ellas."""
10_Dungeon_006#0,"""Puedes elegir si quieres ver, o no, los videos que apareceran en el lobby, en el menú opciónes."""
10_Dungeon_007#0,"""Puedes seleccionar el color de tu HP cuando estas muy lastimado en el<br>menu de opciónes."""
10_Dungeon_008#0,"""Los enemigos conocidos como 'Aberrations' han evolucionado diferente en comparación a sus contra partes.<br>\""por ejemplo\"" Los potenciales que pueden incrementar el daño a los nativos de Naberius no funcionarán con los Aberrations de Naberius"""
10_Dungeon_009#0,"""Los enemigos conocidos como 'Aberrations' han evolucionado diferente en comparación a sus contra partes.<br>\""por ejemplo\"" Los potenciales que reducen el daño de los Darkers,  no son efectivos contra los Aberrations Darker"""
10_Dungeon_010#0,"""La habilidad especial 'Ultimate Buster' es tremendamente efectiva,<br>pero solo con los 'Aberrations'."""
10_Dungeon_011#0,"""Las armas que caen de enemigos nivel 71+ (u otros enemigos designados) pueden tener la habilidad 'Ultimate Buster', que es muy efectiva contra los enemigos de Ultimate Quest."""
10_Dungeon_012#0,"""Utiliza una baliza de grupo para que los jugadores inscritos en un grupo múltiple puedan unirse a tu grupo."""
10_Dungeon_013#0,"""Los Party makers de grupo solo pueden ser establecidos por el líder del grupo y solo pueden ubicarse en áreas multi grupos."""
10_Dungeon_014#0,"""Se pueden colocar un maximo de 3 Party Maker (Creador de grupo)<br>en cada área."""
10_Dungeon_015#0,"""El creador de grupo, se puede instalar / eliminar en el menú rápido."""
10_Dungeon_016#0,"""Cuando el nivel del MAG llega a 200, aprendera \""Acciones automaticas\"". Estas se pueden cambiar en la tienda de Excubes."""
10_Dungeon_017#0,"""Si completas las misiones destacadas una vez al dia, con calificación \""A\""<br>o superior, podrás obtener una recompensa especial."""
10_Dungeon_018#0,"""La estamina de pesca y de recolección se recuperaran hasta 100 con el tiempo."""
10_Dungeon_019#0,"""Los niveles de pesca y recolección aumentan al completar los logros de recolección."""
10_Dungeon_020#0,"""Los Rideroids pueden moverse a la velocidad máxima<br>mientras activas el anillo de Just Attack."""
10_Dungeon_021#0,"""Los Rideroids recuperarán PP si pasas por los 'Energy rings'."""
10_Dungeon_022#0,"""Puede utilizar el menú de la <yellow>Tienda de reciclaje<c> incluso desde el Campship."""
15_ChallengeCommon_001#0,"""En un Misión de Desafio, cada área es llamada una 'Misión'.<br>La meta del Quest es completar la misión especificada."""
