Window_Titletelop_Exchange_General#0,"""아이템 교환 샵"""
PaidShop_LimitedItemTitle01#0,"""상품 정보"""
PaidShop_LimitedItemTitle02#0,"""<c 76d1ff>기간 한정 아이템<c>"""
PaidShop_LimitedItemTitle03#0,"""<c 76d1ff>개수 한정 아이템<c>"""
LimitedItemText1#0,"""계정 당 $(0)개 구입 가능 """
LimitedItemText2#0,"""앞으로 $(0)개"""
LimitedTime#0,"""$(0) 까지"""
PacIteminfo_Title#0,"""팩 아이템 정보"""
PacIteminfo_Bonus#0,"""추가 지급 ※구입 후 비지폰으로 배포됩니다."""
PacIteminfo_Possession#0,"""소지 개수($(0)）"""
LimitedResetShop_Limited1#0,"""<yellow>(갱신까지 앞으로 $(0)일)<c>"""
LimitedResetShop_Limited2#0,"""<yellow>(갱신까지 앞으로 $(0)시간)<c>"""
LimitedResetShop_Limited3#0,"""<yellow>(갱신까지 앞으로 $(0)분)<c>"""
LimitedResetShop_Limited4#0,"""<yellow>(갱신까지 앞으로 1분 미만)<c>"""
ItemShop_Title#0,"""아이템 샵"""
ItemShop_Help#0,"""무기, 방어구, 소비 아이템 구입, 사인 횟수 회복이 가능합니다."""
ItemPac_buy#0,"""<pict wh_item_icon> 아이템 팩으로 사기"""
WarehouseAll_buy#0,"""<pict wh_all_icon> 모든 창고로 사기"""
WarehousePost_buy#0,"""<pict wh_post_icon> 임시 창고로 사기"""
WarehouseSystemPost_buy#0,"""<pict wh_management> 운영 창고로 사기"""
WarehouseDefault_buy#0,"""<pict wh_icon> 기본 창고로 사기"""
WarehouseCharacter_buy#0,"""<pict wh_chara_icon> 캐릭터 창고로 사기"""
WarehousePremiere_buy#0,"""<pict wh_premium_icon> 프리미엄 창고로 사기"""
OneTimePassward_buy#0,"""<pict wh_otp_icon> OTP 창고로 사기"""
WarehouseEs_buy#0,"""<pict wh_es_icon> PSO2es 창고로 사기"""
WarehouseGlobal_buy#0,"""<pict wh_global_icon> 미션 패스 창고로 사기"""
WarehouseDish_buy#0,"""<pict wh_dish_icon> 소재 창고로 사기"""
WarehouseAddition01_buy#0,"""<pict wh_extend1_icon> 확장 창고1로 사기"""
WarehouseAddition02_buy#0,"""<pict wh_extend2_icon> 확장 창고2로 사기"""
WarehouseAddition03_buy#0,"""<pict wh_extend3_icon> 확장 창고3으로 사기"""
WarehouseAddition04_buy#0,"""<pict wh_extend4_icon> 확장 창고4로 사기"""
WarehouseAddition05_buy#0,"""<pict wh_extend5_icon> 확장 창고5로 사기"""
WarehouseAddition06_buy#0,"""<pict wh_extend6_icon> 확장 창고6으로 사기"""
WarehouseAddition07_buy#0,"""<pict wh_extend7_icon> 확장 창고7로 사기"""
WarehouseDrop_buy#0,"""<pict wh_quest_icon> 드랍 창고로 사기"""
WarehousePool_buy#0,"""<pict wh_pool_icon> 퀘스트 창고로 사기"""
ItemPac_sell#0,"""<pict wh_item_icon> 아이템 팩에서 팔기"""
WarehouseAll_sell#0,"""<pict wh_all_icon> 모든 창고에서 팔기"""
WarehousePost_sell#0,"""<pict wh_post_icon> 임시 창고에서 팔기"""
WarehouseSystemPost_sell#0,"""<pict wh_management> 운영 창고에서 팔기"""
WarehouseDefault_sell#0,"""<pict wh_icon> 기본 창고에서 팔기"""
WarehouseCharacter_sell#0,"""<pict wh_chara_icon> 캐릭터 창고에서 팔기"""
WarehousePremiere_sell#0,"""<pict wh_premium_icon> 프리미엄 창고에서 팔기"""
OneTimePassward_sell#0,"""<pict wh_otp_icon> OTP 창고에서 팔기"""
WarehouseGlobal_sell#0,"""<pict wh_global_icon> 미션 패스 창고에서 팔기"""
WarehouseEs_sell#0,"""<pict wh_es_icon> PSO2es 창고에서 팔기"""
WarehouseDish_sell#0,"""<pict wh_dish_icon> 소재 창고에서 팔기"""
WarehouseAddition01_sell#0,"""<pict wh_extend1_icon> 확장 창고1에서 팔기"""
WarehouseAddition02_sell#0,"""<pict wh_extend2_icon> 확장 창고2에서 팔기"""
WarehouseAddition03_sell#0,"""<pict wh_extend3_icon> 확장 창고3에서 팔기"""
WarehouseAddition04_sell#0,"""<pict wh_extend4_icon> 확장 창고4에서 팔기"""
WarehouseAddition05_sell#0,"""<pict wh_extend5_icon> 확장 창고5에서 팔기"""
WarehouseAddition06_sell#0,"""<pict wh_extend6_icon> 확장 창고6에서 팔기"""
WarehouseAddition07_sell#0,"""<pict wh_extend7_icon> 확장 창고7에서 팔기"""
WarehouseDrop_sell#0,"""<pict wh_quest_icon> 드랍 창고에서 팔기"""
WarehousePool_sell#0,"""<pict wh_pool_icon> 퀘스트 창고에서 팔기"""
Bay#0,"""구입"""
Sell#0,"""판매"""
BayBuck#0,"""재구매"""
Buck#0,"""뒤로"""
Decision#0,"""결정"""
Recommended#0,"""추천"""
