Window_Titletelop_WeeklyRanking#0,"""아틀랜덤 이벤트 레코드"""
Main_Headline_UpdateTime#0,"""집계 기간: $(0)"""
Main_Headline_UpdateTime_Close#0,"""최종 집계 기간: $(0)"""
ScoreCategory_Score#0,"""스코어"""
ScoreCategory_ClearTime#0,"""클리어 타임"""
ScoreCategory_Score_and_ClearTime#0,"""스코어/클리어 타임"""
ScoreCategory_Mission_Success_Level#0,"""성취도"""
ScoreCategory_ClearTime2#0,"""클리어 타임"""
ScoreCategory_Clear_Difficulty_Multiplier#0,"""난이도 배율"""
ScoreCategory_Teamtask_Name#0,"""팀 이름"""
ScoreCategory_Teamtask_Score#0,"""스코어"""
ScoreList_RecruitMembers#0,"""멤버 모집 중"""
WeeklyRanking_Category_Score#0,"""쉽별: 클래스별 스코어 레코드"""
WeeklyRanking_Category_ClearTime#0,"""쉽별: 클래스별 클리어 시간 레코드"""
WeeklyRanking_Category_Score_AllClasses#0,"""쉽별: 클래스 종합 스코어 레코드"""
WeeklyRanking_Category_ClearTime_AllClasses#0,"""쉽별: 클래스 종합 클리어 시간 레코드"""
WeeklyRanking_Category_Mission_AllClasses#0,"""쉽별: 클래스 종합 미션 레코드"""
WeeklyRanking_Quest_Description#0,"""퀘스트에 도전해<br>랭크를 유지하자!"""
WeeklyRanking_Trial_Description#0,"""트라이얼에 도전해<br>랭크를 유지하자!"""
WeeklyRanking_Description_Trinites_Solo#0,"""트레이니아/트리니테스의<br>대상 퀘스트를 1인으로 클리어하기."""
WeeklyRanking_Description_Trinites_Party#0,"""트레이니아/트리니테스의<br>대상 퀘스트를 2인 이상으로 클리어하기."""
WeeklyRanking_Description_Trinites_R2_Solo#0,"""트레이니아/트리니테스의<br>퀘스트를 1인으로 클리어하기."""
WeeklyRanking_Description_Trinites_R2_Party#0,"""트레이니아/트리니테스의<br>퀘스트를 2인 이상으로 클리어하기."""
WeeklyRanking_Description_Goalgetter_Solo#0,"""트레이니아 어드밴스/벙커 Type.1의<br>대상 퀘스트를 1인으로 클리어하기."""
WeeklyRanking_Description_Goalgetter_Party#0,"""트레이니아 어드밴스/벙커 Type.1의<br>대상 퀘스트를 2인 이상으로 클리어하기."""
WeeklyRanking_Description_FieldRace#0,"""필드 레이스의 대상 레이스를<br>1인으로 클리어하기."""
WeeklyRanking_Description_Cocoon#0,"""트레이니아/코쿤 대상 퀘스트를<br>솔로나 2인 이상으로 클리어하기."""
WeeklyRanking_Description_Cocoon_Mission_Solo#0,"""트레이니아/코쿤의 대상 퀘스트를<br>1인으로 클리어 하기."""
WeeklyRanking_Teamtask_Description#0,"""팀에서 팀 태스크를 더 많이 달성하면<br>더 좋은 보수를 얻을 수 있습니다.<br><yellow>※<pict party_request>가 있는 팀에는 입단 신청을 할 수 있습니다.<c>"""
WeeklyRanking_Title_Trinites#0,"""지오메트릭 라비린스: 솔로"""
WeeklyRanking_Title_Minigame1#0,"""남부 에아리오 주파(Stage.1): 솔로"""
WeeklyRanking_Title_Goalgetter#0,"""캐논볼 스트라이크: 솔로"""
WeeklyRanking_Title_Trinites_Solo#0,"""지오메트릭 라비린스: <br>솔로"""
WeeklyRanking_Title_Trinites_Party#0,"""지오메트릭 라비린스: <br>파티"""
WeeklyRanking_Title_Goalgetter_Solo#0,"""캐논볼 스트라이크: <br>솔로"""
WeeklyRanking_Title_Goalgetter_Party#0,"""캐논볼 스트라이크: <br>파티"""
WeeklyRanking_Title_FieldRace_AelioSouth#0,"""남부 에아리오 주파 (Stage.1): <br>솔로"""
WeeklyRanking_Title_FieldRace_RetemWest#0,"""서부 리템 주파 (Stage.1): <br>솔로"""
WeeklyRanking_Title_FieldRace_KvarisCenter#0,"""중앙 크바리스 주파 (Stage.1): <br>솔로"""
WeeklyRanking_Title_Teamtask#0,"""팀 태스크 레코드"""
TabButton_Teamtask_All#0,"""모두 표시"""
Reward_Description_Teamtask#0,"""<yellow>※보수를 획득하기 위해서는 3개 이상의 팀 태스크 달성과<br>\u3000최종 집계 때 팀에 소속되어 있어야 합니다.<c>"""
WeeklyRanking_Title_FieldRace_AelioCenter#0,"""중앙 에아리오 판조 (Stage.1): <br>솔로"""
WeeklyRanking_Title_FieldRace_RetemCenter#0,"""중앙 리템 판조 (Stage.1): <br>솔로"""
WeeklyRanking_Title_OrdinalTower_Solo#0,"""오디널 타워 (Rank.7): <br>솔로"""
WeeklyRanking_Title_OrdinalTower_Party#0,"""오디널 타워 (Rank.7): <br>파티"""
WeeklyRanking_Description_OrdinalTower_Solo#0,"""오디널 타워의 대상 퀘스트를<br>1인으로 클리어 하기."""
WeeklyRanking_Description_OrdinalTower_Party#0,"""오디널 타워의 대상 퀘스트를<br>2인 이상으로 클리어 하기."""
WeeklyRanking_Title_FieldRace_HotSpring#0,"""스티아 외연부 주파 (Stage.1): <br>솔로"""
WeeklyRanking_Title_FieldRace_UndergroundFactory#0,"""드라이젠 플랜트 판조 (Stage.1): <br>솔로"""
WeeklyRanking_Title_FieldRace_AelioNorth_Board#0,"""북부 에아리오 판조 (Stage.1): <br>솔로"""
WeeklyRanking_Title_FieldRace_RetemSouth_Run#0,"""남부 리템 주파 (Stage.1): <br>솔로"""
WeeklyRanking_Title_FieldRace_KvarisSouth_Run#0,"""남부 크바리스 주파 (Stage.1): <br>솔로"""
WeeklyRanking_Title_FieldRace_AelioWest_Run#0,"""서부 에아리오 주파 (Stage.1): <br>솔로"""
WeeklyRanking_Title_FieldRace_RetemNorth_Board#0,"""북부 리템 판조 (Stage.1): <br>솔로"""
WeeklyRanking_Title_Trinites_R2_Solo#0,"""지오메트릭 라비린스 (Rank.2): <br>솔로"""
WeeklyRanking_Title_Trinites_R2_Party#0,"""지오메트릭 라비린스 (Rank.2): <br>파티"""
WeeklyRanking_Title_Cocoon_HelicalLine#0,"""헬리컬 라인: <br>솔로"""
WeeklyRanking_Title_FieldRace_MediolaOuter_Board#0,"""메디오라 외곽 제2구 판조 (Stage.1): <br>솔로"""
WeeklyRanking_Title_Cocoon_Quarterstaff#0,"""쿼터 스태프: <br>솔로"""
WeeklyRanking_Title_Cocoon_FacetheDarkness#0,"""페이스 더 다크니스: <br>솔로"""
WeeklyRanking_Title_Cocoon_BrokenWorld#0,"""브로큰 월드: <br>솔로"""
WeeklyRanking_Title_Cocoon_FleetingFight#0,"""セツナノイッセン：<br>ソロ"""
WeeklyRanking_Title_FieldRace_HalphiaLake_Boar#0,"""ハルフィリア湖板操（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_FieldRace_KvarisWest_Run#0,"""西クヴァリス走破（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_Cocoon_VanishingPath2#0,"""バニシングウェイⅡ：<br>ソロ"""
WeeklyRanking_Title_Cocoon_SlopeStyle#0,"""슬로프 스타일: <br>솔로/파티"""
WeeklyRanking_Title_Standard_Continuousbattle1#0,"""陽炎の攻防戦：<br>パーティー"""
WeeklyRanking_Title_Standard_Continuousbattle2#0,"""夜寒の攻防戦：<br>パーティー"""
WeeklyRanking_Description_Standard_Party#0,"""<br>対象クエストを２人以上でクリアする。"""
WeeklyRanking_Title_Cocoon_CrazyTail#0,"""クレイジーテイル：<br>ソロ"""
