MySpaceCommonLabel_EditMode#0,"""편집 모드"""
MySpaceDirectPurchase_CantBuyText2#0,"""이 설계도에는<br>제네시스 포인트나 스타잼으로 구매할 수 없는<br>미등록된 빌드 파츠가 포함되어 있습니다."""
MySpaceDirectPurchaseListTitle#0,"""빌드 파츠 구매 확인"""
MySpaceDirectPurchaseListText1#0,"""이 설계도에 포함된 아래의 미등록 빌드 파츠를 구매하시겠습니까?"""
MySpaceDirectPurchaseListText2#0,"""빌드 파츠를 구매하지 않아도 설계도는 이용할 수 있지만<br>등록되지 않은 빌드 파츠는 배치되지 않습니다."""
MySpaceDirectPurchaseListText_NotBuy#0,"""<yellow>※설계도에는 제네시스 포인트 또는<br>스타잼으로 구매할 수 없는 빌드 파츠가 포함되어 있습니다.<c>"""
MySpaceDirectPurchaseListText_NeedGp#0,"""필요 제네시스 포인트:$(0)<pict 4space><pict myspace_point><pict 4space>(소지 GP:$(1)<pict 4space><pict myspace_point><pict 4space>)"""
MySpaceDirectPurchaseListText_NeedSg#0,"""필요한 스타잼:$(0)<pict 4space><pict StarGem><pict 4space>(소지 SG:$(1)<pict 4space><pict StarGem><pict 4space>)"""
MySpaceDirectPurchaseListText_ButtonYes#0,"""빌드 파츠 구매"""
MySpaceDirectPurchaseListText_ButtonNo#0,"""구매 안 함"""
MySpaceBuildPartsPurchaseListTitle#0,"""빌드 파츠 구매"""
MySpaceBuildPartsPurchaseListText_Gp#0,"""아이템을 $(0)GP로 구매합니다.<br>괜찮으시겠습니까?"""
MySpaceBuildPartsPurchaseListText_Sg#0,"""아이템을 $(0)SG로 구매합니다.<br>괜찮으시겠습니까?"""
MySpaceBuildPartsPurchaseListText_ButtonYes#0,"""네"""
MySpaceBuildPartsPurchaseListText_ButtonNo#0,"""아니오"""
MySpaceBuildPartsPurchaseListText_ButtonScc#0,"""특정거래에 관한 법률에 따른 표시"""
MySpaceConnect_Busy#0,"""연결의 송수신량이 과도합니다. 배치 수와 설정을 재검토 해주세요."""
MySpaceOfficialNotice#0,"""여기서 사용된 일부 빌드 파츠는,<br>$(0)의 정기점검 종료 후 배포될 예정입니다."""
MyspaceInfoText_BuildParts_DeploymentInitialization#0,"""빌드 파츠의 배치가 초기 상태로 돌아갔습니다."""
MyspaceInfoText_Terrain_Initialization#0,"""지형 배치가 초기 상태로 돌아갔습니다."""
CraftMenu_BuildCommand#0,"""빌드 커맨드"""
CraftMenu_BuildParts#0,"""빌드 파츠"""
CraftMenu_BuildParts_OthersSpace#0,"""$(0)의 빌드 파츠"""
CraftMenu_DeleteObject#0,"""삭제"""
CraftMenu_MoveObject#0,"""이동"""
CraftMenu_ObjectConfig#0,"""설정"""
CraftMenu_ObjectColor#0,"""컬러 변경"""
CraftMenu_EditTerrain#0,"""지형 업/다운"""
CraftMenu_LandLeveling#0,"""지형 정돈"""
CraftMenu_FloatingOnAir#0,"""공중부양"""
CraftMenu_QuitEditMode#0,"""편집 모드 종료"""
CraftMenu_Sort_Normal#0,"""표준 정렬"""
CraftMenu_NoItem#0,"""아이템이 없습니다"""
CraftMenu_NoRecord#0,"""기록이 없습니다"""
MySpaceCraftPaletteFormTitle#0,"""빌드 팔레트"""
MySpaceCraftPalette_DeleteTitle#0,"""메시지"""
MySpaceCraftPalette_ConfirmDeletePalette#0,"""빌드 팔레트에 등록한<br>빌드 커맨드 또는 빌드 파츠를 삭제하시겠습니까?"""
CraftMenu_Sort_Category#0,"""종류순"""
CraftMenu_Sort_Name#0,"""이름순"""
CraftMenu_Sort_Rarity#0,"""레어리티"""
BuildMenuFullSizeTitle#0,"""빌드 메뉴"""
BuildMenuTwolineGuide#0,"""빌드 커맨드를 실행하거나 설치할 빌드 파츠를 선택할 수 있습니다."""
BuildPaletteGuide_Inactive#0,"""팔레트 등록/팔레트 편집: <%Function>"""
BuildPaletteGuide_Active#0,"""등록: <%Decide>\u3000\u3000취소: <%Cancel>\u3000\u3000삭제: <%Exception>"""
BuildPaletteButton_Initialize#0,"""팔레트 초기화"""
BuildPaletteInitialize_Title#0,"""초기화 확인"""
BuildPaletteInitialize_Text#0,"""빌드 팔레트를 초기 상태로 되돌리시겠습니까?"""
Guide_BuildMenu#0,"""결정: <%Decide>\u3000\u3000취소: <%Cancel>\u3000\u3000조작 항목의 이동: <%NextWidget>"""
Guide_BuildMenu_Blueprint#0,"""결정: <%Decide>\u3000\u3000취소: <%Cancel>\u3000\u3000조작 항목의 이동: <%NextWidget>\u3000\u3000조작 윈도우 전환: <%ChangeCtrlWindowForward>\u3000\u3000미등록 빌드 파츠 등록: <%MultiSelect>\u3000\u3000삭제: <%Exception>"""
Blueprint_RegistMSG_Text1#0,"""이 설계도의 빌드 파츠는 현재 크리에이티브 스페이스에서 모두 사용할 수 있습니다."""
Blueprint_RegistMSG_Text2#0,"""이 크리에이티브 스페이스에서는 빌드 파츠를 등록할 수 없습니다."""
MySpaceOptionMenuFormTitle#0,"""빌드 옵션"""
MySpaceOptionMenuTitle_GridTerrain#0,"""지형에 격자 표시"""
MySpaceOptionMenuTitle_GridTerrain_exp#0,"""빌드 파츠를 설치하거나, 지형을 편집할 때<br>지면에 격자를 표시하는 기능을<br>사용할지 설정합니다."""
MySpaceOptionMenuTitle_GridSnap#0,"""격자에 스냅"""
MySpaceOptionMenuTitle_GridSnap_exp#0,"""빌드 파츠 설치 시<br>격자에 맞추는 기능을<br>사용할지 설정합니다.<br><br><yellow>※사용하지 않음을 선택하면,<br>\u3000빌드 파츠를 자유로은 좌표로 배치할 수 있습니다.<c>"""
MySpaceOptionMenuTitle_HitCollision#0,"""이미 설치된 빌드 파츠와의 간섭"""
MySpaceOptionMenuTitle_HitCollision_exp#0,"""빌드 파츠 설치 시<br>이미 설치된 빌드 파츠와<br>간섭을 일으킬지 설정합니다."""
MySpaceOptionMenuTitle_Rotate#0,"""빌드 파츠의 회전 각도"""
MySpaceOptionMenuTitle_Rotate_exp#0,"""빌드 파츠의 회전 각도를<br>45도마다 고정하는 기능을<br>사용할지 설정합니다."""
MySpaceOptionMenuTitle_Scaling#0,"""빌드 파츠 확대/축소율"""
MySpaceOptionMenuTitle_Scaling_exp#0,"""빌드 확대/축소율을<br>25%마다 고정하는 기능을<br>사용할지 설정합니다."""
MySpaceOptionMenuTitle_Distance#0,"""빌드 파츠의 최대 설치 거리"""
MySpaceOptionMenuTitle_Distance_exp#0,"""빌드 파츠의 최대 설치 거리의 변동 폭을<br>일정한 거리마다 고정하는 기능을<br>사용할지 설정합니다.<br><br><yellow>\""격자에 스냅\""이 활성화된 경우,<br>\u3000\""사용 안 함\""을 선택해도<br>\u3000일정 거리마다 고정됩니다.<c>"""
MySpaceOptionMenuTitle_Assistance#0,"""ビルドパーツ設置時のガイドシルエット表示"""
MySpaceOptionMenuTitle_Assistance_exp#0,"""ビルドパーツの設置時に、<br>設置面に映るガイドシルエットを<br>表示するかを設定します。"""
MySpaceOptionMenuItemText_On#0,"""사용하기"""
MySpaceOptionMenuItemText_Off#0,"""사용 안 함"""
MySpaceOptionMenuItemText_onehalf#0,"""1/2칸마다"""
MySpaceOptionMenuItemText_one#0,"""1칸마다"""
MySpaceMenuFormTitle#0,"""C 스페이스 메뉴"""
MySpaceMenuHeadLine_AddObject#0,"""빌드 파츠 추가"""
MySpaceMenuTitle_ObjectExchange#0,"""빌드 파츠 구매"""
MySpaceMenuTitle_ObjectRegister#0,"""빌드 파츠 등록"""
MySpaceMenuHeadLine_Setting#0,"""크리에이티브 스페이스 설정"""
MySpaceMenuTitle_BgmSetting#0,"""BGM 변경"""
MySpaceMenuTitle_TimeControl#0,"""시간 변경"""
IntroductionFormTitle#0,"""공개 정보 설정"""
MySpaceMenuTitle_TeamMag#0,"""팀 마그"""
MySpaceMenuHeadLine_Init#0,"""크리에이티브 공간 상태"""
MySpaceMenuTitle_SettingInit#0,"""빌드 파츠 배치 초기화"""
MySpaceMenuTitle_TerrainInit#0,"""지형 초기화"""
MySpaceMenuHeadLine_EditPermission#0,"""편집 권한 관리"""
MySpaceMenuTitle_EditPermission#0,"""다른 플레이어의 편집 권한 설정"""
TeamSpaceMenuTitle_EditPermission#0,"""チームメンバーの編集権限の設定"""
TeamSpaceMenuTitle_EditPermission_Title#0,"""編集権限の設定"""
MySpaceMenuHeadLine_ObjectSetting#0,"""빌드 파츠 상태"""
MySpaceMenuTitle_ObjectSetting#0,"""기믹을 설정 시의 상태로 되돌리기"""
MySpaceMenuText_NoEditAuth1#0,"""편집 권한이 없어 메뉴를 열 수 없습니다."""
TeamSpaceMenuText_NoEditAuth1#0,"""선택한 메뉴는 이 팀 스페이스의 팀 마스터와 매니저만 조작할 수 있습니다."""
MySpace_Notice_SwitchMode_Editing#0,"""편집 모드로 변경했습니다."""
MySpace_Notice_SwitchMode_Normal#0,"""편집 모드 종료했습니다."""
MySpaceShopTitle_Guide#0,"""획득한 제네시스 포인트로 빌드 파츠를 구매할 수 있습니다."""
MySpaceSgShopTitle_Guide#0,"""스타잼으로 빌드 파츠를 구매할 수 있습니다."""
MySpaceShopCheckBoxTitle#0,"""미등록 아이템만 보기"""
MySpaceRegisterText_Register#0,"""$(0) 아이템을 사용하여<br>새로운 빌드 파츠를 등록합니다.<br>괜찮으시겠습니까?"""
MySpaceRegisterText_Registered#0,"""빌드 파츠를 등록했습니다."""
MySpaceBaseChangeTitle#0,"""테마 변경 및 해제"""
MySpaceBaseChangeName#0,"""테마 이름"""
MySpaceBaseUnlocked#0,"""해제됨"""
MySpaceBaseChangeAelio#0,"""에아리오 테마"""
MySpaceBaseChangeRetem#0,"""리템 테마"""
MySpaceBaseChangeKvaris#0,"""크바리스 베이스"""
MySpaceBaseChangeStia#0,"""스티아 베이스"""
MySpaceBaseChangeScene#0,"""테마의 풍경 이미지"""
MySpaceBaseApply_Title#0,"""메시지"""
MySpaceBaseApply_Confirm1#0,"""이 스페이스에 \""$(0)\"" 적용을 실행하시겠습니까?<br><br>테마를 변경하면 배치한 빌드 파츠 및<br>지형이 초기화됩니다.<br><yellow>※적용 시 해당 스페이스에 있는 다른 플레이어도,<br>\u3000자동으로 변경된 공간으로 이동합니다.<c>"""
MySpaceBaseApply_Confirm2#0,"""테마를 변경하면,<br>빌드 파츠나 지형이 초기 상태로 돌아갑니다.<br>변경한 후에는 원래 상태로 되돌릴 수 없습니다.<br>정말 괜찮으시겠습니까?"""
MySpaceBaseApply_Confirm2_Blueprint#0,"""테마를 변경하면,<br>빌드 파츠나 지형이 초기 상태로 돌아갑니다.<br>변경한 후에는 원래 상태로 되돌릴 수 없습니다.<br>정말 괜찮으시겠습니까?<br><br><yellow>※테마를 변경하면,<br>\u3000設置した設計図の公開も中止されます。<c>"""
MySpaceBaseChangeBuyData#0,"""구매 정보"""
MySpaceBaseChangePossessionPoint#0,"""소지 포인트"""
MySpaceBaseChangeRequiredPoint#0,"""필요 포인트"""
MySpaceBaseChangeSettlement#0,"""결제 후"""
MySpaceBaseChangeBuyTitle#0,"""테마 구매"""
MySpaceBaseChangeBuyConfirm#0,"""테마를 $(0)GP로 구매합니다.<br>괜찮으시겠습니까?"""
MySpaceBaseChangeBuySuccess#0,"""테마를 구매했습니다."""
MySpaceBaseChangeBuyFailure#0,"""제네시스 포인트가 부족합니다."""
MySpaceBgmText_Note#0,"""마그 주크박스에서<br>BGM을 설정하고 있을 때는<br>그 쪽이 우선적으로 적용됩니다.<br><br>또한 『PSO2』의 일부 곡은,<br>플레이 환경에 따라<br>재생되지 않을 수도 있습니다."""
MySpaceBgmText_Notice#0,"""\""마그 주크박스\""로 BGM을 재생하고 있기 때문에 사용할 수 없습니다."""
TimeControl_Title#0,"""시간 변경"""
TimeControll_TimePasses#0,"""C 스페이스 안에서 시간이 흐르도록"""
TimeControll_TimePasses_TeamSpace#0,"""T스페이스 안에서 시간이 흐른다."""
DefaultMySpaceName#0,"""크리에이티브 스페이스"""
DefaultTeamSpaceName#0,"""팀 스페이스"""
DefaultMySpaceComment#0,"""<pict 4space>"""
If_All_OK#0,"""누구나 가능 (검색 대상에 포함)"""
If_Friend_Guild_Member#0,"""프렌드와 팀 멤버만 가능"""
If_Guild_Member#0,"""팀 멤버만 가능"""
If_Friend_Member#0,"""프렌드만 가능"""
If_All_Not#0,"""비공개 (본인만 입장 가능)"""
CancelMessageTitle#0,"""메시지"""
CancelMessage#0,"""변경한 내용을 반영하지 않고 종료합니다.<br>괜찮으시겠습니까?"""
IntroductionSaveSameTag#0,"""동일한 검색용 태그는 여러 개 등록할 수 없습니다.<br>중복된 태그를 삭제합니다."""
IntroductionSaveFailed#0,"""공개 정보 설정에 실패했습니다."""
MySpaceMenuText_InitTitle#0,"""초기화 확인"""
MySpaceMenuText_ConfirmSettingInit#0,"""모든 빌드 파츠를<br>배치 전 상태로 되돌립니다.<br>괜찮으시겠습니까?"""
MySpaceMenuText_ReconfirmSettingInit#0,"""모든 빌드 파츠를 배치 전 상태로 되돌립니다.<br>초기화하면 되돌릴 수 없습니다.<br>정말로 괜찮으시겠습니까?<br><br><yellow>※초기화하면 설치한 설계도의 공개도 중단됩니다.<c>"""
MySpaceMenuText_SettingInit#0,"""빌드 파츠 배치를 초기 상태로 되돌렸습니다."""
MySpaceMenuText_ConfirmTerrainInit#0,"""변경한 모든 지형을<br>초기상태로 되돌립니다.<br>괜찮으시겠습니까?"""
MySpaceMenuText_ReconfirmTerrainInit#0,"""초기화하면 원래 상태로 되돌릴 수 없습니다.<br>정말로 괜찮으시겠습니까?"""
MySpaceMenuText_TerrainInit#0,"""크리에이티브 스페이스의 지형을 초기 상태로 되돌렸습니다."""
TeamSpaceMenuText_TerrainInit#0,"""팀 스페이스의 지형을 초기 상태로 되돌렸습니다."""
PermissionList_Title#0,"""편집 권한 설정"""
PermissionList_Editors#0,"""편집 권한이 있는 플레이어"""
PermissionList_Authorize#0,"""편집 권한 부여 확인"""
PermissionList_Reject#0,"""편집 권한 비활성화 확인"""
PermissionList_IdName#0,"""$(0)"""
PermissionList_Names#0,"""$(0) $(1)"""
PermissionList_AuthorizeConfirm#0,"""$(0) 님에게 편집 권한을 부여하시겠습니까?<br>$(1) 님의<br>모든 캐릭터에게<br>편집 권한이 부여됩니다."""
PermissionList_RejectConfirm#0,"""$(0) 님의 편집 권한을 비활성화 하시겠습니까?<br>$(1) 님의<br>모든 캐릭터에게<br>편집 권한이 비활성화됩니다."""
PermissionList_EditorsNumberMax#0,"""편집 권한을 부여할 수 있는 인원이 상한선에 도달했습니다."""
TeamSpaceMenuText_Editpermission_Guide#0,"""チームマスターとマネージャー以外の役職に、<br>編集権限を付与するかを設定をします。<br>権限を付与すると、<br>チームスペースの以下の機能が<br>使用可能になります。<br><br>・編集モード<br>・ビルドパーツの購入と登録<br>・時間の変更<br>・ギミックを設定時の状態に戻す"""
TeamSpaceMenuText_Editpermission_PositionTitle#0,"""編集権限を付与する役職"""
TeamSpaceMenuText_Editpermission_NoAuthority#0,"""権限付与対象を変更しない"""
TeamSpaceMenuText_Editpermission_Commonmember#0,"""コモンメンバー"""
TeamSpaceMenuText_Editpermission_Common_Visitormember#0,"""コモンメンバーとビジター"""
TeamSpaceMenuText_Editpermission_Position_Decision#0,"""チームメンバーの編集権限の設定を変更しました。"""
TeamSpaceMenuText_Editpermission_Position_Decision_Fail#0,"""チームメンバーの編集権限の変更に失敗しました。"""
ObjectReset_Title#0,"""초기화 확인"""
ObjectReset_Confirm#0,"""움직이는 모든 빌드 파츠를,<br>설정한 초기상태로 되돌립니다.<br>괜찮으시겠습니까?"""
ObjectReset_Complete#0,"""빌드 파츠의 기믹을 실행 전 상태로 되돌렸습니다."""
TeamSpaceMenuFormTitle#0,"""T 스페이스 메뉴"""
TeamSpaceMenuHeadLine_Setting#0,"""팀 스페이스 설정"""
TeamSpaceMenuHeadLine_Init#0,"""팀 스페이스 상태"""
TeamSpaceMenuHeadLine_EditPermission#0,"""編集権限の管理"""
TeamSpaceBgmText_NotPlay#0,"""\""마그 쥬크 박스\""에서 BGM을 재생하고 있어, 사용할 수 없습니다."""
TeamSpaceBgmText_Download#0,"""재생할 수 없는 BGM이 설정되어 있습니다.<br>BGM을 재생하려는 경우,<br>『PSO2』의 데이터를 다운로드해 주세요."""
MySpace_Notice_ReachGaugeLimit#0,"""설치 용량을 초과하여 더 이상 설치할 수 없습니다."""
MySpace_Notice_ReachCreateLimit#0,"""설치 개수 제한을 초과하여 더 이상 설치할 수 없습니다."""
MySpace_Notice_ReachUnregisteredParts#0,"""미등록된 빌드 파츠가 포함되어 있습니다. 해당 빌드 파츠가 설치되지 않았습니다."""
MySpace_Notice_ReachPartsNumberLimit#0,"""설치 개수 제한을 초과하는 빌드 파츠가 있습니다. 해당 빌드 파츠가 설치되지 않았습니다."""
MySpaceColorChangeTitle#0,"""컬러 설정"""
MySpaceColorChangePattern1#0,"""컬러 1"""
MySpaceColorChangePattern2#0,"""컬러 2"""
MySpaceColorPaletteTitle#0,"""컬러 팔레트"""
DefaultColorButton#0,"""기본 컬러로 되돌리기"""
MySpaceConfigGude#0,"""<%MultiSelect>로 갱신 정보 표시"""
MySpaceUpdateInfo_Title#0,"""갱신 정보"""
MySpaceUpdateInfo_Label#0,"""마지막으로 업데이트한 플레이어 ID 네임"""
MySpaceUpdateInfo_PlayerIDName#0,"""$(0)"""
MySpace_Label_DisallowChangeConfig#0,"""이 빌드 파츠의 설정은 변경할 수 없습니다."""
MySpace_Notice_DisallowChangeColor#0,"""컬러 변경이 불가능한 빌드 파츠입니다."""
MySpace_Notice_NoGeoChangePlace#0,"""지형을 변경할 수 없는 곳입니다."""
MySpace_Notice_GeoUpperLimit#0,"""더 이상 지형을 변경할 수 없습니다."""
MySpace_Notice_GeoLowerLimit#0,"""더 이상 지형을 변경할 수 없습니다."""
MySpace_SwitchInstallation_Title#0,"""빌드 파츠 설치"""
MySpace_SwitchEditBuildPart_Title#0,"""빌드 파츠 편집"""
MySpace_SwitchEditTerrain_Title#0,"""지형 편집"""
MySpace_SwitchInstallation_RotateGuide#0,"""회전: <swguidetype ActionLStick>\u3000\u3000회전축 변경: <swguidetype ActionUpDown>\u3000\u3000회전 리셋: <%Jump>"""
MySpace_SwitchInstallation_RotateGuide_Key#0,"""回転：<swguidetype ActionLStick>\u3000\u3000回転軸の変更：<swguidetype ActionUpDownKey>\u3000\u3000回転のリセット：<%Jump>"""
MySpace_SwitchInstallation_ScaleGuide#0,"""확대/축소: <swguidetype ActionLStick>\u3000\u3000확대/축소축 변경 <swguidetype ActionUpDown>\u3000\u3000확대/축소 리셋: <%Jump>"""
MySpace_SwitchInstallation_ScaleGuide_Key#0,"""拡縮：<swguidetype ActionLStick>\u3000\u3000拡縮軸の変更：<swguidetype ActionUpDownKey>\u3000\u3000拡縮のリセット：<%Jump>"""
MySpace_SwitchInstallation_DistanceGuide#0,"""최대 설치 거리 변경: <swguidetype ActionLStick>\u3000\u3000설치 거리 변경 리셋: <%Jump>"""
MySpace_SwitchEditBuildPart_Guide_Hold#0,"""편집 항목 결정: <%WeaponAction_2> 떼기"""
MySpace_SwitchEditBuildPart_Guide_OnePush#0,"""편집 항목 결정: <%WeaponAction_2>"""
MySpace_SwitchEditTerrain_Guide_Hold#0,"""범위의 확대/축소: <swguidetype ActionUpDown>\u3000\u3000편집 항목 결정: <%WeaponAction_2> 떼기"""
MySpace_SwitchEditTerrain_Guide_Hold_Key#0,"""範囲の拡縮：<swguidetype ActionUpDownKey>\u3000\u3000編集項目の決定：<%WeaponAction_2>を離す"""
MySpace_SwitchEditTerrain_Guide_OnePush#0,"""범위의 확대/축소: <swguidetype ActionUpDown>\u3000\u3000편집 항목 결정: <%WeaponAction_2>"""
MySpace_SwitchEditTerrain_Guide_OnePush_Key#0,"""範囲の拡縮：<swguidetype ActionUpDownKey>\u3000\u3000編集項目の決定：<%WeaponAction_2>"""
MySpace_Switch_Right#0,"""<swguidetype ActionRight>"""
MySpace_Switch_Right_Key#0,"""<swguidetype ActionRightKey>"""
MySpace_Switch_Left#0,"""<swguidetype ActionLeft>"""
MySpace_Switch_Left_Key#0,"""<swguidetype ActionLeftKey>"""
MySpaceJournalInstallation#0,"""설치"""
MySpaceJournalInstallationInformation#0,"""빌드 파츠 설치 정보"""
MySpaceJournalBuildPartsInformation#0,"""빌드 파츠 정보"""
MySpaceJournalEditTerrainInformation#0,"""지형 정보"""
MySpaceJournalRotate#0,"""회전"""
MySpaceJournalXAxis#0,"""X축"""
MySpaceJournalYAxis#0,"""Y축"""
MySpaceJournalZAxis#0,"""Z축"""
MySpaceJournalXYZAxis#0,"""전체"""
MySpaceJournalScale#0,"""스케일"""
MySpaceJournalMaxDistance#0,"""최대 설치 거리"""
MySpaceJournalTerrainScope#0,"""적용 범위"""
MySpaceJournalOperation#0,"""조작 방법"""
MySpaceJournalInst_Icon_Action1#0,"""<%NormalAttack>"""
MySpaceJournalInst_Icon_Action2#0,"""<%PhotonArts>"""
MySpaceJournalInst_Icon_Action3#0,"""<%MainPaletteC>"""
MySpaceJournalInst_Icon_Action1or2#0,"""<%NormalAttack>/<%PhotonArts>"""
MySpaceJournalInst_Icon_BP#0,"""<%WeaponAction_2>"""
MySpaceJournalInst_Icon_Space#0,"""<pict 4space>"""
MySpaceJournalTextInst_MoveObject_Move#0,"""이동"""
MySpaceJournalTextInst_ObjectConfig_Config#0,"""설정"""
MySpaceJournalTextInst_ObjectColor_ColorChange#0,"""색을 선택 및 반영"""
MySpaceJournalTextInst_ObjectColor_ColorApply#0,"""선택 중인 색상 반영"""
MySpaceJournalTextInst_DeleteObject_Delete#0,"""삭제"""
MySpaceJournalTextInst_EditTerrain_Uplift#0,"""지형 업"""
MySpaceJournalTextInst_EditTerrain_Downlift#0,"""지형 다운"""
MySpaceJournalTextInst_EditTerrain_LandLeveling#0,"""지형 정돈"""
MySpaceJournalTextInst_Installation#0,"""설치"""
MySpaceJournalTextInst_Sub_SwitchingFunction#0,"""빌드 파츠 편집 메뉴"""
MySpaceJournalTextInst_Sub_SwitchingGeneralControl#0,"""\u3000편집 모드 종료"""
MySpaceJournalTextInst_Sub_SwitchingAux#0,"""빌드 파츠 설치 메뉴"""
MySpaceJournalTextInst_Sub_ExitInstallation#0,"""취소"""
MySpaceJournalTextInst_Sub_ExitInstallation_Space#0,"""\u3000빌드 파츠 설치 종료"""
MySpaceJournalTextInst_Sub_CraftMenu#0,"""빌드 메뉴"""
MySpaceJournalTextInst_Sub_SwitchingEditTerrainFunction#0,"""지형 편집 메뉴"""
MySpaceJournalTextInst_Sub_ExitEditTerrain#0,"""\u3000지형 편집 종료"""
MySpaceJournalTextInst_Sub_InstConfig#0,"""\u3000빌드 옵션"""
MySpaceJournalTextInst_Sub_CreativeSpaceMenu#0,"""\u3000C 스페이스 메뉴"""
TeamSpaceJournalTextInst_Sub_CreativeSpaceMenu#0,"""\u3000팀 스페이스 메뉴"""
MySpaceJournalTextInst_SubTitle_Aux#0,"""<%WeaponAction_2>로 메뉴 표시 중에"""
MySpaceJournalTextInst_SubTitle_Function#0,"""<%WeaponAction_2>로 메뉴 표시 중에"""
MySpaceJournalTextInst_SubTitle_TerrainFunction#0,"""<%WeaponAction_2>로 메뉴 표시 중에"""
InstallationNumber#0,"""연동되는 텔레포터 번호"""
Active#0,"""사용하기"""
Inactive#0,"""사용 안 함"""
Collision_Active#0,"""접촉"""
Collision_Inactive#0,"""접촉 안 함"""
Connect_Active#0,"""송수신"""
Connect_Inactive#0,"""송수신 안 함"""
Appear#0,"""표시"""
Disappear#0,"""숨기기"""
OpenDoor#0,"""열기"""
CloseDoor#0,"""닫기"""
On#0,"""켜기"""
Off#0,"""끄기"""
Graphics#0,"""빌드 파츠 표시"""
Collision#0,"""빌드 파츠의 접촉 판정"""
Access#0,"""빌드 파츠의 액세스 기능"""
TransLock#0,"""커넥트 송수신"""
SendContainerBreak#0,"""파괴하기"""
SendSwitchOn#0,"""켜기"""
SendSwitchOff#0,"""끄기"""
SendDoorOpen#0,"""열기"""
SendDoorClose#0,"""닫기"""
SendSit#0,"""앉기"""
SendGet#0,"""얻기"""
SendTakeShower#0,"""샤워하기"""
SendTouch#0,"""접촉"""
SendLeave#0,"""접촉 후 빌드 파츠에서 떨어지기"""
SendLiedown#0,"""눕기"""
SendTakeBath#0,"""목욕하기"""
SendAccess#0,"""액세스 하기"""
SendTeleport#0,"""텔레포트 하기"""
SendTouchFence#0,"""접촉"""
SendUpDrift#0,"""업 드래프터 타기"""
SendAfterDelay#0,"""설정한 시간이 흐른다"""
SendTimerOverValue#0,"""타이머의 설정 시간 이상이 되기"""
SendTimerUnderValue#0,"""타이머가 0이 되기"""
SendRandam1#0,"""랜덤 송신할 송신지의 커넥트ID 지정 1"""
SendRandam2#0,"""랜덤 송신할 송신지의 커넥트ID 지정 2"""
SendRandam3#0,"""랜덤 송신할 송신지의 커넥트ID 지정 3"""
