Accessories_Name1#0,"""악세서리 1"""
info_Horn#0,"""뿔"""
info_Ear#0,"""귀"""
info_Skin#0,"""피부"""
Title_HairStyle#0,"""헤어 스타일목록"""
Title_HeadParts#0,"""헤드 파츠목록"""
Title_BodyPaint#0,"""바디 페인트목록"""
Title_Body#0,"""바디목록"""
Title_Arm#0,"""암목록"""
Title_Leg#0,"""레그목록"""
Title_Costume#0,"""코스튬목록"""
Title_Outer#0,"""아우터 웨어목록"""
Title_Base#0,"""베이스 웨어목록"""
Title_Inner#0,"""이너 웨어목록"""
NoMessage#0,"""아이템이 없습니다"""
FashionTab_All#0,"""전체"""
FashionTab_Favorite#0,"""즐겨찾기"""
NoItemMsg#0,"""없음"""
NoOuterItemMsg#0,"""아우터 웨어가 없습니다"""
InvalidHyphen#0,"""－"""
Body_Name1#0,"""바디 페인트1"""
Body_Name2#0,"""바디 페인트2"""
Body_FormTitle#0,"""바디 페인트"""
Body_List_FormTitle#0,"""바디 페인트목록"""
NoAccessoriesMessage#1,"""바디 페인트가 없습니다"""
Remove#1,"""제외"""
Favorite_Add#0,"""즐겨찾기에 등록"""
Favorite_Delete#0,"""즐겨찾기에서 삭제"""
Body_display_1#0,"""우선도 1"""
Body_display_2#0,"""우선도 2"""
Body_display_3#0,"""우선도 3"""
MoveMotion_1#0,"""이족 보행"""
MoveMotion_2#0,"""호버"""
Fashion_OtherFashion#0,"""북마크"""
PageSwitch_PC#0,"""<%NextTabDetails>로 전환"""
PageSwitch_Vita#0,"""<pict Sign_TRIANGLE> 전환"""
Error_Title#0,"""에러"""
Error_ImproperData_LoadMyFashion#0,"""이 저장 데이터는 문제가 있어<br>적용할 수 없습니다.<br><br>해당 데이터를 에스테에서 수정하거나<br>다른 데이터로 덮어쓰거나 삭제해 주세요."""
Error_ImproperData_SaveMyFashion#0,"""현재 외모 데이터에 문제가 있어<br>마이 패션에 저장되지 않습니다.<br><br>다른 데이터를 적용하거나 에스테에서 수정해주세요."""
FashionTab_New_Base#0,"""N-베이스 웨어"""
FashionTab_Base#0,"""베이스 웨어"""
FashionTab_New_Inner#0,"""N-이너 웨어"""
FashionTab_Inner#0,"""이너 웨어"""
FashionTab_New_Body#0,"""N-바디"""
FashionTab_Body#0,"""바디"""
FashionTab_New_Arms#0,"""N-암"""
FashionTab_Arms#0,"""암"""
FashionTab_New_Legs#0,"""N-레그"""
FashionTab_Legs#0,"""레그"""
FashionTab_New_Outer#0,"""N-아우터 웨어"""
FashionTab_Outer#0,"""아우터 웨어"""
Fashion_Incompatible#0,"""비대응"""
info_title_Motion#0,"""모션 변경"""
info_Motion_Wait#0,"""대기"""
info_Motion_Run#0,"""이동"""
info_Motion_Jump#0,"""점프"""
info_Motion_Landing#0,"""착지"""
info_Motion_Dash#0,"""대시"""
info_Motion_Glide#0,"""글라이드"""
info_Motion_Swim#0,"""수영"""
Fashion_Visibility#0,"""장식의 표시 설정"""
Motion_Change_Item#0,"""모션 변경"""
Motion_Change_Title#0,"""모션 변경 [$(0)/$(1)]"""
Motion_List_Title#0,"""모션 목록 [$(0)/$(1)]"""
Motion_Change_All#0,"""모든 모션"""
Motion_Change_None#0,"""모션이 없습니다"""
Collabo_Equipped#0,"""<pict collab_icon><pict 4space><yellow>이벤트 응모 제외 품목 있음<c>"""
TopMenuTitle#0,"""코디 카탈로그"""
TopMenuTwolineGuide#0,"""자신의 코디를 등록하거나 다른 플레이어의 코디를 볼 수 있습니다. 또한 \""패션 정보\""에서, 마음에 드는 아이템을 \""원하는 물건 리스트\""에 등록할 수 있습니다."""
TopMenuItem_Ranking#0,"""모두의 코디를 보기"""
TopMenuItem_Search#0,"""모두의 코디에서 찾기"""
TopMenuItem_Posting#0,"""나의 코디를 등록"""
TopMenuItem_Confirm#0,"""등록중인 코디 확인"""
TopMenuItem_ConfirmNiceCnt#0,"""등록중인 코디 확인 ($(0))"""
TopMenuItem_ConfirmNiceCntStop#0,"""등록중인 코디 확인 (99+)"""
TopMenuItem_Release#0,"""등록 취소하기"""
TopMenuItem_Back#0,"""뒤로"""
TitleProfile#0,"""코디 정보"""
LikeButton#0,"""좋아요!"""
RegistButton#0,"""북마크에 등록"""
BackButton#0,"""뒤로"""
