DirectUse_MyRoom_1#0,"""아이템 사용 확인"""
DirectUse_GuildContainer_2#0,"""<pict Arcscash><c 5fdf00>구매 済みアイテムの使用<c><br>「チーム倉庫」の利用に必要な<br>「プレミアムセット」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>アイテムパック内にお持ちの<br><yellow>「プレミアムセット」<c>を使用して<br>チーム倉庫を利用可能にしますか？<br><br><red>※複数種類所持している場合、<br>\u3000追加期限が長いものを優先して使用します。<c><br><br><red>※使用するアイテムを確認したい場合は、<br>\u3000アイテムパックから選んでください。<c>"""
DirectUse_RentalContainer_1#0,"""아이템 사용 확인"""
DirectUse_RentalContainer_2#0,"""<pict Arcscash><c 5fdf00>구매 済みアイテムの使用<c><br>「拡張倉庫」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>アイテムパック内にお持ちの、<br>お選びの拡張倉庫に対応したチケットを使用して、<br>拡張倉庫を利用可能にしますか？<br><br><red>※使用するアイテムを確認したい場合は、<br>\u3000アイテムパックから選んでください。<c>"""
DirectUse_ClientOrder_1#0,"""아이템 사용 확인"""
DirectUse_ClientOrder_2#0,"""<pict Arcscash><c 5fdf00>구매 済みアイテムの使用<c><br>「オーダー受注上限拡張」の利用に必要な<br>「プレミアムセット」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>アイテムパック内にお持ちの<br><yellow>「プレミアムセット」<c>を使用して<br>オーダー受注上限拡張を利用可能にしますか？<br><br><red>※複数種類所持している場合、<br>\u3000追加期限が長いものを優先して使用します。<c><br><br><red>※使用するアイテムを確認したい場合は、<br>\u3000アイテムパックから選んでください。<c>"""
DirectUse_ClientOrder_3#0,"""<pict Arcscash><c 5fdf00>구매 済みアイテムの使用<c><br>「オーダー受注上限拡張」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>アイテムパック内にお持ちの<br><yellow>「オーダー受注上限拡張」<c>を使用して<br>オーダー受注上限拡張を利用可能にしますか？<br><br><red>※複数種類所持している場合、<br>\u3000追加期限が長いものを優先して使用します。<c><br><br><red>※使用するアイテムを確認したい場合は、<br>\u3000アイテムパックから選んでください。<c>"""
DirectBuy_PremiumTicket_1#0,"""アイテム구매 確認"""
DirectBuy_PremiumTicket_2#0,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c><br>選択した機能の利用権をお持ちでないか、<br>利用期限が切れています。<br><br><yellow>「プレミアムセット」<c>を구매 し、<br>そのまますぐに機能を有効にできますが、<br>구매 確認画面に進みますか？<br><br><red>※個別の機能チケットをご希望の場合は、<br>\u3000メインメニューの「ACショップ」でご구매 ください。<c>"""
DirectBuy_PremiumTicket_3#0,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c><br>「オーダー受注上限拡張」の利用に必要な<br>「プレミアムセット」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br><yellow>「プレミアムセット」<c>を구매 し、<br>そのまますぐに機能を有効にできますが、<br>구매 確認画面に進みますか？<br><br><red>※個別の機能チケットをご希望の場合は、<br>\u3000メインメニューの「ACショップ」でご구매 ください。<c>"""
DirectBuy_RentalContainer_1#0,"""アイテム구매 確認"""
DirectBuy_RentalContainer_2#0,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c><br>「拡張倉庫」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>お選びの拡張倉庫に対応したチケットを구매 し、<br>そのまますぐに機能を有効にできますが、<br>구매 確認画面に進みますか？"""
DirectBuy_TermWindow_1#0,"""アイテム구매 確認"""
DirectBuy_TermWindow_2#0,"""機能拡張アイテムの구매 、使用が可能です。<br>対応した구매 しますか？"""
DirectBuy_ClientOrder_1#0,"""アイテム구매 確認"""
DirectBuy_ClientOrder_2#0,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c><br>「オーダー受注上限拡張」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br><yellow>「オーダー受注上限拡張」<c>を구매 し、<br>そのまますぐに機能を有効にできますが、<br>구매 確認画面に進みますか？"""
DirectUse_DishContainer_1#0,"""아이템 사용 확인"""
DirectUse_DishContainer_2#0,"""<pict Arcscash><c 5fdf00>구매 済みアイテムの使用<c><br>「素材倉庫」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>アイテムパック内にお持ちの、<br><yellow>「素材倉庫利用」<c>を使用して、<br>素材倉庫を利用可能にしますか？<br><br><red>※使用するアイテムを確認したい場合は、<br>\u3000アイテムパックから選んでください。<c>"""
DirectUseSG_DishContainer_1#0,"""아이템 사용 확인"""
DirectUseSG_DishContainer_2#0,"""<pict StarGem><pure_green>구매 済みアイテムの使用<c><br>「素材倉庫」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>アイテムパック内にお持ちの、<br><yellow>「素材倉庫利用」<c>を使用して、<br>素材倉庫を利用可能にしますか？<br><br><red>※使用するアイテムを確認したい場合は、<br>\u3000アイテムパックから選んでください。<c>"""
DirectUse_EquipNote_1#0,"""아이템 사용 확인"""
DirectUse_EquipNote_2#0,"""<pict Arcscash><c 5fdf00>구매 済みアイテムの使用<c><br>「コレクトシート受注上限拡張」の利用に必要な<br>「プレミアムセット」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>アイテムパック内にお持ちの<br><yellow>「プレミアムセット」<c>を使用して<br>コレクトシート受注上限拡張を利用可能にしますか？<br><br><red>※複数種類所持している場合、<br>\u3000追加期限が長いものを優先して使用します。<c><br><br><red>※使用するアイテムを確認したい場合は、<br>\u3000アイテムパックから選んでください。<c>"""
DirectBuy_DishContainer_1#0,"""アイテム구매 確認"""
DirectBuy_DishContainer_2#0,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c><br>「素材倉庫」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br><yellow>「素材倉庫利用」<c>を구매 し、<br>そのまますぐに機能を有効にできますが、<br>구매 確認画面に進みますか？"""
DirectBuySG_DishContainer_1#0,"""アイテム구매 確認"""
DirectBuySG_DishContainer_2#0,"""<pict StarGem><vivid_cyan>SG消費コンテンツ<c><br>「素材倉庫」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br><yellow>「素材倉庫利用」<c>を구매 し、<br>そのまますぐに機能を有効にできますが、<br>구매 確認画面に進みますか？"""
DirectBuy_EquipNote_1#0,"""アイテム구매 確認"""
DirectBuy_EquipNote_2#0,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c><br>「コレクトシート受注上限拡張」の利用に必要な<br>「プレミアムセット」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br><yellow>「プレミアムセット」<c>を구매 し、<br>そのまますぐに機能を有効にできますが、<br>구매 確認画面に進みますか？<br><br><red><c>"""
DirectUse_MyFashion_1#0,"""아이템 사용 확인"""
DirectUse_MyFashion_2#0,"""<pict Arcscash><c 5fdf00>구매 済みアイテムの使用<c><br>「マイファッション拡張」の利用に必要な<br>「プレミアムセット」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>アイテムパック内にお持ちの<br><yellow>「プレミアムセット」<c>を使用して<br>マイファッション拡張を利用可能にしますか？<br><br><red>※複数種類所持している場合、<br>\u3000追加期限が長いものを優先して使用します。<c><br><br><red>※使用するアイテムを確認したい場合は、<br>\u3000アイテムパックから選んでください。<c>"""
DirectBuySG_RentalContainer_1#0,"""アイテム구매 確認"""
DirectBuySG_RentalContainer_2#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br>「拡張倉庫」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>お選びの拡張倉庫に対応したチケットを구매 し、<br>そのまますぐに機能を有効にできますが、<br>구매 確認画面に進みますか？"""
DirectUseSG_RentalContainer_1#0,"""아이템 사용 확인"""
DirectUseSG_RentalContainer_2#0,"""<pict StarGem><c 5fdf00>구매 済みアイテムの使用<c><br>「拡張倉庫」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>アイテムパック内にお持ちの、<br>お選びの拡張倉庫に対応したチケットを使用して、<br>拡張倉庫を利用可能にしますか？<br><br><red>※使用するアイテムを確認したい場合は、<br>\u3000アイテムパックから選んでください。<c>"""
DirectUse_FreeLight_1#0,"""아이템 사용 확인"""
DirectUse_FreeLight_2#0,"""<pict Arcscash><c 5fdf00>구매 済みアイテムの使用<c><br>「カスタムライト設定」の利用に必要な<br>「プレミアムセット」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>アイテムパック内にお持ちの<br><yellow>「プレミアムセット」<c>を使用して<br>カスタムライト設定を利用可能にしますか？<br><br><red>※複数種類所持している場合、<br>\u3000追加期限が長いものを優先して使用します。<c><br><br><red>※使用するアイテムを確認したい場合は、<br>\u3000アイテムパックから選んでください。<c>"""
DirectUse_FreeCamera_1#0,"""아이템 사용 확인"""
DirectUse_FreeCamera_2#0,"""<pict Arcscash><c 5fdf00>구매 済みアイテムの使用<c><br>「固定カメラ」の利用に必要な<br>「プレミアムセット」の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>アイテムパック内にお持ちの<br><yellow>「プレミアムセット」<c>を使用して<br>固定カメラ設定を利用可能にしますか？<br><br><red>※複数種類所持している場合、<br>\u3000追加期限が長いものを優先して使用します。<c><br><br><red>※使用するアイテムを確認したい場合は、<br>\u3000アイテムパックから選んでください。<c>"""
DirectUse_MP_Gold_1#0,"""아이템 사용 확인"""
DirectUse_MP_Gold_2#0,"""<pict Arcscash><c 5fdf00>구매 済みアイテムの使用<c><br>選択したシーズンはゴールド報酬が<br>解放されていません。<br><br>アイテムパック内にお持ちの<br><yellow>「ミッションパスゴールド券」<c>を使用して<br>ゴールド報酬を解放しますか？<br><br><red>※使用するアイテムを確認したい場合は、<br>\u3000アイテムパックから選んでください。<c>"""
YesNoTitle#0,"""アイテム구매 確認"""
YesNoMsgStaminaNotice#0,"""$(0)スタミナが不足しています。<br><br>$(1)<br>「$(4)」を使用すると<br>今すぐ$(0)スタミナを회복できます。<br>$(2)<br><yellow>구매 確認画面に進みますか？<c><br><br>$(3)"""
YesNoMsgStaminaBuy#0,"""以下のアイテムを$(3)$(2)で구매 します。<br>정말 괜찮으시겠습니까?<br><br>$(0)<br><br>$(1)"""
AddMsg_GatType_C#0,"""採取"""
AddMsg_GatType_F#0,"""釣り"""
AddMsg_Symbol_AC#0,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c>"""
AddMsg_Symbol_SG#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c>"""
AddMsg_NoticePrice_Def#0,"""구매 対象：<yellow>$(2)<c><br>価格：<green>$(1)$(0)<c>"""
AddMsg_NoticePrice_Off#0,"""구매 対象：<yellow>$(3)<c><br>割引後価格：<green>$(1)$(0)<c>\u3000（通常$(2)$(0)）"""
AddMsg_BuyPrice_Def#0,"""구매 対象：<yellow>$(2)<c><br>価格：<green>$(1)$(0)<c>"""
AddMsg_BuyPrice_Off#0,"""구매 対象：<yellow>$(3)<c><br>割引後価格：<green>$(1)$(0)<c>\u3000（通常$(2)$(0)）"""
AddMsg_HaveValue#0,"""（所持$(0)：$(1)）"""
AddMsg_Bill_AC#0,"""AC"""
AddMsg_Bill_SG#0,"""SG"""
YesNoMsgUseItemNotice#0,"""「$(3)」が不足しています。<br><br>$(0)<br>このアイテムを使用すると<br>確実にレア素材を入手できます。<br>$(1)<br>구매 確認画面に進みますか？<br><br>$(2)"""
YesNoMsgUseItemBuy#0,"""以下のアイテムを$(1)ACで구매 します。<br>정말 괜찮으시겠습니까?<br><br>「$(0)」<br><green>$(1)AC<c><br><br>（所持AC：$(2)）"""
DirectBuy_GatCStaItem#0,"""채집 스태미나 드링크"""
DirectBuy_GatCStaItem01#0,"""채집 스태미나 드링크 (1회차)"""
DirectBuy_GatCStaItem02#0,"""채집 스태미나 드링크 (2회차)"""
DirectBuy_GatCStaItem03#0,"""채집 스태미나 드링크 (3회차)"""
DirectBuy_GatCStaItem04#0,"""채집 스태미나 드링크 (4회차)"""
DirectBuy_GatCStaItem05#0,"""채집 스태미나 드링크 (5회차)"""
DirectBuy_GatCStaItem06#0,"""채집 스태미나 드링크 (6회차)"""
DirectBuy_GatCStaItem07#0,"""채집 스태미나 드링크 (7회차)"""
DirectBuy_GatCStaItem08#0,"""채집 스태미나 드링크 (8회차)"""
DirectBuy_GatCStaItem09#0,"""채집 스태미나 드링크 (9회차)"""
DirectBuy_GatCStaItem10#0,"""채집 스태미나 드링크 (10회차 이상)"""
DirectBuy_GatFStaItem#0,"""낚시 스태미나 드링크"""
DirectBuy_GatFStaItem01#0,"""낚시 스태미나 드링크 (1회차)"""
DirectBuy_GatFStaItem02#0,"""낚시 스태미나 드링크 (2회차)"""
DirectBuy_GatFStaItem03#0,"""낚시 스태미나 드링크 (3회차)"""
DirectBuy_GatFStaItem04#0,"""낚시 스태미나 드링크 (4회차)"""
DirectBuy_GatFStaItem05#0,"""낚시 스태미나 드링크 (5회차)"""
DirectBuy_GatFStaItem06#0,"""낚시 스태미나 드링크 (6회차)"""
DirectBuy_GatFStaItem07#0,"""낚시 스태미나 드링크 (7회차)"""
DirectBuy_GatFStaItem08#0,"""낚시 스태미나 드링크 (8회차)"""
DirectBuy_GatFStaItem09#0,"""낚시 스태미나 드링크 (9회차)"""
DirectBuy_GatFStaItem10#0,"""낚시 스태미나 드링크 (10회차 이상)"""
