WINDOW_TITLE#0,"""어떻게 할까?"""
TICKETSHOP_ES_TITTLE06#0,"""기간 한정 교환 샵（～2020년 10월 28일 11시 00분）"""
RECYCLESHOP_JIG_TITLE08#0,"""覇者の紋章で★14武器を入手"""
RECYCLESHOP_JIG_TITLE09#0,"""インヴェイド-NTシリーズの入手"""
RECYCLESHOP_JIG_TITLE10#0,"""新世武器の入手"""
RECYCLESHOP_JIG_TITLE11#0,"""魔物シリーズのアップグレード"""
RECYCLESHOP_JIG_TITLE12#0,"""ジュティスシリーズのアップグレード"""
RECYCLESHOP_JIG_TITLE13#0,"""ホムラシリーズのアップグレード"""
RECYCLESHOP_JIG_TITLE14#0,"""王者の紋章で★14武器を入手"""
RECYCLESHOP_JIG_TITLE15#0,"""アーレス-NTシリーズの武器カテゴリ変更"""
RECYCLESHOP_JIG_TITLE16#0,"""セレシリーズのアップグレード"""
RECYCLESHOP_JIG_TITLE17#0,"""★15武器の入手"""
RECYCLESHOP_JIG_TITLE18#0,"""深遠シオンシリーズのアップグレード"""
RECYCLESHOP_JIG_TITLE19#0,"""新世武器の入手"""
RECYCLESHOP_JIG_TITLE20#0,"""무기 카테고리 변경"""
RECYCLESHOP_JIG_TITLE21#0,"""深遠シオンシリーズの入手"""
RECYCLESHOP_JIG_TITLE22#0,"""勇者の紋章で★14武器を入手<pict Fresh>"""
RECYCLESHOP_JIG_TITLE23#0,"""イヴリダシリーズのアップグレード<pict Fresh>"""
RECYCLESHOP_JIG_TITLE24#0,"""문장으로 장비 입수"""
RECYCLESHOP_JIG_TITLE25#0,"""타격 무기 입수"""
RECYCLESHOP_JIG_TITLE26#0,"""사격 무기 입수"""
RECYCLESHOP_JIG_TITLE27#0,"""법격 무기 입수"""
RECYCLESHOP_JIG_TITLE28#0,"""유닛 입수"""
RECYCLESHOP_JIG_TITLE29#0,"""무기 카테고리 변경"""
RECYCLESHOP_JIG_TITLE30#0,"""문장에서 한정 아이템 변경"""
RECYCLESHOP_REO_TITLE01#0,"""証書で★13武器を入手"""
RECYCLESHOP_REO_TITLE02#0,"""証書Bで★14武器を入手"""
TICHETSHOP_SEA_TITLE01#0,"""6周年記念交換ショップ・前半（～2018年7月11日11時00分)"""
TICHETSHOP_SEA_TITLE02#0,"""6周年記念交換ショップ・後半（～2018年7月25日11時00分)"""
TICHETSHOP_SEA_TITLE03#0,"""6周年記念交換ショップ・前半（～2018年8月1日11時00分)"""
TICHETSHOP_SEA_TITLE04#0,"""6周年記念交換ショップ・後半（～2018年8月8日11時00分)"""
TICHETSHOP_SEA_TITLE05#0,"""ホムラシリーズ交換ショップ（～2018年8月8日11時00分)"""
TICHETSHOP_SEA_TITLE06#0,"""新年祭2019交換ショップ・前半（～2019年1月23日11時00分）"""
TICHETSHOP_SEA_TITLE07#0,"""新年祭2019交換ショップ・後半（～2019年2月6日11時00分）"""
TICHETSHOP_SEA_TITLE08#0,"""オメガDFシリーズ交換ショップ（～2019年3月6日11時00分）"""
TICHETSHOP_SEA_TITLE09#0,"""新年祭2019交換ショップ・前半（～2019年2月20日11時00分）"""
TICHETSHOP_SEA_TITLE10#0,"""新年祭2019交換ショップ・後半（～2019年3月6日11時00分）"""
TICHETSHOP_SEA_TITLE13#0,"""限定ACリサイクルショップ（～2019年8月21日11時00分)"""
TICHETSHOP_SEA_TITLE14#0,"""7周年バッヂ交換ショップ・前半（～2019年7月24日11時00分)"""
TICHETSHOP_SEA_TITLE15#0,"""Web 연동 패널 확인"""
TICHETSHOP_SEA_TITLE21#0,"""7周年バッヂ交換ショップ・後半（～2019年8月7日11時00分)"""
TICHETSHOP_SEA_TITLE24#0,"""7周年バッヂ交換ショップ（～2019年8月21日11時00分)"""
TICHETSHOP_SEA_TITLE22#0,"""7周年バッヂでノヴェルシリーズ引換券を入手"""
TICHETSHOP_SEA_TITLE23#0,"""ノヴェルシリーズ交換ショップ（～2019年8月21日11時00分)"""
TICHETSHOP_SEA_TITLE16#0,"""개인 포인트 보수 확인"""
TICHETSHOP_SEA_TITLE17#0,"""획득 포인트 랭킹 보수 확인"""
TICHETSHOP_SEA_TITLE18#0,"""획득 포인트 랭킹"""
TICHETSHOP_SEA_TITLE19#0,"""전반 랭킹 확인"""
TICHETSHOP_SEA_TITLE20#0,"""후반 랭킹 확인"""
TICHETSHOP_SEA_TITLE25#0,"""Web 연동 메뉴"""
TICHETSHOP_SEA_TITLE26#0,"""웨폰즈 뱃지 2020 교환 숍"""
TICHETSHOP_SEA_TITLE27#0,"""新年祭2020限定交換ショップ（～2020年2月5日11時00分)"""
TICHETSHOP_COLLABO_TITTLE01#0,"""狩猟石交換ショップ（～2018年12月5日11時00分)"""
TICHETSHOP_COLLABO_TITTLE02#0,"""セレシリーズ交換ショップ（～2018年12月5日11時00分)"""
QC_STORY_EP6#0,"""스토리 퀘스트"""
EP6_CHANGE_SIERRA#0,"""EPISODE 변경"""
MEDALSHOP_TITLE01_V60501#0,"""코발트 메달은 한정 아이템으로 교환"""
TICHETSHOP_SEA_TITLE28#0,"""8주년 뱃지 교환 샵（~2020년 8월 5일 11시 00분）"""
00_01#0,"""選択肢その１"""
00_02#0,"""選択肢その２"""
TALK_ST#0,"""대화하기"""
C_ORDER_ST#0,"""상담을 듣기"""
