GroupChat_Title#0,"""Group Chat"""
GroupChatTost_GroupJoin#0,"""$(0) has joined the group: $(1)."""
GroupChatTost_InviteDeny2#0,"""Declined the group invite."""
Popup_Inviterefuse#0,"""Decline Invite"""
GroupChat_JoinMax_Title#0,"""登録グループ数確認"""
GroupChat_JoinMax_Message#0,"""登録中のグループ数が上限に達しているため<br>これ以上、登録することができません。<br>登録中のいずれかのグループから脱退後<br>招待されたグループを登録してください。"""
GroupChatError_MakeEmptyFault#0,"""Could not create group as either the<br>Group Name or Group Topic is blank."""
GroupChatError_RenameEmptyFault#0,"""Could not edit group as either the<br>Group Name or Group Topic is blank."""
GroupChatError_NotFindTitle#0,"""グループ確認"""
GroupChatError_NotFindMessage#0,"""グループが見つからなかったため<br>登録できません。"""
GroupChatError_NotInviteTitle#0,"""グループ確認"""
GroupChatError_NotInviteMessage#0,"""グループを登録できません。<br>登録するグループを確認してください。"""
GroupChatError_JoiningTitle#0,"""登録の確認"""
GroupChatError_JoiningMessage#0,"""すでにこのグループは登録しています。"""
GroupChatTost_ListNumFault#0,"""Could not display this group."""
GroupChatTost_PopupInvitedCansel#0,"""Cancel Invitation"""
GroupChatTost_TitleInvitedCansel#0,"""Confirm Invitation Cancellation"""
GroupChatTost_QuesInvitedCansel#0,"""Cancelling the invitation for $(0) to join $(1). Are you sure?"""
GroupChatTost_ButtonInvitedCansel#0,"""Cancel Invitation"""
GroupChatTost_ToastInvitedCansel#0,"""Invitation cancelled."""
GroupChatTost_ToastInvitedCansel1#0,"""The selected person has already been registered in the group."""
GroupChatTost_ToastInvitedCansel2#0,"""Unable to cancel the invitation."""
