Title#0,"""구매메뉴"""
RetryPassMessage_LotTimes#0,"""<pict Arcscash><c 5fdf00>구매가 끝난 아이템 사용<c><br>계속해서$(1)連$(0)を<br>$(4)を$(2)枚使用して引きます。<br>괜찮으시겠습니까?<br>(소지 수:$(3))"""
Message_SG#0,"""<pict StarGem><c 1dedd7>SG소비 컨텐츠<c><br>$(1) 스크래치를<br>$(2)$(0)으로 구매합니다.<br>괜찮으시겠습니까?"""
RetryMessage_SG#0,"""<pict StarGem><c 1dedd7>SG소비 컨텐츠<c><br>계속해서 $(1)스크래치를<br>$(2)$(0)으로 구매합니다.<br>괜찮으시겠습니까?"""
NextBonusMessageFixed#0,"""$(0)<br><br>$(1)"""
ExceeedGpOwnWhiteMessage#0,"""초과된 제네시스 포인트는 사라집니다.<br>괜찮으시겠습니까?<br><br><br><br>보유 중인 제네시스 포인트: $(0)/<bright_orange>$(1) <c>"""
ExceeedGpOwnYellowMessage#0,"""초과된 제네시스 포인트는 사라집니다.<br>괜찮으시겠습니까?<br><br><br><br>보유 중인 제네시스 포인트: <yellow>$(0)<c>/<bright_orange>$(1) <c>"""
ExceeedGpOwnOrangeMessage#0,"""초과된 제네시스 포인트는 사라집니다.<br>괜찮으시겠습니까?<br><br><br><br>보유 중인 제네시스 포인트: <bright_orange>$(0)<c>/<bright_orange>$(1) <c>"""
NextBonusMessage#0,"""앞으로 <yellow>$(0)회<c>긁으면 아래의 횟수 보너스를 선물!<br><pict $(1)>$(2) $(3)"""
NextStepMessage#0,"""스텝 업까지 앞으로: 앞으로 <yellow>$(0)회<c><br><yellow>※여러 번 몰아서 뽑아도<br>\u3000도중에 스텝 업 합니다.<c>"""
NextBonusOtherNum#0,"""他$(0)種"""
LimitedTimeMessage#0,"""$(0)<br>\u3000<br>판매 기한: $(1)"""
ExchangeUseTitle#0,"""스크래치 경품 교환권"""
ExchangeUseMessage#0,"""대응하는 스크래치의 경품 목록에서<br>어떤 것이든 원하는 경품을 하나 선택해 교환할 수 있는<br>『$(0)』을(를) 획득했습니다.<br><br>지금 바로 경품 목록으로 이동해 교환해 드릴까요?<br><br><yellow>※경품과 교환권은 소비됩니다.<br>※AC 스크래치 골드 경품으로 교환할 수 없습니다.<br>※대응하는 스크래치 전달 기간이 지나면<br>\u3000경품을 교환할 수 없게 되오니 주의하시기 바랍니다.<c>"""
ExchangeUseMessage_ItemPackFull#0,"""대응하는 스크래치의 경품 목록에서<br>어떤 것이든 원하는 경품을 하나 선택해 교환할 수 있는<br>『$(0)』을(를) 획득했습니다.<br><br><red>스크래치 경품 교환권을 창고에서 꺼내<br>경품 목록에서 교환해 주세요.<c><br><br><yellow>※경품과 교환권은 소비됩니다.<br>※AC 스크래치 골드 경품으로 교환할 수 없습니다.<br>※대응하는 스크래치 전달 기간이 지나면<br>\u3000경품을 교환할 수 없게 되오니 주의하시기 바랍니다.<c>"""
ExchangeUseMessage_SG#0,"""대응하는 SG 스크래치의 경품 목록에서<br>어떤 것이든 원하는 경품을 하나 선택해 교환할 수 있는<br>『$(0)』을(를) 획득했습니다.<br><br>금 바로 경품 목록으로 이동해 교환해 드릴까요?<br><br><yellow>※경품과 교환권은 소비됩니다.<br>※대응하는 스크래치 전달 기간이 지나면<br>\u3000경품을 교환할 수 없게 되오니 주의하시기 바랍니다.<c>"""
ExchangeUseMessage_ItemPackFull_SG#0,"""대응하는 SG 스크래치의 경품 목록에서<br>어떤 것이든 원하는 경품을 하나 선택해 교환할 수 있는<br>『$(0)』을(를) 획득했습니다.<br><br><red>스크래치 경품 교환권을 창고에서 꺼내<br>경품 목록에서 교환해 주세요.<c><br><br><yellow>※경품과 교환권은 소비됩니다.<br>※대응하는 스크래치 전달 기간이 지나면<br>\u3000경품을 교환할 수 없게 되오니 주의하시기 바랍니다.<c>"""
ExchangeUseButton1#0,"""네"""
ExchangeUseButton2#0,"""아니요"""
ExchangeConsumptionTitle#0,"""교환티켓 소비 확인 """
ExchangeConsumptionMessage#0,"""<yellow>$(0)<c>×1으로<br>선택한 아이템을 교환합니다.<br>괜찮으시겠습니까?<br><yellow>※아래의 아이템 이외에는 소비되지 않습니다.<c><br><br>（소지 교환 티켓：$(1)장）"""
StepUp_Title#0,"""스텝 업"""
StepUp_Message#0,"""<yellow>Step.$(1)<c>に上がりました！<br><br>ステップボーナス：$(0)"""
ExchangeConsumptionButton1#0,"""네"""
ExchangeConsumptionButton2#0,"""아니요"""
ExchangeUseMessage_FUN#0,"""대응하는 FUN 스크래치의 경품 리스트에서<br>어떤 것이든 원하는 경품을 하나 선택해 교환할 수 있는<br>『$(0)』을(를) 획득했습니다.<br><br>지금 바로 경품 목록으로 이동해 교환해 드릴까요?<br><br><yellow>※경품과 교환권은 소비됩니다.<br>※대응하는 스크래치 전달 기간이 지나면<br>\u3000경품을 교환할 수 없게 되오니 주의하시기 바랍니다.<c>"""
ExchangeUseMessage_ItemPackFull_FUN#0,"""대응하는 FUN 스크래치의 경품 리스트에서<br>어떤 것이든 원하는 경품을 하나 선택해 교환할 수 있는<br>『$(0)』을(를) 획득했습니다.<br><br><red>스크래치 경품 교환권을 창고에서 꺼내<br>경품 목록에서 교환해 주세요.<c><br><br><yellow>※경품과 교환권은 소비됩니다.<br>※대응하는 스크래치 전달 기간이 지나면<br>\u3000경품을 교환할 수 없게 되오니 주의하시기 바랍니다.<c>"""
Message_Have_AC#0,"""（所持AC：$(0)）"""
Message_Have_SG#0,"""（所持SG：$(0)）"""
ExplanationMessage#0,"""<c f0df60>원하시는 슬롯을 골라서 스크래치를 오픈!<c>"""
Normal#0,"""$(0) 아이템이 당첨됐습니다!"""
Complete#0,"""$(0) 아이템을 선물합니다!"""
Count#0,"""（$(0)개）"""
Title_scratch#0,"""획득 아이템 리스트"""
scratch_message#0,"""아래의 경품이 당첨됐습니다!"""
GachaBonusGet#0,"""스크래치 횟수 보너스!<br><br>$(0) 아이템을 획득했습니다!<br><br>이 스크래치는 $(1)회로 다음 보너스를 받을 수 있습니다!"""
GachaBonusGetSimple#0,"""스크래치 횟수 보너스!<br><br>$(0) 아이템을 획득했습니다!<br><br> """
Title_bonus#0,"""획득 보너스 아이템 리스트"""
bonus_message#1,"""<yellow>횟수 보너스<c>으로 인해서<br>아래의 아이템을 획득했습니다!"""
exchange_message#0,"""경품으로 교환이 완료되었습니다."""
Title#6,"""구매 확인"""
Message#1,"""계속해서 스크래치를 긁으시겠습니까?"""
Title#7,"""AC 충전 확인"""
Message#2,"""AC가 부족합니다.<br>AC를 충전하시겠습니까?"""
Title#8,"""메시지"""
Message_E1#0,"""AC가 부족합니다."""
Message_E2#0,"""아이템 팩의 여유 공간이 부족<br>또는 대응하는 AC 스크래치권이<br>소지 수 상한선을 넘겼기때문에<br>구매할 수 없었습니다."""
Message_E3#0,"""스크래치를 긁을려면<br>창고에 충분한 공간이 필요합니다.<br><br>아이템 팩에 여유 공간이 있어도<br>스크래치를 긁을 수 없습니다."""
Message_E4#0,"""FUN이 부족합니다."""
Message_E5#0,"""패스가 없습니다."""
Message_E6#0,"""이 스크래치를 긁을려면<br>창고에 아이템 두 개 분의<br>여유가 필요합니다.<br>충분히 확보 후 스크래치를 긁어주세요."""
Message_E0#0,"""문제가 발생해서<br>스크래치를 긁지 못했습니다.<br><br>창고의 여유 공간이<br>부족할 가능성이 있습니다."""
Message_E7#0,"""이 스크래치를 긁을려면<br>창고에 아이템 <yellow>$(0) 개<c> 분의<br>여유가 필요합니다.<br>충분히 확보 후 스크래치를 긁어주세요."""
Message_E8#0,"""교환 패스가 부족합니다."""
Message_E9#0,"""교환 패스가 잘못됐습니다."""
Message_E10#0,"""ガチャの有効期限が過ぎています。"""
Message_E11#0,"""교환アイテムが間違っています。"""
Message_E12#0,"""아이템 팩의 여유 공간이 부족<br>또는 소지 수 한계를 넘겼기 때문에<br>교환하지 못했습니다."""
Message_E100#0,"""문제가 발생해서<br>스크래치를 긁지 못했습니다.<br><br>時間をおいて再度やり直してください。"""
denomination_1#0,"""AC"""
denomination_2#0,"""FUN"""
none#0,"""없음"""
undecided#0,"""미정"""
denomination_3#0,"""SG"""
times#0,"""連"""
NewDirectingType_BuyNow#0,""" (즉시 구매)"""
TimesaleTitle#0,"""타임 세일 중!"""
PopupItem1#1,"""<red>$(1)<c>$(0)으로 스크래치를 긁기"""
