Cancel#0,"""취소하고 종료"""
Result_SPRemake_SystemError#0,"""시스템 에러가 발생했습니다.<br>시간을 두시고 다시 시도해주십시오."""
Result_1_5#0,"""패스를 구입 또는 사용해 변경을 적용했습니다.<br>이용해 주셔서 감사합니다.<br><br>「컬러 체인지 패스」사용 후 60분 동안<br>패스 소모 없이 재편집 가능합니다."""
Result_1_6#0,"""패스를 구입 또는 사용해 변경을 적용했습니다.<br>이용해 주셔서 감사합니다.<br>「에스테 이용 패스」<br>「컬러 체인지 패스」사용 후 60분 동안<br>패스 소모 없이 재편집 가능합니다."""
Result_3_SG#0,"""SG가 부족합니다.<br>다시 확인 부탁드립니다."""
Result_7_SG#0,"""구입에 실패했습니다.<br>SG가 부족할 수있으니<br>확인 부탁드립니다."""
Result_9#0,"""서포트 파트너가 장비 해제한<br>코스튬(파츠, 아우터 웨어)가<br>아이템 팩의 소지상한을 넘어<br>변경을 확정할 수 없습니다.<br><br>코스튬을 원래대로 되돌리고<br>에스테에서 퇴장 부탁드립니다."""
Result_10#0,"""캐릭터 창고에서 꺼낸 코스튬이<br>아이템 팩의 소지상한을 넘어<br>변경을 확정할 수 없습니다.<br><br>코스튬을 원래대로 되돌리고<br>에스테에서 퇴장 부탁드립니다."""
Result_11#0,"""캐릭터 신장이 탈의 상태로<br>하한을 넘어 변경을 확정할 수 없습니다.<br>탈의 상태 신장을 $(0)cm 이상으로 맞춰주십시오.<br><yellow>※$(1)를 눌러 탈의 상태 신장을 확인할 수 있습니다.<c>"""
Error_ImproperData_Exit#0,"""현재 외형 데이터에 문제가 있어<br>변경할 수 없습니다.<br><br>해당하는 부분을 변경하거나<br>마이 패션에서 다른 저장 데이터를 적용하신 후<br>에스테에서 퇴장해 주십시오.<br><br>・해당 부분<br>$(0)"""
Error_ImproperData_LoadMyFashion#0,"""현재 외형 데이터에 문제가 있어<br>마이 패션에 저장할 수 없습니다."""
Error_ImproperData_InMyFashion#0,"""현재 외형 데이터에 문제가 있어<br>마이 패션에 저장할 수 없습니다.<br><br>마이 패션에서 다른 저장 데이터를 적용하거나<br>에스테에서 해당 부분을 변경해 주십시오.<br><br>・해당 부분<br>$(0)"""
Error_ImproperDataSaveMyFashion#0,"""현재 외형 데이터에 문제가 있어<br>에스테에서 퇴장하지 못할 수 있습니다.<br><br>마이 패션에서 다른 저장 데이터를 적용하거나<br>에스테에서 해당 부분을 변경해 주십시오."""
Error_ImproperData_TypeNone#0,"""기타"""
Error_ImproperData_TypeSelect#0,"""선택 항목"""
Error_ImproperData_TypeRace#0,"""종족"""
Error_ImproperData_TypeSex#0,"""성별"""
Error_ImproperData_TypeVoice#0,"""보이스 선택"""
Error_ImproperData_TypeSkinColor#0,"""피부 색 설정"""
Error_ImproperData_SelectType_MainParts#0,"""코스튬 또는 바디"""
Error_ImproperData_SelectType_BodyPaint1#0,"""바디 페인트"""
Error_ImproperData_SelectType_BodyPaint2#0,"""스티커"""
Error_ImproperData_SelectType_Eye#0,"""눈동자 패턴"""
Error_ImproperData_SelectType_Eyebrow#0,"""눈썹"""
Error_ImproperData_SelectType_Eyelash#0,"""속눈썹"""
Error_ImproperData_SelectType_Face#0,"""얼굴 바리에이션"""
Error_ImproperData_SelectType_FacePaint1#0,"""얼굴 바리에이션"""
Error_ImproperData_SelectType_FacePaint2#0,"""메이크 패턴1"""
Error_ImproperData_SelectType_Hair#0,"""헤어 스타일 또는 헤드 파츠"""
Error_ImproperData_SelectType_Acccessory1#0,"""악세사리1"""
Error_ImproperData_SelectType_Acccessory2#0,"""악세사리2"""
Error_ImproperData_SelectType_Acccessory3#0,"""악세사리3"""
Error_ImproperData_SelectType_FacePaint3#0,"""메이크 패턴2"""
Error_ImproperData_SelectType_Leg#0,"""다리"""
Error_ImproperData_SelectType_Arm#0,"""팔"""
Error_ImproperData_SelectType_Acccessory4#0,"""악세사리4"""
Error_ImproperData_SelectType_Basewear#0,"""베이스 웨어"""
Error_ImproperData_SelectType_Innerwear#0,"""이너 웨어"""
Error_ImproperData_SelectType_BodyPaint3#0,"""바디 페인트2"""
Error_ImproperData_Select_Etc#0,"""기타"""
Result_SPCreate_ChargeError_SG#0,"""에스테 작성에 실패했습니다.<br>SG가 부족한 경우일 수 있으니 확인해 주십시오."""
Title#2,"""에스테"""
Message_1#0,"""현재 재편집이 가능한 기간입니다.<br>에스테 이용 패스를 소모하지 않고<br>다시 편집이 가능합니다."""
Title_SPCreate#1,"""서포터 파트너 캐릭터 크리에이트"""
Title_SPEdit#1,"""서포터 파트너 에스테"""
Message_6#0,"""컬러 재편집이 가능한 대상 아이템이 있습니다.<br>\u3000<br>※대상 아이템은 아이템 리스트에서<br>에스테 입장 시에 남은 시간이 표시되어 있습니다.<br>※플레이어의 종족과 성별 차이로 인해서<br>서포터 파트너 측에서는 재편집이 가능한<br>아이템이 존재하지 않을 수 있습니다.<br>※플레이어가 착용 중인 것은 표시되지 않습니다"""
Message_7#0,"""재편집 가능 기간이기에<br>「에스테 이용 패스」「컬러 체인지 패스」<br>소모 없이 편집이 가능합니다<br><br>※대상 아이템에는 아이템 일람에서 입점시의<br>   남은 시간이 표시됩니다.<br>※플레이어와의 종족 성별 차이로 인해<br>   서포트 파트너 쪽에선 재편집 가능한<br>   아이템이 존재하지 않을 경우가 있습니다.<br>※플레이어가 착용중인 것은 표시되지 않습니다."""
Message_8#0,"""재편집 가능 기간인 컬러 체인지 패스<br>대상 아이템이 있습니다.<br>\u3000<br>※대상 아이템에는 아이템 일람에서<br>   입점시의 남은 시간이 표시됩니다.<br>※캐스트는 컬러 선택도 대상이 됩니다.<br>※플레이어와의 종족 성별 차이로 인해<br>   서포트 파트너 쪽에선 재편집 가능한<br>   아이템이 존재하지 않을 경우가 있습니다.<br>※플레이어가 착용중인 것은 표시되지 않습니다."""
Message_9#0,"""재편집 가능 기간이기에、<br>「에스테 이용 패스」「컬러 체인지 패스」<br>소모 없이 편집이 가능합니다。<br>\u3000<br>※대상 아이템에는 아이템 일람에서<br>   입점시의 남은 시간이 표시됩니다.<br>※캐스트는 컬러 선택도 대상이 됩니다.<br>※플레이어와의 종족 성별 차이로 인해<br>   서포트 파트너 쪽에선 재편집 가능한<br>   아이템이 존재하지 않을 경우가 있습니다.<br>※플레이어가 착용중인 것은 표시되지 않습니다."""
Message_2#0,"""재편집 가능 기간인 컬러 체인지 패스<br>대상 아이템이 있습니다.<br><br>※대상 아이템에는 아이템 일람에서<br>   입점시의 남은 시간이 표시됩니다.<br>※아이템 팩, 캐릭터 창고<br>   에 있는 아이템만 표시됩니다.<br>※서포트 파트너가 착용중인 아이템을<br>   재편집중일 경우엔 표시되지 않습니다."""
Message_3#0,"""재편집 가능 기간이기에、<br>「에스테 이용 패스」「컬러 체인지 패스」<br>소모 없이 편집이 가능합니다。<br><br>※대상 아이템은 아이템 일람에서<br>   입점시의 남은 시간이 표시됩니다.<br>※아이템 팩, 캐릭터 창고에 있는<br>   아이템만 표시됩니다.<br>※서포트 파트너가 착용중인 아이템을<br>   재편집중일 경우엔 표시되지 않습니다."""
Message_4#0,"""재편집 가능 기간인 컬러 체인지 패스<br>대상 아이템이 있습니다.<br>캐스트는 컬러 선택도 대상이 됩니다.<br><br>※대상 아이템에는 아이템 일람에서<br>   입점시의 남은 시간이 표시됩니다.<br>※아이템 팩, 캐릭터 창고에 있는<br>   아이템만 표시됩니다.<br>※서포트 파트너가 착용중인 아이템을<br>   재편집중일 경우엔 표시되지 않습니다."""
Message_5#0,"""재편집 가능 기간이기에、<br>「에스테 이용 패스」「컬러 체인지 패스」<br>소모 없이 편집이 가능합니다。<br>캐스트 컬러 선택도 대상이 됩니다.<br><br>※대상 아이템에는 아이템 일람에서<br>   입점시의 남은 시간이 표시됩니다.<br>※아이템 팩, 캐릭터 창고에 있는<br>   아이템만 표시됩니다.<br>※서포트 파트너가 착용중인 아이템을<br>   재편집중일 경우엔 표시되지 않습니다."""
Registered#0,"""<%Owner_icon>오너 등록됨"""
Unregistered#0,"""오너 등록 필요"""
