ChallengeSet#0,"""Conjunto de clases"""
Preset_Ra#0,"""Un conjunto de clases que combina <yellow>Ranger y Gunner<c>.<br>Un tipo RNG que destaca en el apoyo con rondas especiales y trampas."""
Preset_Fo#0,"""Un conjunto de clases que combina <yellow>Force y Techter<c>.<br>Un tipo TEC que utiliza ataques elementales y técnicas de apoyo."""
Preset_Br#0,"""Un conjunto de clases que combina <yellow>Braver y Hunter<c>.<br>Un tipo equilibrado que puede atacar a cualquier distancia."""
Preset_Bo#0,"""Un conjunto de clases que combina <yellow>Bouncer y Hunter<c>.<br>Un tipo equilibrado que destaca en el combate aéreo y la movilidad."""
ClassSet_CH3_Fi#0,"""<c ffc000>ATAQUE<c>: Fighter"""
ClassSet_CH3_Gu#0,"""<c ffc000>ATAQUE<c>: Gunner"""
ClassSet_CH3_Br#0,"""<c ffc000>ATAQUE<c>: Braver"""
ClassSet_CH3_Hu#0,"""<c 00ffff>RUSH<c>: Hunter"""
ClassSet_CH3_Ra#0,"""<c 00ffff>RUSH<c>: Ranger"""
ClassSet_CH3_Bo#0,"""<c 00ffff>RUSH<c>: Bouncer"""
ClassSet_CH3_Fo#0,"""<green>SOPORTE<c>: Force"""
ClassSet_CH3_Te#0,"""<green>SOPORTE<c>: Techter"""
ClassSet_CH3_Hr#0,"""<yellow>UNICO<c>: Hero"""
ClassSet_CH3_Ph#0,"""<yellow>UNICO<c>: Phantom"""
ClassSet_CH3_Et#0,"""<yellow>UNICO<c>: Étoile"""
ClassSet_CH3_Lu#0,"""<yellow>UNICO<c>: Luster"""
Preset_CH3_Fi#0,"""Un tipo de luchador directamente <yellow>Fighter <c>Se hace más fuerte a través de las dolencias de estado, los bajos HP, etc."""
Preset_CH3_Gu#0,"""<yellow>Gunner<c> inflige un gran daño inmediato con los disparos en cadena."""
Preset_CH3_Br#0,"""<yellow>Braver<c> que mantiene la presión con<br>la invulnerabilidad de la habilidad katana y los ataques a distancia."""
Preset_CH3_Hu#0,"""Un tipo de<yellow>Hunter<c> defensivo. Puede hacer doble salto y<br>usar PAs de acumulación. Acumulación rápida de calibre."""
Preset_CH3_Ra#0,"""Un <yellow>tipo de Ranger <c> que usa Rondas de Tizón.<br>Puede hacer doble salto y usar Artes Fotónicas de Acumulación."""
Preset_CH3_Bo#0,"""Un <yellow>Tipo Bouncer <c> con una bonificación de crítico.<br>Puede hacer doble salto y usar Artes Fotónicas de Acumulación."""
Preset_CH3_Fo#0,"""Un <yellow>Tipo de Force <c> que utiliza Shifta y dolencias de estado.  Puede utilizar <br>Técnicas Fundidas, tiene una alta recuperación de Resta."""
Preset_CH3_Te#0,"""Un <yellow>Techter<c> que mejora al grupo con Deband, etc.<br>Puede usar Técnicas Fundidas y Resta."""
Preset_CH3_Hr#0,"""Una clase que utiliza varios ataques y contadores. <br>Puede equipar Espada, Twin Machine Guns y Talis."""
Preset_CH3_Ph#0,"""Una clase que desvirtúa el ATK con Jellen.<br>Puede equipar Rifle de Asalto, Katana y Rod."""
Preset_CH3_Et#0,"""Una clase duradera que da apoyo a los PP.<br>Puede equipar Double Saber, Soaring Blades y Wand."""
Preset_CH3_Lu#0,"""Una clase que se especializa en el combate de alta velocidad<br>Gunblade. Sólo con armas de fuego."""
InShipToast#0,"""Cambiando temporalmente a la nave compartida."""
MainMenu_Mail#0,"""Nave Compartida Mail"""
MainMenu_FriendList#0,"""Nave Compartida Friend List"""
MainMenu_Community_Friend#0,"""Nave Compartida Friend List"""
MainMenu_Community_Mail#0,"""Nave Compartida Mail"""
MainMenu_System_SimbolArt#0,"""Nave Compartida Symbol Arts"""
MainMenu_Community_CommonFriend#0,"""Nave Compartida Friend List"""
MainMenu_Community_CommonMail#0,"""Nave Compartida Mail"""
ChallengeTitleText#0,"""Monumento al Desafío"""
ChallengeGuideText#0,"""<c f0df60>Display Rankings of Misión de Desafio Users.<c>"""
ChallengeGuideNow#0,"""<c f0df60>Clasificación actual del reto en curso.<c>"""
ChallengeGuideNew#0,"""<c f0df60>Las últimas clasificaciones de los desafíos<c>"""
ChallengeGuideOld#0,"""<c f0df60>Clasificaciones de desafíos anteriores<c>"""
ChallengeTitleChallengeSelect#0,"""Seleccione el desafío"""
ChallengeTitleQuest#0,"""$(0)"""
ChallengeCapDate#0,"""Periodo total"""
ChallengeDate#0,"""Actualizaciones lunes a las 07:00 JST"""
ChallengeRankingTitle#0,"""$(0) Clasificación de los desafíos"""
ChallengeMission#0,"""MISSION $(0)($(1)%)"""
RankingTab01#0,"""Top 20 de Jugadores"""
RankingTab02#0,"""A mi alrededor"""
RankingTab03#0,"""Top 20 de Amigos"""
RankingTab04#0,"""Top 20 de Teams"""
RankingText01#0,"""Clasificaciones"""
RankingText02#0,"""Nombre del personaje / Player ID"""
RankingText03#0,"""Area Reached / CM/CM"""
RankingText04#0,"""Su clasificación"""
RankingText05#0,"""Lista de Clasificaciones"""
RankingText06#0,"""Nombre del personaje"""
RankingText07#0,"""Nombre ID del jugador"""
RankingErrorTitle#0,"""Anuncio"""
RankingErrorMsg#0,"""Las clasificaciones de los desafíos<br>no están disponibles temporalmente."""
SendTitle#0,"""Comentario del desafío"""
Message#0,"""Deja un comentario sobre tus resultados en este Desafío! <br><br>El comentario se mostrará en la etiqueta que muestra tu tasa de despeje más alta.<br><br>Los comentarios que introduzcas también se mostrarán a los miembros de tu grupo.<c><br><yellow>El contenido del comentario se actualizará cada vez que introduzcas texto, <br>incluso si no estableces una nueva tasa de despeje alta.<c>"""
SendErrorTitle#0,"""Comentario del desafío"""
SendErrorMessage#0,"""Su comentario sobre el desafío no pudo ser guardado<br>debido a la alta congestión."""
Achievement_Up#0,"""Logro Name (+$(0)CP)"""
Achievement_Down#0,"""¡Completado!"""
Clear_Msg#0,"""Tasa de finalización del reto: Misión $(0) $(1)%"""
TextStart#0,"""Desafio iniciado"""
TextClear#0,"""Desafio completado"""
TextMission#0,"""Misión"""
TextCongratulations#0,"""¡Felicitaciones!"""
TextInterval#0,"""Área de descanso"""
TextFinalMission#0,"""Misión final"""
ResultEmptyMessage#0,"""Introduce un comentario aquí."""
ReturnMessage#0,"""Volverás a la Nave Puerta.<br>¿Estás seguro?<br><br>Si vuelves a la Nave Puerta, tu energía de VR no se recuperará, <yellow>y afectará a la puntuación global de los resultados<br> de tu Grupo.<c> Además, si permaneces en la Nave Puerta<br> durante mucho tiempo después de empezar una mision, afectará<br>a tu puntuación individual de resultados.<br><br>Si revives aquí, recuperarás algo de energía de VR."""
SelectedForm_Title#0,"""Listado de Symbol Art de la nave compartida"""
Ship01#0,"""Ship 01:Feoh"""
Ship02#0,"""Ship 02:Ur"""
Ship03#0,"""Ship 03:Thorn"""
Ship04#0,"""Ship 04:Ansur"""
Ship05#0,"""Ship 05:Laguz"""
Ship06#0,"""Ship 06:Ken"""
Ship07#0,"""Ship 07:Geofu"""
Ship08#0,"""Ship 08:Wynn"""
Ship09#0,"""Ship 09:Hagall"""
Ship10#0,"""Ship 10:Nauthiz"""
DebugShip01#0,"""Ship 01"""
DebugShip02#0,"""Ship 02"""
DebugShip03#0,"""Ship 03"""
DebugShip04#0,"""Ship 04"""
DebugShip05#0,"""Ship 05"""
DebugShip06#0,"""Ship 06"""
DebugShip07#0,"""Ship 07"""
DebugShip08#0,"""Ship 08"""
DebugShip09#0,"""Ship 09"""
DebugShip10#0,"""Ship 10"""
