iidxNotFound#0,"""Nada"""
iidx3_62_0_24#0,"""Tundra Herring Canh Chua<br>Braised Floating Continent Bonito<br>"""
iidx3_62_0_25#0,"""Volcanic Caves Char Poele<br>"""
iidx3_62_0_27#0,"""Volcanic Caves Char Poele<br>Seafood Brochette"""
iidx3_62_0_28#0,"""Seafood Brochette<br>"""
iidx3_62_0_30#0,"""Daybreak Province Carp in Soy Sauce<br>"""
iidx3_62_0_31#0,"""Braised Floating Continent Bonito<br>"""
iidx3_62_0_32#0,"""Seafood Stew<br>"""
iidx3_62_0_33#0,"""Seafood Stew<br>"""
iidx3_62_0_34#0,"""Dragon Altar Fried Snakehead<br>"""
iidx3_62_0_35#0,"""Extravagant Seafood Platter<br>"""
iidx3_62_0_36#0,"""Nightfall Province Needlefish Galette<br>"""
iidx3_63_0_1#0,"""Seafood Soup<br>Floating Facility Turnip Ravioli<br>"""
iidx3_63_0_2#0,"""Marinated Coast Mussels<br>Steamed Floating Facility Rainbow Shrimp<br>"""
iidx3_63_0_4#0,"""Seafood Fruit Confit<br>"""
iidx3_63_0_6#0,"""Underground Shafts Conch Salad<br>"""
iidx3_63_0_7#0,"""Seafood Brochette<br>"""
iidx3_63_0_8#0,"""Roasted Seabed Iwagaki Oyster Wrap<br>"""
iidx3_63_0_10#0,"""Extravagant Seafood Platter<br>"""
iidx3_64_0_0#0,"""Ruins Shrimp Tempura<br>Floating Facility Mint Meuniere<br>"""
iidx3_64_0_1#0,"""Seafood Soup<br>Floating Facility Sardine Salad<br>"""
iidx3_64_0_2#0,"""Desert Crab Croquette<br>Floating Facility Squid Burrito<br>Fried Crab with Underground Mushrooms"""
iidx3_64_0_4#0,"""Steamed Floating Facility Rainbow Shrimp<br>Roasted Seabed Iwagaki Oyster Wrap<br>"""
iidx3_64_0_5#0,"""Floating Facility Turnip Ravioli<br>Underground Shafts Conch Salad<br>"""
iidx3_64_0_6#0,"""Tundra Spring Onion Ajillo<br>Underground Shafts Grilled Mantis Shrimp<br>"""
iidx3_64_0_7#0,"""Underground Shafts Grilled Mantis Shrimp<br>"""
iidx3_64_0_8#0,"""Fried Crab and Egg with Underground Mushrooms<br>Electric Corn Chowder<br>"""
iidx3_64_0_9#0,"""Nightfall Province Burdock Bisque<br>"""
iidx3_65_0_0#0,"""Floating Facility Squid Burrito<br>Tundra Spring Onion Ajillo<br>"""
iidx3_65_0_1#0,"""Seabed Octopus Fritters<br>"""
iidx3_65_0_2#0,"""Nightfall Province Firefly Squid Pie<br>"""
iidx3_68_0_0#0,"""Roasted Seafood Wrap<br>"""
iidx3_70_0_0#0,"""Jerky<br>Stirfry<br>Marinade<br>"""
iidx3_70_0_1#0,"""Bomb Burger<br>Tokyo Hamburger Steak<br>Fried Chicken<br>"""
iidx3_71_0_0#0,"""R/ Burn Guard<br>R/ Freeze Guard<br>R/ Shock Guard<br>"""
iidx3_71_0_1#0,"""R/ Valor Emblem HU<br>"""
iidx3_71_0_2#0,"""R/ Valor Emblem RA<br>"""
iidx3_71_0_3#0,"""R/ Valor Emblem FO<br>"""
iidx3_71_0_4#0,"""R/ Valor Emblem FI<br>"""
iidx3_71_0_5#0,"""R/ Valor Emblem GU<br>"""
iidx3_71_0_6#0,"""R/ Valor Emblem TE<br>"""
iidx3_71_0_7#0,"""R/ Valor Emblem BR<br>"""
iidx3_71_0_8#0,"""R/ Valor Emblem BO<br>"""
iidx3_71_0_10#0,"""R/ Valor Emblem SU<br>"""
