EventInformation#0,"""Info. de eventos"""
NowPlaying#0,"""En progreso"""
RoundInterrupt#0,"""Pausa"""
RoundCancel#0,"""Cancelado"""
RoundNum#0,"""Ronda $(0)"""
TotalPointNum#0,"""$(0) puntos"""
Unknown#0,"""???"""
CancelStr#0,"""-"""
WaitMsg#0,"""Preparando anuncio del ranking. Por favor espere un momento"""
ResultWaitMsg#0,"""Por favor, espere mientras se preparan los resultados finales."""
BoostRank#0,"""$(0) lugar"""
TimeStart#0,"""de"""
TimeEnd#0,"""a"""
StarPoint#0,"""Stars"""
Npc_Title#0,"""ARKS SHIP COMPETITIONS"""
Npc_Explanation#0,"""<c f0df60>Consulta la información y las clasificaciones de las rondas, o utiliza las estrellas en la tienda de premios para adquirirlos.<c>"""
Npc_Menu#0,"""Menú del concurso"""
Npc_RoundInfo#0,"""Información de la ronda"""
Npc_Ranking#0,"""Clasificación general"""
Npc_Shop#0,"""Tienda de premios"""
ExHard#0,"""Extremely Hard"""
RoundFinish#0,"""<c ff0000>Terminado<c>"""
Contents#0,"""Contenido"""
Contents_00#0,"""Rappy Slots"""
Contents_01#0,"""Blacknyack"""
Contents_02#0,"""Mesetan Shooter"""
YesText#0,"""Si"""
NoText#0,"""No"""
CloseText#0,"""Cerrar"""
OpenText#0,"""Abrir"""
Sort#0,"""Orden"""
Copy#0,"""Copiar"""
Peaste#0,"""Pegar"""
NextText#0,"""Siguiente"""
PrevText#0,"""Anterior"""
DecideText#0,"""Confirmar"""
CancelText#0,"""Cancelar"""
OKText#0,"""OK"""
ReturnText#0,"""Regresar"""
Switch_Vita#0,"""Cambiar <pict Sign_TRIANGLE>"""
NumberFormat#0,"""$(0)/$(1)"""
NumberFormat2#0,"""($(0)/$(1))"""
NumberFormat3#0,"""$(0)($(1))"""
NumberFormatColor#0,"""<c ffa800>$(0)/$(1)<c>"""
NumberFormat2Color#0,"""(<c ffa800>$(0)/$(1)<c>)"""
ErrorMsg#0,"""Error de Comunicación"""
StarNumText#0,"""x $(0)"""
DayAddText#0,""" ~ """
ItemName_00#0,"""「"""
ItemName_01#0,"""」 """
GetStar#1,"""Stars Adquirida"""
ClearStar#0,"""Se ha alcanzado el límite"""
GetStarMsg#0,"""Stars $(0) Adquiridas"""
GetStarMsg2#0,"""Earned $(0) stars and $(1) contribution points."""
GetStarMsg3#0,"""$(0) Stars"""
ClearStarMsg#0,"""Se ha alcanzado el límite."""
ClearStarMsg2#0,""" Adquirido."""
NoItem#0,"""Ninguno"""
BoostRate#0,"""$(0)%"""
BoostDrop#0,"""Rare Drop Multiplier + $(0)%"""
BoostExp#0,"""Earned EXP + $(0)%"""
BoostEnemy#0,"""Rare Enemy Spawn Rate + $(0)%"""
BoostCapability#0,"""Element 4 + $(0)%"""
BoostItem#0,"""Element 5 + $(0)%"""
BoostMeseta#0,"""Meseta Ganada + $(0)％"""
BoostRound#0,"""Round Boost + $(0)%"""
BoostRoundHide#0,"""?"""
StarLimitMessage#0,"""Has alcanzado el número máximo de estrellas permitido en una ronda."""
Date#0,"""$(0)/$(1) $(2) o más horas"""
Date_v#0,"""$(0)/$(1) $(2) o más horas"""
StarMoney#0,"""$(0)<pict sb_star_icon>"""
GroupPoint#1,"""$(0) pt"""
GroupPoint2#0,"""$(0)/$(1) pt"""
GroupPoint3#0,"""<c ffa800>$(0)/$(1) pt<c>"""
PlayPoint#0,"""$(0)/$(1)"""
PlayPoint2#0,"""$(0)/$(1) veces"""
WinPoint#0,"""$(0) points"""
StarNumberFormat#0,"""$(0)/$(1)<pict sb_star_icon> ($(2)<pict sb_star_icon>)"""
StarNumberFormat2#0,"""<c ffa800>$(0)/$(1)<c><pict sb_star_icon> ($(2)<pict sb_star_icon>)"""
Finish#0,"""Completado"""
Number_00#0,"""$(0)/$(1)<pict sb_star_icon> """
Number_01#0,"""($(0)/$(1)<pict sb_star_icon>)"""
NumberColor_00#0,"""<c ffa800>$(0)/$(1)<c><pict sb_star_icon> """
NumberColor_01#0,"""(<c ffa800>$(0)/$(1)<c><pict sb_star_icon>)"""
GroupName_000#0,"""<pict sb_flag_3>Red Rappy"""
GroupName_001#0,"""<pict sb_flag_1>Blue Rappy"""
GroupName_002#0,"""<pict sb_flag_5>Yellow Rappy"""
GroupName_003#0,"""<pict sb_flag_2>Green Rappy"""
GroupName_004#0,"""<pict sb_flag_4>White Rappy"""
GroupName_c000#0,"""<pict sb_flag_3><c 00ffff>Red Rappy<c>"""
GroupName_c001#0,"""<pict sb_flag_1><c 00ffff>Blue Rappy<c>"""
GroupName_c002#0,"""<pict sb_flag_5><c 00ffff>Yellow Rappy<c>"""
GroupName_c003#0,"""<pict sb_flag_2><c 00ffff>Green Rappy<c>"""
GroupName_c004#0,"""<pict sb_flag_4><c 00ffff>White Rappy<c>"""
