LobbyMap#0,"""Mapa del vestibulo"""
Npc134#0,"""シー(イースター2020)"""
Npc150#0,"""カトリ"""
Npc151#0,"""サガ"""
Npc153#0,"""テオドール"""
Npc160#0,"""ハーティー"""
Npc161#0,"""スペーディア"""
Npc162#0,"""クローディア"""
Npc163#0,"""アルト/カジノ店員"""
Npc164#0,"""ナリス/カジノ店員"""
Npc185#0,"""マトイ"""
Npc192#0,"""シー(お月見2015)"""
Npc200#0,"""エコー"""
Npc5030#0,"""クラリスクレイス"""
Npc5108#0,"""ナギサ"""
Npc5158#0,"""PSO2es Administrador"""
Npc5186#0,"""クラリスクレイス"""
Npc5200#0,"""朱鬼姫シキ"""
Npc5201#0,"""朱鬼坊オウド"""
Npc5209#0,"""メルランディア"""
Npc5210#0,"""アフィン"""
Npc5213#0,"""マトイ"""
Npc5215#0,"""ダイアナ"""
Npc5230#0,"""ニクス"""
Npc5241#0,"""クララ"""
Npc5244#0,"""キジカ"""
Npc5256#0,"""フィリア"""
Npc5227#0,"""ユクリータ"""
Npc5206#0,"""藍鬼姫シキ"""
Npc5207#0,"""藍鬼坊オウド"""
Npc5272#0,"""イオ"""
Npc5288#0,"""ロッティ"""
Npc5289#0,"""ルベルト"""
Npc5242#0,"""ピエトロ"""
Npc5239#0,"""シエラ/アークスシップ管理官"""
Npc5300#0,"""ロジオ"""
Npc5313#0,"""クーナ"""
Npc5254#0,"""アイカ"""
Npc5238#0,"""アル"""
Npc5297#0,"""ヒツギ"""
Npc5306#0,"""ジェネ"""
Npc5292#0,"""クラリスクレイス"""
Npc5318#0,"""イツキ"""
Npc5316#0,"""イツキ"""
Npc5315#0,"""SORO"""
Npc5314#0,"""RINA"""
Npc5344#0,"""ミミ/アークスリーグ管理官"""
Npc5320#0,"""†コア†"""
Npc5323#0,"""ムサシ"""
Npc5319#0,"""リリカ"""
Npc5321#0,"""弓子"""
Npc5322#0,"""ラスト侍"""
Npc5346#0,"""キッド"""
Npc5347#0,"""シルバ"""
Npc5221#0,"""イーサン"""
Npc5220#0,"""カレン"""
Npc5348#0,"""オーガキャッツ"""
Npc5349#0,"""マスターネズミ"""
Npc5296#0,"""エンガ"""
Npc5361#0,"""エンガ"""
Npc5345#0,"""リーベル"""
Npc5222#0,"""エミリア"""
Npc5363#0,"""ヴィヴィアン"""
Npc5360#0,"""ネッキー"""
Npc5326#0,"""アル"""
Npc5324#0,"""ヒツギ"""
Npc5378#0,"""アネット"""
Npc5236#0,"""コオリ"""
Npc5266#0,"""アル"""
Npc5407#0,"""ジェネ"""
Npc5408#0,"""ブルーノ"""
Npc5412#0,"""ライア"""
Npc5223#0,"""ルミア"""
Npc5430#0,"""アルマ"""
Npc5437#0,"""ストラトス"""
Npc5438#0,"""シャオ/オラクル管理者"""
Npc5453#0,"""マトイ"""
Npc5454#0,"""アイカ"""
Npc5455#0,"""シエラ/アークスシップ管理官"""
Npc5456#0,"""シャオ/オラクル管理者"""
Npc5458#0,"""シエラ/アークスシップ管理官"""
Npc5426#0,"""ヤミガラス"""
Npc5457#0,"""マトイ(ハロウィン)"""
Npc5427#0,"""アヴェンジャー"""
Npc5428#0,"""ブルージーレクイエム"""
Npc5462#0,"""パティ(クリスマス)"""
Npc5463#0,"""ティア(クリスマス)"""
Npc5482#0,"""レオンティーナ/アークスハンドブック案内係"""
Npc5459#0,"""ポリタン"""
Npc1056#0,"""ゼニス/宇宙を護る超人"""
Npc1057#0,"""ララノア/電光石火の女戦士"""
Npc5478#0,"""オークゥ(バレンタイン)"""
Npc5483#0,"""フル(バレンタイン)"""
Npc5479#0,"""エンガ(ホワイトデー)"""
Npc5499#0,"""ジェネ"""
Npc5505#0,"""オークゥ"""
Npc5506#0,"""フル"""
Npc5510#0,"""ヒューイ(サマー)"""
Npc5526#0,"""ノクスカディナ"""
Npc5525#0,"""ライトニングエスパーダ"""
Npc5527#0,"""シューティングドライブ"""
Npc5519#0,"""ニレンカムイ"""
Npc5518#0,"""ラヴィス＝ブレイド"""
Npc5528#0,"""パートニャー"""
Npc5532#0,"""シエラ(ハロウィン)"""
Npc5533#0,"""ヒツギ（クリスマス）"""
Npc5534#0,"""コオリ（クリスマス）"""
Npc5535#0,"""アル（クリスマス）"""
Npc5542#0,"""アウロラ（バレンタイン）"""
Npc5543#0,"""ユクリータ（バレンタイン）"""
Npc5503#0,"""リサ"""
Npc5544#0,"""アフィン（ホワイトデー）"""
Npc5565#0,"""リュドミラ"""
Npc5567#0,"""アフタル"""
Npc5568#0,"""ホルシード"""
Npc5569#0,"""リーン"""
Npc5566#0,"""キョクヤ"""
Npc5570#0,"""ルコット"""
Npc5580#0,"""スペース・ツナ"""
Npc5581#0,"""フォルニスフィジス"""
Npc5582#0,"""ヤスミノコフ8000C"""
Npc5583#0,"""エルデトロス"""
Npc5584#0,"""アギト"""
Npc5589#0,"""ジェネ(サマー)"""
Npc5590#0,"""アネット(サマー)"""
Npc5591#0,"""ブルージーレクイエム(サマー)"""
Npc5597#0,"""みたらし"""
Npc5598#0,"""テトラ"""
Npc5599#0,"""§イチカ§"""
Npc5611#0,"""ルコット"""
Npc5613#0,"""ポポナ"""
Npc5620#0,"""ルーサー(クリスマス)"""
Npc5621#0,"""ハリエット(クリスマス)"""
Npc5624#0,"""ストラトス(バレンタイン)"""
Npc5625#0,"""キョクヤ(ホワイトデー)"""
Npc5634#0,"""マジカルロボ★ゼクト"""
Npc5635#0,"""牧野"""
Npc5636#0,"""ドルチェ"""
Npc5640#0,"""牧野"""
Npc5641#0,"""テトラ"""
Npc5643#0,"""§イチカ§"""
Npc5607#0,"""猫ノ宮♪"""
Npc5646#0,"""ハリエット（サマー）"""
Npc5647#0,"""マトイ（サマー）"""
Npc5648#0,"""ヒツギ（サマー）"""
Npc5649#0,"""ストーキー"""
Npc5650#0,"""monchi"""
Npc5651#0,"""Sighx"""
Npc5652#0,"""エクル"""
Npc5653#0,"""イグニス"""
Npc5654#0,"""カザミノタチ"""
Npc5655#0,"""オプトレイオン"""
Npc5656#0,"""エルダーペイン"""
Npc5657#0,"""サイカ・ヒョウリ"""
Npc5664#0,"""October男"""
Npc5665#0,"""October女"""
Npc5668#0,"""マザー（クリスマス）"""
Npc5669#0,"""シバ（クリスマス）"""
Npc5670#0,"""エルミル（クリスマス）"""
Npc6009#0,"""シー(独立記念日)"""
Npc6010#0,"""シー(サンクスギビング)"""
Npc5298#0,"""リコ"""
Npc5671#0,"""アッシュ"""
Npc5672#0,"""キリーク"""
QuestCounter#0,"""Asesor de misiones (Oeste)"""
QuestCounter2#0,"""Asesor de misiones (Este)"""
QuestCounter3#0,"""Asesor de misiones"""
ClassCounter#0,"""Asesor de clase"""
Npc_CounterArks#0,"""Asesor del Team"""
Npc_CounterArks2#0,"""Asesora de Titulos"""
CounterMd1#0,"""ナターシャ/メディカルセンター係員"""
CounterNetCafe#0,"""メラニー/公認ネットカフェカウンター店員"""
ShopTrade#0,"""Asesor de tienda: recycle"""
ShopPoint#0,"""ナノン/バッヂ＆メモリ交換ショップ店員"""
ShopReform1#0,"""オスカー/マイルームショップ店員"""
ShopReform2#0,"""Tienda de FUN"""
ShopItem#0,"""Asesor de tienda: objetos"""
ShopItem2#0,"""Identificador de objetos"""
ShopItem3#0,"""Asesor de tienda: objetos"""
ShopCostume1#0,"""サロメ/コスチュームショップ店員"""
ShopCostume2#0,"""エリー/ユニットショップ店員"""
CounterLab1#0,"""ドゥドゥ/アイテムラボ店員"""
CounterLab2#0,"""モニカ/アイテムラボ店員"""
ShopDisc#0,"""イルム/ディスクショップ店員"""
ShopWeapon#0,"""アラガス/武器ショップ店員"""
ShipBattle#0,"""アークマ"""
ShipBattle2#0,"""Arkami"""
ShopBar#0,"""Asesor del Bar"""
Shop711#0,"""セブン-イレブン オラクル支店"""
Npc2036#0,"""アリエル/ペットラボ店員"""
CounterSalon1#0,"""Asesor del salon de belleza"""
ShopPoint2#0,"""ティフリス/フォトンドロップ交換ショップ店員"""
ShopPoint3#0,"""ニッサ/エクスキューブ交換ショップ店員"""
ShopTrade2#0,"""ノートブルガ/輝石交換ショップ店員"""
ShopTrade3#0,"""ラインブルガ/輝石交換ショップ店員"""
ShopTrade4#0,"""チップ/景品カウンター店員"""
ShopTrade5#0,"""アンテ/景品カウンター店員"""
ShopTrade6#0,"""Asesor de tienda: Challenge Miles"""
Npc_ShopTreasure#0,"""Asesor de tienda: tesoros"""
Npc_PvShopPoint#0,"""Asesor de tienda: Battle Coins"""
Npc_ShopTrade4#0,"""Asesor de tienda: Medallas Buster"""
