Title#0,"""任務櫃台"""
TriggerQuestBlockChallenge#0,"""チャレンジブロックではトリガークエストを<br>受注することができません。"""
CantStartQuestIgnoreQuest#0,"""このクエストは現在、受注できません。 <br>詳しくはプレイヤーズサイトをご確認ください。"""
IgnoreQuest#0,"""このクエストは現在、受注できません。 <br>詳しくはプレイヤーズサイトをご確認ください。"""
QuestDropPenalty#0,"""「破棄ペナルティー」を受けているメンバーがいます。"""
CantStartQuestDropPenalty#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・「破棄ペナルティー」を受けているメンバーがいます。"""
CantStartQuestOutExtraQuest#0,"""このクエストのキャンペーン対象期間は終了しました。<br>クエストを再受注してください。"""
CantStartQuestInExtraQuest#0,"""このクエストがキャンペーン対象期間になりました。<br>クエストを再受注してください。"""
TitleTraining#0,"""進行練習任務"""
QuestOutExtra#0,"""このクエストのキャンペーン対象期間は終了しました。<br>クエストを再受注してください。"""
QuestInExtra#0,"""このクエストがキャンペーン対象期間になりました。<br>クエストを再受注してください。"""
TitleCommonError#0,"""接受錯誤"""
CantBasnetOrderNumZeroMembers#0,"""<yellow>メインマッチ受注回数が0回の<br>パーティーメンバーがいるため<br>クエストを受注することができません。<c><br><br>メインマッチ受注回数を回復してもらうか、<br>条件を満たしたメンバーだけで<br>再度受注してください。"""
CantBasnetProperPartyJoinGradeError#0,"""因為以下原因、無法參加任務、<br>目前無法接受的任務。<br><br>・因為不符合房間等級要求所以不能參加"""
CantBasnetSupportPartyJoinGradeError#0,"""因為以下原因、無法參加任務、<br>目前無法接受的任務。<br><br>・不能加入的任務等級"""
CantStartQuestNotExpertParty#0,"""無法設定專家隊伍。<br><br>要進行這個設定<br>必須要取得特定的稱號。"""
CantStartProhibitQuestDropTitleCnt#0,"""任務櫃台裝置"""
CantStartProhibitQuestDropTitleTlp#0,"""傳送器"""
CantStartProhibitQuestDropForStart#0,"""現在無法使用。"""
CantStartQuest_ExpertSetting_Disable#0,"""無法設定專家隊伍。<br><br>要進行這個設定<br>必須要取得特定的稱號。"""
TitleConfirmForQuest#0,"""任務接受確認"""
OffExpertOnlySettingOrNot#0,"""隊伍有非專家級的玩家。<br>無法設置「只和專家級玩家組隊」<br>是否臨時關閉專家選項接受任務？"""
CantStartMackFloor#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・パーティー全員が受注条件を満たしていない"""
Title#1,"""任務櫃台"""
TitleCampship#1,"""任務櫃台裝置"""
Back#0,"""離開任務櫃台"""
BackCampship#0,"""離開任務櫃台末端"""
QuestSelect#0,"""任務一覽"""
UrgencySelect#0,"""<yellow>緊急任務<c>"""
QuestSelectNew#0,"""主要任務"""
StoryQuest#0,"""劇情任務"""
SubQuestSelect#0,"""次要任務"""
PartyListSelect#0,"""參加正在任務中的隊伍"""
WatchPartyListSelect#0,"""査看任務執行中的隊伍"""
PartyList#0,"""參加正在任務中的隊伍"""
FriendPartyList#0,"""-"""
WatchPartyList#0,"""査看任務執行中的隊伍"""
WatchFriendPartyList#0,"""-"""
PartyAllList#0,"""所有隊伍"""
PartyFriendList#0,"""好友所存在的隊伍"""
PartyGuildList#0,"""公會成員所存在的隊伍"""
PartyReserveList#0,"""上次選擇的隊伍"""
MatchingSetting#0,"""匹配設置"""
PartnerProhibit#0,"""進入無法呼叫夥伴的小屋"""
TrainingSelect#0,"""練習任務"""
SettingSelect#0,"""設定變更"""
QuestTriggerSelect#0,"""接受觸發任務"""
TriggerQuestReorderPeriod#0,"""クエストトリガーが使用されてから<br>3分以内のため、再受注が可能です。<br><yellow>（残り：$(0)回）<c><br><br>「トリガークエストを受注する」を選ぶと<br>「クエストトリガー」を消費せずに<br>再受注できます。"""
TriggerQuestReorderPeriod_OnlyBeforeStart#0,"""クエストトリガーが使用されてから<br>3分以内のため、再受注が可能です。<br><yellow>（残り：$(0)回）<c><br><red>※クエストを開始すると再受注できなくなります。<c><br><br>「トリガークエストを受注する」を選ぶと<br>「クエストトリガー」を消費せずに<br>再受注できます。"""
BattleArenaPlaySelect#0,"""競技場"""
BattleArenaPlayInfo#0,"""バトルアリーナは、「共通シップ」でのみプレイできます。<br>以下のいずれかの方法で、共通シップに移動してください。<br><br>・クエストカウンターのトップメニューから<br>\u3000<yellow>「バトルアリーナをプレイする」<c>を選択<br><br>・ブロック転送テレポーターから<br>\u3000<yellow>「共通シップのバトルロビーへ移動」<c>を選択<br><br>・クイックメニューから<yellow>「共通シップへ行く」<c>を選択<br><br>【共通シップとは？】<br>\u3000異なるシップに所属するプレイヤーと一緒に、<br>\u3000バトルアリーナやチャレンジクエストを<br>\u3000プレイできる専用のシップです。"""
EP5StorySelect#0,"""主要任務【EP5】<pict Fresh>"""
OmnibusSelect#0,"""綜合任務【EP1～3】<pict Fresh>"""
ChangeEpisodeSelect#0,"""EPISODE変更"""
ListChangeMessage_new#0,"""カテゴリー形式に切り替えました。"""
ListChangeMessage_old#0,"""一覧形式に切り替えました。"""
PrismLimitedEvent#0,"""-"""
PeaceQuestSelect#0,"""截圖攝影棚"""
LimitedEvent_Title#0,"""-"""
Shipbonus#0,"""ARKS戰艦對抗戰增幅情報"""
Gpboost#0,"""回合增幅"""
BoostExplain#0,"""ARKS戰艦對抗戰的回合排名結果，<br>針對貢獻點數的回合增幅發生中。"""
BoostPoint#0,"""日常增益"""
MyBoostPointValue#0,""" +$(0)％"""
BoostUpperLimit#0,"""(MAX)"""
BoostInformation#0,"""デイリーブースト情報"""
MyBoostPointValueEx#0,""" +$(0)％(MAX)"""
TitleFreeField#0,"""選擇自由區域"""
TitleRankSelect#0,"""選擇級別"""
QuestRankName#0,"""$(1)（接受可能Lv.$(0)～）"""
CautionNon#0,"""錯誤原因不名。<br><br>[No.3001]"""
CautionQuestLevelNG2#0,"""限隊伍全員<br>未達到以下Lv. <br>故無法開始本自由區域<br><br>・Lv.$(0)～"""
CautionMultiConditionLine1#0,"""限隊伍全員<br>未達到以下任務接受條件<br>故無法開始本自由區域<br><br>$(0)"""
CautionMultiConditionLine2#0,"""限隊伍全員<br>未達到以下任務接受條件<br>故無法開始本自由區域<br><br>$(0)<br>$(1)"""
ReasonPartyLevel#0,"""．可能接受的Lv. $(0)～"""
ReasonEventFlag#1,"""特殊的接受條件"""
EXQuestName#0,"""超界探索"""
Title#2,"""選擇任務種類"""
Back#1,"""返回"""
HintNon#0,"""不明錯誤"""
HintNew#0,"""未達成的任務"""
HelpNon#1,"""不明錯誤"""
HelpMes01#0,"""任務開始時，<br>將消耗「極限任務票證」。<br><br>「極限任務票證」可向管理員普林領取， <br>毎個帳號毎隔22小時可領取一次。<br><br>部分的E試煉中<br>包含宙之滿回噴劑等，所有恢復效果<br>效果皆下降。<br>但在復活時候的恢復效果沒有影響。"""
HelpMes02#0,"""夢幻之星ONLINE2 的世界裡<br>充滿可以體驗追逐謎樣生物的任務。<br><br>日常就在各地繞來繞去，收集各樣情報<br>以這些情報，發展新的旅程，<br>以更接近事實或真相。<br><br>因你介入的歷史，<br>形成了你個人的挑戰任務。"""
HelpMes03#0,"""接受某些特定條件達成後，<br>將得到任務獎勵。<br><br>根據任務的不同，所需要的條件種類會不同，<br>獎勵的内容也有變化。"""
HelpMes04#0,"""只限特定期間公開，<br>期間限定的任務。<br><br>超過期間後，便無法接受。"""
HelpMes05#0,"""-"""
HelpMes06#0,"""-"""
HelpMes07#0,"""夢幻之星ONLINE2 的世界裡<br>充滿可以體驗追逐謎樣生物的任務。<br><br>日常就在各地繞來繞去，收集各樣情報<br>以這些情報，發展新的旅程，<br>以更接近事實或真相。<br><br>開始創造出與觀測所不同的歷史<br>為了連接到新未來，<br>會是你一個人挑戰的任務。"""
HelpMes08#0,"""於大會或活動用，就算在官方網伽中<br>也只有特定店舖限定的方式<br>所公開的任務。 """
HelpMes09#0,"""-"""
HelpMes10#0,"""-"""
HelpMes11#0,"""參加者必須持有特定數量的<br>「高級膠嚢」。<br><br>任務達成時<br>「高階風險」會上升。<br>隊長的<br>「高階風險」數値會影響<br>任務的難易度變化。<br><br>「高階風險」是依據個別任務<br>累積計算而來，在固定時間内<br>數值會再重新起算。"""
HelpMes12#0,"""自由地在區域内探索。<br>進行討伐在最深處的BOSS時，<br>即可完成任務。"""
HelpMes13#0,"""將同時開始和玩家一起競賽<br>達成任務的時間。<br><br>規則與條件等一致化，<br>可以在相同條件互相競爭。<br><br>以走破的記錄來排行時，<br>可能與其他玩家<br>的記錄一起進行比較。"""
HelpMes14#0,"""突然以緊急任務的型式發生<br>限定接受期間的任務。<br><br>對於市區的襲撃相關應戰<br>以及産生危險度較高的敵人<br>討伐任務等是具代表性的任務。<br><br>具有比較多高難度的任務<br>建議做好準備後再接受。"""
CautionNon#1,"""錯誤原因不名。<br><br>[No.3002]"""
CautionNothingQuest#0,"""本類型的任務，目前一個都不存在。"""
HelpMes15#0,"""レベル・装備・アイテムなどの<br>初期ステータスを統一した環境で行う<br>仮想空間（ＶＲ）での訓練クエストです。<br>ＶＲエネルギーが無くなる前に<br>指定されたミッション数のクリアを<br>目指すクエストとなります。<br><br>受注時、全員同じステータスに統一される為<br>プレイヤー自身の実力と<br>プレイヤー間の連携が重要です。"""
CautionNonChallengeArea#0,"""チャレンジクエストは、「共通シップ」または<br>「チャレンジブロック」でのみ受注できます。<br>ブロック転送テレポーターから移動してください。<br><br>【共通シップとは？】<br>\u3000異なるシップに所属するプレイヤーと一緒に、<br>\u3000チャレンジクエストやバトルアリーナを<br>\u3000プレイできる専用のシップです。<br><yellow>※フレンドリスト・メール・シンボルアートは<br>\u3000共通シップ専用に切り替わります。<c><br><br>【チャレンジブロックとは？】<br>\u3000チャレンジクエストを受注できるブロックです。<br>\u3000受注できるクエストは共通シップと同じです。"""
CautionNonContestArea#0,"""「アークスGP2016予選」を公開中です。<br>今回のアークスGPクエストは、共通シップ<br>またはチャレンジブロックで受注できます。<br>ブロック転送テレポーターから移動して下さい。<br><br>「アークスGP2016予選」では<br>キャンプシップ内の「クラスセット端末」から<br>ハンタータイプ、レンジャータイプなど<br>各クラスの装備、クラススキルのセットを<br>選んでプレイすることができます。 """
CautionNonContestArea_NetCafe#0,"""ネットカフェ限定のクエストを公開中です。<br>共通シップまたはチャレンジブロックでのみ<br>受注できます。<br>ブロック転送テレポーターから移動して下さい。<br><br>【共通シップ】<br>異なるシップに所属するプレイヤーと一緒に、<br>クエストをプレイできるシップです。<br><yellow>※フレンドリスト・メール・シンボルアートは<br>\u3000共通シップ専用のデータに切り替わります。<c><br><br>【チャレンジブロック】<br>対象クエストを受注できるブロックです。<br>受注できるクエストは共通シップと同じです。"""
CautionNonPokaArea#0,"""バトルアリーナは、「共通シップ」でのみプレイできます。<br>以下のいずれかの方法で、共通シップに<br>移動してください。<br><br>・クエストカウンターのトップメニューから<br>\u3000<yellow>「バトルアリーナをプレイする」<c>を選択<br><br>・ブロック転送テレポーターから<br>\u3000<yellow>「共通シップのバトルロビーへ移動」<c>を選択<br><br>・クイックメニューから<yellow>「共通シップへ行く」<c>を選択<br><br>【共通シップとは？】<br>\u3000異なるシップに所属するプレイヤーと一緒に、<br>\u3000バトルアリーナやチャレンジクエストを<br>\u3000プレイできる専用のシップです。"""
CautionNonBasnetOpen#0,"""バスタークエストは<br>メインクエスト【EP5】のメインストーリー<br>「メチャクチャな世界」のクリア後に解放されます。<br><br><yellow>※同一アカウントの他のキャラクターで<br>\u3000すでにバスタークエストを解放済みの場合は<br>\u3000EP5モードに遷移することで<br>\u3000同クエストが受注可能になります。<c>"""
ChallengeName#0,"""チャレンジクエスト"""
HelpMes16#0,"""PHANTASY STAR ONLINE2 の世界の<br>謎に迫る物語のエピソード3を<br>体験するクエストです。<br><br>日常的に各地を回り、情報を集めていると<br>それらの情報を元に、新たな道を発見し<br>新事実や真相に近づいていきます。<br><br>あなただけの歴史を紡ぎ出すため<br>あなた一人で挑むクエストとなります。"""
HelpMes17#0,"""おすすめクエストは日ごとに更新される<br>フリーフィールドやアークスクエストなどから<br>ピックアップされたクエストです。<br><br>おすすめ対象となるクエストの場合<br>受注条件を満たしていなくても<br>どなたでもプレイすることができます。"""
HelpMes18#0,"""異常な反応が観測されたフィールドの<br>調査に向かうクエストです。<br><br>非常に難易度の高いクエストの為<br>受注するためには特定の条件を<br>満たしている必要があります。"""
HelpMes19#0,"""特定の期間のみ公開される<br>チャレンジブロックで受注できる<br>アークスGPクエストです。<br>期間が過ぎると受注出来なくなります。<br>クエストクリアするとチャレンジマイルを<br>獲得できます。<br><br>【注意事項】<br>アークスGPへのエントリー方法や<br>レギュレーションに関しては<br>プレイヤーズサイトをご覧ください。"""
HelpMes20#0,"""他のクエストよりも<br>大量の経験値やメセタ<br>レアなアイテムドロップが<br>期待できるソロプレイ専用クエストです。<br><br>クエストを開始時に、<br>設定されたランクに応じた<br>「ボーナスキー」を消費します。<br><br>「ボーナスキー」は一部おすすめクエストを<br>Aランク以上でクリアすることで<br>低確率で手に入ります。"""
HelpMes21#0,"""PHANTASY STAR ONLINE2 の世界の<br>謎に迫る物語のエピソード4を<br>体験するクエストです。"""
HelpMes22#0,"""<c 6eff7c>練習クエスト（アークス訓練所）へ、ようこそ！<c><br><br>ここでは、『PSO2』の基本的な戦闘操作を<br>実戦形式で練習できます。<br><br>まずは、この「共通訓練」をプレイしましょう！<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes23#0,"""クラス「ハンター」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「ハンター」は、<br>ソードやパルチザンなどの打撃武器で戦う<br>近接攻撃が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes24#0,"""クラス「レンジャー」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「レンジャー」は、<br>アサルトライフルなどの射撃武器で戦う<br>遠距離攻撃が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes25#0,"""クラス「フォース」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「フォース」は、<br>魔法のような「テクニック」で戦う<br>遠距離攻撃が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes26#0,"""クラス「ファイター」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「ファイター」は、<br>ナックルやツインダガーなどの打撃武器で戦う<br>近接攻撃が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes27#0,"""クラス「ガンナー」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「ガンナー」は、<br>ツインマシンガンなどの射撃武器で戦う<br>近～中距離攻撃が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes28#0,"""クラス「テクター」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「テクター」は、<br>ウォンドでの直接攻撃やテクニック攻撃、<br>また補助行動が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes29#0,"""クラス「ブレイバー」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「ブレイバー」は、<br>カタナやバレットボウなどの武器で戦う<br>近接・遠距離攻撃が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes30#0,"""クラス「バウンサー」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「バウンサー」は、デュアルブレードや<br>ジェットブーツ、テクニックなどの<br>トリッキーな攻撃が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes31#0,"""クラス「サモナー」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「サモナー」は、ペットを育成して<br>タクトで指示して戦わせることができる<br>育成要素を重視したクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes32#0,"""発生していない緊急クエストなど<br>通常時では受注できないクエストを<br>受注できるようになります。<br><br>クエストの受注時に設定された<br>クエストに応じた「トリガーアイテム」を<br>消費します。<br><br><yellow>トリガーアイテムを消費したプレイヤーが<br>クエストを破棄すると、同じルームにいる<br>全員がクエストを破棄されます。<c>"""
HelpMes33#0,"""制限時間内により多くのスコアを<br>獲得することを目的としたクエストです。<br><br>日替わりで受注できるクエストが<br>更新され、舞台となるフィールドや<br>ギミックが変化します。<br><br>また、ハイスコアは<br>クエスト・難易度別で集計されます。"""
HelpMes34#0,"""大会やイベント用に特定店舗限定で<br>公開されているアークスＧＰクエストです。<br>クエストクリアするとチャレンジマイルを<br>獲得できます。"""
HelpMes35#0,"""タイトル１"""
HelpPokaQuestSurmmary#0,"""バトルアリーナは、他のアークスたちと<br>戦闘の腕前を競い合う訓練施設です。<br><br>レベル・装備・アイテムなどのステータスは<br>バトルアリーナ専用の設定になります。<br><br>勝負するだけでもらえる「バトルコイン」で<br>色々なアイテムを購入することができます。<br>勝ち続けると「バトルランキング」が上昇し、<br>豪華なランキング報酬を獲得できます。"""
HelpMes36#0,"""タイトル２"""
HelpMes37#0,"""タイトル３"""
HelpMes38#0,"""PHANTASY STAR ONLINE2 の世界の<br>謎に迫る物語のエピソード5を<br>体験するクエストです。"""
HelpMes39#0,"""PHANTASY STAR ONLINE2 の世界の<br>謎に迫る過去の物語のエピソードを<br>総集編で体験するクエストです。"""
HelpMes40#0,"""制限時間内に戦力ゲージを減らし、敵勢力を<br>撃破することを目的としたクエストです。<br><br>アカウントごとに保存される<br>バスターポイントによって<br>自動的にマッチングが行われ<br>「メインマッチ」、「メインマッチ：上級」では<br>勝敗によってバスターポイントが変動します。<br><br>また「フリーマッチ」にて勝利することで<br>メインマッチブーストを２回分<br>回復することができます。"""
HelpMes41#0,"""クラス「ヒーロー」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「ヒーロー」は、<br>打撃・射撃・法撃の３種の武器を扱い<br>あらゆる状況に対応できる後継クラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes42#0,"""從活動、ARKS增益拉力等挑選出的任務，<br>只在特定期間公開。<br><br>完成全部與平常任務內容不同的活動<br>與對象任務後，即可從此處接受<br>有增益的ARKS增益拉力。<br><br><yellow>※能得到ARKS增益拉力的增益只有ABR對象的任務。<c>"""
