BlockForm_Title#0,"""ย้าย Block"""
BlockForm_MyShip_Exp_TriggerQuest#0,"""<yellow>คุณกำลังอยู่ในระหว่าง Trigger Quest!<c><br><br>หากย้ายไปยัง Ship ของคุณ คุณจะหลุดจาก Party<br>โดยอัตโนมัติ และสมาชิกทุกคนใน Multi-party<br><yellow>จะถูกยกเลิก Quest ทันที<c><br>※ในกรณีที่ยังเหลือเวลาหรือจำนวนครั้ง<br>\u3000ในการลง Trigger Quest อีกครั้งเท่านั้น<br><br>นอกจากนี้ เอฟเฟกต์ที่ได้รับภายในเควสต์<br>ทั้งหมดจะหายไปด้วย<br><br><red>Meseta หรือไอเทมที่ใช้เพื่อเริ่ม Quest<br>จะไม่ถูกส่งคืน ซึ่งอาจก่อให้เกิดปัญหาได้<br>โปรดระมัดระวัง<c><br><br>ต้องการย้ายไปยัง Ship ของคุณ หรือไม่?"""
BlockForm_Move_Exp_TriggerQuest#0,"""<yellow>คุณกำลังอยู่ในระหว่าง Trigger Quest!<c><br><br>หากย้าย Block คุณจะหลุดจาก Party<br>โดยอัตโนมัติ และสมาชิกทุกคนใน Multi-party<br><yellow>จะถูกยกเลิก Quest ทันที<c><br>※ในกรณีที่ยังเหลือเวลาหรือจำนวนครั้ง<br>\u3000ในการลง Trigger Quest อีกครั้งเท่านั้น<br><br>นอกจากนี้ เอฟเฟกต์ที่ได้รับภายในเควสต์<br>ทั้งหมดจะหายไปด้วย<br><br><red>Meseta หรือไอเทมที่ใช้เพื่อเริ่ม Quest<br>จะไม่ถูกส่งคืน ซึ่งอาจก่อให้เกิดปัญหาได้<br>โปรดระมัดระวัง<c>"""
BlockForm_ToMyShip_Exp#0,"""Matchmaking จะถูกยกเลิก<br>หากคุณย้ายไปยัง Ship ของคุณ<br><br>ต้องการย้ายไปยัง Ship ของคุณ หรือไม่?"""
BlockForm_ToChallengeLobby_Exp#0,"""Matchmaking จะถูกยกเลิก<br>หากคุณย้ายไปยัง Challenge Lobby<br><br>ต้องการย้ายไปยัง Challenge Lobby หรือไม่?"""
BlockForm_ToBattleLobby_Exp#0,"""คุณจะถูกนำออกจาก Party โดยอัตโนมัติ<br>และ Quest ที่กำลังดำเนินอยู่จะถูกยกเลิก<br>หากคุณย้ายไปยัง Battle Lobby<br><br>นอกจากนี้ เอฟเฟกต์พิเศษใดๆ ที่ได้รับ<br>จาก Quest ที่ตอบรับไว้จะหายไป<br><br>ต้องการย้ายไปยัง Battle Lobby หรือไม่?"""
BlockForm_BattleLobbyToBattleLobby_Exp#0,"""Matchmaking จะถูกยกเลิก<br>หากคุณย้ายไปยัง Battle Block<br><br>ต้องการเปลี่ยน Block หรือไม่?"""
BlockForm_BattleLobbyToBattleLobby_Exp_NoMatching#0,"""การกระทำนี้จะย้ายคุณไปยัง Battle Block อื่น<br>ดำเนินการต่อหรือไม่?<br><br><c c0c0c0>※Matchmaking ใน Battle Arena จะใช้ร่วมกันทุก Block<br>ดังนั้นการย้ายไปยัง Block อื่นจะไม่เปลี่ยนแปลง<br>ผลลัพธ์ของ Matchmaking<c>"""
AreaForm_BridgeArea_Exp#0,"""ต้องการย้ายไปยัง Bridge หรือไม่?"""
AreaForm_CafeArea_Exp#0,"""คุณต้องการไปที่ Franca's Cafe หรือไม่?"""
Bond_message#0,"""$(0)<br><br>$(1)"""
InPublicShipToast#0,"""สลับไปใช้ Shared Ship ชั่วคราว"""
InChallengeShipToast#0,"""เปลี่ยนเป็นการตั้งค่า Challenge Ship ชั่วคราว"""
InPokaShipToast#0,"""เปลี่ยนเป็นการตั้งค่า Battle Arena ชั่วคราว"""
BlockForm_Move_Exp_HighLevelQuest#0,"""<red>Quest ที่กำลังรับอยู่<br>อยู่ภายใต้เงื่อนไข 【บทลงโทษการละทิ้ง (Abandon Penalty)】!<c><br><br>การละทิ้งจะทำให้ผู้เล่นอื่นเดือดร้อน<br>คุณจะไม่สามารถรับ Emergency Quest ที่กำลังเกิดขึ้นได้อีก<br>และจะถูกบังคับให้ย้ายไปยัง Block อื่น<br><br>เมื่อทำการย้าย Block คุณจะออกจาก Party<br>โดยอัตโนมัติ และ Quest ที่รับไว้จะถูกยกเลิก"""
BlockForm_PublicShip_Exp_HighLevelQuest#0,"""<red>Quest ที่กำลังรับอยู่<br>อยู่ภายใต้เงื่อนไข 【บทลงโทษการละทิ้ง (Abandon Penalty)】!<c><br><br>การละทิ้งจะทำให้ผู้เล่นอื่นเดือดร้อน<br>คุณจะไม่สามารถรับ Emergency Quest ที่กำลังเกิดขึ้นได้อีก<br>และจะถูกบังคับให้ย้ายไปยัง Block อื่น<br><br>เมื่อทำการย้ายไปยัง Shared Ship คุณจะออกจาก Party<br>โดยอัตโนมัติ และ Quest ที่รับไว้จะถูกยกเลิก<br><br>ยอมรับ 【บทลงโทษการละทิ้ง】 และย้ายไปยัง Shared Ship<br>ดำเนินการต่อหรือไม่?"""
BlockForm_MyShip_Exp_HighLevelQuest#0,"""<red>Quest ที่กำลังรับอยู่<br>อยู่ภายใต้เงื่อนไข 【บทลงโทษการละทิ้ง (Abandon Penalty)】!<c><br><br>การละทิ้งจะทำให้ผู้เล่นอื่นเดือดร้อน<br>คุณจะไม่สามารถรับ Emergency Quest ที่กำลังเกิดขึ้นได้อีก<br>และจะถูกบังคับให้ย้ายไปยัง Block อื่น<br><br>เมื่อทำการย้ายไปยัง Ship ของคุณ คุณจะออกจาก Party<br>โดยอัตโนมัติ และ Quest ที่รับไว้จะถูกยกเลิก<br><br>ยอมรับ 【บทลงโทษการละทิ้ง】 และย้ายไปยัง Ship ของคุณ<br>ดำเนินการต่อหรือไม่?"""
BlockForm_Complete_Toast#0,"""ย้ายไปยัง Block: $(0) แล้ว"""
BlockForm_GuideText#0,"""คุณสามารถย้ายไปยัง Block อื่นหรือ PSO2 ได้"""
BlockForm_TutrialStart#0,"""ใน 『PSO2』 Block<br>คุณจะเริ่มเล่นตั้งแต่บทนำ (Prologue)<br><br>ดำเนินการต่อหรือไม่?"""
BlockForm_RegionMove_Title#0,"""ย้ายระหว่างภูมิภาค (Regions)"""
BlockForm_RegionMove_Exp#0,"""กำลังเดินทางไปยัง $(0)<br>ต้องการดำเนินการต่อหรือไม่?"""
BlockForm_NotOnlyBlock_Exp_PS4#0,"""ย้ายออกจาก Block เฉพาะสำหรับ 【PS4】<br><br>เมื่อย้ายออกจาก Block เฉพาะแล้ว<br>คุณจะสามารถสื่อสารและจัด Party<br>กับผู้เล่นจากแพลตฟอร์มอื่นได้<br><br>ต้องการย้าย Block หรือไม่?"""
BlockForm_Error_IllegalMember#0,"""ไม่สามารถย้าย Block ได้ เนื่องจากมีสมาชิก Party<br>ที่ไม่สามารถย้ายไปยัง Block ที่เลือกได้"""
MeetForm_Title#0,"""ย้ายไปยังตำแหน่งของผู้เล่นอื่น"""
MeetForm_Explanation#0,"""ต้องการย้ายไปยังตำแหน่งของ $(0) หรือไม่?<br><br><yellow>※คุณจะถูกย้ายไปยัง Ryuker Device ที่ใกล้ที่สุดในพื้นที่ Exploration หรือ Combat Section, หรือทางเข้าของ ARKS Base<br>※หากคุณย้ายตำแหน่ง Quest ใดๆ ที่กำลังดำเนินอยู่จะถูกละทิ้ง และเอฟเฟกต์ที่ได้รับจาก Quest จะหายไป<br>※หากคุณตั้ง Password ไว้แต่พวกเขาไม่ได้ตั้ง Password ของคุณจะถูกยกเลิก<c>"""
MeetForm_BlockMoveOnly#0,"""ไม่สามารถย้ายไปยังตำแหน่งของผู้เล่นอื่นได้ ระบบได้ทำการย้ายคุณไปยัง Block ของพวกเขาแทน"""
MeetForm_Error_Terminal#0,"""ไม่สามารถย้ายได้เนื่องจากคุณยังไม่ได้ปลดล็อก Ryuker Device / ARKS Base ที่ใกล้ที่สุด"""
MeetForm_Error_SamePlace#0,"""ไม่สามารถย้ายได้เนื่องจากคุณอยู่ในตำแหน่งเดียวกับผู้เล่นอื่นแล้ว"""
MeetForm_Error_ClassicBlock#0,"""ไม่สามารถย้ายได้เนื่องจากผู้เล่นอื่นอยู่ใน PSO2 Block"""
MeetForm_Error_Logout#0,"""ไม่สามารถย้ายได้เนื่องจากผู้เล่นอื่นล็อกเอาต์ไปแล้ว"""
MeetForm_Error_CreativeSpace#0,"""ฟีเจอร์นี้ไม่สามารถใช้เพื่อย้ายไปยัง Creative Space ได้"""
Current_Block_Label#0,"""Block ปัจจุบัน"""
Current_Block_BlockName#0,"""$(0)"""
Current_Section_Label#0,"""ตำแหน่งปัจจุบัน"""
Current_Section_SectionName#0,"""$(0)"""
Current_Section_Rank#0,"""[ Rank $(0) ]"""
Class#0,"""คลาส"""
Main#0,"""คลาสหลัก (Main Class)"""
Sub#0,"""คลาสรอง (Sub Class)"""
None#0,"""ไม่มี"""
Job00#0,"""Hunter"""
Job01#0,"""Ranger"""
Job02#0,"""Force"""
Job03#0,"""Fighter"""
Job04#0,"""Gunner"""
Job05#0,"""Techter"""
Job06#0,"""Braver"""
Job07#0,"""Bouncer"""
Job08#0,"""Challenger"""
Job09#0,"""Waker"""
Job10#0,"""Battle Warrior"""
Job11#0,"""Slayer"""
Job12#0,"""Phantom"""
Job13#0,"""Etoile"""
Job14#0,"""Slayer"""
All#0,"""ทุกคลาส (All Classes)"""
ConnectErrorLabel#0,"""ข้อผิดพลาดในการสื่อสาร"""
ConnectErrorText#0,"""ขาดการเชื่อมต่อจากเซิร์ฟเวอร์ กำลังกลับสู่หน้าจอไตเติ้ล..."""
InvalidPasswordText#0,"""ชื่อผู้ใช้หรือรหัสผ่านไม่ถูกต้อง"""
FailVersionText#0,"""เวอร์ชันเกมไม่ตรงกับเซิร์ฟเวอร์ กำลังกลับสู่หน้าจอไตเติ้ล"""
DnsError#0,"""ข้อผิดพลาด DNS"""
SignOut_Vita#0,"""ออกจากระบบ PlayStation® Network แล้ว<br>กำลังกลับสู่หน้าจอไตเติ้ล"""
Resume_Vita#0,"""การเชื่อมต่อเซิร์ฟเวอร์หมดเวลา<br>กำลังกลับสู่หน้าจอไตเติ้ล"""
ErrorWindowText#0,"""※สำหรับข้อมูลข้อผิดพลาดและการแก้ปัญหา โปรดดูที่เว็บไซต์สนับสนุนทางการ"""
ErrorCodeText#0,"""ไม่"""
OkButtonText#0,"""ตกลง"""
WebButtonText#0,"""เยี่ยมชมเว็บไซต์ทางการ"""
ShopButtonText#0,"""เยี่ยมชมเว็บไซต์สั่งซื้อ"""
WebURL#0,"""<&URL pso2_players_manual_preparations_arkslobby_block>"""
ShopURL#0,"""<&URL AC_CHARGE_PAGE>"""
Code220_Title#0,"""มีเวอร์ชันใหม่พร้อมใช้งาน"""
Code220_Code#0,"""ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้"""
Code220_Message#0,"""มีเวอร์ชันใหม่พร้อมใช้งาน<br>ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้"""
Code221_Title#0,"""มีเวอร์ชันใหม่พร้อมใช้งาน"""
Code221_Code#0,"""ไม่สามารถดาวน์โหลดเวอร์ชันล่าสุดได้"""
Code221_Message#0,"""ไม่สามารถอัปเดต<br>เป็นเวอร์ชันล่าสุดได้<br>กรุณาลองทำการตรวจสอบไฟล์ (File Check) ดูอีกครั้ง<br>หากปัญหายังคงอยู่<br>โปรดอ้างอิงจากเว็บไซต์สนับสนุนทางการ"""
Code222_Title#0,"""มีเวอร์ชันใหม่พร้อมใช้งาน"""
Code222_Code#0,"""ไม่สามารถดาวน์โหลดเวอร์ชันล่าสุดได้"""
Code222_Message#0,"""ไม่สามารถอัปเดต<br>เป็นเวอร์ชันล่าสุดได้<br>กรุณาลองทำการตรวจสอบไฟล์ (File Check) ดูอีกครั้ง<br>หากปัญหายังคงอยู่<br>โปรดอ้างอิงจากเว็บไซต์สนับสนุนทางการ"""
Code223_Title#0,"""การตรวจสอบเวอร์ชันล่าสุด"""
Code223_Code#0,"""ไม่สามารถตรวจสอบความถูกต้องของเวอร์ชันได้"""
Code223_Message#0,"""มีเวอร์ชันใหม่พร้อมใช้งาน<br>ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้"""
Code224_Title#0,"""การตรวจสอบเวอร์ชันล่าสุด"""
Code224_Code#0,"""ไม่สามารถตรวจสอบความถูกต้องของเวอร์ชันได้"""
Code224_Message#0,"""มีเวอร์ชันใหม่พร้อมใช้งาน<br>ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้"""
Code225_Title#0,"""มีเวอร์ชันใหม่พร้อมใช้งาน"""
Code225_Code#0,"""ไม่สามารถดาวน์โหลดไฟล์ระบบล่าสุดได้"""
Code225_Message#0,"""ไม่สามารถอัปเดต<br>เป็นเวอร์ชันล่าสุดได้<br>กรุณารอสักครู่แล้วลองใหม่อีกครั้ง<br>หากปัญหายังคงอยู่<br>โปรดอ้างอิงจากเว็บไซต์สนับสนุนทางการ"""
Code226_Title#0,"""มีเวอร์ชันใหม่พร้อมใช้งาน"""
Code226_Code#0,"""ไม่สามารถดาวน์โหลดไฟล์ระบบล่าสุดได้"""
Code226_Message#0,"""ไม่สามารถอัปเดต<br>เป็นเวอร์ชันล่าสุดได้<br>กรุณารอสักครู่แล้วลองใหม่อีกครั้ง<br>หากปัญหายังคงอยู่<br>โปรดอ้างอิงจากเว็บไซต์สนับสนุนทางการ"""
Code227_Title#0,"""มีเวอร์ชันใหม่พร้อมใช้งาน"""
Code227_Code#0,"""การดาวน์โหลดไฟล์ล้มเหลว"""
Code227_Message#0,"""ไม่สามารถอัปเดต<br>เป็นเวอร์ชันล่าสุดได้<br>กรุณารอสักครู่แล้วลองใหม่อีกครั้ง<br>หากปัญหายังคงอยู่<br>โปรดอ้างอิงจากเว็บไซต์สนับสนุนทางการ"""
Code228_Title#0,"""มีเวอร์ชันใหม่พร้อมใช้งาน"""
Code228_Code#0,"""การดาวน์โหลดไฟล์ล้มเหลว"""
Code228_Message#0,"""ไม่สามารถอัปเดต<br>เป็นเวอร์ชันล่าสุดได้<br>กรุณารอสักครู่แล้วลองใหม่อีกครั้ง<br>หากปัญหายังคงอยู่<br>โปรดอ้างอิงจากเว็บไซต์สนับสนุนทางการ"""
Code230_Title#0,"""การเชื่อมต่อเครือข่าย"""
Code230_Code#0,"""เกิดข้อผิดพลาดในการเชื่อมต่อเครือข่าย"""
Code230_Message#0,"""ข้อผิดพลาดในการเชื่อมต่อเครือข่าย<br>(ไม่มีการตอบสนองจาก DNS Server)"""
Code231_Title#0,"""การเชื่อมต่อเครือข่าย"""
Code231_Code#0,"""เกิดข้อผิดพลาดในการเชื่อมต่อเครือข่าย"""
Code231_Message#0,"""ข้อผิดพลาดในการเชื่อมต่อเครือข่าย<br>(ไม่มีการตอบสนองจาก DNS Server)"""
Code240_Title#0,"""การเชื่อมต่อเครือข่าย"""
Code240_Code#0,"""เกิดข้อผิดพลาดในการเชื่อมต่อเครือข่าย"""
Code240_Message#0,"""ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้<br>กรุณาตรวจสอบสถานะเซิร์ฟเวอร์<br>จากประกาศ ฯลฯ บนเว็บไซต์ทางการ"""
Code241_Title#0,"""การเชื่อมต่อเครือข่าย"""
Code241_Code#0,"""เกิดข้อผิดพลาดในการเชื่อมต่อเครือข่าย"""
Code241_Message#0,"""ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้<br>กรุณารอสักครู่แล้วลองใหม่อีกครั้ง<br>หากปัญหายังคงอยู่<br>โปรดอ้างอิงจากเว็บไซต์สนับสนุนทางการ"""
Code242_Title#0,"""การเชื่อมต่อเครือข่าย"""
Code242_Code#0,"""เกิดข้อผิดพลาดในการเชื่อมต่อเครือข่าย"""
Code242_Message#0,"""ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้<br>กรุณารอสักครู่แล้วลองใหม่อีกครั้ง"""
Code249_Title#0,"""การเชื่อมต่อเครือข่าย"""
Code249_Code#0,"""เกิดข้อผิดพลาดในการเชื่อมต่อเครือข่าย"""
Code249_Message#0,"""ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้<br>กรุณารอสักครู่แล้วลองใหม่อีกครั้ง<br>หากปัญหายังคงอยู่<br>โปรดอ้างอิงจากเว็บไซต์สนับสนุนทางการ"""
Code250_Title#0,"""การเชื่อมต่อเครือข่าย"""
Code250_Code#0,"""เกิดข้อผิดพลาดในการเชื่อมต่อเครือข่าย"""
Code250_Message#0,"""ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้<br>กรุณารอสักครู่แล้วลองใหม่อีกครั้ง<br>หากปัญหายังคงอยู่<br>โปรดอ้างอิงจากเว็บไซต์สนับสนุนทางการ<br>[ No.250 - $(0) ]"""
Code601_Title#0,"""เกิดปัญหากับ ID"""
Code601_Code#0,"""การยืนยันตัวตน SEGA ID ล้มเหลว"""
Code601_Message#0,"""เซิร์ฟเวอร์อาจอยู่ในช่วงปิดปรับปรุง กรุณาตรวจสอบสถานะเซิร์ฟเวอร์ที่เว็บไซต์ทางการ"""
Code602_Title#0,"""เกิดปัญหากับ ID"""
Code602_Code#0,"""การยืนยันตัวตน SEGA ID ล้มเหลว"""
Code602_Message#0,"""กรุณาตรวจสอบ SEGA ID ของคุณ (ควรเป็นตัวพิมพ์เล็กทั้งหมด) และรหัสผ่าน แล้วเชื่อมต่อใหม่อีกครั้ง"""
Code603_Title#0,"""เกิดปัญหากับ ID"""
Code603_Code#0,"""การยืนยันตัวตน SEGA ID ล้มเหลว"""
Code603_Message#0,"""กรุณาตรวจสอบ SEGA ID ของคุณ (ควรเป็นตัวพิมพ์เล็กทั้งหมด) และรหัสผ่าน แล้วเชื่อมต่อใหม่อีกครั้ง"""
Code604_Title#0,"""เกิดปัญหากับ ID"""
Code604_Code#0,"""การยืนยันตัวตน SEGA ID ล้มเหลว"""
Code604_Message#0,"""การยืนยันการล็อกอินล้มเหลวเกินจำนวนครั้งที่อนุญาตในเวลาที่กำหนด - กรุณารอสักครู่ แล้วลองล็อกอินใหม่อีกครั้ง"""
Code605_Title#0,"""เกิดปัญหากับ ID"""
Code605_Code#0,"""การยืนยันตัวตน ID ล้มเหลว"""
Code605_Message#0,"""เซิร์ฟเวอร์ที่จัดการ ID ของคุณ<br>อาจปิดให้บริการเนื่องจากการปรับปรุง ฯลฯ<br>สำหรับข้อมูลเพิ่มเติม กรุณาติดต่อผู้ให้บริการ ID ของคุณ"""
Code606_Title#0,"""เกิดปัญหากับ ID"""
Code606_Code#0,"""การยืนยันตัวตน ID ล้มเหลว"""
Code606_Message#0,"""การยืนยันตัวตน ID ทำงานไม่ถูกต้อง<br>สำหรับข้อมูลเพิ่มเติม กรุณาติดต่อผู้ให้บริการ ID ของคุณ"""
Code611_Title#0,"""การเชื่อมต่อเซิร์ฟเวอร์"""
Code611_Code#0,"""ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้"""
Code611_Message#0,"""เซิร์ฟเวอร์อาจอยู่ในช่วงปิดปรับปรุง<br>กรุณาตรวจสอบข้อมูลการปิดปรับปรุง<br>บนเว็บไซต์ทางการของ Phantasy Star Online 2"""
Code612_Title#0,"""การเชื่อมต่อเซิร์ฟเวอร์"""
Code612_Code#0,"""ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้"""
Code612_Message#0,"""ขณะนี้เซิร์ฟเวอร์หนาแน่น<br>กรุณารอสักครู่ แล้วลองเชื่อมต่อใหม่อีกครั้ง"""
Code615_Title#0,"""การเชื่อมต่อเซิร์ฟเวอร์"""
Code615_Code#0,"""ไม่สามารถเชื่อมต่อกับ Block ได้"""
Code615_Message#0,"""ไม่สามารถย้ายไปยัง Block ที่เลือกได้เนื่องจากเต็มแล้ว"""
Code616_Title#0,"""การเชื่อมต่อเซิร์ฟเวอร์"""
Code616_Code#0,"""ไม่สามารถเชื่อมต่อกับ Block ได้"""
Code616_Message#0,"""ไม่สามารถย้ายไปยัง Block ที่เลือกได้เนื่องจากเต็มแล้ว"""
Code620_Title#0,"""ล็อกอินล้มเหลว"""
Code620_Code#0,"""เข้าสู่ระบบไม่สำเร็จ"""
Code620_Message#0,"""เนื่องจากการเชื่อมต่อถูกตัดขาดอย่างผิดปกติ ข้อมูลตัวละครของคุณจึงถูกล็อก กรุณาลองใหม่อีกครั้งในอีกประมาณ 10 นาที"""
Code622_Title#0,"""การเลือกห้อง (Room Selection)"""
Code622_Code#0,"""ไม่สามารถย้ายไปยังห้องได้"""
Code622_Message#0,"""ไม่สามารถไปยังห้องที่เลือกได้เนื่องจากห้องเต็ม"""
Code623_Title#0,"""การเลือกห้อง (Room Selection)"""
Code623_Code#0,"""ไม่สามารถย้ายไปยังห้องได้"""
Code623_Message#0,"""ไม่พบเซิร์ฟเวอร์ห้อง"""
Code624_Title#0,"""การเลือกห้อง (Room Selection)"""
Code624_Code#0,"""ไม่สามารถย้ายไปยังห้องได้"""
Code624_Message#0,"""เนื่องจากมีข้อจำกัดในการเข้า คุณจึงไม่สามารถเข้าไปในห้องนี้ได้"""
Code625_Title#0,"""การเลือกห้อง (Room Selection)"""
Code625_Code#0,"""ไม่สามารถย้ายไปยังห้องได้"""
Code625_Message#0,"""เนื่องจากมีข้อจำกัดในการเข้า คุณจึงไม่สามารถเข้าไปในห้องนี้ได้"""
Code626_Title#0,"""การเลือกห้อง (Room Selection)"""
Code626_Code#0,"""ไม่สามารถย้ายไปยังห้องได้"""
Code626_Message#0,"""เนื่องจากปัญหาของเซิร์ฟเวอร์/ระบบ คุณจึงไม่สามารถไปยังห้องนั้นได้"""
Code627_Title#0,"""การเลือกห้อง (Room Selection)"""
Code627_Code#0,"""ไม่สามารถย้ายไปยังห้องได้"""
Code627_Message#0,"""คุณไม่สามารถไปยัง room นั้นได้เนื่องจากคุณไม่ได้รับสิทธิ์ หรือ room นั้นหมดอายุแล้ว"""
Code628_Title#0,"""การเลือก Room"""
Code628_Code#0,"""ไม่สามารถย้ายไปยัง room ได้"""
Code628_Message#0,"""คุณไม่สามารถไปยัง room นั้นได้เนื่องจากเจ้าของ room ไม่ได้รับสิทธิ์ หรือ room นั้นหมดอายุแล้ว"""
Code630_Title#0,"""การสื่อสารกับ Server"""
Code630_Code#0,"""ไม่มีการตอบสนองจาก server"""
Code630_Message#0,"""การเชื่อมต่อของคุณขาดหาย กำลังกลับสู่หน้า Title screen"""
Code633_Title#0,"""การย้าย My Room"""
Code633_Code#0,"""ไม่สามารถย้ายไปยัง My Room ได้"""
Code633_Message#0,"""My Room ที่เลือกคนเต็มแล้ว จึงไม่สามารถย้ายไปได้"""
Code634_Title#0,"""การย้าย My Room"""
Code634_Code#0,"""ไม่สามารถย้ายไปยัง My Room ได้"""
